"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.950005033543834,5.05636014858666,-9.40373510326546,1.90043695843463e-13,3.76761627009666e-09,18.49352153029,"OTOF"
"ILMN_1692731",-1.13948948533848,7.07955421190533,-5.97465202865964,1.31713229599148e-07,0.00130560738840156,7.00045735723823,"TTYH3"
"ILMN_1768575",-0.880892833853979,5.20294364212785,-5.66608295277554,4.29898927277301e-07,0.00284091541109083,5.96756681209904,"SFTPD"
"ILMN_1807515",-0.777250627719006,6.36202431196649,-5.51025619053996,7.76623440645764e-07,0.00384913992770057,5.45055511577618,"CSTF2T"
"ILMN_1680399",0.689723195303187,5.73761584203823,5.43362971773027,1.03702708939999e-06,0.00411181240947094,5.19765710362462,"KAZN"
"ILMN_1724181",-0.643467531302748,7.22662682245038,-5.22814028888987,2.2386181630195e-06,0.00739676751364359,4.52438730846371,"IL15"
"ILMN_1687544",0.600644540123044,5.18409723892252,5.0043621713956,5.11900700635942e-06,0.0144977591287251,3.80050403749745,"ZNF567"
"ILMN_1707585",-0.630170698692125,7.77724515756982,-4.94939302653416,6.26030573723984e-06,0.0155138201550975,3.62435360844493,"SLC46A2"
"ILMN_1691413",0.841375700552762,5.70639667582099,4.86473393699622,8.52191417746545e-06,0.0161320143253812,3.3544533712597,"NNAT"
"ILMN_2060652",-0.737659881632902,5.78534658688125,-4.86439044367467,8.53255086381711e-06,0.0161320143253812,3.35336183043791,"BET1L"
"ILMN_1680993",0.750074400394934,5.20326720234393,4.85120189633842,8.95092850336412e-06,0.0161320143253812,3.31147385367994,"TRIM10"
"ILMN_2166384",-0.705813673403297,6.42842794175678,-4.74658227171322,1.30625162950305e-05,0.0211249058252906,2.98075834046727,"IPO5"
"ILMN_1871612",0.664372345423293,5.20982917251091,4.68914278936518,1.60534672100676e-05,0.0211249058252906,2.80041044444378,NA
"ILMN_2310896",-0.690012855812671,7.64082457136452,-4.68668640352135,1.61952839464042e-05,0.0211249058252906,2.79271792080009,"NLRP3"
"ILMN_2197225",-0.661391528304278,6.37111737808211,-4.67718097675358,1.67556864437391e-05,0.0211249058252906,2.7629659938593,"EIF4EBP3"
"ILMN_1666268",0.75020140273467,5.8760778943042,4.67232719218868,1.70491043230592e-05,0.0211249058252906,2.74778331916988,NA
"ILMN_1800354",-0.690875223423888,12.5342882496205,-4.64533013716382,1.87749620415015e-05,0.0218949189689863,2.66345623168222,"CST3"
"ILMN_2251279",1.09982992563031,6.07743666149831,4.59908877271805,2.21351041181006e-05,0.0226051995530938,2.51949767631572,"WDR45"
"ILMN_1786388",-0.538353348123822,7.95057501779997,-4.59318419634754,2.26042912139214e-05,0.0226051995530938,2.50115980497665,"RNF113A"
"ILMN_1815745",-0.652836968781806,6.46604895994302,-4.59069794787699,2.2804741037169e-05,0.0226051995530938,2.49344128022295,"SOX4"
"ILMN_1726752",-0.764164130524568,6.85947303326607,-4.52771383266934,2.85018678172853e-05,0.0269071204513181,2.29851476919414,"APTX"
"ILMN_1651464",0.650217369937321,6.17082415545456,4.50881794097941,3.04663543330765e-05,0.0274223073446086,2.24026606159614,"KDM2B"
"ILMN_1690979",0.523956150826218,5.61710757463006,4.48437913556307,3.3203484310275e-05,0.0274223073446086,2.16509212673478,"SLC17A3"
"ILMN_1714854",-0.814361035311921,5.70983877727212,-4.47910416219455,3.38249410405244e-05,0.0274223073446086,2.14889037520899,"MEAF6"
"ILMN_1672486",-0.902472992915014,5.62277192351158,-4.47281681398378,3.45804632340588e-05,0.0274223073446086,2.12959042962703,"TCF7L2"
"ILMN_1692177",0.963422059089529,8.62659240556274,4.44886468525237,3.76120043536902e-05,0.0286791533196888,2.05617865440994,"TSC22D1"
"ILMN_1786789",-0.756709817649843,6.56252129357488,-4.41975327038682,4.16457212964076e-05,0.0305787564704178,1.9671971942598,"EEIG2"
"ILMN_1843387",0.547363761695166,5.82141661094481,4.40263101775617,4.42114272295551e-05,0.0313032694580689,1.91498780010852,NA
"ILMN_1796749",-0.677275257621488,5.61057796515419,-4.36307981358806,5.07390345572354e-05,0.0346862537964549,1.79475051204343,"KIF1C"
"ILMN_1729269",0.644330627448404,7.8985955557652,4.30680695248271,6.1663121445306e-05,0.0393910254409505,1.62456866758963,"ANAPC1P2"
"ILMN_1746029",-0.706735514827977,5.49934363832337,-4.30331353129684,6.24117754782627e-05,0.0393910254409505,1.61403882403507,"SPATS2"
"ILMN_2404063",0.920017175629217,6.8872107383368,4.29793362261826,6.35819830572719e-05,0.0393910254409505,1.59783084752848,"APP"
"ILMN_2238383",0.74124280741914,5.42852943301333,4.27783189164821,6.81456116014852e-05,0.0406870102383185,1.53735801547666,"MFSD2B"
"ILMN_1805027",0.595649907216799,5.39630842698053,4.27095531436577,6.97784790972423e-05,0.0406870102383185,1.51670275457383,"KLC3"
"ILMN_1710863",-0.598878072024333,6.69839624397012,-4.25664041191132,7.33001400748648e-05,0.0415192936281199,1.47375729338656,"GATAD1"
"ILMN_2224657",0.550041219573993,5.3614684194736,4.19359461571609,9.09685475703591e-05,0.0494300654851099,1.28547079165972,"KLRG2"
"ILMN_1753980",-0.449734520795971,7.72629404987172,-4.18948679303709,9.22528334400538e-05,0.0494300654851099,1.27325173026345,"LRRC37B"
"ILMN_1887619",0.591540913661772,5.32583850917985,4.1555180451737,0.000103566849079781,0.0503575217754212,1.17244225835973,NA
"ILMN_1899061",0.705606847778829,5.64546061413918,4.15384685156595,0.00010415679532435,0.0503575217754212,1.16749345392566,NA
"ILMN_1783285",-0.634823920560233,6.35863064808767,-4.14860781234987,0.00010602735864551,0.0503575217754212,1.15198602285909,"CTPS1"
"ILMN_1663577",0.519687457394392,7.43420720300159,4.14694795940803,0.000106626743622288,0.0503575217754212,1.14707499410383,"S100PBP"
"ILMN_1722834",-0.669979717520132,6.7356232995137,-4.146789092184,0.000106684283206441,0.0503575217754212,1.146605004511,"RGS12"
"ILMN_1744006",0.754476191190565,7.43847614625727,4.11388296803344,0.000119272293972912,0.0545868493483966,1.04945671262333,"GFOD2"
