"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.907692228285766,5.05636014858666,-8.9848968886524,9.65387660766571e-13,1.91388103746973e-08,17.2311575679019,"OTOF"
"ILMN_2270299",1.36389366260756,5.42558585394356,6.47901432900543,1.85539020815808e-08,0.000146904041326837,8.74885486999892,"TP53BP2"
"ILMN_1714349",-1.20342662520862,6.21294228575738,-6.43277514732392,2.22301197468101e-08,0.000146904041326837,8.59094598196936,"GLCE"
"ILMN_1666453",-1.04320261414439,7.04401442140472,-6.26586571151426,4.26198258675144e-08,0.000211234511955868,8.02186435689392,"STK3"
"ILMN_1701924",0.807558509654401,5.3547891577948,5.3847385159532,1.24638342718925e-06,0.00483197516473061,5.06037985305864,"LINC00924"
"ILMN_2342066",-1.10456614588247,5.63160847515089,-5.34213878796447,1.46238844834218e-06,0.00483197516473061,4.91989244768209,"METRNL"
"ILMN_1719949",0.846379059605187,5.96975586009931,5.1993430324074,2.49168937240341e-06,0.00705682025827109,4.45140746014032,NA
"ILMN_1693090",-1.01145285307762,6.3400416856954,-4.96577079997239,5.89641378341736e-06,0.0146120504070311,3.69406641754714,"CROT"
"ILMN_1710863",-0.687220085027822,6.69839624397012,-4.88454816172949,7.92983166220221e-06,0.0169216644074418,3.43360377208807,"GATAD1"
"ILMN_2399877",-0.832463443178619,6.34955257993509,-4.86429470039775,8.53551798609929e-06,0.0169216644074418,3.36890573017735,"COG5"
"ILMN_2401730",-0.696441306112506,6.33309121919498,-4.76765740250866,1.21078575124228e-05,0.0218216613803437,3.06163908657887,"C1GALT1C1"
"ILMN_1807515",-0.661023761322268,6.36202431196649,-4.68627511258422,1.62191486444565e-05,0.0267953851563625,2.80479103190845,"CSTF2T"
"ILMN_1709233",-0.775213736408063,8.15177409581118,-4.60253630477616,2.18655631647316e-05,0.0325044922409725,2.54242894711389,"F5"
"ILMN_1797001",-0.739745759854589,7.27018965042575,-4.58515017768647,2.32582895252041e-05,0.0325044922409725,2.48820970357066,"RIGI"
"ILMN_1692731",-0.869948431548058,7.07955421190533,-4.5613752722202,2.53035810939263e-05,0.0325044922409725,2.41421112208913,"TTYH3"
"ILMN_1723048",0.754608752714907,6.85132083626727,4.53595971203162,2.76837820165524e-05,0.0325044922409725,2.33529268476851,"GJC2"
