"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.730936738572765,5.05636014858666,-7.3042933895149,7.29217877658632e-10,1.71249526389353e-05,11.0045981353526,"OTOF"
"ILMN_1748884",-0.679655794383237,6.42367631147456,-5.30980347084714,1.65864634089388e-06,0.0133339282958802,4.57610396627233,"TOB2"
"ILMN_1717357",-0.783241687066242,6.60240597524439,-5.30268454801606,1.70336334898827e-06,0.0133339282958802,4.55373032349224,"AIFM1"
"ILMN_1774028",-0.785367989756237,5.54320016055297,-5.17542477846848,2.73541107287116e-06,0.0160595984088266,4.15520047354099,"MTFR1"
"ILMN_1807515",-0.710351790784577,6.36202431196649,-5.01919196472062,4.8677721587385e-06,0.0209755963472968,3.66993998250024,"CSTF2T"
"ILMN_1692731",-0.962514397874579,7.07955421190533,-4.99296462574058,5.35912017048974e-06,0.0209755963472968,3.58894586773733,"TTYH3"
"ILMN_1786852",-0.719506811865804,6.44804568712002,-4.89724497176027,7.60071851279887e-06,0.0229185415770872,3.29457111779285,"ZCCHC3"
"ILMN_1788387",-0.671178967132788,5.60413200526418,-4.88384781945573,7.98014950665115e-06,0.0229185415770872,3.25352779860782,"UGGT2"
"ILMN_2251279",1.1586542759633,6.07743666149831,4.83740214545618,9.44477503999809e-06,0.0229185415770872,3.11154905378121,"WDR45"
"ILMN_1905599",0.807891265936686,5.57497307951098,4.82835588165326,9.7592154560923e-06,0.0229185415770872,3.0839528856859,NA
"ILMN_1742272",0.570076634824969,5.30518544470795,4.77597700615902,1.17915923843091e-05,0.025173977777556,2.92454326322854,"REN"
"ILMN_1710863",-0.640002822279155,6.69839624397012,-4.56166432910923,2.53550835430772e-05,0.0460188147052763,2.27938499134287,"GATAD1"
"ILMN_1814229",0.50835429082292,4.96080320179312,4.56033599381172,2.54745610274481e-05,0.0460188147052763,2.27542374851996,NA
"ILMN_1666453",-0.743493845896092,7.04401442140472,-4.41665259922777,4.22157850699699e-05,0.0667230309333936,1.8498765799351,"STK3"
"ILMN_2394027",0.769445491677849,5.97610755708729,4.41393513667553,4.26181853177016e-05,0.0667230309333936,1.84188588616926,"CLK3"
"ILMN_2195665",0.738491352170575,5.99715028783885,4.33154283076891,5.67530238644533e-05,0.0770165443098481,1.6006717015467,"PANK3"
"ILMN_1753980",-0.463554070566983,7.72629404987172,-4.32126553434825,5.88075537350484e-05,0.0770165443098481,1.57073013403931,"LRRC37B"
"ILMN_1678290",-0.601433547427024,6.30050347864214,-4.3201660028001,5.90315873606398e-05,0.0770165443098481,1.56752874980027,"HMG20A"
"ILMN_1707151",-0.556494473156869,4.97544765684906,-4.27826092068391,6.82150857687111e-05,0.0810840518254533,1.44580317023368,NA
"ILMN_1729439",0.469012026384716,5.03956001896062,4.26641851322401,7.10520895218199e-05,0.0810840518254533,1.41150501743094,"CYP4F2"
"ILMN_2318430",-0.807555664633407,6.20338420580502,-4.26052016289165,7.25074556436093e-05,0.0810840518254533,1.39443900844656,"EIF5"
