"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.875583853577343,5.05636014858666,-8.66706841438834,3.34211944084963e-12,6.62575179148439e-08,16.0699678843886,"OTOF"
"ILMN_1724181",-0.738814686391955,7.22662682245038,-6.00283097443804,1.18144442723501e-07,0.00117110678849671,7.08575418865125,"IL15"
"ILMN_2167426",-0.925773525715512,6.15967881655716,-5.34337063276004,1.45565319914843e-06,0.00961944155770586,4.89445880034221,"ASPHD2"
"ILMN_1714349",-0.977484804599454,6.21294228575738,-5.22502978262103,2.2646866108978e-06,0.0112243530152622,4.5082126004537,"GLCE"
"ILMN_1692731",-0.970224482738212,7.07955421190533,-5.08714977069332,3.774934912585e-06,0.0149676169283995,4.06161187087065,"TTYH3"
"ILMN_2146418",0.809459596638629,5.74961315687441,4.92749428637337,6.78144604705559e-06,0.0185579097831512,3.54955687462055,"CRIM1"
"ILMN_1768575",-0.758418448936066,5.20294364212785,-4.8783026486732,8.11197168187306e-06,0.0185579097831512,3.39297428640259,"SFTPD"
"ILMN_1783285",-0.744442017597156,6.35863064808767,-4.86496785962246,8.51467791266617e-06,0.0185579097831512,3.3506292179865,"CTPS1"
"ILMN_1719949",0.791542133504859,5.96975586009931,4.86247743252904,8.59202778475665e-06,0.0185579097831512,3.34272562782693,NA
"ILMN_2142185",0.882613242005272,6.25569584429087,4.83885229453217,9.36086243790728e-06,0.0185579097831512,3.26782563668788,"CLEC14A"
"ILMN_2270299",1.00610683576621,5.42558585394356,4.77939064030626,1.16062892366414e-05,0.0209176985560377,3.07993464674616,"TP53BP2"
"ILMN_1693727",0.669175078916906,5.39729682012276,4.7537358729865,1.27305032155666e-05,0.021031852187384,2.99915070889903,"ENTR1"
"ILMN_1905599",0.774227212199372,5.57497307951098,4.62228448802505,2.0382166147838e-05,0.031082803375453,2.58800864949866,NA
"ILMN_2180624",0.645292394141779,6.46363462049678,4.59961590483988,2.20936821235217e-05,0.0312862320070584,2.51759558918727,"TMCO6"
"ILMN_1728107",0.650750260049369,7.42557684854774,4.56144054466484,2.52977328277312e-05,0.0334351702206514,2.39935183229836,"GNG7"
"ILMN_1683678",-0.834919364449922,5.5694266039072,-4.5191430228306,2.93771362568348e-05,0.0341250857756277,2.26884274568583,"SPATS2L"
"ILMN_1775467",0.728185233805521,5.47734574113536,4.51905457302149,2.9386303994385e-05,0.0341250857756277,2.26857039551515,"OR2T12"
"ILMN_1661566",0.750971412777725,5.34213299219793,4.46787011562688,3.51864032358483e-05,0.0341250857756277,2.11136594677149,"FSTL4"
"ILMN_2197225",-0.631625770304054,6.37111737808211,-4.46668563304357,3.5333020906352e-05,0.0341250857756277,2.10773755614832,"EIF4EBP3"
"ILMN_1701924",0.66718014588979,5.3547891577948,4.44870629892749,3.76328865963471e-05,0.0341250857756277,2.05271570540699,"LINC00924"
"ILMN_1809484",-0.911639232858167,6.83337963526599,-4.4360318304536,3.93409981071751e-05,0.0341250857756277,2.01398916001347,"TMOD3"
"ILMN_2387919",-0.54018988869367,7.36432072053316,-4.41897499619215,4.17591360960631e-05,0.0341250857756277,1.96195258704214,"PRKAG2"
"ILMN_1785926",0.514443642240301,7.62462879787185,4.41030086438855,4.30436788512948e-05,0.0341250857756277,1.93552529208079,"ZNF621"
"ILMN_1907596",0.605450717418908,5.20887147968631,4.40082567983173,4.44907373324682e-05,0.0341250857756277,1.90668499603096,NA
"ILMN_1873967",0.588782939928565,5.50745131362262,4.39042761707298,4.61331467773447e-05,0.0341250857756277,1.8750689408499,NA
"ILMN_1738046",-0.904105663642466,6.06558912015005,-4.38833559284436,4.64706353335255e-05,0.0341250857756277,1.86871221452097,NA
"ILMN_1827413",0.729769354069602,5.60130675761424,4.38830538116046,4.64755266553316e-05,0.0341250857756277,1.86862042510643,NA
"ILMN_1792951",-0.543727658375547,7.11617569410975,-4.36296595682903,5.07591134380491e-05,0.0359392651396187,1.79173858639266,"ZHX2"
"ILMN_1659099",-0.742468886362545,7.68366813229829,-4.34514433019294,5.39989725187097e-05,0.036914814833911,1.73779248759964,"ROCK2"
"ILMN_1717357",-0.633023197927413,6.60240597524439,-4.29251445529812,6.47822315604928e-05,0.0420748971334492,1.57909993172223,"AIFM1"
"ILMN_1656910",-0.758286261127134,5.19498306731036,-4.28313251125658,6.69123030889869e-05,0.0420748971334492,1.5509092940087,"TRIM6"
"ILMN_1774344",0.554469299301301,5.27634031467451,4.27881984329338,6.79140836454161e-05,0.0420748971334492,1.53796078816524,"ABCC13"
"ILMN_2403889",-0.607585871197539,7.23938269441486,-4.25423814376951,7.39077666056556e-05,0.0444006506956703,1.4642780080651,"PRMT5"
"ILMN_2224657",0.552270352015597,5.3614684194736,4.2105898471136,8.58365791404355e-05,0.0466813145455946,1.33396230507352,"KLRG2"
"ILMN_1808602",-0.812028678164771,5.50127667378837,-4.20470902894955,8.75798366483339e-05,0.0466813145455946,1.31645596241387,"LINC01547"
"ILMN_1900520",-0.633018884437319,5.85934992095751,-4.1983070961766,8.95165257126115e-05,0.0466813145455946,1.29741232515188,NA
"ILMN_1916564",0.55590752989191,5.19074417196373,4.18949159861418,9.22513208037855e-05,0.0466813145455946,1.27121307530695,NA
"ILMN_1880761",0.526858772312872,5.14225530490182,4.1842560129269,9.39136196232061e-05,0.0466813145455946,1.25566633314545,NA
"ILMN_1666268",0.671410792841947,5.8760778943042,4.18161162201119,9.47641932754179e-05,0.0466813145455946,1.24781772297095,NA
"ILMN_1722239",-0.668558774732569,5.23545121307605,-4.17805530306996,9.59198504699394e-05,0.0466813145455946,1.2372664580256,"TIMM8A"
"ILMN_2195665",0.709320017148931,5.99715028783885,4.17615960805581,9.6541432351545e-05,0.0466813145455946,1.23164397061737,"PANK3"
"ILMN_2401457",0.531581782620922,5.30606951440184,4.16699221706351,9.96027392376571e-05,0.0470148644139655,1.20447250032303,"SLC7A3"
"ILMN_1715332",-0.84985744227386,5.31546858814933,-4.14318972489985,0.000107995999693118,0.0497911789282805,1.13406618953001,"TTC21A"
"ILMN_1788764",0.609926146955147,5.35694708709623,4.09786092164204,0.000125909577533905,0.0539606671775238,1.00056266895523,"BPGM"
"ILMN_1797001",-0.660794762604455,7.27018965042575,-4.09578991539699,0.00012679311783844,0.0539606671775238,0.994481348823272,"RIGI"
"ILMN_1807515",-0.577306148764349,6.36202431196649,-4.09276579087638,0.000128094043894872,0.0539606671775238,0.985604173107409,"CSTF2T"
"ILMN_1658902",-0.770408164756138,5.55199718119093,-4.09225374381628,0.000128315589870672,0.0539606671775238,0.984101422762836,"DEAF1"
"ILMN_2139035",-0.870328884727364,6.01283047066937,-4.08120373861522,0.000133187704205718,0.0539606671775238,0.951696013667369,"CASD1"
