"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1783182",0.642829615670148,5.32825131259937,5.44527136315259,9.97754532243416e-07,0.0222714824157981,4.60533838032509,"FBN1"
"ILMN_1681367",0.651911864841208,5.09428538783179,5.15455050427648,2.95537997944531e-06,0.0222714824157981,3.7470559689709,"ZFP69"
"ILMN_1878446",-0.54632545189739,4.97282907412886,-5.10511600775701,3.54801058702644e-06,0.0222714824157981,3.60231280581824,NA
"ILMN_1788728",0.492043072383043,5.01725617435256,5.05498422640672,4.26790251771115e-06,0.0222714824157981,3.45592931870877,"LGI1"
"ILMN_1691648",0.536418298367876,4.93486201494236,5.02633236061685,4.74184176796927e-06,0.0222714824157981,3.37245498110838,"TRO"
"ILMN_1734365",0.459187745918971,5.27753504655457,4.87664737536391,8.19168051882224e-06,0.0320622375506702,2.93873753549259,"PAX2"
"ILMN_1849776",0.548427448947417,5.38213883733328,4.59878188478857,2.22288428334982e-05,0.0745745921574103,2.14552842292692,NA
"ILMN_2176693",0.641910274231937,5.64560388026169,4.4974740774185,3.18012374088479e-05,0.0933525324136732,1.86070325140248,"LIPK"
"ILMN_1734794",-0.378516769584365,5.02180473913291,-4.42325794706105,4.12530075695456e-05,0.107642847751468,1.65368496281973,"AKAP4"
"ILMN_1730867",-0.577419462606001,5.18540814860602,-4.39258122031618,4.5912671958976e-05,0.107821318828459,1.56853819057566,"AZU1"
"ILMN_1714567",-0.405435434161266,11.7068207328614,-4.21353624873789,8.51782183627329e-05,0.181586620221069,1.07680545126245,"AHNAK"
"ILMN_1708451",0.435925272060501,5.07851213809109,4.188474636193,9.27882576500099e-05,0.181586620221069,1.00872124440324,"PIGP"
"ILMN_1834802",0.501444216678528,5.60010316925956,4.09016286160488,0.000129503912455202,0.211139457823328,0.743511526312735,NA
"ILMN_1866480",0.836030018990897,6.66551380603316,4.05139383445507,0.000147547874530687,0.211139457823328,0.639771193819243,NA
"ILMN_2409720",0.422782065955491,5.08585943904421,4.04903517295313,0.000148720610224171,0.211139457823328,0.633475559341686,"SLA2"
"ILMN_1673953",0.575159468577751,5.39836338376656,4.03783102584683,0.000154415262106077,0.211139457823328,0.603594934244558,"HRH1"
"ILMN_1782983",0.369483272442347,4.99245460061906,4.01772488090531,0.000165165981625113,0.211139457823328,0.550077470867329,NA
"ILMN_1760981",-0.766918218955117,5.01420435129326,-4.0173257765938,0.000165386519969462,0.211139457823328,0.549016517454465,NA
"ILMN_1823630",0.442816665692947,5.23599375884659,3.98023287120244,0.000187170561485351,0.211139457823328,0.450644736508773,NA
"ILMN_1740345",-0.563855638537645,5.71421054960024,-3.97381411443031,0.000191210572039693,0.211139457823328,0.433669228699364,"THYN1"
"ILMN_1801610",-0.638772573763783,5.85067632944536,-3.94796340163056,0.000208347773552039,0.211139457823328,0.365445460825537,"METRNL"
"ILMN_1694799",-0.508562340826401,6.06803335938017,-3.93562088322334,0.000217042434626717,0.211139457823328,0.332953135386885,"PIAS2"
"ILMN_1752320",0.430830498435728,5.26508800960642,3.93250440189922,0.000219292431530438,0.211139457823328,0.324757209112833,NA
"ILMN_1743987",-0.401589730293077,5.19791944305375,-3.9299177727833,0.000221176917548518,0.211139457823328,0.317957294657404,"TRPM2"
"ILMN_2363621",-0.554159176156817,6.81953073888334,-3.92504485457353,0.000224769479031818,0.211139457823328,0.305153369482491,"RBBP8"
"ILMN_1674343",0.357293425276225,5.09998193770509,3.89709636979927,0.000246483710505986,0.21145083482174,0.231877981667388,"NXF3"
"ILMN_1887349",0.546585331416153,6.27220658764998,3.89614524412313,0.00024725706147959,0.21145083482174,0.229389175216056,NA
"ILMN_1731358",-0.5943304953372,5.71618615994569,-3.87612656858896,0.000264085584070065,0.21145083482174,0.177081168223993,"ZNF532"
"ILMN_1837344",0.489806107714879,5.44260334714527,3.82975845921953,0.000307393806995577,0.21145083482174,0.0564775651167739,NA
"ILMN_2407669",0.591988698445179,5.59445665348849,3.82880320380537,0.000308353993311974,0.21145083482174,0.0540011749470342,"PEAR1"
"ILMN_2159384",-0.59442660722523,6.38098932120095,-3.82751084155662,0.000309657607587765,0.21145083482174,0.0506514071028743,"SBDSP1"
"ILMN_1706193",0.447207385536454,5.42711523931869,3.82460536211465,0.000312607717596807,0.21145083482174,0.0431227238493257,"ECT2L"
"ILMN_1793597",-0.483659329935588,5.45033079384589,-3.82370147780663,0.000313530972039556,0.21145083482174,0.0407812103393583,NA
"ILMN_1857510",-0.332281707574286,5.06177126124505,-3.82308079394424,0.000314166471308038,0.21145083482174,0.0391735020610664,NA
"ILMN_2415634",-0.672611652587781,4.98033115505013,-3.81746183357717,0.000319976055232119,0.21145083482174,0.0246256117187134,"TTN"
"ILMN_1912531",0.451518496893688,5.85746996503912,3.81348930749369,0.000324145377856526,0.21145083482174,0.0143474873384566,NA
"ILMN_1839439",0.477067570637101,5.50155428027276,3.80053676994189,0.000338104510158111,0.214595846393326,-0.019124044993986,NA
"ILMN_1683604",0.434143844668287,5.01160450067793,3.77046245637946,0.000372772903174657,0.230373654161938,-0.0965997043294671,"TARM1"
