"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1746492",-0.67153830778186,6.52760455942085,-5.19389339072775,2.54265246938974e-06,0.0504080852056516,3.67000856079857,"IFT27"
"ILMN_1779071",-0.766890119490293,6.31039518752205,-4.62022643869152,2.05320551868955e-05,0.183330622399127,2.06446324724993,"FEZ1"
"ILMN_1783182",0.535920737914051,5.32825131259937,4.52667332303184,2.8606756674554e-05,0.183330622399127,1.80872709258765,"FBN1"
"ILMN_1654893",-0.728140119323037,5.97126003948978,-4.45023655597221,3.74316027511339e-05,0.183330622399127,1.60129528490167,"SCAMP2"
"ILMN_1793597",-0.545543679303228,5.45033079384589,-4.33297577950246,5.63255402636618e-05,0.183330622399127,1.28589890952218,NA
"ILMN_1748124",-0.525660408923487,11.8317036367821,-4.28702188089434,6.60211474053185e-05,0.183330622399127,1.16327729677458,"TSC22D3"
"ILMN_1790953",-0.361681798054473,9.54140538318245,-4.25478879675041,7.37680554727684e-05,0.183330622399127,1.07761074907761,"TBCB"
"ILMN_1760981",-0.806993076076342,5.01420435129326,-4.24102085177986,7.73392286884313e-05,0.183330622399127,1.04110718882353,NA
"ILMN_1813664",0.673077850091027,5.28756405967117,4.21961285219042,8.32270164737527e-05,0.183330622399127,0.984453013697621,"HIRA"
"ILMN_1661172",-0.591740477845549,6.02978442576649,-4.18015654292576,9.52353964590471e-05,0.188804173480061,0.880378138780463,"ABHD17C"
"ILMN_1731358",-0.633157839125996,5.71618615994569,-4.12192244148777,0.000116070511060004,0.209190716524053,0.727602659469056,"ZNF532"
"ILMN_2400926",-0.664053540107583,5.52236931403935,-4.08101090853089,0.000133274291442405,0.213648246014945,0.620880078992172,"OPRL1"
"ILMN_1728714",-0.597051509853095,5.25334389018389,-4.06618420138733,0.000140097210501603,0.213648246014945,0.582329324292409,"ZNRD2"
"ILMN_1661599",-0.999533341550315,8.86934953997528,-4.04275482166509,0.000151571095160007,0.214635497253367,0.521550039844339,"DDIT4"
"ILMN_1751607",-0.653095250897497,6.6441063340458,-4.01378547974037,0.000167014907546754,0.22073803614096,0.446637897570204,"FOSB"
"ILMN_1916931",0.521465235432441,5.30355093295811,3.91666133340035,0.000230647609851988,0.279581042535955,0.197461248346887,NA
"ILMN_1808765",-0.386374429236785,8.27307060753288,-3.90494683951795,0.000239741625377616,0.279581042535955,0.167618122858482,"ZNF25"
