"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1725683",0.675930016677477,5.41886478619259,6.04881064939674,9.96255062384798e-08,0.00233960538850446,6.9390615523738,"FUT10"
"ILMN_1674343",0.537005944321775,5.09998193770509,5.85726959447712,2.0826770764899e-07,0.00244547942321444,6.32202533817579,"NXF3"
"ILMN_1798329",0.546914729319207,5.48124429813983,5.67920891615735,4.11365451664689e-07,0.00322016875563119,5.75136608604037,NA
"ILMN_1761069",-0.709494654742736,7.26044015653438,-5.50349186240657,8.01068327804471e-07,0.00470307215254005,5.19169525394214,"UVRAG"
"ILMN_1878446",-0.567213666744751,4.97282907412886,-5.30030508346341,1.71857284273267e-06,0.00807179292774682,4.5497585137142,NA
"ILMN_1684742",-0.509159359935005,4.84222544065333,-5.01793011287343,4.89036527163481e-06,0.0174833543029887,3.6690065703124,"TCEA2"
"ILMN_2159384",-0.776610955921618,6.38098932120095,-5.00059522459323,5.21135582187535e-06,0.0174833543029887,3.61543020460938,"SBDSP1"
"ILMN_1728714",-0.727006916150867,5.25334389018389,-4.9536043125502,6.18906331801986e-06,0.0181679953700473,3.47050923518212,"ZNRD2"
"ILMN_1740345",-0.689164845812572,5.71421054960024,-4.85693997591611,8.7991133261979e-06,0.0216674905479511,3.17388515821526,"THYN1"
"ILMN_1671297",0.636011536388878,5.64163036785412,4.84385710349687,9.22649060975606e-06,0.0216674905479511,3.13389892000365,"ADAM33"
"ILMN_1708611",-0.583939236354404,6.20081291604218,-4.76396781335984,1.23129259629485e-05,0.025837169776215,2.89058992022332,"RDX"
"ILMN_1783606",-0.598002809781256,6.92273057266957,-4.74458117732728,1.3202437289839e-05,0.025837169776215,2.83177568271147,"KMT2E"
"ILMN_1836570",0.694705483808331,6.04471531528726,4.66177246396921,1.77625856927018e-05,0.0309084121739809,2.58160309612989,NA
"ILMN_1783182",0.549122316779653,5.32825131259937,4.65149699630913,1.84260675538977e-05,0.0309084121739809,2.55068133421469,"FBN1"
"ILMN_1770373",-0.553550623293636,6.23006178775608,-4.53912919371395,2.74579787604447e-05,0.0408401858810887,2.21435939409412,"TMEM39A"
"ILMN_1717056",-0.505996641156835,8.72113539246247,-4.51296415547611,3.01131921590611e-05,0.0408401858810887,2.13654066670585,"TXNRD1"
"ILMN_1666845",-0.462012688440495,5.02583486020641,-4.49366145786455,3.22306445909159e-05,0.0408401858810887,2.07925505734355,"KRT17"
"ILMN_2391345",-0.655338003075006,6.27647561144325,-4.48661525736082,3.30391455636904e-05,0.0408401858810887,2.05837007734418,"RPP25L"
"ILMN_1742607",0.419403264753503,5.05778343691501,4.48658877120429,3.30422215866413e-05,0.0408401858810887,2.05829159898473,NA
"ILMN_1749920",0.38736753035141,5.1483593789599,4.43904747214024,3.90372677737138e-05,0.0458375598198947,1.9177534749609,NA
"ILMN_1801491",0.553190955695513,5.95988309090988,4.42037552834498,4.16704869479962e-05,0.0465995102612735,1.86273761819454,"SLC26A2"
"ILMN_2344079",-0.740703417168542,6.39045294353936,-4.35650777843235,5.20482102929684e-05,0.0555590986600031,1.67534476773221,"ZGPAT"
"ILMN_1861742",0.401604017912381,5.35931767712558,4.3319282152826,5.66773527816857e-05,0.0578700414228308,1.60355876891124,NA
"ILMN_1758038",-0.506627039514391,6.60382717305484,-4.27983416325183,6.7846559840378e-05,0.0638585271249518,1.452041566754,"ALKBH1"
"ILMN_1777513",0.569332104677139,6.1611185258074,4.27925975616289,6.79808881844573e-05,0.0638585271249518,1.45037569646751,"KCTD11"
"ILMN_1742260",-0.771995288973278,6.86753547063545,-4.21719954553888,8.41177494111277e-05,0.073169843953061,1.27102226887209,"ITPRID2"
"ILMN_1669545",0.50537811961444,5.48413479601547,4.21717519297788,8.41247567166005e-05,0.073169843953061,1.27095213829993,NA
