"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1783182",0.737379403843207,5.32825131259937,6.22830101578469,4.93243559253081e-08,0.000977855356219233,7.06779071219646,"FBN1"
"ILMN_1787648",-0.543475293826369,5.10523191817096,-4.87951435932387,8.07631673726262e-06,0.0776696864496466,3.00679023186054,NA
"ILMN_1803094",-0.936380114114275,6.06660565850945,-4.77590116338979,1.17532942925064e-05,0.0776696864496466,2.70552158612429,"PDGFD"
"ILMN_1694268",-0.622388410016153,6.38679788948431,-4.62759631856176,2.0000217974675e-05,0.0991260803369829,2.27837338313352,"HES6"
"ILMN_2331636",-0.593800646797253,6.53358994256551,-4.55020751652644,2.63238264566083e-05,0.1013351821932,2.05752859812513,"ACACA"
"ILMN_1778561",-0.691898915925832,5.89864541113141,-4.50693757451341,3.06689075994552e-05,0.1013351821932,1.93469911124361,"WEE1"
"ILMN_1724040",-0.605188259635095,6.46467420214107,-4.44715294470434,3.78382851032872e-05,0.101978086848611,1.76578682470617,"SOWAHC"
"ILMN_1766560",-0.630031615623725,6.30888780515381,-4.42317027146542,4.11513086904861e-05,0.101978086848611,1.6982943024612,"ANKHD1-EIF4EBP3"
"ILMN_1743031",-0.629279427913161,5.57653863319178,-4.31756131510961,5.94126999733446e-05,0.130872975219062,1.40297629809004,NA
"ILMN_1751607",-0.694023703464357,6.6441063340458,-4.26532310521743,7.11440604731599e-05,0.141043099888039,1.25808029110057,"FOSB"
"ILMN_1731358",-0.648408933533042,5.71618615994569,-4.22120862955807,8.27735634564157e-05,0.149180535956677,1.1363495542828,"ZNF532"
"ILMN_1677122",-0.577436254088885,6.86634643117172,-4.10882962154335,0.000121328324204816,0.167976067555993,0.828966552428231,"FAM168B"
"ILMN_1660840",-0.427517879884184,7.84149835509927,-4.07899041141548,0.000134184837102864,0.167976067555993,0.748027925109411,"DESI2"
"ILMN_1755850",0.502566231269725,7.3286423097771,4.05461456415892,0.000145654237279476,0.167976067555993,0.682126291125393,"ZNF350"
"ILMN_1715661",-0.376873099569329,8.3913369261048,-4.04990437528585,0.000147976990184008,0.167976067555993,0.669414797846637,"TFAM"
"ILMN_2166384",-0.518833878198554,6.42842794175678,-4.04969409631688,0.000148081514735387,0.167976067555993,0.668847486292577,"IPO5"
"ILMN_2052686",0.424084046345183,5.23053738068583,4.04154720162109,0.000152186423879762,0.167976067555993,0.646879395629157,"LCA5"
"ILMN_1720833",-0.500336570142009,5.53112779496972,-4.04090828727113,0.000152512949105063,0.167976067555993,0.645157506414884,NA
"ILMN_1742001",-0.744421827884405,7.76756755541057,-4.01345840551545,0.000167197647757888,0.174457545621059,0.571309696108776,"CD160"
"ILMN_2328378",-0.520245129789397,6.90870169863097,-3.9677713548444,0.000194708224246072,0.18614198208303,0.448970551505186,"OSBPL3"
"ILMN_1790218",0.514069817600791,5.90023704722373,3.95266759095794,0.000204725851242851,0.18614198208303,0.408685701414409,"TXNL4A"
"ILMN_1862424",-0.444348537910445,5.20601400325705,-3.94997420192433,0.000206563611895418,0.18614198208303,0.401510292338378,NA
"ILMN_1787186",0.724513040602265,7.65464486841598,3.93065897383094,0.000220215808975539,0.189816452736524,0.350128027180634,"CCN3"
"ILMN_1720501",-0.544008136010589,5.52307348866879,-3.91038643218468,0.000235476778372991,0.194513630468523,0.296341872360211,"ABCA9"
"ILMN_2053415",-0.536332935963996,8.4190501041296,-3.88799936781557,0.000253510388232785,0.201033737868599,0.237117182002656,"LDLR"
"ILMN_1792931",0.450556603438277,5.3886671664484,3.86223165967687,0.000275910810212343,0.210381992786912,0.169174528015133,"LYSMD1"
"ILMN_1696318",-0.507689561404702,5.38177787442075,-3.84612479204946,0.000290865469687514,0.211140316298041,0.126828812105106,"LOC100130691"
"ILMN_1863899",0.445107833768811,5.4257991225123,3.83850771048243,0.000298205743069112,0.211140316298041,0.106836592264845,NA
"ILMN_1813091",-0.593416424720885,6.47719531421087,-3.8187086948615,0.000318126149742412,0.215871074028414,0.0549721567190495,"ARL1"
"ILMN_1770373",-0.465147728340227,6.23006178775608,-3.80038873479831,0.000337690548828621,0.215871074028414,0.00711328632272945,"TMEM39A"
"ILMN_1738263",-0.433727327943922,7.21523425156799,-3.79861922183404,0.000339640198355074,0.215871074028414,0.00249734572036076,"PIGU"
