"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1730867",-0.798402142032086,5.18540814860602,-6.14052057939212,6.93530301399727e-08,0.00137492382252496,5.99111015870073,"AZU1"
"ILMN_1661599",-1.29528591523105,8.86934953997528,-5.23896818800777,2.15015362673018e-06,0.0213133978249629,3.50814016554951,"DDIT4"
"ILMN_1849776",0.609462093420121,5.38213883733328,5.09872852438562,3.61701563660226e-06,0.0239024449985466,3.12780426482234,NA
"ILMN_2283915",-0.550423125961077,5.28441262015426,-4.9004341767905,7.48440283681379e-06,0.0352415566213933,2.59449873001755,"MAP2"
"ILMN_1778523",-0.724999781700894,8.909204401071,-4.85314156106799,8.88816056025051e-06,0.0352415566213933,2.46818514620669,"KLF9"
"ILMN_1783182",0.531972997622324,5.32825131259937,4.49332859609633,3.21744570421335e-05,0.106309768476716,1.52038229036773,"FBN1"
"ILMN_1720501",-0.618178344417119,5.52307348866879,-4.44352951852183,3.83216542129865e-05,0.108532399253208,1.39127834433577,"ABCA9"
"ILMN_1751607",-0.701748689385095,6.6441063340458,-4.31279923718631,6.03991902458865e-05,0.122826228351944,1.05509011639706,"FOSB"
"ILMN_1748124",-0.527093698908172,11.8317036367821,-4.2987110730452,6.34115704848375e-05,0.122826228351944,1.01910725178777,"TSC22D3"
"ILMN_1848281",0.494828329912558,5.42046862254784,4.29011132825643,6.53214863089034e-05,0.122826228351944,0.997166844199027,NA
"ILMN_1706635",-0.991405225675077,6.72522968317825,-4.27781002551225,6.81507446088969e-05,0.122826228351944,0.965815066182679,"ELANE"
"ILMN_1690979",0.413618855018179,5.61710757463006,4.10875887862451,0.00012135734862314,0.200492453037813,0.538979185066503,"SLC17A3"
"ILMN_1696318",-0.528857363282751,5.38177787442075,-4.00648658355665,0.00017113903580325,0.248266940408411,0.284605151370719,"LOC100130691"
"ILMN_1694799",-0.516472133461353,6.06803335938017,-3.99925655531178,0.000175320916303544,0.248266940408411,0.266738503228789,"PIAS2"
"ILMN_1729374",-0.40594184407745,8.07395963391367,-3.92374042902811,0.000225313854152888,0.282100055456027,0.0810735808526717,"ETFB"
"ILMN_1787648",-0.433220210696386,5.10523191817096,-3.88960503422201,0.000252173976547379,0.282100055456027,-0.00227159931746179,NA
"ILMN_2136635",-0.45743746864491,6.35490461320435,-3.88874877771198,0.000252885802385805,0.282100055456027,-0.00435749890227921,"ISCA2"
"ILMN_1778444",-0.796560382645146,9.51770240225108,-3.88487400613092,0.000256131197891979,0.282100055456027,-0.0137937869713483,"FKBP5"
"ILMN_1810848",0.443251234748946,5.18148897118567,3.86111880139399,0.000276919858114501,0.28894400984842,-0.0715400565389013,NA
"ILMN_1835601",0.483022153067694,5.75466276030217,3.82422398233241,0.000312452335472835,0.295676742509736,-0.160864723718976,NA
"ILMN_1731358",-0.585512281050582,5.71618615994569,-3.81174497398717,0.000325431286371803,0.295676742509736,-0.190976063287984,"ZNF532"
"ILMN_1911044",0.525013859124543,5.89560126091013,3.80860129113187,0.000328781550003537,0.295676742509736,-0.198553507451095,NA
"ILMN_1789653",0.506639936272347,5.25923388716026,3.78649107902039,0.000353296334958584,0.295676742509736,-0.25175424470228,"PBLD"
"ILMN_1810205",-0.532983807130235,6.02513273222567,-3.77079336987612,0.00037175449786743,0.295676742509736,-0.289425814379819,NA
"ILMN_1692223",-0.623945213386377,8.97547906546967,-3.76987835216369,0.000372858439482643,0.295676742509736,-0.291619116639698,"LCN2"
"ILMN_1765684",-0.382792485704379,8.92036939534105,-3.72532909519293,0.000430570767314074,0.328310210076982,-0.398057987721605,"MICOS13"
"ILMN_2094313",-0.634988605682727,5.73251749002074,-3.6990521909605,0.000468520433967859,0.344015466793067,-0.460518074777011,"ZDHHC1"
"ILMN_1730670",0.607777160194154,5.61679959373948,3.68326709817134,0.000492833303160822,0.348943579827261,-0.497922713775615,"FSTL3"
"ILMN_1810712",-0.621792875883759,5.69111921223986,-3.6629785030912,0.000525856802111815,0.352329495907666,-0.545869228015654,"ARHGEF12"
"ILMN_1680424",-0.830910445358851,5.63970273601163,-3.65260710037116,0.000543544148504963,0.352329495907666,-0.570322400498187,"CTSG"
"ILMN_1755850",0.452212606485398,7.3286423097771,3.64837051570206,0.000550931368128002,0.352329495907666,-0.58030009210844,"ZNF350"
"ILMN_2217661",-0.758754387244323,6.0951723530636,-3.62742095517514,0.00058889101069116,0.360545485217266,-0.629543638876469,"SREBF2"
"ILMN_1767433",0.5788006007003,6.60927896128741,3.61692494877304,0.000608835061452653,0.360545485217266,-0.654155340077368,"TBC1D5"
"ILMN_1806705",0.45769858783652,6.62268731772316,3.61203875899758,0.000618337780448274,0.360545485217266,-0.665599051952177,"ASB6"
"ILMN_1674228",-0.657725150626373,7.2877799447316,-3.58794565057481,0.000667298741987661,0.372962619467706,-0.721897964285032,NA
"ILMN_1778561",-0.548747041081685,5.89864541113141,-3.57446528882727,0.000696282148779653,0.372962619467706,-0.753304046874776,"WEE1"
"ILMN_1747318",0.63599420431223,5.47286814008184,3.57390032277029,0.000697522655090255,0.372962619467706,-0.754618807165834,"PATJ"
"ILMN_1710863",-0.432275937524393,6.69839624397012,-3.56609214487659,0.000714884213859915,0.372962619467706,-0.772777380857346,"GATAD1"
"ILMN_1790953",-0.301334765753142,9.54140538318245,-3.54487229463722,0.00076416901131476,0.38733746904197,-0.822010247303965,"TBCB"
"ILMN_1861742",0.329927060910955,5.35931767712558,3.53771347076208,0.000781513178394895,0.38733746904197,-0.838581298490684,NA
"ILMN_1728714",-0.51555582350431,5.25334389018389,-3.51116262143323,0.000849165664153553,0.410602665654736,-0.899869993746072,"ZNRD2"
"ILMN_1666882",0.456557266944324,5.13364431664682,3.48594478669614,0.000918546581989883,0.426961772884497,-0.957830668048414,"DACH1"
"ILMN_1760981",-0.662815596622055,5.01420435129326,-3.48331955935285,0.000926070932359818,0.426961772884497,-0.963850322315999,NA
"ILMN_1773312",0.413156927210952,5.21528400822749,3.46545035019523,0.000978863332173932,0.427891399897741,-1.0047529894649,"PATJ"
"ILMN_1740927",-0.594759026951095,6.03259370284796,-3.46121207253206,0.000991797335814671,0.427891399897741,-1.01443606037953,"LYRM4"
"ILMN_1660900",-0.33615479463368,7.43617176006682,-3.46087349254976,0.000992837548312539,0.427891399897741,-1.01520929966767,"SNORA7B"
"ILMN_1712985",-0.492090006705483,6.23630898361494,-3.45262028127984,0.00101851614697157,0.429618779015136,-1.03404378036554,"C17orf58"
"ILMN_1740345",-0.486140177802052,5.71421054960024,-3.4409992473546,0.00105574297674602,0.436043844041454,-1.06051826727999,"THYN1"
"ILMN_1651652",0.621169919721459,6.08826031319592,3.42313754578913,0.00111548583753364,0.440344022171861,-1.10110531194404,"RTN3"
"ILMN_1791409",0.45740279837694,5.4919560600687,3.42274867545649,0.00111682146872814,0.440344022171861,-1.10198752337818,"ITGA7"
"ILMN_1910146",-0.39312477036591,5.53130363618587,-3.41417932226724,0.00114664156452846,0.440344022171861,-1.12141302081167,NA
"ILMN_1820657",-0.379279058781205,5.46446675817219,-3.39483953155055,0.00121673609158913,0.440344022171861,-1.16514494892648,NA
"ILMN_1661940",0.457805440584979,5.31693855704634,3.38551360006522,0.00125196824851576,0.440344022171861,-1.18617903849328,"CAMTA1"
"ILMN_1731777",-0.402195647664769,5.6773276015788,-3.3835208744576,0.00125962064993949,0.440344022171861,-1.19066892972748,"NTRK1"
"ILMN_1913284",-0.46756459053966,5.95534611031317,-3.37803279463829,0.00128092519956974,0.440344022171861,-1.20302598126598,NA
"ILMN_1718607",-0.574857968678751,7.09364585951653,-3.3762546858173,0.00128790055472187,0.440344022171861,-1.20702696466356,"TSPAN4"
"ILMN_2081645",0.459025288606913,6.41006590415122,3.37174402594505,0.0013057569686279,0.440344022171861,-1.21717075732968,"RSPO2"
"ILMN_1762714",0.416038029647141,5.16103013523803,3.36546932445939,0.00133098641239474,0.440344022171861,-1.23126775720803,"VGLL2"
"ILMN_2294442",0.4691284558127,5.72086422154376,3.36453958727321,0.00133476369420109,0.440344022171861,-1.23335516888356,"SNURF"
"ILMN_2376408",-0.393861999234793,7.44130744094697,-3.35502435014642,0.00137400866035219,0.440344022171861,-1.25469799591537,"DPM3"
"ILMN_1882953",-0.585512743705633,5.79580782716498,-3.35050856212858,0.00139301299462664,0.440344022171861,-1.26481392506731,NA
"ILMN_1774659",0.515891294472676,6.36654747840173,3.34968791059864,0.00139649320334765,0.440344022171861,-1.26665138274672,"NOMO1"
"ILMN_1712959",-0.577746641998922,6.30940731313584,-3.34447886794409,0.00141877594581618,0.440344022171861,-1.27830805410595,"DUSP2"
"ILMN_1767365",0.385657123208745,9.18493026350719,3.34265601653527,0.00142665259230713,0.440344022171861,-1.28238453380364,"PAK1"
"ILMN_1708858",-0.557018724454094,6.07729420616639,-3.33838377132469,0.00144527537380872,0.440344022171861,-1.29193324299618,"CSNK1E"
"ILMN_1858847",0.412470787687128,5.23145678966948,3.33369849290761,0.00146596244455702,0.440344022171861,-1.30239638846942,NA
