"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1736752",-0.807916339385821,6.13356551507271,-5.32302702587548,1.57863022353171e-06,0.0342873367739095,4.49827543556283,"COMTD1"
"ILMN_1763127",0.742969500137202,5.69617744873311,5.15779719613097,2.92005934030911e-06,0.0342873367739095,3.99119455052541,"ACKR2"
"ILMN_1798329",0.480158368012222,5.48124429813983,4.98600520080528,5.49746598106681e-06,0.043034163699791,3.46896575356104,NA
"ILMN_1728714",-0.716746694288127,5.25334389018389,-4.88369427711878,7.98460386690936e-06,0.0432374517965365,3.16066709568786,"ZNRD2"
"ILMN_1862479",0.525562029905887,5.61972032408683,4.84447892032655,9.20572555708919e-06,0.0432374517965365,3.04307808210774,NA
"ILMN_1702279",-0.55475106230415,6.89932434681582,-4.75679117125257,1.26351600615158e-05,0.0494540164807728,2.78137134318964,"KIF3B"
"ILMN_1837344",0.595726472777625,5.44260334714527,4.65794211743313,1.80071369900208e-05,0.0545586672574252,2.48849735075087,NA
"ILMN_1880262",0.507401197916161,5.3391677761595,4.64907689186791,1.85858174952905e-05,0.0545586672574252,2.46234701706181,NA
"ILMN_1796089",0.508499321624781,5.37616097506486,4.54919109696881,2.64988408612371e-05,0.0678546087565165,2.1690859033705,"NKX2-3"
"ILMN_2295957",0.606253525105051,5.34425554345097,4.50724449621154,3.07260823711564e-05,0.0678546087565165,2.04671129644021,"ANKRD13C-DT"
"ILMN_1787648",-0.501997390636343,5.10523191817096,-4.49763378903953,3.17833715006678e-05,0.0678546087565165,2.01874003413856,NA
"ILMN_1832528",-0.679130921074669,5.37858476621237,-4.37905066427243,4.81268612754678e-05,0.0941842675160904,1.67573652729571,NA
"ILMN_1878446",-0.457870638295505,4.97282907412886,-4.27855359278287,6.81463818576172e-05,0.108899555117195,1.38826319103553,NA
"ILMN_1699836",-0.78667053578475,5.82302069449363,-4.26535982792945,7.13112090478816e-05,0.108899555117195,1.35075110390225,"LSP1"
"ILMN_1837167",-0.557456819357151,5.13221241625108,-4.26471578181334,7.14692909995557e-05,0.108899555117195,1.34892136137183,NA
"ILMN_1760981",-0.809727380831151,5.01420435129326,-4.24157178513598,7.73809238998636e-05,0.108899555117195,1.28325535884946,NA
"ILMN_1766560",-0.601011489284369,6.30888780515381,-4.22504322999476,8.18899401179212e-05,0.108899555117195,1.23646283185326,"ANKHD1-EIF4EBP3"
"ILMN_1698470",0.786790792785167,6.68196599153321,4.21946180975501,8.34692553274359e-05,0.108899555117195,1.22068142704387,"SYAP1"
"ILMN_1801610",-0.679004206018391,5.85067632944536,-4.19661686336761,9.02464020996509e-05,0.109321100933552,1.15619187920245,"METRNL"
