"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1724040",-0.729812812275654,6.46467420214107,-5.36294144098498,1.35265751299433e-06,0.0268164351951126,4.47660180636215,"SOWAHC"
"ILMN_1730867",-0.672994389505121,5.18540814860602,-5.17600803030606,2.71721793060401e-06,0.0269344227371123,3.91523129101192,"AZU1"
"ILMN_1728714",-0.693301540494684,5.25334389018389,-4.72168937559613,1.42851345033332e-05,0.0944009305095268,2.57598096107177,"ZNRD2"
"ILMN_1784202",0.505577904796906,5.68783858826025,4.53443846754062,2.78329662774908e-05,0.11109672191143,2.03680478210175,NA
"ILMN_1670801",-0.54454000270682,7.09539819973038,-4.53254902046113,2.80193497885069e-05,0.11109672191143,2.03140828755953,"MTR"
"ILMN_1688479",-0.53157128704833,6.84753022591092,-4.46794046685713,3.51777136649595e-05,0.116233028901304,1.84743690191222,"LRRC42"
"ILMN_2352953",0.496358954214088,5.64430211386403,4.3510802446579,5.28981756736736e-05,0.127406654782342,1.5175433734967,"CPM"
"ILMN_2283915",-0.485593234291482,5.28441262015426,-4.32325163879195,5.82544079972577e-05,0.127406654782342,1.4395507272005,"MAP2"
"ILMN_1880262",0.473008407297772,5.3391677761595,4.31590555844741,5.97539130758613e-05,0.127406654782342,1.41900001607118,NA
"ILMN_1738095",-0.527374523716956,7.6793024120416,-4.29483479543773,6.42656518448133e-05,0.127406654782342,1.36014216609239,"PER2"
"ILMN_1909500",0.549936683870242,5.26441553940225,4.09089538024117,0.000128905103458364,0.198171504289606,0.797496155880247,NA
"ILMN_1742003",-0.697750071874011,5.99303814296363,-4.0887237914092,0.000129852983250678,0.198171504289606,0.79157641708475,"RHPN1"
"ILMN_1763641",-0.502347623657329,6.84760462171257,-4.06821356310337,0.000139143813654333,0.198171504289606,0.735742924498785,"ZNF614"
"ILMN_1778523",-0.602196789174362,8.909204401071,-4.03109951099202,0.000157611465171215,0.198171504289606,0.635069007408089,"KLF9"
"ILMN_1688404",-0.438551031311469,7.13708718165226,-4.00451500222176,0.000172269776020399,0.198171504289606,0.563245419736238,"ZMYM4"
"ILMN_1727524",0.654556479851925,5.94250133741707,3.98578339307965,0.000183378017157682,0.198171504289606,0.512784663281358,"ADAM9"
"ILMN_1675701",-0.521182934009572,6.54403030044828,-3.94419613903957,0.000210559829799492,0.198171504289606,0.401193058829413,"FAM114A2"
"ILMN_1804654",0.459098889339384,5.47988796580977,3.94079415888719,0.000212947389732755,0.198171504289606,0.392091589021224,"MKI67"
