"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1730867",-0.786308950688971,5.18540814860602,-6.04751169777274,9.94154468840249e-08,0.00197091123447579,6.48389451991358,"AZU1"
"ILMN_1681515",0.559490246534255,5.38649568859405,5.05530971031077,4.24493282780579e-06,0.0420778966556248,3.503372156797,"CRLF1"
"ILMN_1760981",-0.907758391824335,5.01420435129326,-4.77057657895067,1.19811241305543e-05,0.0597947219057035,2.67358563587765,NA
"ILMN_1748884",-0.524194156188305,6.42367631147456,-4.73735250869757,1.3503414988364e-05,0.0597947219057035,2.57782831218038,"TOB2"
"ILMN_1748742",0.435737260298986,5.12658217910453,4.66924829988962,1.72378214914364e-05,0.0597947219057035,2.38230479584856,NA
"ILMN_1807515",-0.564143523979557,6.36202431196649,-4.64197998957003,1.90006746334358e-05,0.0597947219057035,2.30431561687131,"CSTF2T"
"ILMN_1680424",-1.0492453011445,5.63970273601163,-4.61238736183696,2.11128904585082e-05,0.0597947219057035,2.2198761879051,"CTSG"
"ILMN_1795905",-0.445815262513518,8.53467450888733,-4.53157562389584,2.81158438986257e-05,0.0696745756612817,1.99036785950805,"ZBTB4"
"ILMN_1698470",0.823660977447205,6.68196599153321,4.42213030209116,4.13011766962514e-05,0.0909773142225761,1.68218069877348,"SYAP1"
"ILMN_2283915",-0.482191604515134,5.28441262015426,-4.29296682329896,6.46812054307392e-05,0.118040147524861,1.32264644224699,"MAP2"
"ILMN_1716445",-0.649998107828728,6.17271270874998,-4.24416327985821,7.65096722934634e-05,0.118040147524861,1.18804500022984,"DTYMK"
"ILMN_2165463",0.49394970971176,5.33361472061123,4.22368433033079,8.20748042793024e-05,0.118040147524861,1.13177496323206,"HAPLN4"
"ILMN_1733245",-0.964792255606941,5.84782258945485,-4.21073201936424,8.57948535374901e-05,0.118040147524861,1.0962514136387,"KIR3DL1"
"ILMN_2176693",0.59656148310387,5.64560388026169,4.19508967068773,9.05054361634803e-05,0.118040147524861,1.05341836833896,"LIPK"
"ILMN_1708858",-0.698250983502742,6.07729420616639,-4.18483194424313,9.37293521963393e-05,0.118040147524861,1.02537076645543,"CSNK1E"
"ILMN_1731358",-0.642088694567367,5.71618615994569,-4.18006322596622,9.526569283217e-05,0.118040147524861,1.01234279187568,"ZNF532"
"ILMN_1699836",-0.758025527165739,5.82302069449363,-4.11818908804612,0.00011754688253034,0.137080408597882,0.843951722853068,"LSP1"
"ILMN_1736752",-0.618705482925873,6.13356551507271,-4.09552607139788,0.000126906109010324,0.139772978396093,0.782579586101572,"COMTD1"
"ILMN_1696318",-0.53467172210783,5.38177787442075,-4.05053466200272,0.000147664116241076,0.141525812551949,0.661238157832734,"LOC100130691"
"ILMN_2310253",-0.586213657884976,5.7194023137417,-4.02493943861362,0.000160897020472584,0.141525812551949,0.592507736093944,"TARBP2"
