"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1783182",0.707294083546682,5.32825131259937,5.97418430193775,1.31951010686045e-07,0.00261592878685085,6.39218685466952,"FBN1"
"ILMN_2387919",-0.555232541462761,7.36432072053316,-5.2717274898721,1.90293059760949e-06,0.018862799548804,4.2398461795771,"PRKAG2"
"ILMN_1673185",-0.699520704988734,7.42573164318218,-5.08609382227366,3.7896691349993e-06,0.0250433968671204,3.68146778234657,"CPSF2"
"ILMN_1881001",0.634211866202926,5.15777569535218,5.00568001018948,5.0943172304519e-06,0.0252487097734272,3.44140421588493,NA
"ILMN_1653028",-0.567701778665292,5.33445420417112,-4.65798354596008,1.79458189631271e-05,0.0595193130327202,2.41829072587053,"COL4A1"
"ILMN_1759787",-0.775960797012259,5.59902190904928,-4.65693088713594,1.80134112583264e-05,0.0595193130327202,2.41523392203903,"THBD"
"ILMN_1730867",-0.595335921496441,5.18540814860602,-4.5787358088693,2.37936523525619e-05,0.0644981747516434,2.18891986481614,"AZU1"
"ILMN_1761086",-0.614122299333181,6.40250084759023,-4.5534124293137,2.60270062049507e-05,0.0644981747516434,2.11595532664056,"VPS54"
"ILMN_2392143",-0.553104003991648,6.6526308734291,-4.47847446676888,3.38998789050616e-05,0.073735436697701,1.90100890061231,"TRAF6"
"ILMN_1816603",-0.574301942531882,6.14973964940234,-4.43784125455803,3.90926116007951e-05,0.073735436697701,1.78508582837943,NA
"ILMN_1766560",-0.630268770961868,6.30888780515381,-4.42483523305684,4.09124743341594e-05,0.073735436697701,1.74807623618605,"ANKHD1-EIF4EBP3"
"ILMN_1707748",-0.610781078151468,7.22588328317123,-4.38238299058648,4.74440932134981e-05,0.0783815956631333,1.62760366850139,"PIM3"
"ILMN_1699836",-0.796784037226743,5.82302069449363,-4.32875570814261,5.71548926404588e-05,0.0828284921673052,1.47615244875075,"LSP1"
"ILMN_1749218",-0.538938343147556,8.17261583930697,-4.32207677689098,5.84917473060415e-05,0.0828284921673052,1.45734873114379,"TOPORS"
"ILMN_1774890",0.587782879853946,6.46730592599426,4.28591813714946,6.6272867518333e-05,0.0875906399033967,1.3557778342003,"LAS1L"
"ILMN_1783606",-0.52837866613978,6.92273057266957,-4.20940680011498,8.61845499225635e-05,0.101648830965771,1.14216018273059,"KMT2E"
"ILMN_1880930",-0.582833569276715,5.63398261187284,-4.20610083232017,8.71641930097404e-05,0.101648830965771,1.13297083108818,NA
"ILMN_2165463",0.485069728442415,5.33361472061123,4.1477530421783,0.000106335614387428,0.117116864179486,0.971356543253705,"HAPLN4"
"ILMN_1884193",-0.611354552880088,6.26511503371607,-4.11421584444928,0.000119138046364178,0.12431114574578,0.878961013385969,NA
"ILMN_1760981",-0.778807457818074,5.01420435129326,-4.09289591948823,0.000128037800400626,0.126917469647121,0.820416814652939,NA
"ILMN_2323366",-0.459950818591068,6.91165775057831,-4.07313009791269,0.000136859909450338,0.129202271659665,0.7662756086121,"SDHC"
"ILMN_1669555",-0.396810057590341,8.59040409236809,-4.00928086449717,0.000169548706312811,0.152786504665976,0.592290805675152,"SUPT20H"
"ILMN_1815644",-0.528210106214558,5.34888163129494,-3.9553238666276,0.00020292883233676,0.174915830481577,0.446366753885266,NA
"ILMN_1668366",0.502031913148112,5.31560060301711,3.92146345238618,0.000227016369973913,0.187524980613868,0.355323115129104,NA
"ILMN_2295957",0.52256462631063,5.34425554345097,3.89737409288367,0.000245802769086099,0.189834775694775,0.290805332334662,"ANKRD13C-DT"
"ILMN_1713454",0.368250526791411,8.00314723127364,3.89349584036811,0.000248963640255443,0.189834775694775,0.280438225398788,"ZNF671"
"ILMN_2089977",-0.564061098390204,5.36856991997654,-3.85781184652425,0.000279939284081067,0.203494743275538,0.185311587315829,"FKBP9P1"
"ILMN_1764557",0.461416436324992,5.85032034757998,3.84460206665132,0.000292318849234109,0.203494743275538,0.150217573624114,"FITM1"
"ILMN_1789463",0.418655406065112,5.42514094274918,3.83380895322752,0.000302822049241711,0.203494743275538,0.121592720883357,"FXYD1"
"ILMN_1746164",0.61057040943776,5.54139521557293,3.81630093011696,0.000320633990698322,0.203494743275538,0.0752530837116314,"SCD5"
"ILMN_2151075",0.438418982730013,6.39940330860696,3.81054837946948,0.000326702635477031,0.203494743275538,0.0600529766632096,"ZNF821"
"ILMN_2158242",-0.530919571105211,8.68952988395387,-3.80889638470712,0.000328465663799103,0.203494743275538,0.0556902145634641,"SHOC2"
"ILMN_1676254",-0.675632816703976,6.36103903885781,-3.79159485417453,0.000347486612083317,0.207869569041153,0.0100616033099588,"MTMR3"
