"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1834182",-0.783228352651611,5.06433184282352,-6.92618984128106,3.23786042713975e-09,7.60379142709498e-05,10.2899983908708,NA
"ILMN_1912710",-0.607824303847668,5.41652109462993,-5.74367011161483,3.21711007001775e-07,0.00279261823403164,6.26177862289735,NA
"ILMN_1821479",-0.650505205280108,5.74657783714933,-5.71658512427183,3.56747347219167e-07,0.00279261823403164,6.17085195462711,NA
"ILMN_1695362",0.630880529224357,7.62847253707163,5.53612206751909,7.08116439657071e-07,0.00415735161722666,5.56756861773968,"ZNF32"
"ILMN_1842378",-0.5859662784962,5.02032228757438,-5.47368757336328,8.96435186734114e-07,0.00421037678505278,5.35997165179272,NA
"ILMN_1701924",-0.735978626499135,5.3547891577948,-5.37459358408432,1.30133730340594e-06,0.00474279761308088,5.03178417185764,"LINC00924"
"ILMN_1696521",-0.610156819802878,5.09921039276691,-5.34801906715174,1.43764790076307e-06,0.00474279761308088,4.94405882175727,"EGFR"
"ILMN_1691444",0.691723284006021,7.40823379018804,5.29085619829933,1.78030079873638e-06,0.00474279761308088,4.75578857576158,"UHRF2"
"ILMN_1793632",0.696290549719696,6.98763327579203,5.28529766113962,1.8176281092543e-06,0.00474279761308088,4.73751319967521,"TMEM222"
"ILMN_2043918",-0.620096763644774,6.92560720806862,-5.15081332601556,2.99655667134623e-06,0.00703711368698949,4.2971766266781,"DLEU1"
"ILMN_1655482",0.690035762218851,7.1219831834709,5.1060965987316,3.53519150542421e-06,0.00754731248303474,4.15157307855941,"TRIM27"
"ILMN_2137789",0.855467813457473,7.74541894520299,4.98525382749787,5.51261034567643e-06,0.0107881784464888,3.76026399831322,"KLF4"
"ILMN_1833691",-0.437572649386693,5.08458265561174,-4.91414094607835,7.14731708364801e-06,0.0127287565366789,3.53155063980097,NA
"ILMN_1651606",-0.601674296234014,5.274176144739,-4.89769605576153,7.58825547238566e-06,0.0127287565366789,3.47883293859361,NA
"ILMN_2389347",0.601324195313732,7.0769069012628,4.7976527284106,1.0904720834688e-05,0.0170724309387875,3.15957371776028,"NR3C1"
"ILMN_1658071",0.697788906681837,5.16384784918945,4.768070350782,1.21323444511928e-05,0.0178072485682382,3.0656624101625,"ATP1B1"
"ILMN_1733441",0.684705276301435,6.90205440976506,4.68745959728375,1.62043491326052e-05,0.0223848785311824,2.81094758594037,NA
"ILMN_1766085",0.783004083265845,7.33355491879203,4.64920954974855,1.85770259033584e-05,0.0242368264619149,2.690711536639,"REL"
"ILMN_1779711",-0.478530516940989,4.84863665569973,-4.60374282294742,2.18405948726466e-05,0.0247619982116304,2.54833215070107,"DTL"
"ILMN_1805985",0.694790504294611,6.39493817659513,4.60204869029908,2.19724299206501e-05,0.0247619982116304,2.5430385188265,"SLF1"
"ILMN_1875138",-0.39227520576303,5.05618641495063,-4.59793928036933,2.22954511591367e-05,0.0247619982116304,2.53020138793872,NA
"ILMN_1661599",-1.21040000574806,8.86934953997528,-4.58676699160581,2.31972389991428e-05,0.0247619982116304,2.49532598205948,"DDIT4"
"ILMN_1916564",-0.552061455050228,5.19074417196373,-4.55608798830616,2.58603435952538e-05,0.0249967801314009,2.39974816998905,NA
"ILMN_1775990",-0.52844759379394,5.11597096905098,-4.54983818640552,2.64382878193671e-05,0.0249967801314009,2.38031185777497,NA
"ILMN_1893697",0.721714553175374,6.02215998000867,4.52714832071919,2.8644204551685e-05,0.0249967801314009,2.30984743438273,NA
"ILMN_1695418",0.64373417237237,6.1434125372517,4.52710171138995,2.86489154100295e-05,0.0249967801314009,2.30970284756017,"IQGAP3"
"ILMN_1751773",0.585190224378173,6.67311700330434,4.51969144900102,2.94075548807626e-05,0.0249967801314009,2.28672388921183,"POLD3"
