"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2389347",0.758148515684785,7.0769069012628,6.03784233308754,1.03201351858833e-07,0.00204596680060137,7.37388895392275,"NR3C1"
"ILMN_1792951",0.631406960050834,7.11617569410975,5.52940104966927,7.22367817826095e-07,0.00310833656072612,5.63310940043332,"ZHX2"
"ILMN_1913678",0.665643685334913,9.66639687170181,5.52493687959676,7.34674599587968e-07,0.00310833656072612,5.61798732581509,"IRAK3"
"ILMN_1815745",0.719774057749756,6.46604895994302,5.52380699194831,7.37822134580924e-07,0.00310833656072612,5.61416042547599,"SOX4"
"ILMN_1714083",0.672714886200541,7.89550793226757,5.45277903135897,9.64836749619239e-07,0.00310833656072612,5.37401920070517,"KLHL8"
"ILMN_1808115",0.810063966202218,6.94980173480737,5.44573871828523,9.90782643358202e-07,0.00310833656072612,5.35026327921898,"ATP7A"
"ILMN_2310896",0.730983537452265,7.64082457136452,5.41856934479733,1.09752110593104e-06,0.00310833656072612,5.25866807827766,"NLRP3"
"ILMN_1766085",0.879536721177509,7.33355491879203,5.27110124304117,1.9073833492288e-06,0.00433618446648915,4.76388327013509,"REL"
"ILMN_1778136",0.852287325874834,6.47247869273956,5.24397092057261,2.11045147186171e-06,0.00433618446648915,4.67331382090583,"ZMYND15"
"ILMN_1701924",-0.716781384092437,5.3547891577948,-5.21609707271042,2.34122106722894e-06,0.00433618446648915,4.5804179129228,"LINC00924"
"ILMN_1805812",0.507468836057388,8.07094089084314,5.16060812796557,2.87692558874682e-06,0.00433618446648915,4.39597039504518,"TOR1A"
"ILMN_1761387",0.970557186382281,6.76379232590047,5.15976656371216,2.88591420973625e-06,0.00433618446648915,4.39317803710434,NA
"ILMN_1816603",0.709507482723435,6.14973964940234,5.15529874605978,2.93409855529723e-06,0.00433618446648915,4.37835611976222,NA
"ILMN_1796976",0.756826337386739,7.0004123180476,5.14376939915624,3.06212270016888e-06,0.00433618446648915,4.34012762861386,"NLRC4"
"ILMN_1724181",0.576752696169153,7.22662682245038,5.11420997667175,3.41596764303659e-06,0.00451477056821336,4.24224850582069,"IL15"
"ILMN_1790689",0.988642392561438,9.89585420312246,5.07766517170657,3.9093208349034e-06,0.00456976358675644,4.12150745517452,"CRISPLD2"
"ILMN_1793632",0.669603749839706,6.98763327579203,5.07702306270331,3.91858668221233e-06,0.00456976358675644,4.11938867322335,"TMEM222"
"ILMN_2411559",-0.770651419466095,6.44942789936801,-5.0383396270436,4.51842943958879e-06,0.00482165034644778,3.9919185371491,"PUS1"
"ILMN_2352590",0.605649923667754,7.25481075181497,5.03223397733838,4.6210015930647e-06,0.00482165034644778,3.97183080332398,"ZNF33A"
"ILMN_1692754",0.519654790473476,12.0149443957305,5.00028027682189,5.19622874572724e-06,0.00515076174420212,3.86684558861134,"VMP1"
"ILMN_1712431",-0.72397558433239,10.2621847578587,-4.9638920510403,5.93708026624761e-06,0.00535004911466227,3.74758811878386,"PCED1B"
"ILMN_1729650",-0.776503412457765,5.60300780428621,-4.9633324224671,5.94924677970829e-06,0.00535004911466227,3.74575652242144,"PEX7"
"ILMN_1751773",0.639440925704793,6.67311700330434,4.95173878020216,6.20686656429923e-06,0.00535004911466227,3.7078292197958,"POLD3"
"ILMN_1690586",-0.721523984046386,9.71269867330273,-4.93147326477881,6.68369467446974e-06,0.00552101028839011,3.64161257546681,"HNRNPA1"
"ILMN_1803925",0.843309797675686,6.71792137818548,4.90466936119722,7.36985100233424e-06,0.00584429184485105,3.5541897298231,"MTMR3"
"ILMN_1719256",-0.634640583292934,7.47451546387523,-4.85520768298734,8.82177438515036e-06,0.00672660296867715,3.3933478048936,"CKS1B"
"ILMN_1676091",-0.774652050083597,8.75201980135766,-4.83284261091759,9.56693997847739e-06,0.0070246142619746,3.32082886062097,"HNRNPA1"
"ILMN_1769926",0.612380793569611,6.73225119603333,4.80858087465976,1.04449877768934e-05,0.00729925536294503,3.24230991999835,"DBN1"
"ILMN_2321634",-0.826059787312396,6.33092821835068,-4.80154454816932,1.07140632010489e-05,0.00729925536294503,3.21956756127512,"RAD17"
"ILMN_1869758",0.556189086586215,4.96047575257544,4.79001339985517,1.11697542919022e-05,0.00729925536294503,3.18232625583134,NA
