"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1655482",0.872153516082179,7.1219831834709,6.56537831440516,1.32311307202494e-08,0.000262307166528945,9.1180212938403,"TRIM27"
"ILMN_1685813",-0.79257842829127,5.46477917037623,-5.86027577248527,2.04543048259412e-07,0.00202753296587142,6.70006549769614,NA
"ILMN_1777444",0.711078909693697,6.32615544453931,5.27463934113641,1.88236071310112e-06,0.00988269705590121,4.73413886647011,"STX5"
"ILMN_1699451",-0.775185195926055,5.64832010684529,-5.15509214712329,2.93634570041323e-06,0.00988269705590121,4.3400696017737,"CCNQ"
"ILMN_1793632",0.675200154471535,6.98763327579203,5.1194557333549,3.35036689416305e-06,0.00988269705590121,4.2231697968037,"TMEM222"
"ILMN_1792951",0.583681725065312,7.11617569410975,5.11145829464577,3.45088164837407e-06,0.00988269705590121,4.19697279233182,"ZHX2"
"ILMN_1729650",-0.799206473961432,5.60300780428621,-5.10844812890522,3.48947689237369e-06,0.00988269705590121,4.18711605617347,"PEX7"
"ILMN_1714643",1.20593211959538,7.97152927620825,5.06436124653479,4.10576912012924e-06,0.0101746091008203,4.04298188242529,"MGAM"
"ILMN_1692754",0.520520413251012,12.0149443957305,5.00860956884619,5.03984954579895e-06,0.0107734006006963,3.86133603593384,"VMP1"
"ILMN_1761387",0.938259564730531,6.76379232590047,4.98806293756386,5.43424998774086e-06,0.0107734006006963,3.79457312968828,NA
"ILMN_2389347",0.611112718013507,7.0769069012628,4.86685941180982,8.45638440911074e-06,0.0132846792655914,3.40280705751017,"NR3C1"
"ILMN_1701402",0.915650474641323,7.35681330241856,4.85672015202741,8.7734855049378e-06,0.0132846792655914,3.37019918391931,"IKBIP"
"ILMN_1766085",0.807651792572756,7.33355491879203,4.8402917868798,9.3121495982249e-06,0.0132846792655914,3.31742136866371,"REL"
"ILMN_1803925",0.831889416258945,6.71792137818548,4.83824869944011,9.38136240697504e-06,0.0132846792655914,3.31086259534528,"MTMR3"
"ILMN_1829330",0.750972413687213,5.59185767016516,4.80672152945461,1.05154412004238e-05,0.0138979081198934,3.20979079864347,NA
"ILMN_2131861",-0.484823370815895,7.66533856378216,-4.68348939153913,1.63816933731347e-05,0.0188925220990688,2.81728313075498,"SOCS2"
