"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1792951",0.845848226388273,7.11617569410975,7.42309116742904,4.56212611975706e-10,1.07136969796375e-05,12.1973006922731,"ZHX2"
"ILMN_1834182",-0.792812667531144,5.06433184282352,-7.01094518003957,2.31905522005126e-09,2.72303463938419e-05,10.7564255763822,NA
"ILMN_1793632",0.854926553924594,6.98763327579203,6.48944800087095,1.79673574722191e-08,0.000140648474292531,8.93465295430688,"TMEM222"
"ILMN_1805812",0.540091749856233,8.07094089084314,5.53709940103021,7.05503184934775e-07,0.00323952945707613,5.65446876658671,"TOR1A"
"ILMN_1695362",0.630360703763345,7.62847253707163,5.53156047927431,7.20440409741203e-07,0.00323952945707613,5.63571466339071,"ZNF32"
"ILMN_2389347",0.688707403084106,7.0769069012628,5.49483785490975,8.27677428992369e-07,0.00323952945707613,5.51150338714343,"NR3C1"
"ILMN_1786444",0.482799173497557,4.83043139515883,5.3383629602724,1.49058447772505e-06,0.00447482651572706,4.98484922076147,"LPL"
"ILMN_1669393",-0.583261010635021,4.98509554667262,-5.30506309894434,1.68829216781263e-06,0.00447482651572706,4.87334880002838,"GGT1"
"ILMN_1873045",0.624963115214598,5.01548695076021,5.27319182850142,1.90160894376322e-06,0.00447482651572706,4.76683266510082,NA
"ILMN_2043918",-0.634764060745535,6.92560720806862,-5.27264674588245,1.90547884335167e-06,0.00447482651572706,4.76501269470654,"DLEU1"
"ILMN_1762957",0.851656034350274,5.81822029405353,5.18305878679448,2.65905320563081e-06,0.00567683686191218,4.46670525188448,NA
"ILMN_1692731",0.908867958740877,7.07955421190533,5.14577259711996,3.05299040395965e-06,0.00587747491231643,4.34304382077255,"TTYH3"
"ILMN_1687544",-0.564152120109306,5.18409723892252,-5.12319291089153,3.3188690699358e-06,0.00587747491231643,4.26830301595715,"ZNF567"
"ILMN_1685813",-0.688664371505693,5.46477917037623,-5.10850806786124,3.50386002267204e-06,0.00587747491231643,4.21975488384179,NA
"ILMN_1804593",-0.73902913382133,5.42548016690984,-5.00097031641944,5.20419626735503e-06,0.00771422300869538,3.86572378208993,"HEPACAM2"
"ILMN_1726512",0.78641670291498,6.7320112619979,4.98527796377094,5.51212322962652e-06,0.00771422300869538,3.81428785444104,"ZSCAN2"
