"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1834182",-0.764577677347952,5.06433184282352,-6.76125950214828,6.19302605607957e-09,0.000145437023900973,9.9535277501252,NA
"ILMN_2389347",0.810628332965734,7.0769069012628,6.46758148713924,1.95701086505322e-08,0.000229792215774549,8.91960632557507,"NR3C1"
"ILMN_1805812",0.586450133481233,8.07094089084314,6.01237231210698,1.14672728309018e-07,0.000837640879499728,7.32760561557522,"TOR1A"
"ILMN_1816603",0.836544167000496,6.14973964940234,5.95464979423749,1.4324449682088e-07,0.000837640879499728,7.12708140904432,NA
"ILMN_1778136",0.966319470989028,6.47247869273956,5.8976714206093,1.78342888668823e-07,0.000837640879499728,6.92951116989711,"ZMYND15"
"ILMN_1842378",-0.623480536535383,5.02032228757438,-5.82411956166812,2.36492995303815e-07,0.000925633583619133,6.67505112749063,NA
"ILMN_1729650",-0.890376853297679,5.60300780428621,-5.65573560917415,4.49810921160371e-07,0.00121518582507426,6.0952133967846,"PEX7"
"ILMN_1875138",-0.481541085941384,5.05618641495063,-5.64424322932892,4.69907519932551e-07,0.00121518582507426,6.05578706660583,NA
"ILMN_1701402",1.06500521123455,7.35681330241856,5.61248296123658,5.30176302086405e-07,0.00121518582507426,5.94693342564243,"IKBIP"
"ILMN_1793632",0.738697588058109,6.98763327579203,5.60719463451676,5.40927635728875e-07,0.00121518582507426,5.92882360658579,"TMEM222"
"ILMN_1790689",1.09682297118727,9.89585420312246,5.59340535527253,5.69984973955949e-07,0.00121518582507426,5.88162298835176,"CRISPLD2"
"ILMN_1655482",0.752838243541452,7.1219831834709,5.57081966647824,6.20943191146787e-07,0.00121518582507426,5.80437747141589,"TRIM27"
"ILMN_2387919",0.592155204725471,7.36432072053316,5.29888416277928,1.72771902316303e-06,0.00312105796461236,4.88123397910338,"PRKAG2"
"ILMN_1761387",0.997055619423549,6.76379232590047,5.25592018042067,2.02807440506722e-06,0.00331642887083336,4.73665474176137,NA
"ILMN_1694323",0.748320883756166,6.46486590061756,5.22616360053811,2.26564669108457e-06,0.00331642887083336,4.63674091105875,"GLE1"
"ILMN_1688725",-0.664243527956396,6.8068369461277,-5.20662056957643,2.43635714839206e-06,0.00331642887083336,4.57122162310508,"UTP14A"
"ILMN_1690136",0.718978437048935,7.44674894972806,5.20135448569705,2.48448095187111e-06,0.00331642887083336,4.5535805266049,"NIPBL"
"ILMN_1662488",-0.720726723192082,4.98392788997122,-5.1816309751525,2.67317352019764e-06,0.00331642887083336,4.48756040252325,"MED23"
"ILMN_1862928",-0.570538270712516,5.0882291899017,-5.18062213169308,2.68319487931502e-06,0.00331642887083336,4.48418576446937,NA
"ILMN_1732923",1.00618096404947,8.42172852113844,5.14920359021799,3.0144662040679e-06,0.00353958621681652,4.37919958483898,"SIPA1L2"
"ILMN_1669718",0.696297842356562,6.90561999306262,5.11227538341261,3.45545759877809e-06,0.00386418886903355,4.25608095919478,"PSENEN"
"ILMN_1692754",0.524500776906862,12.0149443957305,5.03018246018034,4.67527251844697e-06,0.00499064090105494,3.98349690810322,"VMP1"
"ILMN_1714643",1.20079694773855,7.97152927620825,4.99868386669743,5.24798914109347e-06,0.00525129825416321,3.87932923069871,"MGAM"
"ILMN_2396903",1.08695489532362,7.52772532420493,4.9925797068042,5.36668191534309e-06,0.00525129825416321,3.85917013873458,"KCNJ15"
"ILMN_1752455",0.821417744343119,7.25055135922484,4.97084197746654,5.81113631377565e-06,0.00545874900770829,3.78745491832041,"DOCK5"
"ILMN_1833691",-0.440431031024824,5.08458265561174,-4.94624187895691,6.35773032973465e-06,0.00549265766616338,3.70643732354737,NA
"ILMN_2172124",0.852233415187718,5.75493279348111,4.93854093339728,6.53897306787738e-06,0.00549265766616338,3.68110623705018,"ZNF630"
"ILMN_2367671",1.04243487375184,7.45291242182606,4.93177932291435,6.702276847322e-06,0.00549265766616338,3.65887727134233,"LIMK2"
