"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1805812",0.571531997093219,8.07094089084314,5.81208629973509,2.46079229476377e-07,0.00197754012628926,6.5852694883599,"TOR1A"
"ILMN_2414762",0.857835081045668,7.90104310192315,5.75154690520622,3.10256821041954e-07,0.00197754012628926,6.37836620131732,"TLR10"
"ILMN_1693428",-1.02925628788203,5.74403662824485,-5.68767940470681,3.95934223329013e-07,0.00197754012628926,6.16061928090402,"TNNC2"
"ILMN_1793632",0.749875868983726,6.98763327579203,5.68565675133456,3.98999268860381e-07,0.00197754012628926,6.15373259675034,"TMEM222"
"ILMN_1661599",-1.40668339018377,8.86934953997528,-5.34985310246129,1.42070990184634e-06,0.00563311476082075,5.01926814070738,"DDIT4"
"ILMN_1821791",-0.579616467537307,5.5730204986223,-5.17320828033619,2.74559030503554e-06,0.0082839273748364,4.43063190501486,NA
"ILMN_1816603",0.707771285310762,6.14973964940234,5.14268349313798,3.07445996452117e-06,0.0082839273748364,4.32956225337411,NA
"ILMN_1724181",0.57517728365395,7.22662682245038,5.10024040105271,3.59688057514095e-06,0.0082839273748364,4.18936665763645,"IL15"
"ILMN_1805668",0.460617591359777,14.5797040234373,5.07796442840857,3.90500981375017e-06,0.0082839273748364,4.11594590909887,NA
"ILMN_2406169",0.736385783985783,5.1816189270939,5.05667390912078,4.22366629831851e-06,0.0082839273748364,4.04587807900291,"PKIG"
"ILMN_2326591",0.813604381160982,6.21890159782513,5.03368746385275,4.59637836687014e-06,0.0082839273748364,3.97034569448006,"ANXA6"
"ILMN_1651606",-0.60344041275241,5.274176144739,-4.9292781688564,6.73744944425186e-06,0.0103825509280065,3.62883789532671,NA
"ILMN_1675848",-0.773935903774999,12.0513244174701,-4.92641384741431,6.80823011672559e-06,0.0103825509280065,3.61950654112717,"MYL12A"
"ILMN_1804498",0.71636438734526,9.07314781092332,4.86678620489943,8.458633199417e-06,0.0110548074778484,3.42572215883671,"BRAT1"
"ILMN_2174127",0.729868279722263,5.87552602918024,4.864674611608,8.52375033193798e-06,0.0110548074778484,3.41887633152177,"DCBLD2"
"ILMN_2137789",0.820825343894245,7.74541894520299,4.85209688615222,8.92191271856617e-06,0.0110548074778484,3.37812306071332,"KLF4"
"ILMN_1748884",0.565541454805335,6.42367631147456,4.8058847434704,1.05472997914126e-05,0.0113248903944131,3.22874714679153,"TOB2"
"ILMN_1916564",-0.583412338589044,5.19074417196373,-4.79846911337913,1.08337892458347e-05,0.0113248903944131,3.204829806754,NA
"ILMN_1667813",-0.668735909503977,12.8399393253516,-4.79018809681249,1.11627111780794e-05,0.0113248903944131,3.17813887507874,"RPL7"
"ILMN_1735910",0.63014735020673,5.5159690077318,4.75214555139002,1.28035926210346e-05,0.0113248903944131,3.05576200692658,"VMO1"
"ILMN_1775467",-0.699172742529487,5.47734574113536,-4.73542032187569,1.35975383255714e-05,0.0113248903944131,3.00208578253608,"OR2T12"
"ILMN_1792951",0.540345368141266,7.11617569410975,4.73195012855686,1.37681955035884e-05,0.0113248903944131,2.99095866679054,"ZHX2"
"ILMN_1685813",-0.639620183408326,5.46477917037623,-4.72931199061462,1.3899332539578e-05,0.0113248903944131,2.98250177748168,NA
