"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1834182",-0.77725792004855,5.06433184282352,-6.87339253190968,3.98549795081868e-09,9.35954338770259e-05,10.0140722448325,NA
"ILMN_1812701",0.662949156272035,6.46325221654026,5.81435652427656,2.45505079262421e-07,0.00225319943120023,6.44083722034799,"C4orf33"
"ILMN_2389347",0.705559916073863,7.0769069012628,5.62929528329196,4.97379247436424e-07,0.00225319943120023,5.82561239853687,"NR3C1"
"ILMN_1766085",0.944968990713887,7.33355491879203,5.61090159008995,5.33368964314546e-07,0.00225319943120023,5.76470487018989,"REL"
"ILMN_1740648",-0.616010447792335,5.08250516698328,-5.57844775454254,6.03248578026479e-07,0.00225319943120023,5.6573542825585,"CYP2D6"
"ILMN_1842378",-0.595216167258915,5.02032228757438,-5.56009357151286,6.46694071607856e-07,0.00225319943120023,5.59670863560054,NA
"ILMN_1821479",-0.631560903936008,5.74657783714933,-5.55010419471989,6.71623063294226e-07,0.00225319943120023,5.56372234577166,NA
"ILMN_1696066",0.548831416529874,6.98604559009234,5.0337187186952,4.61493820251574e-06,0.0132988271985682,3.88156417537239,"CARS1"
"ILMN_1805132",-0.576572106541586,5.12858739121268,-5.00666709765295,5.09663791462756e-06,0.0132988271985682,3.79487812911656,"PCDH19"
"ILMN_1667609",-0.63574366440149,5.321412096872,-4.9752984537223,5.71717101747066e-06,0.0134262044174281,3.69456304159302,"SNORD35A"
"ILMN_1719256",-0.636836950433424,7.47451546387523,-4.81014372340575,1.04236392868686e-05,0.0222535222738929,3.17021814096017,"CKS1B"
"ILMN_1683854",0.560250683410326,6.51391669305933,4.7596606960891,1.25053399617605e-05,0.0229052292462861,3.01128839335346,"ZNF484"
"ILMN_1876075",-0.531537404470509,5.10713328039397,-4.75581525878958,1.26796108074314e-05,0.0229052292462861,2.99920931313714,NA
"ILMN_2181432",0.678530459621572,7.04676189296672,4.67291396049407,1.70695342319344e-05,0.0284675043274455,2.739761735667,"ACP7"
"ILMN_1778890",-0.569660167588387,6.51062629531492,-4.65521691323118,1.81831274447148e-05,0.0284675043274455,2.68461913827709,"LRR1"
"ILMN_1665738",0.772038326805328,7.47330369033972,4.59343011802993,2.26552239401051e-05,0.0313807660018618,2.49278548577028,"FLI1"
"ILMN_1721580",-0.523798996908285,5.21243778873767,-4.58851413534205,2.30539060680469e-05,0.0313807660018618,2.47756926458346,"TBX15"
"ILMN_1733441",0.666477099794009,6.90205440976506,4.56267037209731,2.52649583317253e-05,0.0313807660018618,2.39769159889513,NA
"ILMN_1691444",0.596339852437569,7.40823379018804,4.56128697344061,2.53889692571697e-05,0.0313807660018618,2.39342130307902,"UHRF2"
"ILMN_1875138",-0.386943562151067,5.05618641495063,-4.5354459766065,2.78174647727426e-05,0.0326632671361544,2.31375867809234,NA
"ILMN_1748884",0.529026318915657,6.42367631147456,4.51092123703278,3.03307220122278e-05,0.0329318093875431,2.23833774418362,"TOB2"
"ILMN_2339705",-0.82721939422659,6.32626089913901,-4.50609435941133,3.08507837900676e-05,0.0329318093875431,2.22351496026128,"MED8"
"ILMN_1655482",0.598732584562953,7.1219831834709,4.43047531878074,4.0225427555468e-05,0.0410719104657657,1.99223052638528,"TRIM27"
"ILMN_1696521",-0.501672607754123,5.09921039276691,-4.39715591903663,4.51866889079982e-05,0.0426126051731927,1.89088976784075,"EGFR"
"ILMN_1744713",-0.656149312960926,8.26193505570528,-4.39156734807069,4.60750962274579e-05,0.0426126051731927,1.87392690126232,"PARK7"
"ILMN_1906520",0.621760078999172,5.65674774618382,4.38281370949602,4.75008595315749e-05,0.0426126051731927,1.8473774016512,NA
"ILMN_1717357",0.591416524512363,6.60240597524439,4.37010623946513,4.96471445716677e-05,0.0426126051731927,1.80888020759702,"AIFM1"
"ILMN_1792951",0.494976330760724,7.11617569410975,4.34386963799077,5.43805555831059e-05,0.0426126051731927,1.72956338806824,"ZHX2"
"ILMN_1742272",-0.473453974627397,5.30518544470795,-4.32917652653888,5.72198066726629e-05,0.0426126051731927,1.68524319632976,"REN"
"ILMN_2311826",0.531821521519949,6.59986248402221,4.31536913400481,6.00186920044822e-05,0.0426126051731927,1.64366013234343,"USP6NL"
"ILMN_1793213",-0.493727981635467,4.98229968168848,-4.2987987535761,6.35532915090783e-05,0.0426126051731927,1.59384028270456,"SOX30"
"ILMN_1851598",-0.432281583213931,5.08950572136446,-4.29077172499896,6.53373146910013e-05,0.0426126051731927,1.56973984874746,NA
"ILMN_1779711",-0.445856553731038,4.84863665569973,-4.28940022973803,6.5646951166238e-05,0.0426126051731927,1.56562424152934,"DTL"
"ILMN_1703684",-0.506290419490139,6.16796943164629,-4.28885009835403,6.57715513635563e-05,0.0426126051731927,1.56397357700038,"NAP1L2"
"ILMN_1912710",-0.453608286653853,5.41652109462993,-4.28639714131521,6.63299223194165e-05,0.0426126051731927,1.55661475169476,NA
"ILMN_1747318",0.812096772251419,5.47286814008184,4.28475825910183,6.67055425044196e-05,0.0426126051731927,1.55169927575423,"PATJ"
"ILMN_1699537",-0.419414359919894,4.85611705241363,-4.28288287536144,6.71378977775563e-05,0.0426126051731927,1.54607558577013,"CFAP95"
"ILMN_1805812",0.41318249299538,8.07094089084314,4.23600718783407,7.88714158077734e-05,0.0487425349692039,1.40590227035523,"TOR1A"
"ILMN_2203588",-0.506255628195172,5.0393213488076,-4.21631991883513,8.43712156227379e-05,0.0508044519919071,1.34725854467572,"MYL5"
"ILMN_1815361",0.671547899028454,6.3010093774448,4.20337573488216,8.81877169015098e-05,0.0510020122828527,1.30877518426579,"XIAP"
"ILMN_1755049",0.75220866448488,7.62942646986193,4.20054986289352,8.90428591209744e-05,0.0510020122828527,1.30038168680076,NA
"ILMN_1769546",0.690012780976678,7.35840549951852,4.16683592931003,9.98847574963453e-05,0.0531743788002855,1.20046322513779,"RIN2"
"ILMN_1808584",0.63359888604372,7.28929730693258,4.16598047709357,0.000100175831440615,0.0531743788002855,1.19793321725787,"COX20"
"ILMN_1698304",-0.446077700648551,5.03261768576028,-4.16476729424642,0.000100590033068261,0.0531743788002855,1.19434567079396,"PGAM1"
"ILMN_1651606",-0.51117027647878,5.274176144739,-4.16098321401272,0.000101892652274436,0.0531743788002855,1.18315904875567,NA
"ILMN_2415467",0.902148762901531,6.67752827996001,4.15334115808044,0.000104573252345362,0.0533869186538801,1.16058316412048,"SYNRG"
"ILMN_1859439",-0.35651074351009,4.89621322343702,-4.12697561620748,0.000114354995796984,0.0556202036201778,1.08285839091705,NA
"ILMN_1748481",0.531929933967108,7.00152936585602,4.12300406001431,0.00011590306238111,0.0556202036201778,1.07117245593669,"TMEM199"
"ILMN_1833691",-0.367092975480519,5.08458265561174,-4.12262197912732,0.000116053056437945,0.0556202036201778,1.07004852485738,NA
"ILMN_1753980",0.402784053340291,7.72629404987172,4.09808880315637,0.00012608685254368,0.0592204729027155,0.997994727789441,"LRRC37B"
"ILMN_1804663",0.605307494535267,6.95956595975411,4.08833086782048,0.00013030635882787,0.0596644405365185,0.969397993265869,"THBS3"
"ILMN_1823100",-0.460442141268539,5.32470112998679,-4.08424495933999,0.000132113392433102,0.0596644405365185,0.957434365697442,NA
"ILMN_1692731",0.720087739056332,7.07955421190533,4.07694838345003,0.000135400730542467,0.0599952972841375,0.936085436205252,"TTYH3"
"ILMN_1708340",0.652584529054119,6.94895442756113,4.06596583738168,0.000140498031433489,0.0611010327811863,0.903989631122202,"DAPK1"
"ILMN_1909790",-0.396481213862052,5.13192225547051,-4.0589837114405,0.000143834395889036,0.0614146718737842,0.8836085427392,NA
"ILMN_1810289",0.77992118268506,7.68103598725987,4.04263354093819,0.000151949026684853,0.0636134161569374,0.835954367221883,"MYOF"
"ILMN_1732216",0.398089598473078,10.1435646351817,4.03785762767947,0.000154401495526547,0.0636134161569374,0.822053782011773,"NARS1"
"ILMN_1675693",-0.656506323261909,5.52382116758223,-4.02592870222935,0.000160694997919106,0.064748920418191,0.787372199896008,"PPP2CB"
