"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1793632",0.720089060577717,6.98763327579203,5.45980928068071,9.39596800648346e-07,0.0186275065728535,4.95060453900238,"TMEM222"
"ILMN_1792951",0.570920493855455,7.11617569410975,4.99970475103394,5.20720811874081e-06,0.0380454054157802,3.5332346628855,"ZHX2"
"ILMN_1722239",0.714446358054083,5.23545121307605,4.87273220917344,8.27787660492078e-06,0.0380454054157802,3.14886439289724,"TIMM8A"
"ILMN_2389347",0.606574440557083,7.0769069012628,4.8307168840876,9.64089083865596e-06,0.0380454054157802,3.02243045681018,"NR3C1"
"ILMN_1667609",-0.612713311583855,5.321412096872,-4.80727888308098,1.04942735717718e-05,0.0380454054157802,2.95207055728526,"SNORD35A"
"ILMN_1696066",0.523627908326703,6.98604559009234,4.77646881740775,1.17292567109256e-05,0.0380454054157802,2.85976994930885,"CARS1"
"ILMN_2204876",0.7278840871855,7.08706487738444,4.73879763627027,1.34334344469337e-05,0.0380454054157802,2.74721413347597,"FLVCR2"
"ILMN_1916564",-0.570827604859982,5.19074417196373,-4.69496177884958,1.57223361016441e-05,0.0389619141518867,2.6166641512029,NA
"ILMN_1695362",0.530093480495124,7.62847253707163,4.63789302802572,1.92796167085645e-05,0.0395420399146195,2.44741044509381,"ZNF32"
"ILMN_1706677",0.670545913377075,6.22749200638703,4.60519549109963,2.16598472137346e-05,0.0395420399146195,2.35080673631781,"MAPK1"
"ILMN_1878108",-0.539051917371298,5.22094678074766,-4.60157885052482,2.19400978088683e-05,0.0395420399146195,2.34013839237815,NA
"ILMN_1717357",0.611998532258908,6.60240597524439,4.52908892857142,2.83638253471561e-05,0.0468594031256142,2.12703379111713,"AIFM1"
"ILMN_1724181",0.493155854058542,7.22662682245038,4.37293593186876,4.90298133568562e-05,0.0723077126182793,1.6729003214541,"IL15"
"ILMN_1675693",-0.708573248790493,5.52382116758223,-4.36125264412099,5.10621930217357e-05,0.0723077126182793,1.63920560435053,"PPP2CB"
"ILMN_1891277",-0.537681339919901,5.37865864719001,-4.28421657653088,6.66627499710252e-05,0.0804651509546203,1.41806702511727,NA
"ILMN_1691444",0.553382014191971,7.40823379018804,4.24337051449021,7.67181343711495e-05,0.0804651509546203,1.30156114654803,"UHRF2"
"ILMN_1821791",-0.475282008025022,5.5730204986223,-4.24199959303538,7.70799250251389e-05,0.0804651509546203,1.29766001055551,NA
"ILMN_1851621",0.565305385115252,5.48344771219649,4.24075300847324,7.74103371299662e-05,0.0804651509546203,1.29411321218836,NA
"ILMN_1726752",0.653825404107298,6.85947303326607,4.22787792930636,8.09041863800664e-05,0.0804651509546203,1.25750997041074,"APTX"
"ILMN_1748884",0.497408462858723,6.42367631147456,4.22690100365609,8.11754360197935e-05,0.0804651509546203,1.25473478853062,"TOB2"
"ILMN_2326591",0.674627578814154,6.21890159782513,4.17385213855458,9.73032909772553e-05,0.0912438810943666,1.10450270543021,"ANXA6"
"ILMN_1728514",0.50046454598307,6.7097612969399,4.16215917494207,0.00010125424383738,0.0912438810943666,1.07151310349773,"BAG5"
"ILMN_1808115",0.615328479675339,6.94980173480737,4.13660928771035,0.000110434525119647,0.0929182792508105,0.999587471608518,"ATP7A"
"ILMN_1683854",0.484063681356864,6.51391669305933,4.13118070635337,0.000112486189256971,0.0929182792508105,0.984333713705062,"ZNF484"
"ILMN_1683883",0.694369901404938,5.94646933808983,4.0546292149597,0.000145647067649975,0.114346709095213,0.770306515196782,"ACY1"
"ILMN_1651507",0.707149367899759,5.64748196389845,4.04593347849752,0.00014996289717405,0.114346709095213,0.746123358462954,"PYROXD1"
"ILMN_1727023",0.374421311949497,7.41082701490537,4.01333818723399,0.000167264863548259,0.119704104421644,0.655713352225274,"AMMECR1L"
"ILMN_1668748",0.604052439282189,5.93430654301415,3.9967717969768,0.000176780714924215,0.119704104421644,0.609908741429611,"MED15"
"ILMN_1685781",0.518695742583634,7.3529402901644,3.98985502359479,0.000180906264586353,0.119704104421644,0.590813820722482,"GON7"
"ILMN_1735905",0.629411597971985,5.32953267397735,3.98528692471776,0.000183681622594822,0.119704104421644,0.578212335613063,NA
"ILMN_2180371",0.669466342912569,6.71694815755721,3.97962388861028,0.00018717917967571,0.119704104421644,0.562600920320302,"FAM216A"
"ILMN_1911608",-0.517269049483247,5.15922380659357,-3.94565696889712,0.000209542522085415,0.124648614265544,0.469210354285925,NA
"ILMN_1669545",0.50014702977955,5.48413479601547,3.9418359578537,0.000212213486349486,0.124648614265544,0.458731307588869,NA
"ILMN_1824052",-0.50751953048825,5.56561599196923,-3.93962607524132,0.000213773159396141,0.124648614265544,0.452673224861912,NA
"ILMN_2155172",0.596339151397743,7.51554757911889,3.92111376147044,0.00022727893048425,0.126094662799879,0.401995874971126,"BRIX1"
"ILMN_1784070",-0.517461337548728,5.40168327357088,-3.91886560435418,0.000228973914794232,0.126094662799879,0.395850296085809,NA
"ILMN_1786105",0.590545993732788,5.83095875273416,3.90406603430994,0.000240439158454943,0.128829900442412,0.355441584150161,"PCBD1"
"ILMN_1912710",-0.409915163135547,5.41652109462993,-3.86415943480237,0.000274171212873368,0.143038007768803,0.246895439575947,NA
"ILMN_1774844",0.682344381721523,6.42018774951504,3.84784104246327,0.00028923569258439,0.147028143730398,0.2026855838562,"MAPKAPK2"
"ILMN_1733374",0.512340316741779,7.35653441179648,3.83088956956334,0.00030572465893997,0.149585520902871,0.15687015855233,"RMDN1"
"ILMN_2306955",0.629092680932601,6.76532532540477,3.82727328144196,0.000309357193292192,0.149585520902871,0.147110805199116,"PXYLP1"
"ILMN_1767459",0.498769241389458,6.3196624393388,3.78137900763756,0.000359208748399728,0.169555081833919,0.0237034925763977,"POLR3B"
"ILMN_1790029",0.532874238606878,5.53279261552394,3.7671313587701,0.000376191500409591,0.17344177896791,-0.0144369009206491,"P2RY6"
"ILMN_1789240",0.440768027112364,6.5921860443609,3.75268218966522,0.000394198468924917,0.176702653052237,-0.0530331757801337,"MLST8"
"ILMN_1791217",-0.643405167388587,5.88545031614173,-3.74394280398174,0.000405487189458154,0.176702653052237,-0.0763365351979832,"STRIP1"
"ILMN_1700419",0.393015541398984,7.44770158970775,3.74051138359358,0.000410003633816034,0.176702653052237,-0.0854778350416465,"TMEM208"
"ILMN_1691188",-0.506657533159133,8.17956732407213,-3.71378357241554,0.000446868148917835,0.188492788346725,-0.156515695169871,"UIMC1"
"ILMN_2401457",-0.432253863268178,5.30606951440184,-3.69793957424141,0.000470195877176861,0.191251141315595,-0.198487273375184,"SLC7A3"
"ILMN_2064355",-0.682590688957889,5.51040220468677,-3.69618198714261,0.000472854229259331,0.191251141315595,-0.203136796201373,"MCF2L2"
"ILMN_1713387",0.408520473195314,5.27988144267641,3.68971050389031,0.000482766717542895,0.191251141315595,-0.220245379490581,"PHYHIP"
"ILMN_1655482",0.488675999543875,7.1219831834709,3.67864458609064,0.000500178313234824,0.191251141315595,-0.249459703193507,"TRIM27"
"ILMN_1775467",-0.539943923979521,5.47734574113536,-3.65698099304564,0.000536016758208611,0.191251141315595,-0.306503319376634,"OR2T12"
"ILMN_1779071",0.644764281839643,6.31039518752205,3.65255251574176,0.000543638722147299,0.191251141315595,-0.318139800727915,"FEZ1"
"ILMN_1681374",-0.495617861246968,5.38271925616968,-3.64220050249649,0.0005618614738108,0.191251141315595,-0.345308785484225,"ALDOA"
"ILMN_1775062",-0.543455525151886,5.20313420478856,-3.63792841305105,0.000569550345185665,0.191251141315595,-0.356507643356118,NA
"ILMN_1651288",-0.414828840105206,5.38004130398374,-3.63621800648157,0.000572656779156903,0.191251141315595,-0.360989121910093,NA
"ILMN_1736894",0.588567116464094,6.34693473404169,3.63467159409675,0.000575479277032893,0.191251141315595,-0.365039839985229,"HNRNPA1L2"
"ILMN_1655733",0.659908162921298,6.66607905422208,3.63425701179861,0.000576238222082069,0.191251141315595,-0.366125635384365,"RFC2"
"ILMN_1691526",0.623128174171742,6.44652929188705,3.6286914621881,0.000586519566983267,0.191251141315595,-0.38069475115589,"MAPKAP1"
"ILMN_2352042",0.576707259594476,5.60483657105773,3.62831734235179,0.000587216926198504,0.191251141315595,-0.381673620902816,"MRPL4"
"ILMN_1870222",0.503386282644593,5.35459703320617,3.62764880459361,0.00058846505020183,0.191251141315595,-0.383422674156588,NA
"ILMN_1703864",-0.399563388984534,5.20416235390006,-3.60502350083426,0.000632228716422634,0.20134474430288,-0.442502541490548,"SFTA2"
"ILMN_1658243",-0.568012063865989,6.00696184231389,-3.60049703815125,0.000641348925912382,0.20134474430288,-0.454295652149037,"PSD3"
"ILMN_1809484",0.676284601005261,6.83337963526599,3.59144708566099,0.000659960679206981,0.20134474430288,-0.477847475945411,"TMOD3"
"ILMN_1685813",-0.485716523049671,5.46477917037623,-3.59135786531615,0.000660146702632393,0.20134474430288,-0.478079487995039,NA
"ILMN_1779184",0.551177546914733,5.47839211107285,3.5561258501838,0.000737642554674523,0.217477548876101,-0.569426030968708,"CTU2"
"ILMN_2184640",0.678638298119371,6.08156873893936,3.55317311699553,0.000744516548121373,0.217477548876101,-0.57705683341188,"NOLC1"
"ILMN_1822749",0.468920810935536,5.42280996467088,3.55256033240596,0.000745950735110964,0.217477548876101,-0.578639980844641,NA
"ILMN_2222688",0.716371644208131,5.1842326411293,3.53164492657591,0.000796508461731677,0.221982793131234,-0.632575683869282,"TMSB4X"
"ILMN_1865151",-0.397400349566831,5.31458018432781,-3.53153824503826,0.000796774501648563,0.221982793131234,-0.632850290443447,NA
"ILMN_1687303",0.456980599684228,6.8775490246206,3.52783579365244,0.000806060119580162,0.221982793131234,-0.642377539830049,"ACAD10"
"ILMN_2352590",0.424261749929689,7.25481075181497,3.52511295692397,0.000812954461119383,0.221982793131234,-0.649380108798029,"ZNF33A"
"ILMN_1906520",0.497145705805448,5.65674774618382,3.52337303031967,0.000817389351756877,0.221982793131234,-0.653853100685639,NA
"ILMN_1733441",0.514354214281538,6.90205440976506,3.51890138680066,0.000828892859519039,0.222064877567094,-0.66534255153716,NA
"ILMN_1660504",-0.489262247448477,5.52277819844306,-3.50835823847086,0.000856627788940068,0.22401837101604,-0.692396603821177,NA
"ILMN_1783285",0.491452411181502,6.35863064808767,3.50508774900869,0.00086540887227005,0.22401837101604,-0.700778616241873,"CTPS1"
