"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1701914",1.39026395326032,4.75008391798138,10.1475858192364,1.8025954403574e-14,5.58858664374004e-10,21.4242224246256,"CD274"
"ILMN_1756953",2.05813053120745,4.97537496166069,9.78844209684654,6.82862580098662e-14,1.05853942853994e-09,20.2567622373523,"GBP6"
"ILMN_1860051",2.15523761842699,4.94081283481928,9.63142002118132,1.2275350785601e-13,1.26857566801996e-09,19.7407869690266,NA
"ILMN_1771385",2.05300565340413,8.38835591508223,8.96673645202658,1.50734556378595e-12,1.1683058628514e-08,17.5219264563681,"GBP4"
"ILMN_2132599",3.83732714019176,6.06460409104601,8.61255775741286,5.8205066627813e-12,3.60906336132418e-08,16.3188377631103,"ANKRD22"
"ILMN_1809467",1.8529657961551,9.24368185340817,8.29112861824745,1.99778051737398e-11,9.76202063758884e-08,15.2162989306113,"VAMP5"
"ILMN_1799848",3.58558330565033,5.78628363580279,8.26557539324753,2.20411393939689e-11,9.76202063758884e-08,15.1282568877884,"ANKRD22"
"ILMN_1683792",2.35754065691431,8.34952352762083,8.05165548661433,5.02471797001662e-11,1.94726664030531e-07,14.3891784373511,"LAP3"
"ILMN_2170813",1.5513292774183,4.89299832683973,7.9787012471333,6.65814281807273e-11,2.29358224209676e-07,14.136353466389,"LAMP3"
"ILMN_1764036",2.04101750924378,4.92217683492323,7.81888205232854,1.23431229122307e-10,3.8267383964789e-07,13.5812725091401,"P2RY14"
"ILMN_1786612",1.34926956021956,10.1928974403367,7.53965861794637,3.6345601232326e-10,1.02438425000528e-06,12.6080660975314,"PSME2"
"ILMN_2258409",1.84603788648163,5.02687231513596,7.34680844702185,7.66734192860873e-10,1.92285376743334e-06,11.9339798372157,"P2RY14"
"ILMN_2374865",1.79073366750558,5.09227617543923,7.3313970988324,8.13867981789265e-10,1.92285376743334e-06,11.8800609880052,"ATF3"
"ILMN_1727271",2.33567384693656,9.33843822274592,7.31467251627043,8.68301543207651e-10,1.92285376743334e-06,11.8215406270121,"WARS1"
"ILMN_1676448",0.918351925279076,9.90154049710429,7.23585936394893,1.17803823293786e-09,2.43484795571817e-06,11.5456810538971,"WDFY1"
"ILMN_1701114",2.72957462065093,8.62715961954279,7.05350277262958,2.38555824192621e-09,4.62246638590239e-06,10.9070153541066,"GBP1"
"ILMN_2114568",2.41200557238378,9.80262767439418,6.99495935036424,2.99162231042346e-09,5.45583920529755e-06,10.7019235432299,"GBP5"
"ILMN_1707979",1.48773923008941,5.21691365458056,6.88973538396272,4.49275801670112e-09,7.73827648843249e-06,10.3333110648451,"CARD17P"
"ILMN_1720048",1.59797180306938,4.79051415752265,6.80653586418698,6.19492944531286e-09,1.01084946101597e-05,10.0419189234489,"CCL2"
"ILMN_2337655",1.92623898048534,10.1447401551831,6.61042149188834,1.31941080156952e-08,2.045284654053e-05,9.35560126943855,"WARS1"
"ILMN_1805410",1.5158257671633,4.8551145985077,6.5595443598197,1.60476969707282e-08,2.30833922739882e-05,9.17773978482265,"C15orf48"
"ILMN_1810289",1.64432591796861,7.35686204450275,6.55421335622862,1.63801770805322e-08,2.30833922739882e-05,9.15910876424474,"MYOF"
"ILMN_2170814",2.77800237118054,5.15342069940094,6.53497147140323,1.76383183498897e-08,2.35850231477845e-05,9.0918708825798,"LAMP3"
