"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733654",-1.00734317665803,5.10951213915284,-5.19040593561069,2.80914222266974e-06,0.08709183632943,-2.6716051120342,"EOLA2"
"ILMN_1864920",-0.878185308554506,4.82032261612564,-4.58223210424628,2.49334599664451e-05,0.386506029669849,-3.01207827363613,NA
"ILMN_2066020",-0.65637120026779,9.43162337849635,-4.01556086774103,0.000172626205798671,0.999999999999991,-3.328368559536,"ELOC"
"ILMN_1789463",-0.869436683146806,4.9582121942883,-3.82428228609941,0.000322975025374662,0.999999999999991,-3.43350879487671,"FXYD1"
"ILMN_1710284",-0.552965521278778,4.72587937397124,-3.77032357893676,0.000384357262824645,0.999999999999991,-3.46293314987398,"HES1"
"ILMN_1910561",0.461744495718783,4.66577338768149,3.76996558578838,0.000384799633524603,0.999999999999991,-3.46312798127974,"HDX"
"ILMN_1763269",0.835996673279065,4.80011653658983,3.65337245645627,0.000558019875361153,0.999999999999991,-3.52628995628576,"TNKS2"
"ILMN_1758356",1.01254722814484,5.05521113194576,3.62949833850332,0.000601700624594721,0.999999999999991,-3.53914729946262,"OR2W5P"
"ILMN_1751135",-0.972726268331582,4.84036739747851,-3.62175819659852,0.000616549753173249,0.999999999999991,-3.54330986117307,"GGA3"
"ILMN_1758663",-0.466261752582781,4.71694818420858,-3.61307637376044,0.000633621545863255,0.999999999999991,-3.54797537513778,"OR5AR1"
"ILMN_1692368",-0.523387127046615,4.68647892100169,-3.60077480963793,0.000658585161847724,0.999999999999991,-3.55457974132205,"DLX2"
"ILMN_1714023",-0.428789193907775,4.65548432866647,-3.59093247867873,0.000679231008771092,0.999999999999991,-3.5598583857209,"SLC9A5"
"ILMN_1676997",-0.594761759897604,4.78106018346126,-3.56016984221107,0.00074781314838757,0.999999999999991,-3.57632530202413,"TREX1"
"ILMN_1701924",0.575122201767667,4.8896302911926,3.47498636776477,0.000973814735208785,0.999999999999991,-3.62166081884065,"LINC00924"
"ILMN_1739813",0.382712809323565,4.68341147810356,3.46055111943705,0.00101803675905414,0.999999999999991,-3.62930346466428,"HYAL1"
"ILMN_2179083",-0.376419440834669,4.63139937506404,-3.43402130623233,0.00110432634634505,0.999999999999991,-3.64331802067493,"LOXL4"
"ILMN_1850767",-0.396422492571793,4.66434015743497,-3.42222126912238,0.00114489636638014,0.999999999999991,-3.64953814545191,NA
"ILMN_1668533",-0.519044565928473,4.68549764739107,-3.40360074841409,0.00121180291001348,0.999999999999991,-3.65933653905181,"UROC1"
"ILMN_1656882",0.680770861284629,4.55996905903706,3.40334368864102,0.00121275198847196,0.999999999999991,-3.65947166068601,NA
"ILMN_1760705",-0.55584260670137,4.76138978267646,-3.3604146608788,0.00138151586029435,0.999999999999991,-3.68197973105022,"POF1B"
"ILMN_2386040",-0.525533876588883,4.70558113981902,-3.33759489654175,0.00148004061433678,0.999999999999991,-3.69389703888989,"MYO19"
"ILMN_1889059",-0.535679048262123,4.77162753223363,-3.32812073003426,0.00152286603069276,0.999999999999991,-3.69883492503852,NA
"ILMN_1886537",-0.761725072632395,4.97093788093742,-3.25792048506927,0.00187863728586077,0.999999999999991,-3.73523698606729,NA
"ILMN_1736655",0.384663210666499,4.66510483878691,3.22961981134435,0.00204312251439784,0.999999999999991,-3.74981657794128,"LCE1B"
"ILMN_1658452",0.620854357679477,4.89672312522056,3.18086195349611,0.00235870685260146,0.999999999999991,-3.77480074868576,"FAM53A"
"ILMN_1737842",-0.591725345720906,4.68776079580753,-3.1619068124403,0.0024933283548225,0.999999999999991,-3.78446651631074,"SLC35G6"
"ILMN_1710652",-0.483134510707504,4.6968219967898,-3.14060540435824,0.00265320532733695,0.999999999999991,-3.79529648870476,"MTMR8"
"ILMN_1734201",-0.525004587645087,4.82131071138894,-3.13682194927891,0.00268258850191371,0.999999999999991,-3.79721644899147,NA
"ILMN_1803313",-0.433953894575407,4.66311391272582,-3.12334367060392,0.00278976142357257,0.999999999999991,-3.8040472310047,NA
"ILMN_1887553",-0.414579810653499,4.75028637074761,-3.09403456047558,0.00303680955443488,0.999999999999991,-3.81885232536479,NA
"ILMN_1709824",0.481069995736527,4.73304440115641,3.08825083171123,0.00308791887052541,0.999999999999991,-3.82176590896644,"PCDHGB1"
"ILMN_1782621",0.509250746611828,15.0206778678625,3.08311300385924,0.00313399427440365,0.999999999999991,-3.82435188569169,"RPS12"
"ILMN_1696546",-0.798470444158764,5.43692749823849,-3.0732112769686,0.00322461063542186,0.999999999999991,-3.82932968115713,"FZD1"
"ILMN_1824412",-0.398053146680653,4.65582502821414,-3.05037639945787,0.00344300457986844,0.999999999999991,-3.84077906766728,NA
"ILMN_2345292",-0.757480192768755,5.2545619866337,-3.02097057310447,0.00374460743705647,0.999999999999991,-3.85546017756014,"FXYD1"
"ILMN_1765612",0.446305166806914,4.74793173711027,3.01147319058439,0.00384716613225871,0.999999999999991,-3.86018645719665,NA
"ILMN_1725594",0.439596877291689,7.9846310216272,3.00928905648374,0.00387111917499834,0.999999999999991,-3.86127229824787,"MINDY3"
