"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733654",-0.87577032965303,5.10951213915284,-4.51246766999837,3.18228024287844e-05,0.986602343699604,-3.10956845236404,"EOLA2"
"ILMN_1699317",-0.485356487646374,4.74003913930256,-4.04777131938705,0.000155121977011675,0.999972424859931,-3.35879939650432,"CNTN6"
"ILMN_2150112",-0.582417204534923,4.73458924180251,-3.92405545022245,0.000233376260944795,0.999972424859931,-3.42441990828179,"NRN1"
"ILMN_2188822",0.524048165735659,4.63812229636443,3.76635750486494,0.000389285458063893,0.999972424859931,-3.50736158080965,NA
"ILMN_2043079",-0.562499556548762,4.69462213094398,-3.73484132721299,0.000430657782620791,0.999972424859931,-3.52382770633309,"ILDR1"
"ILMN_1668533",-0.568908666619385,4.68549764739107,-3.73058132305317,0.000436563157072842,0.999972424859931,-3.52605035575285,"UROC1"
"ILMN_1864920",-0.713575518812132,4.82032261612564,-3.72332424518373,0.000446802157920822,0.999972424859931,-3.52983501566347,NA
"ILMN_1905751",-0.545985478140103,4.77616207629943,-3.69011312657716,0.000496665207564068,0.999972424859931,-3.5471270740455,NA
"ILMN_1845221",0.569408001427362,4.71528030048199,3.6227117237807,0.00061470173801741,0.999972424859931,-3.58207356485734,NA
"ILMN_2048326",-0.492096799786477,14.842297707208,-3.61572785409029,0.000628360446437387,0.999972424859931,-3.58568280140532,"RPS27A"
"ILMN_1806052",0.9137751766265,6.01400369853934,3.54064676693661,0.000794707249347245,0.999972424859931,-3.62433656376534,"UNC119"
"ILMN_1789463",-0.801621805225942,4.9582121942883,-3.52599347290131,0.000831729518300087,0.999972424859931,-3.63184779119086,"FXYD1"
"ILMN_1872564",0.923290262309554,5.23364508553811,3.51941459490816,0.000848880009439189,0.999972424859931,-3.63521650895249,NA
"ILMN_1744815",0.589870807751947,4.7897560625474,3.46442372527826,0.00100598951599225,0.999972424859931,-3.66328521507206,"NECTIN1"
