"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733654",-0.963024459083132,5.10951213915284,-4.96205065402477,6.44707110810008e-06,0.199878545564427,-2.81264968214783,"EOLA2"
"ILMN_1710070",0.709580578493274,4.67351455090413,4.55991860055192,2.69613467248982e-05,0.41794131625601,-3.03643690108717,"PCSK6"
"ILMN_1789463",-0.910494623857535,4.9582121942883,-4.0048787095163,0.000178841073337639,0.999924139106537,-3.34370112009918,"FXYD1"
"ILMN_1858245",-0.779220683021758,4.82691793708557,-3.94879816671028,0.000215174305866429,0.999924139106537,-3.37439271438366,NA
"ILMN_1670306",0.711234200727424,4.7478872967967,3.94178935213808,0.000220186661488491,0.999924139106537,-3.37822175816348,"SCGB3A2"
"ILMN_1754045",0.97523293532806,5.96558584676071,3.90222124843637,0.00025066203468526,0.999924139106537,-3.39980896148945,"FANCL"
"ILMN_1693559",-0.795717402568079,4.97014200917766,-3.87827579240623,0.000271034404606015,0.999924139106537,-3.41284759815393,"DOT1L"
"ILMN_1739042",-0.618359919675235,4.77970689396976,-3.71659522050475,0.000456501235464612,0.999924139106537,-3.50032799689104,NA
"ILMN_2386040",-0.57975321140483,4.70558113981902,-3.68193459230062,0.000509737638201634,0.999924139106537,-3.51894251228957,"MYO19"
"ILMN_2215989",-0.528940762661628,4.70324484680979,-3.68091487584998,0.000511390418879873,0.999924139106537,-3.51948934386783,"NEFM"
"ILMN_1864920",-0.695231426819767,4.82032261612564,-3.62760767325768,0.000605295948815339,0.999924139106537,-3.54800917406919,NA
"ILMN_1843804",0.627739941492234,4.71808368836193,3.62122912710559,0.000617577420122018,0.999924139106537,-3.55141278915038,NA
"ILMN_1842578",-0.804512204222626,4.95004783691043,-3.58767859634155,0.000686191248329746,0.999924139106537,-3.56928279957056,NA
"ILMN_2316173",1.07109250640388,6.10122402069847,3.57630027136567,0.000711068636034742,0.999924139106537,-3.5753305268987,"AP1S1"
"ILMN_1864292",-0.537022181905748,4.72468076670647,-3.57276400726792,0.000718973781561908,0.999924139106537,-3.57720876283243,NA
"ILMN_2409898",-0.700635018710519,4.77054552484668,-3.57045962264747,0.000724170115899911,0.999924139106537,-3.57843236103675,"AFG3L1P"
"ILMN_1881192",-0.779128699323461,4.8306684239365,-3.55389860324876,0.000762581432817786,0.999924139106537,-3.58721802894197,NA
"ILMN_1889441",-0.506115256364853,4.7028456374683,-3.52522332386674,0.000833720049448613,0.999924139106537,-3.60239649106643,NA
"ILMN_1905711",-0.660159995521817,4.74484656634215,-3.51204956234885,0.000868478963579016,0.999924139106537,-3.60935496946944,NA
"ILMN_1879153",-0.444781097011599,4.7527269517407,-3.50265157471199,0.000894113211407667,0.999924139106537,-3.61431330460255,NA
"ILMN_1692368",-0.507701374112459,4.68647892100169,-3.49286068428635,0.000921583468889208,0.999924139106537,-3.61947378295777,"DLX2"
"ILMN_1758663",-0.450048801082395,4.71694818420858,-3.48744172393021,0.000937130377696015,0.999924139106537,-3.62232767250931,"OR5AR1"
"ILMN_1668533",-0.531419785317673,4.68549764739107,-3.48475043909532,0.000944943951089772,0.999924139106537,-3.62374442770946,"UROC1"
"ILMN_1712513",0.64403155651619,4.85117412728522,3.47624032080068,0.000970060646027347,0.999924139106537,-3.62822168692212,"DDX11"
"ILMN_2382998",-0.673054086329537,4.97288157298095,-3.46258378120077,0.00101169639809146,0.999924139106537,-3.63539799420762,"RTL4"
"ILMN_2048326",-0.470208851028563,14.842297707208,-3.454904077087,0.00103584982499859,0.999924139106537,-3.63942889756282,"RPS27A"
"ILMN_1747870",-0.857901800531363,5.02933070857466,-3.454419415454,0.0010373923540338,0.999924139106537,-3.63968317201861,"POLR1G"
"ILMN_1854196",-0.806684427436071,4.97332352591686,-3.44829113614651,0.0010570858283032,0.999924139106537,-3.64289716457046,NA
"ILMN_1687840",0.659733906131551,7.21668362876295,3.42397290509993,0.00113878595888469,0.999924139106537,-3.655629374199,"ABCB7"
"ILMN_1712481",-0.801524584828053,4.89987684219874,-3.41658565583455,0.00116476722722846,0.999924139106537,-3.65949018872559,"RBMX"
"ILMN_1825955",-0.775812782750545,4.94209381363157,-3.39902924787175,0.0012287866239139,0.999924139106537,-3.66865262570344,NA
"ILMN_1818794",0.360652579434807,4.64428133557099,3.3799281325967,0.00130221957370635,0.999924139106537,-3.67859997252315,NA
"ILMN_1710284",-0.49069596199366,4.72587937397124,-3.34574667750584,0.00144410624669597,0.999924139106537,-3.69634425051142,"HES1"
"ILMN_1828012",-0.961233478782146,5.09427029586026,-3.34098152317103,0.00146501037058955,0.999924139106537,-3.69881207686143,NA
"ILMN_1681087",0.480466622448342,4.6794177705195,3.33537519478652,0.00148997085667406,0.999924139106537,-3.70171367788834,"SLC7A10"
"ILMN_1704043",-0.451755219473519,4.7032280965016,-3.32474134527623,0.00153842296162393,0.999924139106537,-3.70721175125583,"PRR21"
"ILMN_1794782",-1.12583664355219,6.41182460127386,-3.31473489906072,0.00158537258167437,0.999924139106537,-3.71237873071314,"ABCG1"
"ILMN_1910292",-0.747179179132431,4.92859019106368,-3.30729281942174,0.00162116429868138,0.999924139106537,-3.71621731046884,NA
"ILMN_1897091",-0.657654833141408,4.74535856274298,-3.29460691174845,0.00168394000247799,0.999924139106537,-3.72275219297052,NA
"ILMN_1773687",0.814744985349394,5.06596541831514,3.2934508297188,0.00168977348139661,0.999924139106537,-3.72334719293563,"YIF1B"
"ILMN_1892598",-0.757088592765448,4.83250508702152,-3.29086153829808,0.00170290805112004,0.999924139106537,-3.72467949803088,NA
"ILMN_1744623",-1.03823340790057,5.1463996276405,-3.28399798969165,0.00173819205566962,0.999924139106537,-3.72820892486183,"SPDYE7P"
"ILMN_2341343",-0.451301548596267,4.69460996890952,-3.27097492741635,0.00180704432744812,0.999924139106537,-3.73489701430211,"AGTR1"
"ILMN_1850767",-0.377842829359712,4.66434015743497,-3.26182744735658,0.00185693526229811,0.999924139106537,-3.73958787658907,NA
