"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733654",-1.03083853461578,5.10951213915284,-5.3114674052558,1.8000688579038e-06,0.0367671236619361,-0.264643985101087,"EOLA2"
"ILMN_1660982",0.741837014434624,4.6785495310664,5.22719149740495,2.45460874283011e-06,0.0367671236619361,-0.371560191281953,"BMS1P4"
"ILMN_2386040",-0.807101915246045,4.70558113981902,-5.12579560198662,3.557764441693e-06,0.0367671236619361,-0.500320070076605,"MYO19"
"ILMN_1699131",-1.00967205294327,4.93150721386823,-4.73090306972015,1.47535889751609e-05,0.114351379749228,-1.0017119010268,"LINC01000"
"ILMN_2249769",0.50293983828267,4.66879207329085,4.43365502572526,4.18452137207535e-05,0.222359744169642,-1.37691048490136,"PCDH11X"
"ILMN_2043079",-0.662551805434955,4.69462213094398,-4.39916056030443,4.7142983637409e-05,0.222359744169642,-1.42021012098014,"ILDR1"
"ILMN_1749372",0.66903398419791,4.69003699172026,4.36968409418757,5.21822713414521e-05,0.222359744169642,-1.45716093514974,"GGT5"
"ILMN_1652857",-0.59597967938629,4.68976266760951,-4.34206066694931,5.73776071140578e-05,0.222359744169642,-1.49174484395791,"SLC15A1"
"ILMN_1850767",-0.494684563260793,4.66434015743497,-4.27049439832431,7.3284302883387e-05,0.252448138032628,-1.58113187213217,NA
"ILMN_1886537",-0.990937197721041,4.97093788093742,-4.23826746927959,8.17737083876442e-05,0.253523028114213,-1.62127661142982,NA
"ILMN_2246154",0.462639191363826,4.55876426679888,4.08493882198829,0.000137050291304725,0.386270016483672,-1.81124740880372,"SCAND3"
"ILMN_1789463",-0.921388861710343,4.9582121942883,-4.05279782961859,0.000152549817369806,0.389893489960077,-1.85083231034788,"FXYD1"
"ILMN_2213008",0.508440001433879,4.68261189727561,4.03196167320994,0.000163487900186466,0.389893489960077,-1.87644643060249,"ARMC2"
"ILMN_1902604",-0.9835002139337,5.08960106078945,-3.99885316797428,0.000182441343872398,0.404016356005426,-1.91706724285667,NA
"ILMN_2150112",-0.582993203699533,4.73458924180251,-3.92793626391341,0.000230426448628204,0.476260745788013,-2.00372950746446,"NRN1"
"ILMN_1674874",-0.516020671955003,10.7849155307847,-3.88934179336,0.000261429228797474,0.506568148775506,-2.05068441701874,"MFSD10"
"ILMN_1864920",-0.739028449698888,4.82032261612564,-3.85613361459624,0.000291282154043779,0.519525376766384,-2.09096262644915,NA
"ILMN_1794643",-0.636417782765061,9.01038427995449,-3.83074510237928,0.000316287791409543,0.519525376766384,-2.12167667077826,"ZGPAT"
"ILMN_1758663",-0.494087817159084,4.71694818420858,-3.82870138683188,0.000318387967569632,0.519525376766384,-2.12414601541443,"OR5AR1"
"ILMN_1743763",-0.503622445588647,9.26690691347347,-3.79853057993437,0.000350993800743711,0.544093040222863,-2.16054614989953,"TJAP1"
"ILMN_1902247",-0.55983080437697,4.72268818695175,-3.74213281989946,0.000420727159276942,0.597332879252665,-2.22830864391237,NA
"ILMN_2340721",-0.628594557225261,7.92929513805659,-3.73666997038591,0.000428146385974073,0.597332879252665,-2.23485239537916,"TMEM134"
"ILMN_1654864",0.974035156676012,5.35150568029922,3.7259017037102,0.000443139574325429,0.597332879252665,-2.24774078255257,"BROX"
"ILMN_2133360",-0.531105771022506,14.7275934277131,-3.67154747508868,0.000526814955675252,0.660322259605869,-2.31257869985858,"RPS2"
"ILMN_1718734",-0.63868113163033,9.76115226689739,-3.66818082129296,0.000532466422286447,0.660322259605869,-2.31658249728,"MLLT6"
"ILMN_2330570",0.611874560581564,4.73655522800673,3.65125751411298,0.000561763698388419,0.669859997736006,-2.33668651980726,"LEPR"
"ILMN_1809439",-0.912968492306565,9.82784179611858,-3.63144451819088,0.000598021032135348,0.686683187381193,-2.36017607934471,"HMGB1"
"ILMN_2356745",0.619779874218871,4.75553975533171,3.61129373215052,0.000637182285747945,0.691378840960513,-2.38401296464912,"BTBD7"
"ILMN_2323526",0.496153677298683,9.97273799872593,3.5999875881656,0.000660214208728661,0.691378840960513,-2.39736348299645,"WAC"
"ILMN_1685928",0.576387351198461,4.85689399401994,3.59124109940175,0.000678574358105744,0.691378840960513,-2.40767963560064,"DYNC2I2"
"ILMN_1862648",-0.465199670549504,4.78643092218642,-3.58530472555906,0.000691311939805048,0.691378840960513,-2.41467542044462,NA
"ILMN_1812403",-0.790929561653511,10.2888035311751,-3.55978448283854,0.000748712727596726,0.718627049054919,-2.44469468411807,"BCAP31"
"ILMN_1721423",0.505075184752445,4.70243934961295,3.54550288507866,0.000782788019805308,0.718627049054919,-2.46145433822653,NA
"ILMN_1652931",-0.88727871531446,5.00245754458862,-3.53091654478668,0.000819111771758915,0.718627049054919,-2.478541787465,"CLDN25"
"ILMN_1676997",-0.589763898998658,4.78106018346126,-3.53025326914313,0.000820801054428389,0.718627049054919,-2.47931807243276,"TREX1"
"ILMN_2215989",-0.506527434126296,4.70324484680979,-3.52493983999177,0.000834453884010486,0.718627049054919,-2.48553452762706,"NEFM"
"ILMN_1864292",-0.525372537465712,4.72468076670647,-3.49525988964446,0.000914778765764884,0.751131491770238,-2.52018338542014,NA
"ILMN_2383305",-0.920751606829114,6.21938798014787,-3.49318784750544,0.000920652733195789,0.751131491770238,-2.52259750813917,"GPATCH4"
"ILMN_1782543",-0.750845616268117,9.78520415364114,-3.47923616559084,0.000961147255460613,0.76156011045923,-2.53883597229927,"EEF1D"
"ILMN_1763627",0.603667518308267,4.99142256995791,3.47208193077352,0.000982563120290592,0.76156011045923,-2.5471515939436,"TNPO1"
"ILMN_1782621",0.5717493063331,15.0206778678625,3.46149265962046,0.00101509519266589,0.767585274590748,-2.55944577509067,"RPS12"
"ILMN_1742427",0.73226425823789,8.39086351762299,3.41796570774391,0.00115987123079442,0.836467459509196,-2.6098011229681,"POLR1D"
"ILMN_1661917",-0.574140364077033,14.1920592645306,-3.41788725236632,0.00116014904231511,0.836467459509196,-2.60989162182571,"RPL10"
"ILMN_1737842",-0.637463397829145,4.68776079580753,-3.40630982744484,0.00120184354240353,0.843546424931726,-2.62323569462703,"SLC35G6"
"ILMN_2345292",-0.852570545954638,5.2545619866337,-3.40020842183375,0.00122438438608934,0.843546424931726,-2.63025965161713,"FXYD1"
"ILMN_1764308",-0.770542884470244,4.91339606839804,-3.38824582605917,0.0012697460901984,0.855781261617848,-2.64401390145974,NA
"ILMN_1688749",-0.464020692847408,14.0097590617865,-3.36983521878072,0.0013426798769947,0.87834768772985,-2.66513717513885,"RPS2"
"ILMN_1760971",-0.421783555892332,4.62472396290997,-3.36562896580031,0.00135989062384391,0.87834768772985,-2.66995551750514,NA
"ILMN_1705534",-0.594762520034633,4.81787234380448,-3.3567672189897,0.00139683580278112,0.883797967216799,-2.6800974078088,NA
"ILMN_1858245",-0.658443900633197,4.82691793708557,-3.33674673215692,0.00148382762556164,0.892750934681218,-2.70296265033588,NA
"ILMN_1708126",-0.509096009220732,4.7212903911861,-3.33404420258511,0.00149595545931472,0.892750934681218,-2.70604412220526,"GOLGA6A"
"ILMN_1766916",0.596909506520767,8.23372762194752,3.31759272492064,0.00157182758572736,0.892750934681218,-2.72477615095894,"RPAP3"
"ILMN_1739558",-0.66045500515827,7.61284785101005,-3.31410244610955,0.00158838502597371,0.892750934681218,-2.72874443647417,"CRELD1"
"ILMN_1859665",-0.633140254750607,4.80996873785421,-3.3123543501374,0.00159673954660204,0.892750934681218,-2.73073117037662,NA
"ILMN_1773175",-0.799214722756093,4.93208323902645,-3.31039073686559,0.00160617354888938,0.892750934681218,-2.73296222835832,NA
"ILMN_1673711",-0.759315808228919,9.39979087911725,-3.30323890043178,0.00164098070705689,0.892750934681218,-2.74108263986192,"HSP90AB1"
"ILMN_1695369",0.75756882427755,5.06534110510544,3.29497665071572,0.0016820783494364,0.892750934681218,-2.75045304656904,"PLEKHM3"
"ILMN_1673023",-0.534027691772307,8.82946169059696,-3.29193691775037,0.00169744137423484,0.892750934681218,-2.75389755116224,"EP400"
"ILMN_2382121",0.804787893104269,5.50431575168464,3.27731521586801,0.00177320844070376,0.892750934681218,-2.77044415599938,"OCRL"
"ILMN_1869445",-0.675403675352268,4.86812676951517,-3.27724190893197,0.0017735962174139,0.892750934681218,-2.77052702089764,NA
"ILMN_1727642",-0.914810405173538,6.07366701891606,-3.27716548384128,0.00177400057358106,0.892750934681218,-2.77061340951645,"MOGS"
"ILMN_1910292",-0.738707495667348,4.92859019106368,-3.26979399895807,0.00181341339825849,0.892750934681218,-2.7789411666672,NA
"ILMN_1703246",-0.449037625817152,9.06011893589657,-3.26966235011871,0.00181412472615285,0.892750934681218,-2.77908980821061,"SBF1"
"ILMN_1692368",-0.474439516506791,4.68647892100169,-3.26402727819154,0.0018448200398535,0.893671182743406,-2.78544940964,"DLX2"
"ILMN_1659543",-0.725568059495036,4.89009550819955,-3.24521519930491,0.00195087519647739,0.911357633677616,-2.80664007781515,NA
"ILMN_1910820",0.38512234425766,4.66268222951549,3.23528242462722,0.00200916314384349,0.911357633677616,-2.81780361362954,NA
"ILMN_1698395",0.655885636650472,4.98034399850084,3.23069101516704,0.00203665722472285,0.911357633677616,-2.82295802647575,"GNB5"
"ILMN_2381769",0.424263549244771,4.67443787218776,3.22292009780094,0.00208399913107565,0.911357633677616,-2.83167326009504,"ATE1"
"ILMN_1670561",-0.749380595457547,7.40259268087463,-3.21947638558229,0.00210530830569044,0.911357633677616,-2.83553199581137,"TCEAL8"
"ILMN_1903135",-0.69629487627126,4.97487042433555,-3.21877152363371,0.00210969508368375,0.911357633677616,-2.83632154291747,NA
"ILMN_1720468",0.425881943939436,4.63201108824683,3.21570906472715,0.00212885463155552,0.911357633677616,-2.83975090269331,"NPSR1"
"ILMN_1727917",0.428514241705335,4.60120363819015,3.21530619990053,0.00213138720727192,0.911357633677616,-2.84020190763755,"CALHM5"
"ILMN_1809607",0.872130975195134,5.56229794644988,3.20843622967653,0.00217501329868777,0.911357633677616,-2.84788829971318,"PPIF"
"ILMN_1901394",-0.471652450966376,4.79397465511963,-3.20839332791482,0.00217528835571214,0.911357633677616,-2.8479362731235,NA
"ILMN_1694686",-0.550877844807071,7.65285061995594,-3.19907245915311,0.00223582913614055,0.915608966874298,-2.8583511080687,"HMGXB3"
"ILMN_1760617",0.581434402707447,4.81138241509701,3.19775672688997,0.00224450154767108,0.915608966874298,-2.85981999407917,"IFT80"
"ILMN_1806434",0.435679464221275,4.74060832712106,3.19149275925503,0.00228622466915414,0.919649474564958,-2.86680877394679,"PAQR5"
"ILMN_1656372",-0.924322818828307,5.19823251788503,-3.1874214048681,0.00231373283282478,0.919649474564958,-2.8713473870466,"PES1"
"ILMN_1659752",1.05410839844825,6.40972354347673,3.18051369359924,0.00236111745810833,0.926604108275096,-2.87904092562365,"AIDA"
"ILMN_1705774",-0.702963355154045,7.05536043590251,-3.17607493061761,0.00239204533051137,0.927007267273049,-2.88398001367308,"TIGD5"
"ILMN_1736461",-0.533740355714054,4.81019217198302,-3.15652213668067,0.00253286650757202,0.945581624314256,-2.90569330966558,NA
"ILMN_1684108",-0.688914898197183,4.86605444385927,-3.15495535004645,0.00254448100607049,0.945581624314256,-2.90743013910783,"IRX4"
"ILMN_1702175",1.00813634105295,5.95360059174802,3.14361118439563,0.00263007713999176,0.945581624314256,-2.91999175355895,"ST7"
"ILMN_1850842",-0.527659893802824,4.7472585549862,-3.13569211227862,0.00269142205238655,0.945581624314256,-2.9287463328065,NA
"ILMN_1854300",0.350880709677106,4.72282429306746,3.13436006061262,0.00270187162722912,0.945581624314256,-2.93021775821704,NA
"ILMN_1726421",0.544917416242058,7.19294200770101,3.13356155326132,0.00270815391415533,0.945581624314256,-2.93109965288546,"METTL9"
"ILMN_1790472",-0.416841694560643,9.71118134382107,-3.13136075065853,0.00272553975666474,0.945581624314256,-2.93352965700995,"SLC25A28"
"ILMN_1678671",-0.48450791332762,9.11201664734737,-3.12496646099661,0.00277664852926401,0.945581624314256,-2.94058465388615,"KLHL24"
"ILMN_1696079",-0.482053553731192,4.67575294580477,-3.12391610705284,0.00278512926396833,0.945581624314256,-2.94174279387032,"DNAJC6"
"ILMN_1697559",0.663665515708206,8.23122738380047,3.12208004584565,0.00280001224810213,0.945581624314256,-2.94376676380496,"G6PD"
"ILMN_1905711",-0.586487009950312,4.74484656634215,-3.12010945920943,0.00281606856347085,0.945581624314256,-2.94593831053759,NA
"ILMN_2048326",-0.424331242878504,14.842297707208,-3.11781400509469,0.00283488063560646,0.945581624314256,-2.94846691825361,"RPS27A"
"ILMN_1765876",-0.670868395811925,6.43185015932958,-3.11414088364513,0.0028652282427559,0.945581624314256,-2.95251102565683,"ARHGAP24"
"ILMN_2131392",-0.510335609239865,7.17886837535848,-3.11393117049813,0.00286697005726994,0.945581624314256,-2.95274184177528,"WDR70"
"ILMN_1897932",0.373099918792295,4.62312087421854,3.10881614020451,0.00290976225971857,0.94959325619005,-2.95836896925856,NA
"ILMN_1817180",-0.514818493266302,4.80018938847256,-3.09538704072567,0.00302497275750676,0.97668172539678,-2.97311851727659,NA
"ILMN_2094332",0.799378265845216,5.62706336746914,3.08724469240905,0.00309689161089794,0.97668172539678,-2.98204444603057,"TXLNGY"
"ILMN_1672650",0.781098353026582,7.13309687256368,3.08607041681863,0.00310739462830842,0.97668172539678,-2.98333066220264,"PKM"
"ILMN_2366642",-0.497158918970846,4.73597672240125,-3.08480183998205,0.00311877853157053,0.97668172539678,-2.98471986648543,"VCX3A"
"ILMN_1796962",1.00680675208378,9.67636279839402,3.07644246351048,0.00319477438374404,0.985496184557671,-2.99386624916893,"PPP3R1"
"ILMN_1857161",0.516642496081943,4.66532419166032,3.06895597296555,0.00326430088685578,0.985496184557671,-3.00204591612119,NA
"ILMN_1796397",1.24156739576647,7.32553733797877,3.06862950562399,0.00326736470861948,0.985496184557671,-3.00240235984818,"CISD2"
"ILMN_1804104",-0.746746183488392,5.36356267077504,-3.05363615292775,0.00341100460617976,0.985496184557671,-3.01874967239753,"ZAP70"
"ILMN_1691692",0.446981426176963,4.67057263829342,3.05238640227252,0.00342324004360735,0.985496184557671,-3.02011026441699,"PDE9A"
"ILMN_1653319",-0.761709307236869,6.14181437716801,-3.05215791786833,0.00342548140190139,0.985496184557671,-3.02035897962601,"MC1R"
"ILMN_2361163",0.896744891070007,7.74901930668994,3.05079286908236,0.00343890066604343,0.985496184557671,-3.02184467770617,"SSBP3"
"ILMN_1752333",0.451773073232975,8.85524044262718,3.04922832246523,0.00345434148314537,0.985496184557671,-3.02354704887737,"SLC35E1"
"ILMN_1714738",-0.636853658851057,4.97763126278509,-3.04752157328405,0.00347125953782336,0.985496184557671,-3.02540359202882,"SCMH1"
"ILMN_1698725",1.0232446403851,7.41406322571735,3.04543456318283,0.00349205203682417,0.985496184557671,-3.02767297846235,"FRMD3"
"ILMN_1786290",-0.717406222747083,4.86223409490977,-3.03838982744744,0.00356309917471336,0.985496184557671,-3.03532688361986,NA
"ILMN_1839980",-0.598929109740197,4.90139573835344,-3.03460312922492,0.00360184374489045,0.985496184557671,-3.03943690403063,NA
"ILMN_1810051",-0.510883904615389,4.82705760540278,-3.0258341501647,0.00369307995466277,0.985496184557671,-3.04894350908513,"EPB41L4B"
"ILMN_1743097",-0.563903983732988,8.58408406250697,-3.01620566773231,0.00379573896682867,0.985496184557671,-3.05936397709548,"XRCC6"
"ILMN_1735453",-0.679205143108834,7.1526279034834,-3.01512389453335,0.0038074376265279,0.985496184557671,-3.0605335530675,"FAM98A"
"ILMN_1796855",0.449399469145341,9.12907586420291,3.01508270722947,0.00380788370340249,0.985496184557671,-3.06057807865159,"TIAL1"
"ILMN_1842578",-0.675709443260346,4.95004783691043,-3.01328966074972,0.00382735048738681,0.985496184557671,-3.06251611843183,NA
"ILMN_1700604",-0.402902562062183,9.56072141909278,-3.00512972349871,0.00391711868503054,0.985496184557671,-3.07132760742551,"RBM14"
"ILMN_1819158",-0.563084971851064,4.85235378325146,-3.00268605781006,0.00394438101069498,0.985496184557671,-3.07396374106747,NA
"ILMN_1905489",-0.457193003429726,4.83500746818248,-3.00217700273283,0.00395008239540666,0.985496184557671,-3.07451273610137,NA
"ILMN_1735680",-0.621169426640988,8.01417879309733,-3.00182631165069,0.0039540145785291,0.985496184557671,-3.07489091110125,"TMEM30A"
"ILMN_2052208",0.723561809402347,8.20765840774924,3.00156435704236,0.00395695416776456,0.985496184557671,-3.07517337880335,"GADD45A"
"ILMN_1906333",-0.41062209089257,4.62516670698066,-3.00020501144348,0.00397224112451011,0.985496184557671,-3.07663894536854,NA
"ILMN_1751135",-0.805784252450777,4.84036739747851,-3.00018187645859,0.00397250177186124,0.985496184557671,-3.07666388486316,"GGA3"
"ILMN_1836733",0.424093348569761,4.69718229377626,3.00007881616998,0.00397366308100405,0.985496184557671,-3.07677498243229,NA
"ILMN_1693345",0.376234086947185,4.61321255750703,2.99792380876405,0.00399801880136393,0.985496184557671,-3.07909755022405,"CPEB1"
"ILMN_1760020",-0.622584300206373,4.81742990186055,-2.99571457542068,0.00402313165546366,0.985496184557671,-3.08147756778351,NA
"ILMN_1670931",-0.662921523107218,7.95573557787242,-2.99420202821071,0.00404040975465848,0.985496184557671,-3.08310646195085,"PDS5A"
"ILMN_1675767",-0.568038532813403,4.66390907840978,-2.9917339245122,0.00406875178606528,0.985496184557671,-3.08576340149962,NA
"ILMN_1760705",-0.493961669703226,4.76138978267646,-2.98630586567231,0.00413173639104801,0.987141466260371,-3.09160233356937,"POF1B"
"ILMN_1694504",-0.523155821783147,8.33674975498998,-2.98566562932532,0.00413922493351767,0.987141466260371,-3.09229062992361,"RNF220"
"ILMN_1754570",-0.450181735903385,4.74917682585195,-2.97945919222057,0.00421247636529757,0.996942021017714,-3.0989585496745,"KCTD8"
"ILMN_2358074",-0.545249027963316,4.75412054900522,-2.97139158569492,0.00430949778223206,0.999511925794071,-3.10761404145043,"MAD1L1"
"ILMN_1803371",-0.619724425069333,4.82519132216792,-2.96343203522278,0.0044072531849805,0.999511925794071,-3.11614026895182,NA
"ILMN_1745655",-0.507227822713578,8.23150006854071,-2.95566592541215,0.00450461654794627,0.999511925794071,-3.12444646021388,"PEX16"
"ILMN_1768181",-0.742397354711708,7.97047537529771,-2.95559933742461,0.0045054599363184,0.999511925794071,-3.12451762402392,"TOR3A"
"ILMN_1864421",-0.50163440175424,4.72572385990745,-2.95535620718575,0.00450854061520827,0.999511925794071,-3.12477745385012,NA
"ILMN_2374249",-0.53171716935271,8.14684368912461,-2.95405526540848,0.00452505800754632,0.999511925794071,-3.12616753986365,"DYRK2"
"ILMN_1912620",-0.399272032653116,4.72380941484874,-2.95290283429787,0.00453973679094694,0.999511925794071,-3.12739864036125,NA
"ILMN_1730101",-0.453508823388614,7.4688092817314,-2.94960382472582,0.00458200203767749,0.999511925794071,-3.13092130104637,"GSPT2"
"ILMN_1827050",0.480064376028279,4.80115693505909,2.94843927381814,0.00459700877872625,0.999511925794071,-3.13216425090328,"LINC01838"
