"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1733654",-1.02196771799995,5.10951213915284,-5.26575990429345,2.13019271517275e-06,0.0660423647485007,-2.65781009334046,"EOLA2"
"ILMN_2386040",-0.677248112182357,4.70558113981902,-4.3011115812057,6.60147178672166e-05,0.99993968496637,-3.18970445321733,"MYO19"
"ILMN_2048326",-0.558590258061489,14.842297707208,-4.10429483787086,0.000128462346748986,0.99993968496637,-3.29774073337173,"RPS27A"
"ILMN_2184612",0.640355211748586,4.6575000519627,3.93894728917632,0.000222251041408227,0.99993968496637,-3.38781549312026,"C3orf52"
"ILMN_1751135",-1.04599185427771,4.84036739747851,-3.8945484409538,0.000257023971402652,0.99993968496637,-3.41186515054223,"GGA3"
"ILMN_1864920",-0.741579418490841,4.82032261612564,-3.8694441664599,0.000278942720425841,0.99993968496637,-3.42543440159421,NA
"ILMN_1705774",-0.84179321657271,7.05536043590251,-3.80332532601882,0.00034560613432229,0.99993968496637,-3.46106533069003,"TIGD5"
"ILMN_2345292",-0.931403052762337,5.2545619866337,-3.71460698372832,0.000459405396838348,0.99993968496637,-3.50860935661009,"FXYD1"
"ILMN_1824412",-0.483232298856893,4.65582502821414,-3.70312460077453,0.000476526430391623,0.99993968496637,-3.51473884435379,NA
"ILMN_1661514",0.413449519929818,4.6605977222383,3.70044060673121,0.000480615597214008,0.99993968496637,-3.51617078093953,"MYMK"
"ILMN_1678831",0.632977466158501,5.04369285224075,3.67507204042956,0.000520959864048644,0.99993968496637,-3.52968947876942,"GCC2"
"ILMN_1698395",0.739968135816931,4.98034399850084,3.64485555759723,0.000573243100655863,0.99993968496637,-3.54575372566053,"GNB5"
"ILMN_1703617",-0.740824743040829,7.65922692898811,-3.58639160509523,0.000688962919839666,0.99993968496637,-3.57671324657184,"AHSA1"
"ILMN_1731113",-0.581121697685178,7.90572441784734,-3.56768772638593,0.000730468098265796,0.99993968496637,-3.5865824575711,"ZBTB43"
"ILMN_1684623",-0.487213888975671,4.68658427135644,-3.55661907532056,0.000756141133923572,0.99993968496637,-3.59241454811223,"ZNF197"
"ILMN_1748685",0.62272850503467,4.8519829221705,3.55438010057848,0.000761437769826874,0.99993968496637,-3.59359350413001,"TRIM31"
"ILMN_1794643",-0.589146694644899,9.01038427995449,-3.54620954381319,0.000781067794033216,0.99993968496637,-3.59789360184278,"ZGPAT"
"ILMN_1912620",-0.479317183247995,4.72380941484874,-3.54489409021629,0.000784272906675487,0.99993968496637,-3.59858559086081,NA
"ILMN_1698725",1.18793936975781,7.41406322571735,3.5356076864126,0.000807258119111592,0.99993968496637,-3.60346809626159,"FRMD3"
"ILMN_2078430",0.462293481286707,4.66475997310998,3.50781169668165,0.000879950554414035,0.99993968496637,-3.61805510706426,"MAGEB2"
"ILMN_1668533",-0.52966983524732,4.68549764739107,-3.47327525611467,0.000978959736958325,0.99993968496637,-3.63612106121626,"UROC1"
"ILMN_1821030",0.530023283131694,4.71755756252104,3.46774280014861,0.000995772096862077,0.99993968496637,-3.63900893002584,NA
"ILMN_1781151",0.840598835109558,7.27431384468869,3.46609019336883,0.00100084709026372,0.99993968496637,-3.63987123489355,"ARMC8"
"ILMN_1817438",0.502405220803646,4.71141665112105,3.45675325231277,0.00102998444599809,0.99993968496637,-3.64474020545018,NA
"ILMN_1758663",-0.444932058937437,4.71694818420858,-3.44779193483178,0.00105870556505531,0.99993968496637,-3.64940862989732,"OR5AR1"
"ILMN_1784408",-0.451930938728696,4.74833354997182,-3.43473046059863,0.00110193213834668,0.99993968496637,-3.65620476954419,"C8orf48"
"ILMN_1778320",0.495018773157268,4.6582049646038,3.40136231503019,0.00122009099746578,0.99993968496637,-3.67352150131877,NA
"ILMN_1739645",0.426340412941174,4.74589920145761,3.39500701189674,0.00124391600917277,0.99993968496637,-3.67681213168579,"ANLN"
