"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1710284",-0.69604882328258,4.72587937397124,-4.74591848772871,1.39871716015057e-05,0.408379745151159,-2.5920172123331,"HES1"
"ILMN_1739645",0.573458363162892,4.74589920145761,4.56652736844225,2.63445308616043e-05,0.408379745151159,-2.71329584962516,"ANLN"
"ILMN_2043079",-0.660626951993488,4.69462213094398,-4.38638006634969,4.92669776515206e-05,0.461962348313749,-2.83486014682235,"ILDR1"
"ILMN_1668533",-0.660466901548147,4.68549764739107,-4.33096845237329,5.9602276981421e-05,0.461962348313749,-2.87216207920346,"UROC1"
"ILMN_1658452",0.813816976170486,4.89672312522056,4.16947940300415,0.000103201606334205,0.591439371054633,-2.98051030064331,"FAM53A"
"ILMN_1910292",-0.927751068994713,4.92859019106368,-4.10657113366006,0.000127487252698926,0.591439371054633,-3.02253547739624,NA
"ILMN_1758663",-0.526946266208903,4.71694818420858,-4.08332249886322,0.000137792008204979,0.591439371054633,-3.03803603390106,"OR5AR1"
"ILMN_1864920",-0.776694659547982,4.82032261612564,-4.05266994278863,0.000152614745941911,0.591439371054633,-3.05844606304794,NA
"ILMN_1905427",-0.486083014250504,4.69069417973215,-3.9523056207123,0.000212707387183538,0.693245753928786,-3.12503968923369,NA
"ILMN_1693559",-0.800555338393893,4.97014200917766,-3.90185558259043,0.000250961759279026,0.693245753928786,-3.15836526406502,"DOT1L"
"ILMN_1902247",-0.582847022264564,4.72268818695175,-3.89598241815973,0.000255823302073501,0.693245753928786,-3.16223788304352,NA
"ILMN_1897299",-0.481534327410094,4.68015924306142,-3.88135604250432,0.000268327227918118,0.693245753928786,-3.1718755994072,NA
"ILMN_1652857",-0.526519463120715,4.68976266760951,-3.83600235087531,0.00031094624759113,0.695875475640571,-3.20169910517871,"SLC15A1"
"ILMN_1780758",-0.522236317514035,4.68318058756091,-3.80627402706125,0.000342332296142585,0.695875475640571,-3.22119541782278,"POLR1A"
"ILMN_1796455",0.375171365562927,4.65154472980997,3.79770259691225,0.000351932294236243,0.695875475640571,-3.22680872118841,"RYR3"
"ILMN_1779235",0.414566934402521,4.63374053900304,3.79142474567041,0.000359126781609816,0.695875475640571,-3.2309176849013,NA
"ILMN_1684623",-0.49968867243511,4.68658427135644,-3.64768391114783,0.000568144195454715,0.954649369637346,-3.32442871811118,"ZNF197"
"ILMN_1783728",0.655206326236295,7.59727410068636,3.64461554684372,0.000573677793870991,0.954649369637346,-3.32641221739396,"TBRG4"
"ILMN_1734201",-0.608952335337871,4.82131071138894,-3.63839687595987,0.000585051060320278,0.954649369637346,-3.33043047206147,NA
"ILMN_1910712",0.448664684307162,4.59867595997151,3.6068700585144,0.000646101018448927,0.986355756251124,-3.35076598434593,NA
"ILMN_1850767",-0.416575478352004,4.66434015743497,-3.59619721111782,0.000668111824058111,0.986355756251124,-3.35763640912617,NA
"ILMN_1671351",0.886101343435197,5.34393403901107,3.55052517796903,0.000770640069968913,0.999838153303228,-3.3869555021378,"TAB3"
"ILMN_1659543",-0.788819761647302,4.89009550819955,-3.52811820546713,0.000826261344763457,0.999838153303228,-3.40129009526417,NA
