"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1685544",0.481877167625374,4.74192094857058,5.63472494306,5.41063153801594e-07,0.0167745809573108,4.36468456216512,"MPPED1"
"ILMN_2357334",0.65051146171134,4.71210433544136,5.16194705275938,3.11757030451747e-06,0.0483270160754776,3.11793738579349,"CPN2"
"ILMN_1744268",-0.803957882063695,7.15223702471232,-4.91002183902411,7.77702189926396e-06,0.0686659571262977,2.46196533231059,"PLEC"
"ILMN_1669898",0.486059737003211,4.74230029118896,4.87376525055604,8.85926615183017e-06,0.0686659571262977,2.36821292170567,"EGFL7"
"ILMN_1823347",-0.540899384846938,4.84347226633565,-4.80446050630338,1.135396063555e-05,0.0704013683167914,2.18952307352686,NA
"ILMN_2337386",0.543951303443584,4.65676720993986,4.65903562528692,1.90284483620518e-05,0.0846687713709594,1.81697280506356,"CCR9"
"ILMN_1758392",0.468203028872581,4.65698825616474,4.65772181533297,1.91169048026551e-05,0.0846687713709594,1.81362292203231,"ANKS1B"
"ILMN_2212909",0.480953330012357,4.70112848303599,4.55623080146777,2.73116390523436e-05,0.100721102878378,1.55576824944036,"MELK"
"ILMN_1821522",-0.464520234462838,4.77596182650729,-4.53673240672608,2.92387809536303e-05,0.100721102878378,1.50644504268254,NA
"ILMN_1710668",0.787699781164372,4.96102517932957,4.44556914453385,4.01536982012882e-05,0.124488510533454,1.27681508483192,"LETM1"
"ILMN_1782958",0.445448392687914,4.69506410018422,4.38680491346036,4.91949003200439e-05,0.127389140446741,1.12968646496685,NA
"ILMN_2368535",0.426288200012023,4.65451694448578,4.38614351809408,4.93071536741895e-05,0.127389140446741,1.12803465563415,"FBXO17"
"ILMN_1747696",-0.598811022962917,4.81323990884251,-4.3071046393355,6.46760584184379e-05,0.139483860749643,0.931323604734726,"TPM3"
"ILMN_1811277",0.566259658998979,4.83807171854243,4.30159646153255,6.59054185129143e-05,0.139483860749643,0.917666647783263,"TRIM13"
"ILMN_2193706",-0.546264456949769,4.99223288746172,-4.29466083750384,6.74856598150064e-05,0.139483860749643,0.900480283931805,"HRK"
"ILMN_2333440",-0.706876198702103,5.66571666410211,-4.23110487772481,8.3786126687572e-05,0.152601453701508,0.743507449783268,"TM9SF1"
"ILMN_1833458",0.4851321926175,4.85256462999165,4.22627329396707,8.51706443893351e-05,0.152601453701508,0.731613089081789,NA
"ILMN_1750051",-0.659437339710254,5.91985197956381,-4.21463029364548,8.8598721627815e-05,0.152601453701508,0.702973404695431,"AMER1"
"ILMN_1884150",-0.510058804638894,4.87560193976258,-4.1529911099976,0.000109094587238243,0.178013657270908,0.551902817614634,NA
"ILMN_1829296",-0.32913409391179,4.70891294804682,-4.06029178695917,0.000148791333121372,0.230648885038095,0.326516983678956,NA
"ILMN_1711703",-0.536697980779644,6.14651062242594,-4.0407944849083,0.000158761642158488,0.234385104373315,0.279399165437857,"PHAF1"
"ILMN_1838861",-0.453590997880746,4.89505175402782,-4.0110489484646,0.000175225393694945,0.24693240366929,0.207713265938268,NA
"ILMN_1678652",-0.926967866545603,6.02517269777692,-3.99155963779092,0.000186892791582761,0.251923357280015,0.160876233784318,"TCTN3"
"ILMN_1891857",-0.555337689930325,6.82140941563568,-3.95392538472684,0.00021157736532587,0.262305686309833,0.0707332123151385,"RAB2A"
"ILMN_1812384",-0.603540874519305,5.14328019370681,-3.94049384406251,0.000221125375022394,0.262305686309833,0.0386586270569804,"NR3C1"
"ILMN_1658602",0.322900294750948,4.63142231018137,3.93666821149265,0.000223919939829265,0.262305686309833,0.0295324527911207,"ASAH2"
"ILMN_1893075",0.510040214346795,4.92356295940408,3.93057979299815,0.000228437684429426,0.262305686309833,0.0150170119978714,NA
"ILMN_1669315",0.260650093873239,4.6556666976494,3.9113573747936,0.000243284261198976,0.265254954649382,-0.0307408803449114,NA
"ILMN_1783392",-0.746687879077027,5.75429013065246,-3.90534237811636,0.000248117720376482,0.265254954649382,-0.0450371400078096,"BTN2A1"
"ILMN_1790529",0.369938134021221,4.64809012901975,3.88892942079972,0.000261781216638248,0.27053343531452,-0.083992915222268,"LUM"
"ILMN_1691163",0.291154669815354,4.67942502997083,3.86608559178612,0.000282007998947007,0.28203529004368,-0.138079405034962,NA
"ILMN_1808218",0.540611090351387,5.17747733234462,3.84318038801655,0.00030379283851674,0.288362463710228,-0.192154146661675,NA
"ILMN_1713146",-0.593218247425238,5.07292750276864,-3.84000583164394,0.000306936790066688,0.288362463710228,-0.19963613240065,NA
"ILMN_1910390",0.336270052800453,4.69897849859277,3.79702203457014,0.000352705493003941,0.300614549198128,-0.300638800710201,NA
"ILMN_1809404",0.310310895587247,4.67915658141603,3.79419431413157,0.000355935603239647,0.300614549198128,-0.307263293806539,NA
"ILMN_1764778",0.386802127667573,4.72701964867538,3.78608497218208,0.000365357054483401,0.300614549198128,-0.326247167418294,NA
"ILMN_2359096",0.606618419800878,5.47714745146847,3.78307760313927,0.000368911448133268,0.300614549198128,-0.333282144780025,"SS18"
"ILMN_1712357",-0.777543915468409,6.09484683436328,-3.77568096645863,0.000377795118822963,0.300614549198128,-0.350572602510201,"HNRNPK"
"ILMN_1674152",-0.664145975288578,6.14732832302677,-3.77538411117213,0.000378155901645872,0.300614549198128,-0.351266174866049,"NFKBIB"
"ILMN_2319326",-0.624888745086792,6.29779447577073,-3.75273109060435,0.000406683130893471,0.315209927677257,-0.404110312079641,"ADARB1"
"ILMN_1707236",-0.5608095129482,6.74644714947926,-3.69613225027388,0.000487249820626685,0.364168261769259,-0.535421044704504,"HCCS"
"ILMN_1704682",0.50152865399687,4.79226897825915,3.69222535602172,0.000493341515153658,0.364168261769259,-0.544446567240867,"APOL4"
"ILMN_1886231",-0.289628191735302,4.75801517831189,-3.66569301703306,0.000536679781979235,0.373198254916268,-0.605606484930465,NA
"ILMN_1660654",0.404958155821704,4.80048689515601,3.65231504620805,0.000559888689523173,0.373198254916268,-0.63635498919898,"CDCA2"
"ILMN_1726437",0.315311643731995,4.69061312379967,3.65133204285117,0.000561631362383525,0.373198254916268,-0.638611991807865,"EFCAB3"
"ILMN_1814606",-0.464560391017876,4.95199830475961,-3.64300133619775,0.000576609545994632,0.373198254916268,-0.657726418747545,"GALNT2"
"ILMN_1685629",0.438201710697626,4.64570081632911,3.64298347826907,0.000576642059705456,0.373198254916268,-0.657767367732108,"KIR2DL5B"
"ILMN_1741960",0.565021633191892,4.88088846888957,3.64013713399978,0.0005818468052112,0.373198254916268,-0.664292773582578,"DGKG"
"ILMN_1727789",0.541767694320922,4.79369307050457,3.6350802728959,0.000591204483028869,0.373198254916268,-0.675879131784592,"RLIM"
"ILMN_1761829",0.714918379753651,5.45124611734074,3.62580989388586,0.000608733654467003,0.373198254916268,-0.697096957571248,"HK1"
"ILMN_2274420",-0.524186746776238,6.48411591396809,-3.62211729642242,0.000615853166165736,0.373198254916268,-0.70554031406472,"SPTLC1"
"ILMN_1665998",0.349570769339802,4.6840547784488,3.61695005552649,0.000625949400240169,0.373198254916268,-0.717347693386827,"HS3ST4"
"ILMN_1745852",-0.500362847368222,7.5390823931701,-3.59895822295074,0.000662350138082763,0.387449836433583,-0.758388138440352,"WDR33"
"ILMN_2289576",0.434677739732706,4.66648676603146,3.57593785654661,0.000711874970869249,0.408708513367765,-0.810735201742226,"VWA1"
"ILMN_1727049",0.463092536079353,4.83510910772054,3.56923725579456,0.000726941032363325,0.409770051388366,-0.825937177505989,"SLC29A4"
"ILMN_1670238",0.548595872397985,4.94443263298779,3.55145215705175,0.000768417603329513,0.422383010369071,-0.866210317466836,"CDC45"
"ILMN_1899666",-0.374982472814288,4.71428226253226,-3.54806648021799,0.00077656457733242,0.422383010369071,-0.873864255774494,NA
"ILMN_1796751",0.620486554347069,4.7713502924812,3.5306448031924,0.000819803464172722,0.43147062802758,-0.913184503809362,"PALD1"
"ILMN_1905198",0.321119055061777,4.74527367417445,3.53013345021809,0.000821106572061647,0.43147062802758,-0.914336972914543,NA
"ILMN_2138745",0.402090554893665,4.64418906741133,3.51491296150569,0.000860808626647856,0.431795671743108,-0.948597293465212,"ARMH4"
"ILMN_1702056",0.417419720001399,4.68981200497345,3.51176663587218,0.00086924037244279,0.431795671743108,-0.955669037723252,"ENTREP3"
"ILMN_1916061",0.337305829088611,4.72624113953091,3.51041387794797,0.000872889684000097,0.431795671743108,-0.958708421556556,NA
"ILMN_2046470",0.627741543416396,7.09903143598996,3.50873636431929,0.000877435323027315,0.431795671743108,-0.962476547025275,"DAAM1"
"ILMN_1666477",-0.516757828132623,5.05537140750006,-3.49502256128843,0.000915449749592394,0.438496753869075,-0.993242904700033,"RPL35"
"ILMN_1662902",-0.46544971966564,5.06632719577589,-3.49364992402962,0.00091933970910847,0.438496753869075,-0.996318586748137,"ANKRD13D"
"ILMN_2264788",0.292715250426431,4.75793529764777,3.47910627600772,0.000961532090595879,0.446151075053611,-1.02886429667583,"PPP2R2B"
"ILMN_1689029",-0.599226969058365,6.54603417576943,-3.47607436602641,0.000970556691531196,0.446151075053611,-1.0356393031502,"WDR7"
"ILMN_1692100",-0.668184788494872,5.89409402881386,-3.47340813487336,0.000978559271800972,0.446151075053611,-1.04159437590354,"ZNF35"
"ILMN_1665733",0.331033777063012,4.68313039453406,3.45922945182011,0.00102217957878826,0.453522623705676,-1.07321854877722,NA
