"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1695509",-1.20110101386313,9.09481315513465,-7.57212624753963,3.20541265581656e-10,9.93774085682809e-06,12.7950782548581,"PTPN12"
"ILMN_1754531",-0.678976441285863,6.98836789378937,-7.32912001412113,8.21073651699187e-10,1.27278732118149e-05,11.9388191290773,"AP4E1"
"ILMN_2357272",-0.932243686522355,7.78218010774321,-7.1246524112601,1.81158378370365e-09,1.75729701946093e-05,11.2172818176037,"BCLAF1"
"ILMN_1778803",-1.12199081219662,8.29994057127953,-7.06665271297308,2.26726061279351e-09,1.75729701946093e-05,11.0125262730182,"ZFAND6"
"ILMN_2328280",-0.911120631431442,7.63895093207261,-7.00511488590724,2.8764340459201e-09,1.78356169451322e-05,10.7952714219048,"ACTL6A"
"ILMN_1748291",-1.04102722591688,8.4695101978707,-6.88467353506156,4.58146977278125e-09,2.36732178942562e-05,10.3701080464987,"SDE2"
"ILMN_1822472",0.649537711184314,4.73221860257467,6.83307537799371,5.59168882709508e-09,2.47655898152041e-05,10.1880120787984,NA
"ILMN_1702775",0.464406322293927,4.63847418533534,6.45615889306471,2.38770551749768e-08,9.25325426987258e-05,8.86001851034287,"LRP5"
"ILMN_1772316",-0.905834731028994,7.81675590313758,-6.4152726717215,2.79342230970064e-08,9.62271909640543e-05,8.71632083679608,"SUN1"
"ILMN_1742124",-0.821941765449502,7.74596437451574,-6.30754086508,4.22133042800488e-08,0.000130873907259435,8.3381626705012,"CCSER2"
"ILMN_1712659",-1.12831418368276,7.90785858588886,-6.21617575503198,5.98661352351378e-08,0.000168663962209316,8.01806799748508,"PPP2CB"
"ILMN_1764168",-1.03681285284889,8.75326860347395,-6.19349224956603,6.52829579883168e-08,0.000168663962209316,7.9386944831773,"STXBP3"
"ILMN_1708203",-0.962373781032839,7.25685482503532,-6.14377572188214,7.89174815142996e-08,0.000188206052260602,7.76487394307015,"OTUD4"
"ILMN_1763002",0.521254647239725,4.78186716107179,6.09558115479727,9.48243057567836e-08,0.000209988425098397,7.59657667800947,NA
"ILMN_2393994",-0.709751100919682,7.01984609013099,-6.07720144092092,1.01695986719963e-07,0.000210192045085267,7.53244908529569,"CSPP1"
"ILMN_1788108",1.7022638275583,8.98067122649984,5.88043316097786,2.14547060168446e-07,0.000380828625147137,6.84803437596783,"TXNDC5"
"ILMN_1791483",-1.10532372692488,6.65766624843351,-5.87702920539149,2.17326667515043e-07,0.000380828625147137,6.83623146618621,"PDE4D"
"ILMN_1748077",-0.67315940640685,8.16407787880208,-5.87247084190823,2.21104901224026e-07,0.000380828625147137,6.82042786867611,"DDX59"
"ILMN_1658911",-1.08514142553874,8.51111497015417,-5.83825805141084,2.51617830904757e-07,0.000404222414046037,6.70189251850133,"AP3S1"
"ILMN_1672191",-0.964886316686706,9.38535254512079,-5.82880201559564,2.60763419053664e-07,0.000404222414046037,6.66915551194393,"ATP5PB"
"ILMN_1875342",-0.975012116000689,8.94102343918034,-5.78915085998341,3.02834446429292e-07,0.000447084587745112,6.5320028124668,NA
"ILMN_1652024",-0.898279421795016,6.99593620705722,-5.74289425610542,3.60465256673064e-07,0.000507977470574318,6.37225566467592,"CSNK1G3"
"ILMN_1736021",-0.87346924598407,8.07964909439409,-5.68137660560047,4.54225380488885e-07,0.000612276063969431,6.16024812448106,"PRP4K"
"ILMN_1798886",-0.867012754019629,8.10124598143189,-5.6465620665485,5.17587899322661e-07,0.00066861573511252,6.04050169242037,"NUDT21"
"ILMN_2274420",-0.81388410548794,6.48411591396809,-5.62391879211242,5.63411299581467e-07,0.000685772610209534,5.96271323734512,"SPTLC1"
"ILMN_2106449",-0.934022035295722,6.80939122568888,-5.61843055949614,5.75108469033574e-07,0.000685772610209534,5.94387042041982,"PLEKHF2"
"ILMN_1801584",-1.35404052806026,10.9936616315343,-5.5990164903526,6.18445338223212e-07,0.000689413218350956,5.87725204221966,"CXCR4"
"ILMN_2381758",-0.917348360170303,8.1639340430603,-5.59721119554081,6.22635555069728e-07,0.000689413218350956,5.87106015552592,"G3BP2"
"ILMN_2193233",1.79576210914741,7.01704167934586,5.54105947678814,7.67948676112128e-07,0.000820990096741528,5.67871927988587,"MZB1"
"ILMN_1812759",-0.720859831961314,7.58796699631944,-5.51939092283754,8.32577406813533e-07,0.000827620257230364,5.60462928931736,"GCH1"
"ILMN_1700834",-0.871694526707428,8.22573187323593,-5.5090509796507,8.65282416050921e-07,0.000827620257230364,5.56930129148452,"SLK"
"ILMN_2368971",-0.708606584767371,7.63410950657607,-5.50744054832107,8.70489092257539e-07,0.000827620257230364,5.56380057645611,"PSMD12"
"ILMN_1660579",-1.01411284701484,8.65364382218617,-5.50423966870621,8.80929861258653e-07,0.000827620257230364,5.55286866360196,"CRLF3"
"ILMN_2155228",-0.690367964105048,10.1782497627866,-5.48065599914123,9.61763080540513e-07,0.000873028937963571,5.47237588201814,"CRLF3"
"ILMN_1706418",0.659004801771235,5.04467510212616,5.4714574798638,9.9523902730551e-07,0.000873028937963571,5.44100580350035,"EHMT1"
"ILMN_2343048",1.76571632887607,5.81012736445609,5.46650345416125,1.01374195292999e-06,0.000873028937963571,5.42411679563642,"ABCB9"
"ILMN_1765644",-0.955886485100714,8.82761338184785,-5.45377880798169,1.06283801773444e-06,0.00089057208280597,5.3807556715668,"COMMD8"
"ILMN_1869897",-0.954409179420234,7.96510302138818,-5.43637111479815,1.13382319160298e-06,0.000925050537085982,5.32148127691255,"NEK7"
"ILMN_1655312",-0.715244994798427,6.96591394332025,-5.42478558374628,1.18363892242796e-06,0.000940932243898312,5.28206082279134,"HPS5"
"ILMN_1686985",-0.782896015266855,7.42836344364371,-5.40884874466121,1.25570935786879e-06,0.000946983158447961,5.22787320509559,"MTM1"
"ILMN_2340565",-0.829014169462907,7.26254634766104,-5.40844463546656,1.25759202299153e-06,0.000946983158447961,5.22649975650438,"ATP2C1"
"ILMN_1756999",-0.692791854871246,10.7781355387382,-5.39194100291657,1.3369045642309e-06,0.000946983158447961,5.17043358188867,"RBL2"
"ILMN_2393765",1.87942610030558,11.4072756409353,5.39097896827144,1.34167708060113e-06,0.000946983158447961,5.16716685790274,"IGLL1"
"ILMN_2343047",1.157795633953,5.09508686477021,5.39051694795794,1.34397506601652e-06,0.000946983158447961,5.1655980620167,"ABCB9"
"ILMN_1764271",0.616808637770377,4.88897514626607,5.35544428867033,1.53023455425323e-06,0.0009992708813664,5.04662138117234,"NXPH1"
"ILMN_1771757",0.631646970057756,4.85182599817263,5.34774587825678,1.57440598162269e-06,0.0009992708813664,5.02053630975046,NA
"ILMN_1882776",0.535055298820346,4.64719700681743,5.34772038716992,1.57455431059154e-06,0.0009992708813664,5.02044995473089,NA
