"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1848927",0.405231797217284,4.73646701111472,4.82140646672397,1.06869034553858e-05,0.278433496159698,-1.27079895296858,NA
"ILMN_1856652",0.371126322043876,4.68805415782542,4.67536698617389,1.79617131348384e-05,0.278433496159698,-1.43522510749603,NA
"ILMN_1760705",0.482988842376095,4.76138978267646,4.41457710689612,4.46992041465484e-05,0.336146314673765,-1.72762654813649,"POF1B"
"ILMN_1707791",-0.590334502703499,7.09345019301316,-4.35439244694889,5.49989935960932e-05,0.336146314673765,-1.79476539784724,"TAFAZZIN"
"ILMN_2406299",-0.44911153742139,4.70137959256354,-4.33224992203317,5.93410449233736e-05,0.336146314673765,-1.8194256896554,"SEMA3B"
"ILMN_1784516",-0.438922356350854,4.98436273596996,-4.30539925376013,6.5054281458007e-05,0.336146314673765,-1.84929804493165,"CFAP70"
"ILMN_1681724",-0.549428066880725,4.83071111357897,-4.17396323929061,0.000101653117734361,0.450221658445485,-1.99497445863791,"FPGS"
"ILMN_2079322",-0.458258031992772,4.76173048906283,-3.92482897319878,0.000232785419522391,0.71591461604726,-2.26801761174561,NA
"ILMN_1799996",-0.42818750595513,4.73482200554225,-3.90209633712285,0.000250764381746672,0.71591461604726,-2.29269280855864,"DHH"
"ILMN_2210298",-0.625768542626924,4.96122646122691,-3.86719783590998,0.000280989316474544,0.71591461604726,-2.33048599397964,"CCDC61"
"ILMN_1898776",0.319971586077525,4.66002170982152,3.86613712841718,0.000281960719241638,0.71591461604726,-2.3316329878693,NA
"ILMN_2196097",-0.347958269184482,8.84245487300634,-3.8439521958259,0.000303033158771238,0.71591461604726,-2.35559922246007,"PPP2CA"
"ILMN_1884150",-0.472041740161142,4.87560193976258,-3.84344928978319,0.000303527954822909,0.71591461604726,-2.35614198647222,NA
"ILMN_1814606",-0.48652461338933,4.95199830475961,-3.81524092656066,0.000332558506260094,0.71591461604726,-2.38654829032624,"GALNT2"
"ILMN_1899431",0.295055863579202,4.62979243709844,3.77794339850264,0.000375056295627965,0.71591461604726,-2.42663555270886,NA
