"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2233319",0.524549200647234,4.66750109089244,5.88620940386046,2.09910666863288e-07,0.00529791279701795,6.03446960285126,"SPANXA1"
"ILMN_1822482",0.564519792282727,4.72918220096024,5.68892344513489,4.41536805782475e-07,0.00529791279701795,5.43550423220509,NA
"ILMN_1727236",0.695746987067576,4.72816632284812,5.64911859201777,5.1265162697332e-07,0.00529791279701795,5.3150065335715,"SC5D"
"ILMN_1841356",0.600683671365917,4.69084619312035,5.419260333056,1.20815100928772e-06,0.00658966529103525,4.62207128587353,NA
"ILMN_1867186",0.628669323882874,4.70855138277131,5.41718936252518,1.2174670731099e-06,0.00658966529103525,4.6158532788172,NA
"ILMN_1908085",0.611699041449083,4.67437205208375,5.40467352099688,1.27529567287719e-06,0.00658966529103525,4.5782854926632,NA
"ILMN_1916193",0.521476241092002,4.73454695697521,5.18320496179509,2.88422184221488e-06,0.0127742185391697,3.91678325705957,NA
"ILMN_1694140",0.470472353176611,4.75841891423334,4.93911763246794,7.00325682318727e-06,0.0271402464111594,3.196124119806,"AFAP1L1"
"ILMN_2098325",-0.637030183981292,7.1412778355962,-4.8963281534409,8.16961703563263e-06,0.028142515217302,3.07084592935137,"C8orf33"
"ILMN_1747696",-0.657184363693474,4.81323990884251,-4.72697013451304,1.49610281764004e-05,0.0426185145146631,2.57850122821657,"TPM3"
"ILMN_2352216",-0.71556271349853,6.60160182628442,-4.69693919028085,1.66418205627733e-05,0.0426185145146631,2.49181762492131,"FBXL6"
"ILMN_1654378",0.518860297271715,4.77694944972007,4.69358379997309,1.68407084558767e-05,0.0426185145146631,2.4821445596159,NA
"ILMN_1853477",0.512855127896224,4.96953441872497,4.67680631464063,1.78705508721937e-05,0.0426185145146631,2.43381489004669,NA
"ILMN_1653428",0.498994174242824,4.61285134181662,4.64521251776636,1.99795042927523e-05,0.0442446122563,2.34297532815635,"SPINK9"
"ILMN_1821279",0.461870123603925,4.86161394745161,4.62434609679709,2.1503683382315e-05,0.0443416356595306,2.28310351887277,NA
"ILMN_1902728",0.477996132314332,4.82539192159735,4.60017582456782,2.34113692395268e-05,0.0443416356595306,2.21387756164613,NA
"ILMN_1782448",0.520420776871404,4.80051104005916,4.58940195509,2.43140278751095e-05,0.0443416356595306,2.18306416143203,NA
"ILMN_1842748",0.400306402056784,4.61033911329557,4.55444856952348,2.7482514482402e-05,0.0455561478921625,2.08328677846206,NA
"ILMN_1683674",0.511768738391192,4.66315280772984,4.54096893892241,2.8809099714685e-05,0.0455561478921625,2.04488657736679,"SCYL3"
"ILMN_1662686",-0.521267154952549,7.95774302798993,-4.53527320290985,2.93882191350273e-05,0.0455561478921625,2.02867410439064,"USPL1"
"ILMN_1664622",0.503991061765601,4.70151397083733,4.51189544459118,3.18863505264862e-05,0.0470748821606024,1.96221466270848,"EFR3B"
"ILMN_1723535",0.762985564299691,5.17649647187143,4.39565162552714,4.77170991307015e-05,0.0642681279278082,1.63381040973074,"P2RY2"
"ILMN_1823347",-0.493597818384363,4.84347226633565,-4.38431118773827,4.96194426603572e-05,0.0642681279278082,1.60196176530331,NA
"ILMN_1689001",-0.587329884460892,8.08691454103506,-4.3835417333234,4.97511553806856e-05,0.0642681279278082,1.59980207296104,"CDK4"
"ILMN_1656251",0.41644546766606,4.67404539266638,4.34939543858023,5.59510652145698e-05,0.067039424349333,1.50412281781181,"LINC00643"
"ILMN_2293692",0.811983833136806,6.44098512279856,4.34799279980158,5.62211732117105e-05,0.067039424349333,1.50019939570653,"CREBBP"
"ILMN_1749848",0.390324607671751,4.65063637457258,4.29564509093569,6.7259184856851e-05,0.0753310806411819,1.35416602107484,"SLC35F1"
"ILMN_1845328",0.44460980875485,4.75730092388255,4.2922892935196,6.8034392089575e-05,0.0753310806411819,1.34483077469704,NA
"ILMN_2079322",-0.491495754559401,4.76173048906283,-4.20949910972725,9.0151608004832e-05,0.0963782863094416,1.11555645125951,NA
"ILMN_1908717",0.376561649839939,4.662851714687,4.19780211380736,9.37907565162857e-05,0.0969264941424802,1.0833267332593,NA
"ILMN_1748738",0.501495589983004,4.65450377545362,4.17520455710544,0.000101228420749451,0.0985934290241351,1.02117886660215,"SLC22A17"
"ILMN_1877129",0.329326539146407,4.6605169634343,4.17363993459461,0.000101764014088066,0.0985934290241351,1.01688158791092,NA
"ILMN_1757425",0.452952202843958,4.84987250302918,4.15341465414415,0.000108939215185693,0.10008632178612,0.961399904260035,"RIMBP3"
"ILMN_1664026",0.334945925749848,4.74249945061471,4.15117978494553,0.000109761472784185,0.10008632178612,0.955276979782557,"SPDYE1"
"ILMN_1912461",0.390773327183441,4.67066252163762,4.12509381573215,0.00011981436171635,0.105796869958674,0.883923510967995,NA
"ILMN_1685398",-0.554125195578172,4.9016306885868,-4.11763464870385,0.000122848992630141,0.105796869958674,0.863559474227954,"BAD"
"ILMN_1803452",0.421651919879952,4.71826826729419,4.08411553983378,0.000137427605117965,0.114719556717643,0.772267722861095,"CRCT1"
"ILMN_1678968",0.47198347968359,4.71002717563663,4.07725654772086,0.000140610365295953,0.114719556717643,0.75363103981537,"GEM"
"ILMN_2406299",-0.420853944498491,4.70137959256354,-4.05966962841624,0.000149099932495615,0.11852680018363,0.705914801491415,"SEMA3B"
"ILMN_2355738",0.678550196842068,5.07255265171392,4.04460501432294,0.000156763675200914,0.121503605556348,0.665122056458073,"INCENP"
"ILMN_1800689",0.479349496399904,4.91151199354156,4.03645091442583,0.000161069077896663,0.121795722488542,0.643073003679778,"HERC2P7"
"ILMN_1791376",0.422917522385692,4.8959990116486,4.02817549732165,0.000165555123628781,0.122207273758645,0.62071832260651,"TERB2"
"ILMN_1670147",0.600649285842173,5.02421908210901,3.97004667153399,0.000200641113051642,0.139411297023777,0.464337838536086,"PHC2"
"ILMN_1825820",0.499076626648306,4.77580679958223,3.96303407016214,0.000205329633981707,0.139411297023777,0.445549586051332,NA
"ILMN_1689059",-0.479883224565003,7.11786247652182,-3.95167938942435,0.000213145831298947,0.139411297023777,0.415163756305769,"ZNF329"
"ILMN_1690611",0.314317437320123,4.63070125958948,3.95103556463346,0.000213597500629826,0.139411297023777,0.413442170854974,"CELSR1"
"ILMN_1711381",0.433324012327713,4.66246527802483,3.94628735251963,0.000216957150804263,0.139411297023777,0.400749886205075,"RFC3"
"ILMN_1843895",0.409063943142637,4.71459371285419,3.94448862660496,0.00021824310317709,0.139411297023777,0.395943808332738,NA
"ILMN_1674825",0.429195299306814,4.88111064393255,3.94157948422496,0.000220338468992197,0.139411297023777,0.388173141354216,"PPIE"
"ILMN_1692245",-0.654782048513292,5.19581604754214,-3.93145391868222,0.00022778371034564,0.141239567436918,0.361149452810999,NA
"ILMN_1886231",-0.310072773928214,4.75801517831189,-3.92445084627508,0.000233074064766536,0.141434959624918,0.342480143596016,NA
"ILMN_1899666",-0.413091071858692,4.71428226253226,-3.90864824784764,0.00024544990905996,0.141434959624918,0.300415526875155,NA
"ILMN_1667970",0.611910195312427,6.07436700494557,3.90563092503953,0.000247883758481935,0.141434959624918,0.292393766202784,"SUMO2"
"ILMN_1848006",-0.401623141950186,4.77247275090666,-3.90430301611055,0.000248962226196723,0.141434959624918,0.288864447346564,NA
