"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1653394",0.571974209496967,4.84718011284499,5.57637846798812,6.73067584727247e-07,0.0208671143292989,2.47558589676742,NA
"ILMN_1747696",-0.645706188745413,4.81323990884251,-4.64441036411122,2.00360967746802e-05,0.276271290667689,0.601910158847058,"TPM3"
"ILMN_1876266",0.411056966665778,4.72763683296209,4.5623441496339,2.67333442571063e-05,0.276271290667689,0.439572498728265,"GJA3"
"ILMN_2234873",-0.663467717647832,5.19988527746111,-4.47164850329499,3.66800818894648e-05,0.284298144704769,0.261010991077172,"NME2"
"ILMN_2327947",-0.628298612918273,5.42915166795884,-4.37351242105272,5.14993400203104e-05,0.309399916497444,0.0689109831768073,"SLC25A25"
"ILMN_2061185",-0.746676051441168,6.78335076072836,-4.31606531010393,6.27235588527607e-05,0.309399916497444,-0.0429565307660864,"SH2B1"
"ILMN_1755732",-0.527322805211604,4.87065011915145,-4.28454024819663,6.98577368474698e-05,0.309399916497444,-0.104150439968012,"ARMC9"
"ILMN_1751362",-0.567001924868307,6.17355961842908,-4.14715946938231,0.000111255778599596,0.417663240092683,-0.36908663659801,"FASTKD1"
"ILMN_1823347",-0.464015887786683,4.84347226633565,-4.1215539703364,0.000121245336284687,0.417663240092683,-0.418135123997483,NA
"ILMN_1899666",-0.42365063207674,4.71428226253226,-4.00856230882845,0.000176673969090277,0.418807348866968,-0.633230299276314,NA
"ILMN_1713867",0.454723300217546,4.73373352945859,3.99765865292945,0.00018316332266717,0.418807348866968,-0.653865985810188,"PMFBP1"
"ILMN_1821522",-0.406770311335743,4.77596182650729,-3.97271833737215,0.000198882157223262,0.418807348866968,-0.700983468453688,NA
"ILMN_1766593",0.677399922901827,4.89512092422581,3.970023332158,0.000200656544947065,0.418807348866968,-0.706067892333996,"PHRF1"
"ILMN_1895334",-0.57682315776013,4.96526524634082,-3.96740144884628,0.000202397423138047,0.418807348866968,-0.7110130420764,NA
"ILMN_1681724",-0.52164785426248,4.83071111357897,-3.96291907675531,0.00020540738965208,0.418807348866968,-0.719464244143149,"FPGS"
"ILMN_1799887",0.824215877427185,5.57556419713503,3.94743890192784,0.000216137715120197,0.418807348866968,-0.748621498469825,"CTSE"
"ILMN_2241252",0.368594478278769,4.65918090997748,3.90008664910794,0.000252416572115841,0.459886862006564,-0.837521153216495,"LRRC14B"
"ILMN_2184556",0.530447161039792,4.80468390092164,3.88287108429674,0.000267005241948139,0.459886862006564,-0.86973154042641,"SLC4A4"
"ILMN_1759521",0.338777082292522,4.6747952628267,3.86393441993175,0.000283988294873617,0.463394163471933,-0.905092754852591,"OR1E1"
"ILMN_2264981",0.382266002761269,4.67466025215105,3.81086278652996,0.000337296675922279,0.52286044218092,-1.00379993095753,"CYFIP2"
"ILMN_1705246",-0.421203793971596,4.76694952154967,-3.78153209233022,0.000370750955102264,0.524482046680908,-1.05809529091226,NA
"ILMN_1748206",0.496912525114406,4.7040536405373,3.7803389738801,0.000372177048252749,0.524482046680908,-1.06029998599221,"CCM2L"
"ILMN_1880743",-0.38805630829606,4.80391905538143,-3.76133699986226,0.000395610781813822,0.531375559259572,-1.09537064764158,NA
"ILMN_1737653",0.463069720756534,4.68022231055331,3.74761668529038,0.000413403338634852,0.531375559259572,-1.12064378918886,"KRT78"
"ILMN_1714988",0.481859046357022,4.74532631375444,3.73642120172087,0.000428487210318011,0.531375559259572,-1.14123505597648,"HOXD8"
"ILMN_1763627",-0.422171321284539,4.99142256995791,-3.67106315067558,0.000527624426015225,0.577659858534861,-1.26087576860411,"TNPO1"
