"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1655613",0.613864908956578,4.72607458131241,6.41062965747328,2.84362868564493e-08,0.000881610201410496,8.44562977932586,"GSTA2"
"ILMN_1722890",0.827131020215273,4.72780690754872,5.86329595029081,2.28908001880785e-07,0.00236903726902039,6.60428703726256,"PCDH7"
"ILMN_1759521",0.50485982295501,4.6747952628267,5.7581972014037,3.40289413575611e-07,0.00236903726902039,6.25356771748727,"OR1E1"
"ILMN_1792256",0.697411896749199,4.64869677480329,5.73881334625404,3.66042716785075e-07,0.00236903726902039,6.18901496917159,"TBX2"
"ILMN_1701562",0.837374268087804,4.66456034098145,5.72742313294562,3.82065811215107e-07,0.00236903726902039,6.15110307043516,"PKHD1"
"ILMN_2127007",0.496055678916838,4.71939821067525,5.65096951947067,5.09106840061434e-07,0.00263063989373744,5.89703140393009,"TRPC2"
"ILMN_1688489",0.678322581549408,4.77506433239873,5.56392424824248,7.05123022552107e-07,0.0027644504468436,5.60866450314012,NA
"ILMN_2071405",0.889205048362089,4.69031590431067,5.53546994876535,7.84129565485761e-07,0.0027644504468436,5.51462210340563,"FBXL3"
"ILMN_2325534",0.625121285865851,4.70103523055533,5.52552466981664,8.13756575348011e-07,0.0027644504468436,5.48177947873151,"KCNIP2"
"ILMN_2168747",0.69129382417505,4.6819250173848,5.49956185254526,8.96410929306562e-07,0.0027644504468436,5.39610847417071,"GSTA2"
"ILMN_1651792",0.63464318834814,4.66311662206607,5.45220186046671,1.06908355493743e-06,0.0027644504468436,5.24008746589577,"RORC"
"ILMN_1754132",0.571853974402752,4.70220153430486,5.4449383809731,1.09832153839493e-06,0.0027644504468436,5.21618883159819,"LINC01973"
"ILMN_1709799",0.748951325026738,4.83709592532608,5.42405147820116,1.18686720514388e-06,0.0027644504468436,5.14751109795481,"MPIG6B"
"ILMN_2194158",0.543161588783271,4.72065136270698,5.39851537337425,1.30473525409876e-06,0.0027644504468436,5.06363923495097,"ADAM29"
"ILMN_1801143",0.688613070884649,4.885937647793,5.3918192014874,1.3375078767427e-06,0.0027644504468436,5.04166320146015,"LOXHD1"
"ILMN_1735996",0.604120827644713,4.82805311389688,5.24669289991511,2.28491796053571e-06,0.00417514640474479,4.56721751548907,"NOX4"
"ILMN_1706337",0.528572329022785,4.63710456362421,5.23216205541322,2.41021476030297e-06,0.00417514640474479,4.51991629020755,"SAMD12"
"ILMN_1891857",-0.73428178596049,6.82140941563568,-5.22798190307594,2.44749587914202e-06,0.00417514640474479,4.50631607979447,"RAB2A"
"ILMN_1674460",0.618473309844815,4.63846812366398,5.21587416732674,2.55871308228723e-06,0.00417514640474479,4.46694146955098,"ATP2A1"
"ILMN_1702056",0.615593200475574,4.68981200497345,5.17900702605197,2.9288982328232e-06,0.00454023159561089,4.347217258956,"ENTREP3"
"ILMN_2138745",0.586885869876232,4.64418906741133,5.13031884446539,3.49950892859479e-06,0.00513755913468883,4.18950336318085,"ARMH4"
"ILMN_1664855",0.561544605353577,4.65734703643171,5.11910718805928,3.64565690298211e-06,0.00513755913468883,4.15325167641844,"PPP1R14C"
"ILMN_1788377",0.490128895830084,4.6322839282585,5.08903657937914,4.06791922450579e-06,0.00548337824858057,4.05614601521372,"COL27A1"
"ILMN_1710329",0.628164299820679,4.78645143074155,5.03724495660583,4.91064584207723e-06,0.0062615114514123,3.88933234572136,"MYEF2"
"ILMN_1664592",0.652812165348355,4.70971432694027,5.02958074645145,5.04911738494041e-06,0.0062615114514123,3.86469471402861,"STUM"
"ILMN_1664216",-0.820955193577297,6.20871999592534,-4.9959982778874,5.70245107252947e-06,0.00679973425390889,3.75688767904323,"NKIRAS1"
"ILMN_1823347",-0.554280222453491,4.84347226633565,-4.92331385985291,7.41365944671071e-06,0.00829225887354533,3.52440413093966,NA
"ILMN_1662419",0.670798803946721,4.74591882093107,4.92050400088924,7.48905746086731e-06,0.00829225887354533,3.51544061489051,"COX7A1"
"ILMN_1685629",0.589151448230089,4.64570081632911,4.89790190157772,8.12352813265283e-06,0.00868461181712536,3.44340557586383,"KIR2DL5B"
"ILMN_1740524",0.971592249687148,4.90285904642685,4.88500082657406,8.50899687536859e-06,0.00869697497679374,3.40234185809017,"NEU3"
"ILMN_1718770",0.593027537047651,4.81646708833572,4.87894284295052,8.69613341549547e-06,0.00869697497679374,3.3830729581942,"MAMSTR"
