"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1828438",0.738390091058955,4.89164886415509,6.789822886085,6.60768108494679e-09,0.000204857936676605,8.89430209799684,NA
"ILMN_1850767",0.443129971028152,4.66434015743497,5.57566185857848,6.74872348996883e-07,0.00691497679692854,5.15546396826528,NA
"ILMN_1756130",0.459794856532559,4.64624717005512,5.55999281528428,7.15551789248391e-07,0.00691497679692854,5.10772003516038,NA
"ILMN_1674988",0.471998599976805,4.69883530382282,5.50083570781739,8.92168731661909e-07,0.00691497679692854,4.9276933852452,NA
"ILMN_1685544",0.48175033068522,4.74192094857058,5.43078896803609,1.15756168049259e-06,0.00717757695606236,4.71501837904839,"MPPED1"
"ILMN_1680248",0.37303940910554,4.62644438174232,5.360560574347,1.50155681496099e-06,0.00758011465766986,4.50236884579682,NA
"ILMN_1820645",0.453197065465738,4.71193394694691,5.32514515579704,1.71147316723185e-06,0.00758011465766986,4.39536563404567,NA
"ILMN_1759287",0.459094553181834,4.65951558335655,5.26398234869382,2.14416983699095e-06,0.00830946218202881,4.21096092550958,NA
"ILMN_1768506",0.634894442838841,4.882111167409,4.96396006824685,6.40276764784705e-06,0.022056111709578,3.31456692176187,"MAPK15"
"ILMN_1733807",0.794293357036331,4.80454711963412,4.8208582794566,1.07078688183427e-05,0.0331976056975079,2.89255943035898,"IGF2BP1"
"ILMN_1667433",0.391678276961118,4.66337721874803,4.69538780676505,1.67334904945362e-05,0.047162582345646,2.52597141536518,"HMGB3"
"ILMN_1735416",0.300249877431,4.61865686997697,4.6548433138488,1.93121154784189e-05,0.0498944596814519,2.40825004258455,NA
"ILMN_1665970",0.711185512736814,4.78518309041268,4.61879754065437,2.19277208038662e-05,0.0522942406217127,2.30390802898907,NA
"ILMN_1807510",0.474230906019348,4.71189857159004,4.50944346342454,3.21600566219084e-05,0.0698071875323692,1.98926620085227,NA
"ILMN_1831233",0.421783326314164,4.71673313099645,4.46639714704817,3.73551402707699e-05,0.0698071875323692,1.86623008839488,NA
"ILMN_1879153",0.38890880433428,4.7527269517407,4.4638942394123,3.76811292831909e-05,0.0698071875323692,1.85909094461246,NA
"ILMN_1821522",-0.471901638062139,4.77596182650729,-4.44318652899381,4.04865592433588e-05,0.0698071875323692,1.80008850084665,NA
"ILMN_1799996",-0.505703847264382,4.73482200554225,-4.44288209101967,4.05292834752329e-05,0.0698071875323692,1.79922190873343,"DHH"
"ILMN_1836733",0.428583663403778,4.69718229377626,4.4189829004502,4.4023754407233e-05,0.071835181994076,1.73126902548494,NA
"ILMN_2079322",-0.53268969572674,4.76173048906283,-4.39834691387489,4.72755074413366e-05,0.0723660600668693,1.67271777891338,NA
"ILMN_2206592",0.417236050820789,4.6722866126481,4.38785358905359,4.90174261008372e-05,0.0723660600668693,1.64298901535076,"PRAMEF9"
"ILMN_1842748",0.397970872162705,4.61033911329557,4.3651491453903,5.30026498398968e-05,0.0746927796811963,1.57876822017517,NA
"ILMN_1677815",0.435660838513983,4.67125542670722,4.34996265490267,5.58421940097123e-05,0.0752728496036135,1.53589212463949,"KCNH6"
"ILMN_2400206",0.503609195110041,4.77100793915888,4.33025827671092,5.97475294113396e-05,0.0771813605974901,1.48035704568903,"UBE2V1"
"ILMN_1847758",0.33438038773728,4.68534847242996,4.31174288963032,6.36581464973855e-05,0.0789437406343377,1.42827331858041,NA
"ILMN_1718200",0.784426763574845,5.09741427233053,4.28156893549322,7.05693871542898e-05,0.0828161388273589,1.34360512150693,NA
"ILMN_1669268",-0.490634785733759,4.83965429083495,-4.27518113671875,7.21232057652062e-05,0.0828161388273589,1.32571485568653,"MEX3D"
"ILMN_2383383",0.336361546409913,4.61499945484557,4.24594658324897,7.9668224668281e-05,0.0882126417639542,1.24399101646803,"PIR"
"ILMN_1787877",0.67409070266351,4.90910252273857,4.23385836124838,8.30068852663691e-05,0.0887400849625255,1.21027310895025,"CCNT2"
"ILMN_1833121",0.390365608445326,4.70210914615446,4.21146123389011,8.95547075423266e-05,0.0925488199311584,1.14791645158436,NA
"ILMN_1915908",0.366271523294708,4.65026685497511,4.18612315355452,9.75660731637642e-05,0.0937531925759704,1.07755563611347,NA
"ILMN_2285490",0.386982862126156,4.70511270978009,4.18172317450906,9.90262257712076e-05,0.0937531925759704,1.06535750778577,"PPIL3"
"ILMN_1752744",0.33902818159337,4.66428665566775,4.17944028236934,9.9792128342645e-05,0.0937531925759704,1.05903096761771,"BPIFA3"
