"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1752333",0.26371664504064,8.85524044262718,5.03445123176273,4.96068342087147e-06,0.0800929199687985,1.77581674333245,"SLC35E1"
"ILMN_1829228",0.229936063557652,4.67497754909714,5.02322852114624,5.1667851478114e-06,0.0800929199687985,1.75147551670932,NA
"ILMN_1666635",-0.234166957079784,13.5498602472655,-4.31578409059302,6.27839563909485e-05,0.510766233456242,0.24170664127112,"RPS14"
"ILMN_2373763",-0.443192471408497,6.05725417973701,-4.24216325707646,8.0698895106997e-05,0.510766233456242,0.0883861855366002,"CASP7"
"ILMN_1846306",-0.424015782691017,5.72741877625452,-4.23611433915709,8.23736789111121e-05,0.510766233456242,0.0758295365793078,NA
"ILMN_2168766",-0.435168465955479,5.660572337894,-4.09597493433621,0.000132088033808778,0.537251803045682,-0.213240854103704,"BAGE2"
"ILMN_2357334",0.268488992355883,4.71210433544136,3.98583301096029,0.000190461120474177,0.537251803045682,-0.437785006885877,"CPN2"
"ILMN_1733356",-0.21469386297825,7.91746370915811,-3.94883956843456,0.000215145026473498,0.537251803045682,-0.512640154822389,"MOB4"
"ILMN_1691092",0.191014933979659,4.6477756339592,3.93269960879329,0.000226854865232104,0.537251803045682,-0.545206656002727,NA
"ILMN_1692100",-0.404209121990091,5.89409402881386,-3.93096670121424,0.00022814799773698,0.537251803045682,-0.548699865762656,"ZNF35"
"ILMN_1733799",-0.405678123790158,6.26747773894412,-3.92665515090153,0.000231396233628541,0.537251803045682,-0.557388270572899,"MCRIP1"
"ILMN_1704682",0.28448966999484,4.79226897825915,3.9182574983751,0.000237851106731902,0.537251803045682,-0.574299038155571,"APOL4"
"ILMN_1656662",-0.238703360029954,12.7148800647779,-3.87603159156071,0.000273023307620911,0.537251803045682,-0.659093423322918,"RPL24"
"ILMN_1805952",0.189671199686431,4.76063371514352,3.87491726376955,0.000274016076441477,0.537251803045682,-0.661325676946404,"SYT15"
"ILMN_1814966",-0.322530275207216,5.5581989215285,-3.87107772567347,0.00027746341688346,0.537251803045682,-0.669014983792668,"PIAS3"
"ILMN_1664956",-0.198996510550376,11.3011838489455,-3.82553308782924,0.00032167028637264,0.537251803045682,-0.759966420648236,"SSU72"
"ILMN_1686954",-0.192548199902065,14.2460520676482,-3.81802759612889,0.000329576021513572,0.537251803045682,-0.774908210446691,"RPS10"
"ILMN_1804007",-0.201837345258645,4.89741670504298,-3.81468116661924,0.000333160716146201,0.537251803045682,-0.78156592558029,"NANOS3"
"ILMN_2369785",-0.232692909576825,12.4825559527919,-3.78902499937049,0.000361914014841537,0.537251803045682,-0.832520143335103,"SNRPD2"
"ILMN_1712357",-0.415555801316285,6.09484683436328,-3.77514585199858,0.000378445708667203,0.537251803045682,-0.860018693588445,"HNRNPK"
"ILMN_2151168",0.209014718376298,4.76445510080101,3.7670173283762,0.000388461390488231,0.537251803045682,-0.87610187022949,"SLC30A6"
"ILMN_1776778",-0.388833340646127,6.17481820615841,-3.7386571742969,0.000425433131921782,0.537251803045682,-0.932088364222928,"PARP15"
"ILMN_2414848",-0.348155989134403,6.62201345664291,-3.73313275897714,0.000433017016234528,0.537251803045682,-0.942971035616877,"TBRG4"
"ILMN_1761829",0.393405051373915,5.45124611734074,3.73269514153286,0.000433623277398476,0.537251803045682,-0.943832782206837,"HK1"
"ILMN_1797367",-0.178387654594931,7.56963020638252,-3.72076155590373,0.000450472475656652,0.537251803045682,-0.967313620048849,"TSC1"
"ILMN_1914266",0.19670945519621,4.85663710683281,3.70769894262923,0.00046963384794521,0.537251803045682,-0.992974791771868,NA
"ILMN_1671087",0.274756663065835,4.96442691631898,3.69900281386569,0.000482819916332713,0.537251803045682,-1.01003408682234,"BNIP5"
"ILMN_1669424",0.266989111513502,13.2447110616004,3.69744915974645,0.000485212737002197,0.537251803045682,-1.01307987562796,"YBX1"
"ILMN_1680840",-0.171509805161347,4.81841731992748,-3.67589917655633,0.000519594846341928,0.555482724866855,-1.05526257460884,NA
"ILMN_1797530",-0.249004318272749,7.4647732191362,-3.64448311243258,0.000573917785979191,0.568359357975624,-1.11654128871806,"CHCHD5"
"ILMN_2043728",-0.280630142298307,6.68343992094076,-3.60200387840168,0.000656049436140681,0.568359357975624,-1.19898339314245,"ZNF341"
"ILMN_1691702",0.358038927592665,5.40331751602591,3.60163045067255,0.000656818878629022,0.568359357975624,-1.19970597530598,"ZNF775"
"ILMN_2278512",-0.29388422885493,5.14102150453741,-3.59114240890393,0.000678784275487058,0.568359357975624,-1.21998483587776,"NFATC2IP"
"ILMN_1674506",-0.231197307410149,7.57708879007358,-3.57676766806584,0.000710030012753763,0.568359357975624,-1.24772988373052,"MED23"
"ILMN_1891857",-0.268272932196915,6.82140941563568,-3.57340465055867,0.000717535470188975,0.568359357975624,-1.25421273214319,"RAB2A"
"ILMN_2161556",-0.34425330848117,5.71077713839557,-3.56743310548569,0.000731049228415054,0.568359357975624,-1.26571631316346,"SPRING1"
"ILMN_1773964",-0.224373853070172,7.52530831646952,-3.5531608582107,0.000764336915191387,0.568359357975624,-1.29317029349578,"H1-10"
"ILMN_1675008",-0.156829470496544,4.81079461093816,-3.55101840105188,0.000769456788468582,0.568359357975624,-1.29728660832956,NA
"ILMN_2338785",-0.266744903468742,12.7071364772999,-3.54594422636449,0.00078171323626156,0.568359357975624,-1.30703052627745,"RPS14"
"ILMN_2066020",-0.204856751279586,9.43162337849635,-3.5448019082574,0.000784497977606843,0.568359357975624,-1.30922312039505,"ELOC"
"ILMN_2048326",-0.17044675800725,14.842297707208,-3.54224774718909,0.000790758716998986,0.568359357975624,-1.31412431638331,"RPS27A"
"ILMN_1749612",-0.3317524767162,6.54932869551338,-3.53613342264901,0.000805939901227267,0.568359357975624,-1.32584968017956,"IMMP1L"
"ILMN_1868274",0.162524452950736,4.70001909115803,3.53554260973722,0.000807421433407297,0.568359357975624,-1.32698211669538,NA
"ILMN_1685002",-0.199780661507463,7.11261404953034,-3.53521068988894,0.000808254897976419,0.568359357975624,-1.32761827854145,"RCE1"
"ILMN_2125017",-0.273924285435545,5.3759202501791,-3.52862663436696,0.000824957943066899,0.568359357975624,-1.34023093168044,"TIGIT"
"ILMN_1806306",0.329661548906864,4.81772694359171,3.49649263755845,0.000911301007674992,0.592920915878092,-1.40161089268608,"SV2B"
"ILMN_1780773",-0.183051578380119,8.70809840526988,-3.48924298579315,0.0009319351377039,0.592920915878092,-1.41541764072479,"LINC00938"
"ILMN_1767178",-0.200751724674198,4.72717387079572,-3.47736605888368,0.000966702121999811,0.592920915878092,-1.43800396210983,"ARHGAP27P1"
"ILMN_1840996",0.143309798728627,4.65670011492618,3.47125330809584,0.000985072649032602,0.592920915878092,-1.44961254489933,NA
"ILMN_2298818",-0.200663143565012,9.21109389406898,-3.46992986820359,0.000989093388632052,0.592920915878092,-1.45212441992365,"RPS29"
"ILMN_1756826",-0.265226079280535,5.31076259765338,-3.4675470838879,0.000996371844098238,0.592920915878092,-1.4566456259852,"MORN2"
"ILMN_1750051",-0.289414266716115,5.91985197956381,-3.46050839936303,0.00101817041715487,0.592920915878092,-1.46999142103277,"AMER1"
"ILMN_1805131",-0.328947915950692,5.94887616893246,-3.45683330588482,0.00102973123828684,0.592920915878092,-1.47695383961152,"OXLD1"
"ILMN_2317348",-0.170092148261278,7.60794025539278,-3.45060138025715,0.00104962045814091,0.592920915878092,-1.48875103204489,"APTX"
"ILMN_1708203",-0.288856380015553,7.25685482503532,-3.44990834657159,0.00105185467126714,0.592920915878092,-1.49006225254317,"OTUD4"
"ILMN_1669898",0.182002277933518,4.74230029118896,3.41417521586493,0.00117336574779918,0.634053245940177,-1.55747535239799,"EGFL7"
"ILMN_1811277",0.240126465013769,4.83807171854243,3.41262126631872,0.00117894085655918,0.634053245940177,-1.56039829143443,"TRIM13"
"ILMN_1775243",-0.253109200456361,12.0598010525404,-3.4106143099733,0.00118617837836759,0.634053245940177,-1.56417224407897,"RPL35"
"ILMN_1876794",0.172031980456309,4.77676693414937,3.39619935234031,0.00123941279358173,0.641535017817188,-1.59124273940705,NA
