"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1677239",-0.376595413400082,8.33518071804894,-6.52261565676289,1.84964701482898e-08,0.000521587235020846,9.0134182505754,"CCDC14"
"ILMN_2391051",0.984904738158412,7.73809828565491,6.36674812638948,3.36475331432988e-08,0.000521587235020846,8.47239015503837,"FCGR1BP"
"ILMN_1784287",-0.579798044215808,9.60830895690136,-6.20995464549342,6.13056541173107e-08,0.000633553064866328,7.92952161391027,"TGFBR3"
"ILMN_2176063",0.948802248286203,7.6457473269533,6.13195508976791,8.25548010763689e-08,0.000639861624442666,7.66010090800457,"FCGR1A"
"ILMN_1654389",0.743715717262579,5.50851101391777,6.00371690204582,1.34468361721534e-07,0.000685359559549498,7.21824661990328,"FCGR1A"
"ILMN_1787461",-0.4017933024517,11.2574751557379,-5.99328340491454,1.39901694803508e-07,0.000685359559549498,7.18236314647576,"RUNX3"
"ILMN_1766896",0.654443898511959,5.12977465135803,5.96246240161528,1.5725630178937e-07,0.000685359559549498,7.07642387679638,"ZDHHC19"
"ILMN_1788024",-0.337107075882539,9.49158331430487,-5.88102690834603,2.14065838065052e-07,0.000685359559549498,6.79697849933059,"PCID2"
"ILMN_1659158",-0.510495491551213,8.57766712536908,-5.87550050116625,2.1858656137428e-07,0.000685359559549498,6.77804039880298,"SAMD3"
"ILMN_2261600",1.02035441282094,8.79376810860119,5.87252176515328,2.21062335757668e-07,0.000685359559549498,6.76783415572812,"FCGR1A"
"ILMN_2093775",-0.399879770148163,7.88312371568569,-5.79678631764396,2.94241451087827e-07,0.000782865789540353,6.50867670650874,"ZNF831"
"ILMN_1694966",0.472144249311299,6.96218746581316,5.78899230142988,3.03015497677136e-07,0.000782865789540353,6.48204480942597,"ASGR2"
"ILMN_1815500",-0.414232661249659,9.71547061162891,-5.7448315533345,3.57847037054724e-07,0.0008534101299852,6.33128988281128,"ITPR3"
"ILMN_1748770",-0.314668745926775,8.18259662102952,-5.70231226255068,4.19883013515327e-07,0.000894549117986422,6.18637209097686,"CKAP5"
"ILMN_2119224",-0.347304737598116,7.37903489445812,-5.69424289418796,4.32804463109903e-07,0.000894549117986422,6.158896076677,"KIFAP3"
"ILMN_1735658",-0.375241352167808,7.05247476702425,-5.63025997323972,5.50188852906301e-07,0.000994847809517239,5.94134818270935,"RTTN"
"ILMN_1660624",0.589826336114932,6.43719555599792,5.62241482936796,5.66593123285229e-07,0.000994847809517239,5.91471311971836,"LIMK2"
"ILMN_1785345",0.664308260768129,5.50029785214777,5.60394547064938,6.0714622989077e-07,0.000994847809517239,5.85204248119677,"GPR84"
"ILMN_2114720",0.781713411334647,7.45845210398091,5.60282951224107,6.09686429727044e-07,0.000994847809517239,5.84825736054135,"SLPI"
"ILMN_2258816",-0.492379278987676,9.09189837877107,-5.51854411619624,8.35209299579851e-07,0.00129469969574371,5.5629119402348,"SAMD3"
"ILMN_1658289",-0.356237047054641,8.57628978108234,-5.47101411327307,9.96881295673549e-07,0.00147172908617938,5.40248450976339,"WDR54"
"ILMN_1689059",-0.353780064362239,7.11786247652182,-5.45021346326371,1.07701029739924e-06,0.00151253709173164,5.33239092817669,"ZNF329"
"ILMN_1794863",-0.583784635037009,6.02512451733647,-5.43917140049248,1.12209634905744e-06,0.00151253709173164,5.29521060102685,"CAMK2N1"
"ILMN_1660021",0.30054884545656,10.7092214573949,5.41572813610708,1.22408286748662e-06,0.00154966811215054,5.21634115915408,"PLIN3"
"ILMN_1779324",-0.467756944242744,10.9201738791555,-5.41016176675539,1.24961141837124e-06,0.00154966811215054,5.19762805484819,"GZMA"
"ILMN_1707077",0.396948883685896,7.94759504248805,5.38363094025312,1.37868813756362e-06,0.00164397955111096,5.10850943265515,"SORT1"
"ILMN_1700915",-0.295947518694744,9.03175554863524,-5.34587066727775,1.58535441274347e-06,0.00182039788364022,4.98188276117229,"BMI1"
"ILMN_1658373",-0.318103107373229,7.46937774893104,-5.33394179043974,1.6567796367865e-06,0.00183446925283185,4.94193292057372,"PAN2"
"ILMN_1651684",-0.380195297678183,6.42934294454956,-5.29681294567058,1.9000080065322e-06,0.00193756855517467,4.81775453347806,"KIAA0586"
"ILMN_2342638",0.42334170869951,8.25556797141944,5.29669086236464,1.90086312465255e-06,0.00193756855517467,4.81734664292751,"ASGR2"
"ILMN_1900998",-0.451129446060876,6.70542729002159,-5.29152714277455,1.93738106668435e-06,0.00193756855517467,4.80009677273494,NA
"ILMN_2152178",-0.582621305399645,6.21222683046378,-5.24575273031118,2.29282708846478e-06,0.0022213911944898,4.64740383704844,"FAN1"
"ILMN_1683250",0.511601609404925,7.06549125711844,5.22546191771256,2.47024429817793e-06,0.00232075709019425,4.57984744699446,NA
"ILMN_1763433",0.652431869463688,5.61234298333325,5.18652483310839,2.84936565039831e-06,0.00259820244880291,4.45043791917599,"TRIM9"
"ILMN_1784863",0.357045041659254,9.37445274030816,5.16049616623201,3.13415707851789e-06,0.00277623634015115,4.36410081497012,"CD36"
"ILMN_1723467",-0.341515453049157,11.2933845301736,-5.12540868394492,3.56279166063037e-06,0.00305334409022812,4.24793717258725,"ITGB1"
