"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1695509",-0.746946426917131,9.09481315513465,-8.80971358004714,2.74067675454453e-12,8.49692014211442e-08,17.4282990067264,"PTPN12"
"ILMN_1788108",1.31968153462043,8.98067122649984,8.52875442228289,8.02308067312838e-12,1.243697850545e-07,16.432597757449,"TXNDC5"
"ILMN_2193233",1.45626344669601,7.01704167934586,8.40655345524976,1.28209287961531e-11,1.32495751822378e-07,15.9974423536963,"MZB1"
"ILMN_2274420",-0.641991849950157,6.48411591396809,-8.29927223675102,1.93618585724515e-11,1.50068925330428e-07,15.6144692660568,"SPTLC1"
"ILMN_2343047",0.917986047009454,5.09508686477021,7.99592313610162,6.23000494645384e-11,3.86297686709817e-07,14.5273275804208,"ABCB9"
"ILMN_1764168",-0.692618895843568,8.75326860347395,-7.74040320393896,1.67178073412311e-10,8.63836968333646e-07,13.6075817701144,"STXBP3"
"ILMN_2393765",1.42043471931217,11.4072756409353,7.62250442289029,2.63770497205617e-10,1.16823953212368e-06,13.1822564982312,"IGLL1"
"ILMN_2357272",-0.528081293716453,7.78218010774321,-7.55038394280632,3.48678638463204e-10,1.35126047853434e-06,12.9218476465951,"BCLAF1"
"ILMN_1804601",2.36909682638735,6.32971142148962,7.41234698855632,5.94925869554825e-10,2.04938741486758e-06,12.4230482265786,NA
"ILMN_1658911",-0.725678035744518,8.51111497015417,-7.30423848210918,9.04089826908216e-10,2.80294969036354e-06,12.032143182355,"AP3S1"
"ILMN_1705663",-0.725065351340011,7.62392330495451,-7.26398644566258,1.05652168789581e-09,2.97775835362124e-06,11.8865614026332,"DMXL2"
"ILMN_1772316",-0.545076228251325,7.81675590313758,-7.22199887195674,1.2429608261355e-09,3.2112928743899e-06,11.7346898913929,"SUN1"
"ILMN_2343048",1.22941904081737,5.81012736445609,7.12069937324359,1.83950355731439e-09,4.26502952831982e-06,11.3682642538139,"ABCB9"
"ILMN_2083066",1.28739066585454,6.4309006328095,7.1088284636941,1.92595598479107e-09,4.26502952831982e-06,11.3253251181576,"IGLL3P"
"ILMN_2340565",-0.579490606355419,7.26254634766104,-7.07279152754667,2.21405920586163e-09,4.57616517062187e-06,11.194977867895,"ATP2C1"
"ILMN_1738632",-0.452401575025918,11.8429485523509,-7.01307625779219,2.7892376570025e-09,5.40467094250304e-06,10.9790085097986,"PRKAR1A"
"ILMN_1712659",-0.674719954662466,7.90785858588886,-6.95425824743633,3.50135632311199e-09,6.23638278007634e-06,10.7663276771928,"PPP2CB"
"ILMN_1778803",-0.589454235384967,8.29994057127953,-6.94558071811152,3.62077508761649e-09,6.23638278007634e-06,10.7349551702438,"ZFAND6"
"ILMN_1869897",-0.650065144095493,7.96510302138818,-6.92732225022565,3.88548376347214e-09,6.34008700625931e-06,10.6689485262713,"NEK7"
"ILMN_1736021",-0.567779632360352,8.07964909439409,-6.90907316216188,4.16934914128853e-09,6.46311657136841e-06,10.6029823589149,"PRP4K"
"ILMN_1672405",-0.717400390354696,8.28761512962861,-6.84313216096699,5.37872874951677e-09,7.94079654386992e-06,10.3646840356463,"TMED7"
"ILMN_1783702",-0.585968461008934,6.85982380963582,-6.79037002235005,6.59374424584048e-09,9.29208422062692e-06,10.1740951199671,"MORC3"
"ILMN_2381758",-0.592473535819421,8.1639340430603,-6.76301551456734,7.32773979716125e-09,9.87747464919088e-06,10.0753183335394,"G3BP2"
"ILMN_2402416",-0.61475212669231,9.83691237064491,-6.6428561536194,1.16449131663982e-08,1.50428017874102e-05,9.64175282264462,"DNAJB6"
"ILMN_1674228",1.80136151582026,7.27399006675602,6.62410196145436,1.25171073891274e-08,1.55227152154046e-05,9.57413790042074,NA
"ILMN_1748291",-0.530541957593744,8.4695101978707,-6.56409746909623,1.57690582646716e-08,1.87814965707039e-05,9.35791685174249,"SDE2"
"ILMN_1708203",-0.548388338464644,7.25685482503532,-6.54958531963129,1.66743714231172e-08,1.87814965707039e-05,9.30565139176198,"OTUD4"
"ILMN_1735367",-0.529912112427727,11.0940211419178,-6.54513405222927,1.69622908744221e-08,1.87814965707039e-05,9.28962244650419,"HSD17B11"
"ILMN_1660579",-0.637326718256429,8.65364382218617,-6.47153343280285,2.25080683018669e-08,2.39188277682025e-05,9.02475164614789,"CRLF3"
"ILMN_1688606",-0.624428361237451,6.97339907487072,-6.4642676524748,2.31450128389535e-08,2.39188277682025e-05,8.99862145502479,"RNFT1"
"ILMN_1766798",-0.501006382713342,8.55926307544275,-6.41923199306327,2.75130620790061e-08,2.70275315549573e-05,8.83673355288682,"ACAP2"
"ILMN_1757732",-0.529940306571887,7.41008073605085,-6.4156231217074,2.78966877321108e-08,2.70275315549573e-05,8.82376667773486,"OSGIN2"
"ILMN_2393994",-0.398567567677151,7.01984609013099,-6.38459768007172,3.14220502802818e-08,2.95205401466539e-05,8.71232745295863,"CSPP1"
"ILMN_1804339",0.818332855438105,5.24789649120406,6.33383715681628,3.81697266386254e-08,3.48051774993325e-05,8.53015116537859,"CAMK1G"
"ILMN_1756999",-0.433698813702866,10.7781355387382,-6.31487291562663,4.10448664830627e-08,3.52896137830411e-05,8.46213938677195,"RBL2"
"ILMN_2403965",1.40550766562752,6.7482679445008,6.3117780269034,4.15340951094719e-08,3.52896137830411e-05,8.45104278694688,"TXNDC5"
"ILMN_2410742",-0.60387748622109,9.34695055315684,-6.30780584137371,4.2170507277187e-08,3.52896137830411e-05,8.43680177777878,"JMJD1C"
"ILMN_1768016",1.25127116649612,6.23201024628407,6.30117802006639,4.32540503743367e-08,3.52896137830411e-05,8.41304260849077,"TNFRSF17"
"ILMN_1763265",-0.440503441147169,10.3536094518452,-6.29168351549223,4.48546380850961e-08,3.56571370398009e-05,8.37901316648928,"CHMP1B"
"ILMN_1700834",-0.530837677344738,8.22573187323593,-6.2763656172034,4.75619407864552e-08,3.68640712550617e-05,8.32412736093242,"SLK"
"ILMN_1748077",-0.383232777747581,8.16407787880208,-6.25460113755901,5.16901379840951e-08,3.86026982114838e-05,8.24617603053997,"DDX59"
"ILMN_1682935",-0.570319049440499,7.55441782997961,-6.25155634050233,5.22953689927529e-08,3.86026982114838e-05,8.2352740047718,"LYPLAL1"
"ILMN_2155228",-0.419533111851383,10.1782497627866,-6.23092005737225,5.65871238738891e-08,4.0799316313074e-05,8.16140584078726,"CRLF3"
"ILMN_2106449",-0.551802634725344,6.80939122568888,-6.20977246692524,6.13483231133717e-08,4.2985915279141e-05,8.08574599571187,"PLEKHF2"
"ILMN_2408877",-0.561748626641493,6.74692496604221,-6.20535151145299,6.23928712563734e-08,4.2985915279141e-05,8.06993414751875,"KMT2C"
"ILMN_1786532",-0.729587883619076,8.44525916337267,-6.173690127596,7.04080096155413e-08,4.67747928968381e-05,7.95674705666844,"CNIH1"
"ILMN_2228732",-0.445925688638845,8.96982849250472,-6.17182901736122,7.09097592539881e-08,4.67747928968381e-05,7.9500966095591,"CCNG2"
"ILMN_2388466",-0.404108837298606,9.19409970625703,-6.15955517743671,7.43088499218008e-08,4.79957765442832e-05,7.9062457262185,"TIA1"
"ILMN_2208158",-0.500641371858313,8.30527997235007,-6.13107206891694,8.28331025798649e-08,5.24096873323174e-05,7.80453936055329,"GTF2IP1"
"ILMN_2324157",-0.711190331116471,8.07831146604537,-6.11321538803387,8.86651695114507e-08,5.43582143736105e-05,7.74081792529034,"UBA3"
"ILMN_2279635",-0.72518315156428,8.33974985329757,-6.10607908347368,9.11083269955254e-08,5.43582143736105e-05,7.71536098272655,"EIF4G2"
"ILMN_1652199",1.14136779330238,9.58064283437047,6.10589363971827,9.11726977204704e-08,5.43582143736105e-05,7.71469952798361,NA
"ILMN_1715214",0.392648374230924,7.50740618080391,6.07779574859208,1.01466246265667e-07,5.89194004150624e-05,7.6145184548051,"PTPN7"
"ILMN_2222872",-0.517883801548764,6.34374749182639,-6.07481463130137,1.02623862929825e-07,5.89194004150624e-05,7.60389427695438,"RBM18"
"ILMN_1912827",0.392054992709056,4.97223616166085,6.0588455579208,1.09051716889216e-07,6.14714614312064e-05,7.54699921717017,NA
"ILMN_1741032",-0.629125521176775,7.79700978076979,-6.04415520256742,1.15316923805264e-07,6.38423319416895e-05,7.4946839784205,"HERC3"
"ILMN_1729430",0.321737031289498,9.00482408948617,6.0306371696371,1.21397064148925e-07,6.60293540317389e-05,7.44656422568504,"FBH1"
"ILMN_1661000",-0.417892081029552,6.27994103271606,-6.0254449197858,1.23816058189506e-07,6.6183952621539e-05,7.42808683801608,"RPS6KC1"
"ILMN_1765644",-0.564004493029588,8.82761338184785,-6.0201565453102,1.26328986876492e-07,6.63826708496928e-05,7.40927043450475,"COMMD8"
"ILMN_1733579",-0.543797928301249,10.7608962497002,-6.0123979048124,1.30107565752654e-07,6.72287476838257e-05,7.38167027342654,"EVI2A"
"ILMN_1726359",-0.299015964749883,9.05462408522673,-6.00794647762006,1.32325870723495e-07,6.7254081476074e-05,7.36583804733918,"NECAP1"
"ILMN_1798886",-0.491938612095912,8.10124598143189,-5.993818030121,1.39618065290903e-07,6.84781786802739e-05,7.31560272027682,"NUDT21"
"ILMN_1799604",-0.424367993195166,9.98659951107017,-5.9932174770787,1.39936710412668e-07,6.84781786802739e-05,7.31346788652712,"OCIAD1"
"ILMN_1801584",-0.77437729800002,10.9936616315343,-5.99055028180587,1.41360624311761e-07,6.84781786802739e-05,7.303987092529,"CXCR4"
"ILMN_1780291",-0.594120966135917,6.73905137870024,-5.98398892316904,1.44924930357165e-07,6.91247325517414e-05,7.28066760052091,"NFAT5"
"ILMN_1673215",-0.279264689600134,12.9041283986366,-5.96892823353455,1.53446911066915e-07,7.20805239970844e-05,7.22715974496356,"PCBP1"
"ILMN_1781102",-0.63636236311046,8.15140284117009,-5.9411042245575,1.70518476209348e-07,7.83174969832959e-05,7.12837624075106,"VCPKMT"
"ILMN_1750961",-0.455128550159816,8.76461784823193,-5.93916434070663,1.71776595647651e-07,7.83174969832959e-05,7.12149251816442,"TM6SF1"
"ILMN_1754531",-0.293839197674041,6.98836789378937,-5.93390896532725,1.75231412509124e-07,7.87347751017446e-05,7.10284597775322,"AP4E1"
"ILMN_2090059",-0.308181765157349,5.40749834967336,-5.93010487285446,1.77775063601355e-07,7.87365756690403e-05,7.08935080428988,"ZFY"
"ILMN_1790985",-0.630044222648755,8.32398962585453,-5.89922561076652,1.99823785792274e-07,8.72554483227871e-05,6.97987103254697,"CSGALNACT2"
"ILMN_1680453",0.792322309409132,7.83849641364939,5.88733280730158,2.09020549894386e-07,9.00036681718839e-05,6.9377377847993,"ITM2C"
"ILMN_1674506",-0.37895661558189,7.57708879007358,-5.86269704174531,2.29426746536561e-07,9.69474137257766e-05,6.85051662834931,"MED23"
"ILMN_1655561",-0.467017016808256,12.2463553097159,-5.85562927374208,2.35637167924149e-07,9.69474137257766e-05,6.82550815398196,NA
"ILMN_1677466",-0.560677039008309,8.08932706438975,-5.85522311891975,2.35999071957043e-07,9.69474137257766e-05,6.82407122015638,"DUSP6"
"ILMN_1686985",-0.452839063763614,7.42836344364371,-5.85300183394207,2.37988109022501e-07,9.69474137257766e-05,6.816212924579,"MTM1"
"ILMN_1720829",-0.408140282242458,11.7346417827737,-5.84991305800193,2.40781564909357e-07,9.69474137257766e-05,6.80528675800108,"ZFP36"
"ILMN_2311761",-0.364306837204397,8.04824856547347,-5.84423847256043,2.45998511534789e-07,9.77781006809365e-05,6.78521687303252,"AP3S1"
"ILMN_1801767",-0.608794241559601,9.52240937102041,-5.84085599987359,2.49161297007486e-07,9.77816163433301e-05,6.77325575659131,"ABHD3"
"ILMN_1761334",-0.54825942172874,6.58804125697659,-5.83207340264206,2.57562780627446e-07,9.9815236097409e-05,6.74220577575535,"ARID4B"
"ILMN_2078264",-0.510766218030767,7.56191713450496,-5.82061148449445,2.68950628279704e-07,0.000102941683068588,6.70169882193068,"C3orf38"
"ILMN_1812776",-0.401437497390411,7.55920070681934,-5.7976924193359,2.93237880075409e-07,0.000108209419286278,6.62075509037746,"FBXO28"
"ILMN_1659753",-0.486415468014588,9.38007267447025,-5.79534086273989,2.95849437601659e-07,0.000108209419286278,6.61245411552587,"LAMP2"
"ILMN_1685574",-0.45175842935434,7.70306568515511,-5.79455574495996,2.96726479816343e-07,0.000108209419286278,6.60968282623228,"TSC22D2"
"ILMN_1653367",-0.439104576653042,8.16683461709118,-5.79283117898212,2.98662012154908e-07,0.000108209419286278,6.60359579484287,"TAF12"
"ILMN_1792689",-0.605081803809284,10.8035879176395,-5.78947475351269,3.02464939015562e-07,0.000108209419286278,6.59175012881773,"H2AC6"
"ILMN_1750029",-0.55384753311642,7.57251064933098,-5.78843289775277,3.0365511330859e-07,0.000108209419286278,6.58807347651287,"GABPA"
"ILMN_1655312",-0.40677298202422,6.96591394332025,-5.77183452072863,3.23253915120226e-07,0.000113884558300822,6.52951912704728,"HPS5"
"ILMN_1789702",-0.45722353230197,6.90934825262001,-5.76673332332065,3.29525071420029e-07,0.000114789503249833,6.51153132694451,"GBE1"
"ILMN_1666746",-0.584256206079321,7.48083020639317,-5.75861115280551,3.39759467572066e-07,0.000116810177877511,6.48289860447907,NA
"ILMN_1684887",-0.540443513884397,8.31061898895532,-5.75619733686571,3.42861213006918e-07,0.000116810177877511,6.4743910975196,"SAMSN1"
"ILMN_1774930",-0.642848344699115,7.79912136617738,-5.74585637106154,3.56469636407172e-07,0.000119899762821966,6.43795375313132,"CDC14A"
"ILMN_1674522",-0.468659745885754,9.856651318934,-5.7434852902264,3.59664482225682e-07,0.000119899762821966,6.42960119937251,"HIGD1A"
"ILMN_1652989",-0.44602718110429,8.3352287227177,-5.72715320653964,3.8245382840622e-07,0.00012614059619232,6.37209068596206,"NUP160"
