"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1808591",0.521696305772705,7.03822874109835,6.36955932240163,3.32869075000466e-08,0.00103199399322394,6.30366569456545,"UBE2S"
"ILMN_1749493",-0.369336967218764,4.91413565624117,-5.73770289041788,3.67575124177042e-07,0.00569796578743041,4.62662770047542,"ADARB2"
"ILMN_1812403",-0.414996832962196,10.2888035311751,-5.28293994259542,1.99964616990779e-06,0.0189290167416625,3.42594245717307,"BCAP31"
"ILMN_1790625",0.360780518074668,8.65432456923806,5.18807841570559,2.83319687508244e-06,0.0189290167416625,3.17731252507834,"CBX3"
"ILMN_1726359",-0.257196277993736,9.05462408522673,-5.16768886812444,3.05277178686942e-06,0.0189290167416625,3.12398210085454,"NECAP1"
"ILMN_1758728",-0.420923970390137,6.60521722978619,-4.80303020880334,1.14120927304234e-05,0.0513176856407024,2.17826322263494,"FANCG"
"ILMN_1729115",0.590540447904825,6.0946928728613,4.798775575761,1.15867432017843e-05,0.0513176856407024,2.16733335728496,"UBE2S"
"ILMN_1674874",-0.218395625441148,10.7849155307847,-4.65583883983753,1.92443828736613e-05,0.074579200279015,1.80179132624812,"MFSD10"
"ILMN_2125017",-0.341862569957019,5.3759202501791,-4.40379124372061,4.63956057225852e-05,0.159822551579701,1.16602055556028,"TIGIT"
"ILMN_1773964",-0.272002111026528,7.52530831646952,-4.30739696727445,6.46114401572717e-05,0.20031484791959,0.926266427592149,"H1-10"
"ILMN_1720476",-0.400388680067656,8.07100857727213,-4.2371498832783,8.20845934375353e-05,0.23135169548581,0.752857647106421,"PHF2"
"ILMN_1912881",0.234823222473487,4.8308832421244,4.16968975160676,0.000103128454918182,0.266440957319032,0.587427894490009,NA
"ILMN_1727642",-0.407390024779395,6.07366701891606,-4.1278381515234,0.000118716223450495,0.266927243343554,0.485360662530113,"MOGS"
"ILMN_1669424",0.297739613308597,13.2447110616004,4.12330329431966,0.000120536122530393,0.266927243343554,0.474327681625721,"YBX1"
"ILMN_1654629",-0.201890559474464,9.11748858918655,-4.07192952474285,0.000143131262089587,0.28423405396306,0.349709701048675,"TMEM175"
"ILMN_2327947",-0.311035898609,5.42915166795884,-4.05050154445991,0.000153719719136111,0.28423405396306,0.297936280770323,"SLC25A25"
"ILMN_1810085",-0.41743958172389,5.87487271505284,-4.04635318179404,0.000155855204895398,0.28423405396306,0.287927324121121,"ABCF3"
"ILMN_1713380",-0.191811783819478,8.34893980964059,-3.99908858830899,0.000182299377161716,0.313990421674705,0.174218770515316,"EIF2B2"
"ILMN_1758633",-0.214475440639812,10.825008717923,-3.98123070682712,0.000193376384406297,0.315539370828864,0.131416242673034,"YJU2B"
"ILMN_1757995",-0.41981609220111,6.46342321533635,-3.9616830820585,0.000206244931579468,0.319710580687912,0.0846658453992069,"PARP2"
"ILMN_2391324",-0.340646270112418,4.896724400628,-3.93604789533651,0.000224376263193042,0.331254156560661,0.0235202729422825,"RCCD1"
"ILMN_2364674",-0.18967513333375,9.19079290342864,-3.87719274699111,0.000271992498640278,0.379798646302353,-0.116143713678438,"TRPT1"
"ILMN_1671087",0.285864694584107,4.96442691631898,3.84854837677985,0.000298546851575541,0.379798646302353,-0.183746890951713,"BNIP5"
"ILMN_1777118",-0.18035137956015,8.48402075009244,-3.83426331458469,0.000312703506391312,0.379798646302353,-0.217368478405336,"INTS9"
"ILMN_1788961",0.184609243387149,9.45120430031126,3.82597311765273,0.000321212485921467,0.379798646302353,-0.236851968142724,"PPP2R2A"
"ILMN_1653394",0.209217489734589,4.84718011284499,3.81599506148527,0.000331748832545627,0.379798646302353,-0.26027433608711,NA
"ILMN_2357730",-0.401452349010553,5.96222721157778,-3.81494976186306,0.000332871621214572,0.379798646302353,-0.262726289515252,"CDK20"
"ILMN_1652753",-0.318082021069721,6.57502949505676,-3.80566074224093,0.000343010744007544,0.379798646302353,-0.284500686325072,"PAAF1"
"ILMN_1765212",0.369589698897953,6.75396760947402,3.79339143119049,0.000356857898044483,0.381505703899073,-0.313220221761163,"LARP1B"
"ILMN_1733874",-0.335473858232316,5.63259263885553,-3.75927126502034,0.000398241897762271,0.411556451877456,-0.392839714738783,"SH2D2A"
"ILMN_2317348",-0.184471279920271,7.60794025539278,-3.74230591839494,0.000420494094743793,0.418925250688839,-0.432291171353653,"APTX"
"ILMN_1751362",-0.27285086366414,6.17355961842908,-3.73358082313855,0.000432397123570069,0.418925250688839,-0.452544750357553,"FASTKD1"
"ILMN_1773063",0.334628984919394,5.72054908728084,3.71255534284422,0.000462420704953671,0.430155088713245,-0.501250251959217,"OSBPL1A"
"ILMN_1886719",0.143142553249378,4.65874221183798,3.69386042223551,0.00049078328068464,0.430155088713245,-0.544436082595733,NA
"ILMN_2229242",-0.227540952272809,9.33218134169558,-3.68890656663978,0.000498573386084547,0.430155088713245,-0.555860406050201,"LSM3"
"ILMN_2349138",-0.239343513195052,10.1582808670528,-3.68183627632392,0.000509896768317214,0.430155088713245,-0.57215150783296,"CDC42SE1"
"ILMN_1670570",0.496503959340368,7.80920448126862,3.67159586406397,0.000526734146546151,0.430155088713245,-0.595717710267338,"MXI1"
"ILMN_1732426",-0.295986658746366,6.11378617898804,-3.67129554973516,0.000527235860113644,0.430155088713245,-0.596408295687014,"CRHR1"
"ILMN_1907095",-0.223682682931328,4.80011953688565,-3.65719431900941,0.000551314878967663,0.431186855868419,-0.628800761305031,"ONECUT2"
"ILMN_1733559",-0.47433695282982,10.0168463340866,-3.65433932366321,0.000556316299543166,0.431186855868419,-0.635350970788217,"RNA28SN5"
"ILMN_1736751",0.244945722394225,7.66184925288104,3.63954007074771,0.000582944256365815,0.440805384880716,-0.669260863914895,"VPS26B"
"ILMN_2272074",0.243194635932865,7.95326936833543,3.6283787972314,0.000603827095524463,0.442447704789709,-0.694785922101622,"RO60"
"ILMN_1694504",-0.223349463284873,8.33674975498998,-3.60528841214911,0.00064931864189942,0.442447704789709,-0.747457021204637,"RNF220"
"ILMN_1729319",0.304778006618909,7.47344564867959,3.6023567633758,0.0006553231119138,0.442447704789709,-0.754131250474178,"USP7"
"ILMN_2129349",-0.24711723385069,7.51267533612827,-3.59668160564531,0.000667097542968981,0.442447704789709,-0.767042949746791,"EIPR1"
"ILMN_1736408",0.220013426324571,4.84850429822149,3.5960230435984,0.000668476875432335,0.442447704789709,-0.768540539733497,NA
"ILMN_1733654",-0.246300516840179,5.10951213915284,-3.58950194061886,0.000682282678433724,0.442447704789709,-0.783361606368431,"EOLA2"
"ILMN_1775901",-0.306052976089848,6.74224161101651,-3.58717743277594,0.000687269290735311,0.442447704789709,-0.788641142287846,"PHF5A"
"ILMN_1678143",-0.173113234852431,14.2279953942172,-3.56913950726217,0.000727163048869923,0.442447704789709,-0.829545675186933,"ARHGDIB"
"ILMN_1715705",0.230104256635393,7.90624283883911,3.56035946091433,0.000747370882363264,0.442447704789709,-0.849414864468713,"SSNA1"
"ILMN_1803302",0.251945143109024,8.1945534948154,3.54353511026773,0.000787597220555212,0.442447704789709,-0.887412169857677,"CRK"
"ILMN_1663035",-0.283929768402547,7.07756997202092,-3.54267958896396,0.000789696858981405,0.442447704789709,-0.889341656064934,"SREBF1"
"ILMN_1771019",-0.196295969006574,8.70340820460743,-3.54077979210742,0.000794378452795624,0.442447704789709,-0.893625400523922,"MTMR4"
