"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2343047",0.947201740814853,5.09508686477021,6.45695953207385,2.38037616786594e-08,0.000686146262233862,8.73447703856212,"ABCB9"
"ILMN_2193233",1.38295886458097,7.01704167934586,6.24799019471552,5.30131904182864e-08,0.000686146262233862,8.01561185903067,"MZB1"
"ILMN_1788108",1.22364587504359,8.98067122649984,6.18906817369149,6.63948258781919e-08,0.000686146262233862,7.8133880101999,"TXNDC5"
"ILMN_1705663",-0.771865387585356,7.62392330495451,-6.05191035217857,1.11966225336983e-07,0.000727991076454522,7.34365132918016,"DMXL2"
"ILMN_2274420",-0.594223499264357,6.48411591396809,-6.01192238330197,1.30342764296521e-07,0.000727991076454522,7.20699454773452,"SPTLC1"
"ILMN_1695509",-0.643254456033285,9.09481315513465,-5.93756237137778,1.72822493355343e-07,0.000727991076454522,6.95326614390994,"PTPN12"
"ILMN_1674228",2.05201524136661,7.27399006675602,5.90554192646315,1.95103577755919e-07,0.000727991076454522,6.84417432898824,NA
"ILMN_1761334",-0.708226028400623,6.58804125697659,-5.89605882643833,2.02232754885643e-07,0.000727991076454522,6.81188615900647,"ARID4B"
"ILMN_1783702",-0.648831352989182,6.85982380963582,-5.88442556479106,2.11331796538745e-07,0.000727991076454522,6.77228996434939,"MORC3"
"ILMN_1804601",2.39095415966995,6.32971142148962,5.8545999771324,2.36555392850964e-07,0.000733392684455842,6.67083849766601,NA
"ILMN_1767320",-0.421074987774148,9.17920915386393,-5.75983196665875,3.38201318177489e-07,0.0009077730364067,6.34914908639479,"MAPK1"
"ILMN_1735367",-0.594807951383884,11.0940211419178,-5.74969107895887,3.51362011317627e-07,0.0009077730364067,6.31478858017732,"HSD17B11"
"ILMN_1687519",-0.668844053254733,8.8569004902322,-5.52582897082363,8.12833876337622e-07,0.00176711458787332,5.55972040859632,"SNAP23"
"ILMN_1764168",-0.630739927184724,8.75326860347395,-5.51661427003817,8.41238039659653e-07,0.00176711458787332,5.52879252527006,"STXBP3"
"ILMN_2393765",1.31250476490004,11.4072756409353,5.51226821428951,8.54972706450982e-07,0.00176711458787332,5.51421007466338,"IGLL1"
