"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1808591",0.493260559238354,7.03822874109835,4.71325636632997,1.57069014870724e-05,0.486961066803706,-0.0748703857384712,"UBE2S"
"ILMN_1669424",0.412543074821359,13.2447110616004,4.47127116313786,3.67281899714356e-05,0.552300149769175,-0.471006723182996,"YBX1"
"ILMN_1825369",0.291678775370743,4.79413634323398,4.2868865845052,6.93006981492773e-05,0.552300149769175,-0.769761251015351,"NETO1"
"ILMN_1839144",0.285810673432613,4.65317800142916,4.27872284164019,7.12576395534851e-05,0.552300149769175,-0.782913987186854,NA
"ILMN_1794407",0.264814856976293,4.7424927681891,4.14420903302396,0.000112364926339174,0.599639147820396,-0.998593308534127,"FAM197Y1"
"ILMN_1841178",-0.265173040649649,4.81432785333309,-4.12251428004915,0.000120855507897946,0.599639147820396,-1.03318406012719,NA
"ILMN_1765876",0.39750716913973,6.43185015932958,4.08454729208967,0.000137229606182695,0.599639147820396,-1.09358063757121,"ARHGAP24"
"ILMN_1708769",-0.266077870348688,4.78216474491763,-4.04853090920592,0.000154730612604044,0.599639147820396,-1.1507053206668,"ITGAX"
"ILMN_1675127",0.225578422626439,4.5935052010765,3.87038847128991,0.000278086663584502,0.781189052793712,-1.43063059206882,NA
"ILMN_1770005",0.504811877462462,5.39581531062173,3.86899255526296,0.000279353022089116,0.781189052793712,-1.43280569293549,"PTPN18"
"ILMN_1708143",-0.328237427336022,7.68687050036612,-3.82608932507655,0.000321091689905826,0.781189052793712,-1.49950847266878,"RTL8C"
"ILMN_1751439",-0.209487970460904,4.63183972797041,-3.825955487039,0.000321230816512893,0.781189052793712,-1.49971609834804,"EMX2"
"ILMN_1810467",-0.259274753611305,9.8616385266869,-3.76348224483122,0.000392896031819677,0.781189052793712,-1.5963134956088,"PPP2R1A"
"ILMN_1681461",0.210141713116451,4.65841755608539,3.75440663722631,0.00040450435657758,0.781189052793712,-1.61029245724491,"RAB27A"
"ILMN_1761010",-0.286063866864317,8.19961049000157,-3.74707304399375,0.000414123893613821,0.781189052793712,-1.62157802717694,"PCCB"
"ILMN_1805720",0.269867125520462,4.85615105319521,3.72690941948951,0.00044171543512667,0.781189052793712,-1.65256009381214,"SDHAF1"
"ILMN_1674228",1.28084060263485,7.27399006675602,3.68616067146698,0.000502942198193234,0.781189052793712,-1.71495557593554,NA
"ILMN_1733799",-0.486417453542187,6.26747773894412,-3.68471047874681,0.000505264252968086,0.781189052793712,-1.71717072808795,"MCRIP1"
"ILMN_1884398",0.281755155271523,4.76498345315848,3.68418594966012,0.000506106653097147,0.781189052793712,-1.71797184732894,NA
"ILMN_1782533",0.459487466916446,4.94343684209797,3.63989076288412,0.000582299416181748,0.781189052793712,-1.78544462503401,NA
"ILMN_1726456",-0.245710618466335,7.70272064180044,-3.63648968977193,0.000588582023618886,0.781189052793712,-1.79061045448321,"SLC3A2"
"ILMN_1742262",0.247899297086153,4.70766597222864,3.63460802288042,0.000592085677113271,0.781189052793712,-1.79346756276315,"CEP131"
"ILMN_1804263",-0.4565070415273,6.22882935643198,-3.6310716471293,0.00059872434213681,0.781189052793712,-1.79883538684228,"ZNF76"
"ILMN_1657810",-0.234380201280884,10.248820003598,-3.62609664601595,0.000608184081839573,0.781189052793712,-1.80638293740451,"PPM1M"
"ILMN_1737644",-0.264844441479051,8.53492180947357,-3.61493451627297,0.000629930210619707,0.781189052793712,-1.8233000835021,"TMEM219"
"ILMN_1775829",0.384940131070561,5.05978569012318,3.5761097121709,0.00071149250160668,0.811840694674856,-1.88195816661593,"PERP"
"ILMN_2412761",0.415535131573779,6.05661786183818,3.57330935470063,0.000717749245638638,0.811840694674856,-1.88617785755045,"MAFG"
