"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2267104",0.175208912367576,4.59906360836932,3.84871503156504,0.000298385385413288,0.999917164921393,-1.46436777106759,"PAIP2"
"ILMN_1848006",0.253054150700581,4.77247275090666,3.60184749707896,0.000656371552920692,0.999917164921393,-1.84310463188679,NA
"ILMN_1784459",0.359910629826555,4.88698009790669,3.52064839739578,0.000845638185773614,0.999917164921393,-1.96524250588259,"MMP3"
"ILMN_1735416",-0.148253494127563,4.61865686997697,-3.49067729313638,0.000927817863685759,0.999917164921393,-2.00999260334263,NA
"ILMN_1773687",-0.377387393184815,5.06596541831514,-3.37687446497814,0.00131433765404311,0.999917164921393,-2.17819814725818,"YIF1B"
"ILMN_1780236",0.297168206742252,8.0622593098916,3.36467999565453,0.00136380228622163,0.999917164921393,-2.19605553155023,"PMM1"
"ILMN_1694662",0.209433184229456,4.71904903682121,3.36060223684779,0.00138073231908177,0.999917164921393,-2.20201954014398,NA
"ILMN_1743046",-0.362603271742957,4.89797468876611,-3.35418167712819,0.00140779274411482,0.999917164921393,-2.21140251086299,"SERPINA13P"
"ILMN_1739440",0.244731715521033,4.87319174669257,3.34762009245691,0.00143596530613516,0.999917164921393,-2.22098200078717,NA
"ILMN_1666935",0.261757225778843,4.84970745835851,3.33259590334334,0.00150249332124677,0.999917164921393,-2.24287968357392,NA
"ILMN_1820293",0.200539749510216,4.65906294515877,3.29817810483811,0.00166603989566323,0.999917164921393,-2.29284883700939,NA
"ILMN_1716832",-0.194514920161116,4.87976581340379,-3.29383492129323,0.00168783328021817,0.999917164921393,-2.29913497943964,"ACSF3"
"ILMN_1658464",-0.27248074880702,11.1980089669497,-3.25556632135058,0.00189182912621855,0.999917164921393,-2.35433181178673,"GTF3A"
"ILMN_1715789",0.265385350687557,4.7541733704905,3.25180355944096,0.00191309559663589,0.999917164921393,-2.35974029255832,"DOCK1"
"ILMN_1745420",-0.442549019882865,5.40103712825728,-3.22944498189272,0.00204417953575533,0.999917164921393,-2.39180770544643,"PHF19"
"ILMN_1663321",-0.160430991649232,4.71360340710563,-3.22289291543426,0.00208416653402828,0.999917164921393,-2.40118200231826,"LINC03025"
"ILMN_1661778",0.27324840221073,4.82802227766173,3.1783287182353,0.00237629442660003,0.999917164921393,-2.46466244053653,"TESMIN"
"ILMN_1651693",0.219260488210978,4.74965102175464,3.17090640153402,0.00242853728477173,0.999917164921393,-2.47518747315605,"GSG1"
"ILMN_1899222",-0.308920185304587,4.85825745166689,-3.13421667529319,0.00270299870949359,0.999917164921393,-2.52701031610773,NA
"ILMN_1726505",-0.31150682089275,4.80187689718917,-3.13217279162838,0.0027191126741535,0.999917164921393,-2.529887152431,"GOLGA2P5"
"ILMN_1796737",-0.178856392063614,4.69148858075208,-3.12592926233143,0.00276889596946365,0.999917164921393,-2.53866849560956,NA
"ILMN_1818192",-0.241999450218134,4.79272519975133,-3.1257989182134,0.0027699443232866,0.999917164921393,-2.53885171408305,NA
"ILMN_1674152",0.374935597299701,6.14732832302677,3.12062326990204,0.00281187374793554,0.999917164921393,-2.54612333826178,"NFKBIB"
"ILMN_2396639",0.313703673502595,6.41452398919731,3.11441899575719,0.00286291985552267,0.999917164921393,-2.55483103825754,"PDLIM7"
"ILMN_1765876",0.302996169779581,6.43185015932958,3.11340846371426,0.00287131582009816,0.999917164921393,-2.5562483771546,"ARHGAP24"
"ILMN_1847901",0.208090213469605,4.74063527077004,3.10450629869646,0.0029462817438423,0.999917164921393,-2.56872281203667,NA
"ILMN_1733654",-0.270270937170932,5.10951213915284,-3.08262902583531,0.00313836750547347,0.999917164921393,-2.59929114981481,"EOLA2"
"ILMN_1695280",-0.317443181113133,5.02174492862794,-3.07557334623354,0.00320277419687593,0.999917164921393,-2.60912297683664,"SMG6"
"ILMN_1873508",0.374589294106909,4.88836457573359,3.04772502816521,0.00346923874928697,0.999917164921393,-2.6477995265665,NA
"ILMN_1708769",-0.200057345468899,4.78216474491763,-3.0439898879344,0.00350651310576079,0.999917164921393,-2.65297122643004,"ITGAX"
"ILMN_1654997",-0.24613731486957,4.76866023829966,-3.04133861513756,0.00353319764048302,0.999917164921393,-2.6566399187476,"P2RX3"
"ILMN_1727668",0.179400039379614,4.76134288811839,3.02366520525671,0.00371597674689248,0.999917164921393,-2.68104693270135,NA
"ILMN_1765767",0.260316231263742,4.87289833962224,3.01391029638498,0.0038206018846655,0.999917164921393,-2.69448214372788,"ACOX1"
"ILMN_1915989",0.200219240418098,4.7857467170757,2.99720059775576,0.0040062235853135,0.999917164921393,-2.71743549995303,NA
"ILMN_1862305",0.19113259893962,4.79186356707902,2.99335051664336,0.00405016709969142,0.999917164921393,-2.72271329006835,NA
"ILMN_1814688",-0.31334126286034,4.99592752140312,-2.99298113421083,0.00405440661807942,0.999917164921393,-2.72321943375159,"ATP8B2"
"ILMN_1712742",0.285889955291814,4.5652292404645,2.98690183526226,0.00412477695102236,0.999917164921393,-2.73154412661027,"LOC100134368"
"ILMN_1852373",-0.245681867326344,4.72236974626144,-2.97759479682622,0.00423471538129495,0.999917164921393,-2.74426886087375,NA
"ILMN_1738883",0.331633162263405,6.70004230220765,2.97602554155807,0.00425351850319397,0.999917164921393,-2.74641199743665,"RNF135"
"ILMN_1732873",-0.257139301306024,4.88998777462274,-2.96988272840303,0.00432787252177234,0.999917164921393,-2.754794644673,"IPPK"
"ILMN_2127842",0.207026622992329,15.0359318402212,2.96137844087014,0.0044328069456293,0.999917164921393,-2.76638239204042,"HBA2"
"ILMN_1709253",-0.337751211612364,5.08829456610728,-2.9485849512524,0.0045951290414201,0.999917164921393,-2.78377619889525,"KCNK10"
"ILMN_1663767",-0.248914621734555,4.87848588856991,-2.94740123658503,0.00461042370587252,0.999917164921393,-2.78538322170868,NA
"ILMN_1656201",-0.162707411648465,4.64393068799028,-2.92917013369624,0.00485203875210383,0.999917164921393,-2.81008371745657,NA
"ILMN_1812384",0.304191118980146,5.14328019370681,2.90788725975601,0.00514894623842602,0.999917164921393,-2.83879874989421,"NR3C1"
"ILMN_1659240",0.165815040818473,10.262643877454,2.90678097329155,0.00516483084016964,0.999917164921393,-2.84028779734641,"MTMR14"
"ILMN_1784554",0.334220387168894,9.02301177106259,2.90619557880462,0.00517325458800532,0.999917164921393,-2.84107558782473,NA
"ILMN_2229242",-0.228271393334421,9.33218134169558,-2.8962938386496,0.00531768268554169,0.999917164921393,-2.85438575812901,"LSM3"
"ILMN_1716736",-0.260012066383664,4.82985263404349,-2.89103082398642,0.00539596172330453,0.999917164921393,-2.86144885644891,"CD80"
"ILMN_2402499",-0.188536552185767,4.71418945930645,-2.88326080230793,0.00551348121773493,0.999917164921393,-2.871861673192,"MSMO1"
"ILMN_1793578",-0.303222827052965,5.11265986721966,-2.88172109510915,0.00553704839270559,0.999917164921393,-2.87392298393622,"ZFP37"
"ILMN_1656184",0.329285771226412,7.23687439248421,2.8805412407223,0.00555517063812374,0.999917164921393,-2.87550206600797,"PI4KA"
"ILMN_1874375",0.181821645638988,4.74241910273457,2.87802781835912,0.00559395933956208,0.999917164921393,-2.87886459717062,NA
"ILMN_1808874",0.256974942963031,4.88091579917108,2.87765976499679,0.00559966036543774,0.999917164921393,-2.87935683457054,NA
"ILMN_2317923",0.213251185645007,4.75824554540671,2.8765662909843,0.00561662965640218,0.999917164921393,-2.88081902090845,"TMEM132A"
"ILMN_1898530",0.183360747863906,4.70637559353714,2.87342079497264,0.00566570938069018,0.999917164921393,-2.88502320205816,NA
"ILMN_1653575",0.254607621459607,4.85643435293049,2.8734194314232,0.00566573074218227,0.999917164921393,-2.88502502391004,"IL18BP"
"ILMN_1655842",0.199307604942959,4.84160939044588,2.87296689326325,0.00567282436526883,0.999917164921393,-2.88562963445455,NA
"ILMN_1749716",0.208098709668653,4.83100078868679,2.87286426247683,0.005674434265506,0.999917164921393,-2.88576674525339,NA
"ILMN_1701112",-0.227851998102652,4.73044506480509,-2.87116116359824,0.00570121142481273,0.999917164921393,-2.8880415682575,NA
"ILMN_1717018",0.222221543890656,4.72947069813126,2.85020517906314,0.00604040294820033,0.999917164921393,-2.91596237300794,NA
"ILMN_2262462",-0.376862580111846,5.96060382842894,-2.84473927418909,0.00613189040295303,0.999917164921393,-2.92322350090602,"CACTIN"
"ILMN_1782993",0.183515847396423,4.61494572425124,2.83622025388246,0.00627703592873551,0.999917164921393,-2.93452275923259,"DHODH"
"ILMN_1656801",0.194889112218969,4.73334544766268,2.82376118962661,0.00649503094636714,0.999917164921393,-2.95100881180421,NA
"ILMN_1714159",-0.237434708298009,7.35695709742232,-2.82020573250235,0.00655850972597452,0.999917164921393,-2.95570490158499,"LUZP1"
"ILMN_1815261",-0.357205042001642,5.42024424663079,-2.81277955943215,0.00669294615424904,0.999917164921393,-2.96550118182323,"PDIA4"
"ILMN_1885203",-0.162715165990514,4.73987340691983,-2.80809520846981,0.00677904955047385,0.999917164921393,-2.97167199563631,NA
