"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2132599",1.90468771717113,6.06460409104601,6.98090084408079,3.15871661373938e-09,9.7929691175762e-05,10.2904712718398,"ANKRD22"
"ILMN_1809467",0.923406408531935,9.24368185340817,6.74719869926201,7.78874683891243e-09,0.000120737259123401,9.50620019376041,"VAMP5"
"ILMN_1771385",0.926034187818947,8.38835591508223,6.60473879265277,1.34859354663572e-08,0.000126212610345421,9.02816998940969,"GBP4"
"ILMN_1701914",0.547947160804376,4.75008391798138,6.53113284411862,1.79005907711975e-08,0.000126212610345421,8.78130261866633,"CD274"
"ILMN_1799848",1.7260860103809,5.78628363580279,6.49770624296208,2.03549028070544e-08,0.000126212610345421,8.66923403361325,"ANKRD22"
"ILMN_1707077",0.821469841867589,7.94759504248805,6.43237998863389,2.61592866496157e-08,0.000135169393999673,8.45030815142302,"SORT1"
"ILMN_2176063",1.69088972507397,7.6457473269533,6.30925263899884,4.19375908536443e-08,0.00018574158989079,8.03809079897249,"FCGR1A"
"ILMN_2391051",1.67601076235002,7.73809828565491,6.25517721464333,5.15764135268717e-08,0.000189846764426202,7.85726286809766,"FCGR1BP"
"ILMN_1683792",1.11846782938158,8.34952352762083,6.23783461543354,5.51114692073612e-08,0.000189846764426202,7.79930072611589,"LAP3"
"ILMN_1774077",0.903910167114814,12.0974275080365,6.10177115530524,9.26153975804105e-08,0.000287135517118547,7.3451580514324,"GBP2"
"ILMN_2261600",1.76992009795193,8.79376810860119,5.88120911260205,2.13918379197916e-07,0.00057857682485015,6.61180773788633,"FCGR1A"
"ILMN_2114568",1.2393101319333,9.80262767439418,5.86909655896439,2.23943550566132e-07,0.00057857682485015,6.5716554499126,"GBP5"
"ILMN_1786612",0.638587947923342,10.1928974403367,5.82717476690857,2.62370115091348e-07,0.000625712359859773,6.43279695287819,"PSME2"
"ILMN_1756953",0.739695666437127,4.97537496166069,5.74484216636887,3.57832745707179e-07,0.000792420615368548,6.16060686864627,"GBP6"
"ILMN_1701114",1.34031554929157,8.62715961954279,5.65589439708248,4.99792614183958e-07,0.00102941578510907,5.86739104736784,"GBP1"
"ILMN_1860051",0.772803652339742,4.94081283481928,5.63960511665194,5.31259960705259e-07,0.00102941578510907,5.8137951710539,NA
