"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1788108",1.17990114539997,8.98067122649984,4.40252129047331,4.65994176230454e-05,0.83981096310567,-1.70259731483781,"TXNDC5"
"ILMN_1733654",-0.518032094357125,5.10951213915284,-4.35877959316709,5.41761096091133e-05,0.83981096310567,-1.75209469798007,"EOLA2"
"ILMN_1773175",-0.595607266788711,4.93208323902645,-4.02865554570352,0.000165291631246088,0.999995739621219,-2.12226006760982,NA
"ILMN_1681308",0.283184970199155,4.57299494135405,3.90416157636497,0.000249077362824309,0.999995739621219,-2.25987146282991,"KBTBD13"
"ILMN_1874107",-0.302141671360254,4.68548031097694,-3.73103843914227,0.000435925791231171,0.999995739621219,-2.44892170838214,NA
"ILMN_2233783",1.13471929729032,5.97404356432717,3.67177529372541,0.000526434604131263,0.999995739621219,-2.51293779871199,"CD38"
"ILMN_2193233",1.08139318219885,7.01704167934586,3.60413483574493,0.000651675055208761,0.999995739621219,-2.58552405180165,"MZB1"
"ILMN_1769082",1.36194374166314,5.40014428182985,3.60026707806855,0.000659635403151587,0.999995739621219,-2.58965856513702,"TXNDC5"
"ILMN_2393765",1.16180417441779,11.4072756409353,3.59955414901125,0.000661112791539041,0.999995739621219,-2.59042047068879,"IGLL1"
"ILMN_1772156",0.453899296295773,6.36096097710389,3.5635444039932,0.000739979469826869,0.999995739621219,-2.62882469463481,"ERP44"
"ILMN_1767320",-0.345046146763554,9.17920915386393,-3.48188062237483,0.000953344037906507,0.999995739621219,-2.71532273465892,"MAPK1"
"ILMN_1844915",0.262792435702634,4.69851596782885,3.41726350512439,0.00116235998494782,0.999995739621219,-2.78314868503906,NA
"ILMN_2403965",1.31098118496085,6.7482679445008,3.39902477429397,0.00122880335374354,0.999995739621219,-2.80219022834164,"TXNDC5"
"ILMN_1676997",-0.344672607955451,4.78106018346126,-3.3691381200323,0.00134551787729919,0.999995739621219,-2.83329158124207,"TREX1"
"ILMN_1698166",-0.486621423168025,6.26474908260172,-3.31726817599465,0.00157336030335832,0.999995739621219,-2.8869648855773,"C21orf91"
"ILMN_1778629",-0.534654871865484,5.08566474064596,-3.29179632630997,0.00169815512686586,0.999995739621219,-2.91317692834566,"RTEL1-TNFRSF6B"
"ILMN_1743673",-0.230817429481895,4.71533752285154,-3.28764289990324,0.00171936938436394,0.999995739621219,-2.9174417894429,"FAM86C2P"
"ILMN_2381064",0.455629177867739,6.190387332005,3.25863504773908,0.00187465032633069,0.999995739621219,-2.94715449526369,"TPD52"
"ILMN_1713471",0.303856497299967,4.65276048382786,3.2584737569937,0.00187554956359319,0.999995739621219,-2.94731934327356,"ENOX1"
"ILMN_1778730",0.282465087015519,4.77252693168231,3.23696094524487,0.00199919940301635,0.999995739621219,-2.96927032592366,"MRPL39"
"ILMN_2187487",0.307101901399756,8.58065151381438,3.1796386591717,0.00236718453711301,0.999995739621219,-3.02740191779136,"HEATR5B"
"ILMN_1805147",-0.245132448886111,4.75492576270441,-3.15504033109499,0.00254384976702883,0.999995739621219,-3.05218400495879,NA
"ILMN_1713759",0.39975943590373,9.4746357124156,3.14038485870782,0.00265490981921802,0.999995739621219,-3.0669012595752,"UBE2J1"
"ILMN_1727875",0.277728504152952,4.77075678103167,3.12431110383567,0.00278193715016108,0.999995739621219,-3.08300132091295,"MUC6"
"ILMN_1849288",0.274687679473902,4.70428543134282,3.11552258698685,0.00285377698077002,0.999995739621219,-3.09178572453372,NA
"ILMN_1712588",-0.233863531877807,4.73062631015203,-3.09886645692647,0.00299471928509283,0.999995739621219,-3.10839786021127,NA
"ILMN_1778845",0.276225810031499,8.76465862918447,3.09373889202416,0.00303940298673716,0.999995739621219,-3.11350227837974,"FAM111A"
"ILMN_1662370",0.367938692348679,4.847067892879,3.07758358682013,0.00318429924751646,0.999995739621219,-3.12955485520232,"ZNF680"
"ILMN_1827736",0.341681257151862,9.89525686578428,3.04866327740462,0.00345993391698428,0.999995739621219,-3.15817707636881,"PDK3"
"ILMN_1759390",-0.287212815512531,4.82586372113716,-3.03243315294121,0.00362422322680184,0.999995739621219,-3.17417489569079,NA
"ILMN_1708743",0.330227988122726,4.81788196969962,3.02128949753801,0.00374120813861144,0.999995739621219,-3.18513166778669,"NT5DC2"
"ILMN_1802218",0.338434908809766,4.74033220705661,3.01027375893115,0.00386030295021428,0.999995739621219,-3.19594058374598,NA
"ILMN_1680246",-0.550092460580664,6.44197239355201,-3.00749519945085,0.00389089598329119,0.999995739621219,-3.19866348990533,"MAT2B"
"ILMN_1749001",0.391525692811409,5.02681434203969,3.00578258520175,0.00390986492246244,0.999995739621219,-3.20034109961303,"ABCA5"
"ILMN_2238928",-0.46635050727656,6.72744183348483,-3.00458349327646,0.0039231973270698,0.999995739621219,-3.20151536415155,"RAD51C"
"ILMN_1715384",-0.41759398294166,5.20049198729405,-2.99714126209658,0.00400689744030319,0.999995739621219,-3.20879761724821,"B4GAT1"
"ILMN_1680274",1.07517695608857,8.61332160381235,2.99005500745566,0.00408813700315977,0.999995739621219,-3.21572209401979,NA
"ILMN_1779492",0.362917588791569,5.12313952520253,2.98181023496161,0.00418458741199495,0.999995739621219,-3.22376698203704,"SMURF1"
"ILMN_1797822",0.460312213165822,8.4194308544093,2.96753436376368,0.00435661572482593,0.999995739621219,-3.23766692396904,"SEL1L3"
"ILMN_1824412",-0.236214341259227,4.65582502821414,-2.95599025660582,0.00450051073992585,0.999995739621219,-3.24887919575563,NA
"ILMN_1699131",-0.383874949193438,4.93150721386823,-2.93722930570123,0.00474381697934538,0.999995739621219,-3.26704728559324,"LINC01000"
"ILMN_1897387",0.216981407123505,4.56643348727695,2.92667989689427,0.00488593928206937,0.999995739621219,-3.27723395215287,NA
"ILMN_1669497",0.704818770558274,6.69874528675349,2.92590853173716,0.00489648467172148,0.999995739621219,-3.2779779594621,"OSBPL10"
"ILMN_2344988",-0.437404229554903,5.46801659695588,-2.92452346359515,0.00491547306797656,0.999995739621219,-3.27931361758218,"KMT2E"
"ILMN_1781099",-0.322169578684364,8.8515552774822,-2.90789564655095,0.00514882598988971,0.999995739621219,-3.29531947050756,"ISY1"
"ILMN_1773245",0.213671640536564,4.68200082535264,2.90287641934136,0.00522125815453374,0.999995739621219,-3.30014046153875,"CCL3L1"
"ILMN_1839144",0.262266882584637,4.65317800142916,2.89644637609813,0.00531542969921917,0.999995739621219,-3.30630940055163,NA
"ILMN_1687864",-0.398137030809729,7.27884858798903,-2.89488773397464,0.00533849263473035,0.999995739621219,-3.30780353915377,"POP5"
"ILMN_1758663",-0.228546761905329,4.71694818420858,-2.89205660330948,0.00538062163105557,0.999995739621219,-3.31051629299554,"OR5AR1"
"ILMN_1909377",-0.316932401056442,4.79941923064562,-2.88945945169304,0.00541953949944433,0.999995739621219,-3.31300347425861,NA
"ILMN_1811430",0.344181630566039,4.83415426915523,2.87840151430892,0.00558817640873862,0.999995739621219,-3.32357839656584,NA
"ILMN_2330994",0.367216163525638,7.87581159026459,2.84768195806021,0.00608247833736192,0.999995739621219,-3.35282932458398,"NKTR"
"ILMN_1715525",0.339477104412033,4.81188721561477,2.84686666599506,0.00609613133632203,0.999995739621219,-3.35360307921388,"ARL17A"
"ILMN_1744628",-0.478179925553549,5.79505543739979,-2.84117156667547,0.00619229485042182,0.999995739621219,-3.35900430712095,"FDX2"
"ILMN_1710284",-0.254911159339014,4.72587937397124,-2.83827051439289,0.00624181689847914,0.999995739621219,-3.36175315789484,"HES1"
"ILMN_1759075",0.604215065116126,5.24028757459239,2.83697006917744,0.00626413449808127,0.999995739621219,-3.3629848263873,"TNFRSF13B"
"ILMN_1777046",-0.345601202717167,4.95331698501552,-2.83686608074551,0.00626592227439543,0.999995739621219,-3.36308330046796,"CTBP2"
"ILMN_1743797",0.901170665445536,5.30153677395206,2.83680024894252,0.00626705430285765,0.999995739621219,-3.36314564018249,NA
"ILMN_1669210",0.249518969238202,4.71351270432833,2.83106127650967,0.00636646934755575,0.999995739621219,-3.36857682553558,"SNORD16"
