"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1890797",0.297555658261204,4.62788312202305,4.15237988968294,0.000109319184094769,0.999956006234826,-1.9843264528723,NA
"ILMN_1854196",-0.57289152071479,4.97332352591686,-3.99905164765857,0.000182321646619771,0.999956006234826,-2.15509725549963,NA
"ILMN_1797367",-0.329017485289284,7.56963020638252,-3.96209965795504,0.000205962282079567,0.999956006234826,-2.19598749672007,"TSC1"
"ILMN_1675445",0.315780558933047,4.62957021276397,3.91910577856375,0.000237191287145652,0.999956006234826,-2.2434212000906,"USF3"
"ILMN_1680246",-0.708462085654363,6.44197239355201,-3.87334216387791,0.000275425274279674,0.999956006234826,-2.29373425184598,"MAT2B"
"ILMN_1733654",-0.459840255442776,5.10951213915284,-3.86914699566654,0.000279212643348824,0.999956006234826,-2.29833705191961,"EOLA2"
"ILMN_1825369",0.349758699770115,4.79413634323398,3.79220684500964,0.000358222853755716,0.999956006234826,-2.38245985071875,"NETO1"
"ILMN_1877429",0.284926409243509,4.66158901956755,3.75000246789687,0.000410255343400805,0.999956006234826,-2.42835762580307,NA
"ILMN_1764308",0.515557721818211,4.91339606839804,3.70202851614091,0.000478192319566508,0.999956006234826,-2.48030576684825,NA
"ILMN_1810832",-0.424278588466695,4.89734677642945,-3.65488137866013,0.000555363398334522,0.999956006234826,-2.53111592930838,"ZNF343"
"ILMN_1779235",0.237386819197207,4.63374053900304,3.54526536255021,0.000783367032640137,0.999956006234826,-2.64825875238465,NA
"ILMN_1704043",-0.293023104373863,4.7032280965016,-3.5216072264225,0.000843126993488527,0.999956006234826,-2.67335001621675,"PRR21"
"ILMN_1712588",-0.265179021884363,4.73062631015203,-3.51382008729514,0.00086372853133577,0.999956006234826,-2.68159341304187,NA
"ILMN_1771696",-0.306807910402533,4.7028274481189,-3.50855800541762,0.000877919952528728,0.999956006234826,-2.68715942724283,NA
"ILMN_1830984",0.567074025873997,5.35310114776763,3.49223264760417,0.000923372656240099,0.999956006234826,-2.70440506338985,NA
"ILMN_1815300",0.296070097007842,4.66599966054127,3.46488167306269,0.00100457387562948,0.999956006234826,-2.73322001843331,NA
"ILMN_1659543",-0.470466451143391,4.89009550819955,-3.43619950317603,0.00109698809314273,0.999956006234826,-2.7633306777864,NA
"ILMN_1655240",-0.296317174480068,4.71345961752209,-3.42080647821929,0.00114985440482761,0.999956006234826,-2.77944442263094,NA
"ILMN_2125017",-0.456477690463285,5.3759202501791,-3.39495561001592,0.00124411049116116,0.999956006234826,-2.80643218338824,"TIGIT"
"ILMN_1704861",0.382361128702173,4.97405789803079,3.36875927776469,0.00134706258451421,0.999956006234826,-2.83368500738412,"MYO1A"
"ILMN_2414762",0.472924044190228,7.29861025566894,3.33201328152538,0.00150513098079103,0.999956006234826,-2.87174714049531,"TLR10"
"ILMN_1744442",0.349204798395231,7.11049372677899,3.32802418213077,0.00152330841692299,0.999956006234826,-2.87586727357118,"TTPAL"
"ILMN_1740186",-0.36560539619593,4.74343808001908,-3.31062461677267,0.00160504713927634,0.999956006234826,-2.89381086433702,"GHRHR"
"ILMN_1782782",-0.284285959043827,4.70324382930959,-3.29195789405482,0.00169733490629998,0.999956006234826,-2.91301097301766,NA
"ILMN_1681996",-0.45382365693944,4.9112947788578,-3.27659730289066,0.00177700947889595,0.999956006234826,-2.92877097688815,"LINC00863"
"ILMN_1745686",0.663270517376761,6.75850416437782,3.25920208170224,0.00187149219027245,0.999956006234826,-2.94657492339693,"MFHAS1"
"ILMN_1773245",0.239836768934746,4.68200082535264,3.25834771186005,0.00187625258044663,0.999956006234826,-2.94744816552528,"CCL3L1"
"ILMN_1805720",0.318543510099993,4.85615105319521,3.2452932154361,0.00195042374637282,0.999956006234826,-2.96077691989313,"SDHAF1"
"ILMN_1656327",0.64775253613941,5.42242833191797,3.22356142953422,0.00208005315007856,0.999956006234826,-2.98290605092034,"GLT1D1"
"ILMN_1722648",-0.252195250338966,10.3358569532124,-3.21780248391955,0.00211574003696352,0.999956006234826,-2.98875777671462,"SF3B4"
"ILMN_1908132",-0.30375317665106,4.71887638655639,-3.21419067071841,0.00213841468329727,0.999956006234826,-2.99242508350665,NA
"ILMN_1794672",0.258929312352753,4.68122820273005,3.21057426374108,0.00216134702785878,0.999956006234826,-2.99609496706237,NA
"ILMN_1671494",-0.290539885658759,8.65556737789772,-3.17675911268826,0.00238725349648175,0.999956006234826,-3.03030811959392,"USP5"
"ILMN_1768301",-0.420032754517527,4.98571046307042,-3.17559647440731,0.00239540167908069,0.999956006234826,-3.03148113537594,"ERG"
"ILMN_1891711",0.274162284256534,4.74207648906293,3.16181086974645,0.0024940277383614,0.999956006234826,-3.04537284867997,NA
"ILMN_2066020",-0.315661912678678,9.43162337849635,-3.15357559468371,0.00255475041064185,0.999956006234826,-3.05365652738695,"ELOC"
"ILMN_1742026",-0.407565775598605,7.3126956080073,-3.1420003153046,0.00264244847249649,0.999956006234826,-3.06528075395324,"PYHIN1"
"ILMN_1732873",0.367952917676608,4.88998777462274,3.13508570868628,0.00269617441356194,0.999956006234826,-3.07221389505763,"IPPK"
"ILMN_1761969",-0.767863090324038,6.69990247641668,-3.12947039172967,0.00274055662384451,0.999956006234826,-3.07783834168994,"DERL2"
"ILMN_1699711",0.41416618267438,6.93687966391953,3.09825155806988,0.00300004513947564,0.999956006234826,-3.10901022275127,"DEDD"
"ILMN_2412761",0.487833175382334,6.05661786183818,3.09471404995075,0.00303085731131781,0.999956006234826,-3.11253187216906,"MAFG"
"ILMN_1655758",0.233355065499544,4.70009269094193,3.09223841696406,0.0030525962569115,0.999956006234826,-3.11499512074078,NA
"ILMN_1849238",-0.256198180328162,4.79110267217184,-3.08406657611758,0.00312539445544469,0.999956006234826,-3.12311854181519,NA
"ILMN_2048326",-0.256889268321236,14.842297707208,-3.0823043703134,0.00314130429390359,0.999956006234826,-3.124868785212,"RPS27A"
"ILMN_2408102",-0.388861061064982,7.51481257960652,-3.06707467207675,0.00328199338112286,0.999956006234826,-3.13997249548353,"TFIP11"
"ILMN_1810424",-0.236742770362596,4.70264995247863,-3.06138426679344,0.00333605514405503,0.999956006234826,-3.14560537886002,"HRH4"
"ILMN_1705689",-0.337844787615044,4.75785793708539,-3.05164093402503,0.00343055790600612,0.999956006234826,-3.15523693764668,"ADAM12"
"ILMN_1761922",-0.484922107132882,6.78817235207929,-3.03282053672723,0.00362021855689325,0.999956006234826,-3.17379360620207,"PIN4"
"ILMN_1666653",0.328736945075116,4.81657667584798,3.03006687641486,0.00364877502334728,0.999956006234826,-3.17650336036167,"BTBD3"
"ILMN_1851747",-0.318887909237785,4.71348047522342,-3.02694430972079,0.00368141136407845,0.999956006234826,-3.17957448750243,NA
"ILMN_1802315",0.317472242752684,4.74153277486611,3.0251169603987,0.00370063647489408,0.999956006234826,-3.18137091869898,"SPPL2B"
"ILMN_1824412",-0.240870938361537,4.65582502821414,-3.01426299140248,0.00381677173077814,0.999956006234826,-3.1920287952864,NA
"ILMN_1901394",-0.271030930718038,4.79397465511963,-3.01070865812402,0.00385553487779209,0.999956006234826,-3.19551426803649,NA
"ILMN_1729832",-0.518073215979911,5.34250923548473,-3.00738200720643,0.00389214705082617,0.999956006234826,-3.19877438511016,"EIF4H"
"ILMN_1794407",0.259565778162216,4.7424927681891,2.99662960452235,0.00401271254346645,0.999956006234826,-3.20929790310702,"FAM197Y1"
"ILMN_1760466",0.462087322552391,5.60238083679038,2.99599330370202,0.00401995520998705,0.999956006234826,-3.20991999489713,"AP4S1"
"ILMN_1669898",0.276584686070406,4.74230029118896,2.99554939205617,0.00402501522237716,0.999956006234826,-3.21035394963833,"EGFL7"
"ILMN_1676458",-0.334855821856246,4.79252476708998,-2.98057436114946,0.00419922631865338,0.999956006234826,-3.22497180935886,"MRPL11"
"ILMN_1839144",0.269801087712257,4.65317800142916,2.97965330227811,0.00421016722459233,0.999956006234826,-3.22586954601214,NA
"ILMN_1772506",-0.399649950323732,7.72027319534886,-2.9785216004928,0.00422364659553845,0.999956006234826,-3.22697237630985,"ATP5ME"
"ILMN_1661833",0.306202179679624,9.2222969316429,2.97467569915581,0.00426975469168519,0.999956006234826,-3.23071838427559,"ANKRD12"
"ILMN_1752923",0.380624969674696,8.95183825369576,2.97144992197273,0.00430878882693814,0.999956006234826,-3.23385825253896,"IFNAR1"
"ILMN_1661301",0.237504724794084,4.74312175360853,2.9711703023546,0.0043121880043283,0.999956006234826,-3.23413033398578,"TCAF1"
"ILMN_1809820",0.33143639070665,4.79260560608571,2.96849861568826,0.00434479218647544,0.999956006234826,-3.23672925987082,"RP1L1"
"ILMN_1673138",0.235147119435682,9.50603043644926,2.95321384360968,0.00453577103957884,0.999956006234826,-3.2515720657872,"ZBTB33"
"ILMN_1710906",-0.346743416446832,8.59423166568515,-2.95059055036744,0.00456932243912164,0.999956006234826,-3.25411508838432,"RNF145"
"ILMN_1665327",-0.403991697642716,5.35839919421181,-2.92952871324708,0.00484717529355396,0.999956006234826,-3.27448518726154,"ZNF92"
"ILMN_1806631",-0.592834663490741,6.31211556495954,-2.91659590089424,0.00502547594695881,0.999956006234826,-3.28695129210618,"TMEM203"
"ILMN_2402272",-0.307332210621094,7.99181546434753,-2.91126624963895,0.0051007090498686,0.999956006234826,-3.29207925292471,"TCEAL8"
"ILMN_1793371",0.411743993404773,11.8915862172223,2.9108564015223,0.00510653747635767,0.999956006234826,-3.29247336412526,"MARF1"
"ILMN_1671837",0.488209976949916,8.85675172128071,2.90641765133281,0.0051700574960352,0.999956006234826,-3.29673959894287,"WASF2"
"ILMN_1895025",-0.270575539176244,4.71569290654099,-2.89755233182503,0.00529912110654174,0.999956006234826,-3.30524892706802,NA
"ILMN_2367126",0.717114667832636,14.2668275198975,2.88315780230185,0.00551505486059584,0.999956006234826,-3.31903280631793,"ALAS2"
"ILMN_1754570",0.266302409037644,4.74917682585195,2.87812088797282,0.0055925185730227,0.999956006234826,-3.32384645249398,"KCTD8"
"ILMN_1740160",-0.423446824584885,7.82585323368367,-2.86426787168851,0.00581079054478397,0.999956006234826,-3.33705961184313,"PLCG1"
"ILMN_1891130",0.265583813254474,4.73321198325151,2.8541792119068,0.00597468000542024,0.999956006234826,-3.34665833957869,NA
"ILMN_1751802",0.228231003818033,4.6444330166319,2.85317063393216,0.00599129708487221,0.999956006234826,-3.34761682348687,NA
