"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1812403",-1.20081679410026,10.2888035311751,-8.82565642889012,2.57904527413264e-12,7.99581406339343e-08,14.7516055432547,"BCAP31"
"ILMN_1720476",-1.16831082381838,8.07100857727213,-7.1382180354112,1.71895108558303e-09,2.66463202531654e-05,9.7919645262987,"PHF2"
"ILMN_1785635",-0.634534451548547,8.79183921838954,-6.88267711176327,4.61693683351111e-09,4.77129642164483e-05,9.01910995704486,"BRD3"
"ILMN_1722900",-0.808282481043786,12.1134618861057,-5.89905417152419,1.99953468255314e-07,0.00130698587952047,6.03276802922983,"EIF4A1"
"ILMN_2192385",-0.519092497464134,8.14328724107745,-5.88511204278097,2.10783775686299e-07,0.00130698587952047,5.99057961968241,"TTC19"
"ILMN_1727642",-0.996048280289828,6.07366701891606,-5.82682577307192,2.62715975837182e-07,0.00135749723314669,5.8143277537176,"MOGS"
"ILMN_1694686",-0.559297450460539,7.65285061995594,-5.30390792843648,1.85095772232399e-06,0.00819789175217293,4.24536777438359,"HMGXB3"
"ILMN_1712556",-0.85779546248168,7.23111257311258,-5.22334583847125,2.4895072501818e-06,0.00964777415967328,4.00628969095975,"ZW10"
"ILMN_1788160",0.794866736946028,7.22856645426962,5.09293215064832,4.01061824815345e-06,0.0138156886163891,3.62121246468749,"KIF5B"
"ILMN_1809439",-0.750939329955179,9.82784179611858,-4.87767478297055,8.73581242375853e-06,0.0270836392573786,2.99161480966463,"HMGB1"
"ILMN_1759154",-0.638801582227972,8.79865405524639,-4.82681607851046,1.04821572244201e-05,0.0275794596132256,2.84408238975317,"PABPN1"
"ILMN_1746941",0.704320269243516,5.45568292456857,4.82172114467604,1.06748867967199e-05,0.0275794596132256,2.82933052905356,"HIPK3"
"ILMN_1674874",-0.387936694855842,10.7849155307847,-4.7747895857196,1.26214133390487e-05,0.0301001290577328,2.69368839265091,"MFSD10"
"ILMN_1730999",-0.511094633947264,9.04523908038033,-4.75105754200354,1.37339186475847e-05,0.0304137628450762,2.62526818983011,"TPR"
