"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1812403",-1.15111164927625,10.2888035311751,-8.46033797804883,1.04296765331823e-11,3.2335126155825e-07,12.0428695971415,"BCAP31"
"ILMN_1720476",-1.16137992828873,8.07100857727213,-7.09587121942468,2.02495831047711e-09,3.13898912498609e-05,8.48429082840466,"PHF2"
"ILMN_1735680",-0.833441196897928,8.01417879309733,-6.57710564599571,1.49992548414167e-08,0.000155007299282814,7.08447688249936,"TMEM30A"
"ILMN_1785635",-0.497992625117805,8.79183921838954,-5.40163333032672,1.28974675801075e-06,0.00999650468465184,3.89066837666151,"BRD3"
"ILMN_1679837",0.764112016793823,5.37387728548988,4.98199334994717,5.99881299875987e-06,0.0371962398801105,2.76705747780197,"SGPP1"
"ILMN_1665384",-0.736130952893317,7.47305183162566,-4.79224608878369,1.18598758483241e-05,0.0612819551542655,2.26608067087113,"SH3BP5L"
"ILMN_1734544",0.600153265629683,7.79367577133529,4.70723895298084,1.60455438331242e-05,0.0710657136369073,2.0434512802623,"WTAP"
"ILMN_1788160",0.712582190232103,7.22856645426962,4.56571218536082,2.64198636230422e-05,0.101365870203695,1.67561146438692,"KIF5B"
"ILMN_1759154",-0.600168933088354,8.79865405524639,-4.53490588728614,2.9425953353974e-05,0.101365870203695,1.59604340061592,"PABPN1"
"ILMN_1789642",-0.587410395333313,7.00879032951732,-4.48206124686012,3.53764811666004e-05,0.102771059313911,1.45999552856202,"DNAJC5"
"ILMN_1712556",-0.732600503483318,7.23111257311258,-4.46100027162741,3.8061504996045e-05,0.102771059313911,1.40593416157976,"ZW10"
"ILMN_1792076",-0.610015900656925,7.27677217166104,-4.44827799471556,3.97784960089968e-05,0.102771059313911,1.37332249388623,"TRERF1"
"ILMN_1693401",0.557262332253785,8.33193459631403,4.40931875162063,4.55185621920588e-05,0.108554767972338,1.27367146508674,"KLHL28"
"ILMN_1654268",-1.00127899890528,8.25923443066148,-4.35688593417561,5.45298195325057e-05,0.120756285354734,1.14008275968455,"HMGB2"
"ILMN_1771019",-0.408404890686471,8.70340820460743,-4.25321996142269,7.77225152476826e-05,0.158128520046121,0.877820662634106,"MTMR4"
"ILMN_1749641",0.801299756950485,6.44040422054374,4.23886909931497,8.16068225893602e-05,0.158128520046121,0.841717110077218,"FBXO3"
"ILMN_2269564",0.522956159176284,9.53448043283487,4.20888772792689,9.03383836476718e-05,0.159486633864194,0.766454874787585,"ARID4B"
"ILMN_1666269",-0.731263440672845,7.69173563667086,-4.20159251655074,9.25961813229526e-05,0.159486633864194,0.748175682050482,"CTSZ"
"ILMN_1851747",-0.439980351280748,4.71348047522342,-4.17637665812264,0.000100828982317695,0.164526365199762,0.685097589675773,NA
"ILMN_1730999",-0.440942365259113,9.04523908038033,-4.09893278251353,0.000130787860805183,0.200270110307154,0.49240110344626,"TPR"
"ILMN_1722900",-0.560134375890131,12.1134618861057,-4.08800525088924,0.000135653721138285,0.200270110307154,0.465339452437738,"EIF4A1"
"ILMN_1738699",-0.558079355053802,6.89539830154328,-4.06369778363599,0.000147112811720803,0.20199906822461,0.405259375416017,"FXR2"
"ILMN_1746941",0.592070660976237,5.45568292456857,4.05326915869918,0.000152310752221379,0.20199906822461,0.379532987244946,"HIPK3"
"ILMN_1790625",0.487252682479973,8.65432456923806,4.04535896831498,0.000156371242698792,0.20199906822461,0.360039424973865,"CBX3"
"ILMN_2215656",-0.936160586249692,6.60462165095413,-4.01870748191871,0.000170835587225832,0.211856628430499,0.294489331291216,"MAGOH"
"ILMN_1887935",-0.439213589867201,4.79347779804355,-4.00607247782272,0.000178135972853632,0.212413444860813,0.263483241668018,NA
"ILMN_2340217",0.688207685508428,9.62508417053625,3.99096361301494,0.000187261155227554,0.215024355389625,0.22646615473589,"PTPRC"
"ILMN_1782543",-0.521810441545627,9.78520415364114,-3.94848407564667,0.00021539655680522,0.230782144841105,0.122744243172981,"EEF1D"
"ILMN_1743352",-0.57758691670062,7.97186373196389,-3.944875880969,0.000217965627186245,0.230782144841105,0.113958500523772,"TBCC"
"ILMN_1755808",-0.952141889056121,12.7230154385831,-3.93749113891497,0.000223315948302846,0.230782144841105,0.0959891000400015,"RPS27"
"ILMN_1746241",-0.898148036163142,7.32935112605387,-3.90374763145522,0.000249414622079397,0.243986342677079,0.0140877000310731,"SDHC"
"ILMN_1652931",-0.599953794939899,5.00245754458862,-3.89878745796142,0.000253490221299258,0.243986342677079,0.00207740351793717,"CLDN25"
"ILMN_1671207",-0.713067012938298,8.78525305612138,-3.87597831643312,0.000273070692302241,0.243986342677079,-0.0530549020507678,"IARS2"
"ILMN_1681389",-0.291098634729195,4.66193591990135,-3.87465463884438,0.000274250557151942,0.243986342677079,-0.0562494875883095,"ZNF204P"
