"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1751403",-0.777107451118342,5.90083743860376,-4.16746975795287,0.000103903023110286,0.999962405630021,-1.96743212722852,"NUDT15"
"ILMN_1733654",-0.467945817886339,5.10951213915284,-3.9373480985615,0.000223420820700888,0.999962405630021,-2.22331420628868,"EOLA2"
"ILMN_1759708",0.281271149119656,4.7146707582575,3.84367498726484,0.000303305801086633,0.999962405630021,-2.32624921901479,NA
"ILMN_1655240",-0.326203247712186,4.71345961752209,-3.76582351309198,0.000389953598228703,0.999962405630021,-2.41117322517463,NA
"ILMN_1715384",-0.520885384438963,5.20049198729405,-3.73848077869255,0.00042567330829159,0.999962405630021,-2.44085591305611,"B4GAT1"
"ILMN_1663791",0.371050856645537,4.79426099717102,3.721185951358,0.000449862663165082,0.999962405630021,-2.45959057382341,"CCDC163"
"ILMN_1718071",0.38496700485449,9.85640925980543,3.66751544877157,0.000533590193485362,0.999962405630021,-2.51752447684021,"AGTPBP1"
"ILMN_1737699",-0.405837126505147,4.68894091107905,-3.5786011936711,0.000705969597614558,0.999962405630021,-2.61278573671724,NA
"ILMN_1703314",-0.314783458637669,8.0846039669487,-3.52600369407623,0.000831703131030323,0.999962405630021,-2.66869255444958,"KLHL36"
"ILMN_1773175",-0.520415507819288,4.93208323902645,-3.52006252870323,0.000847176088083094,0.999962405630021,-2.67498583264392,NA
"ILMN_1763828",0.514427879356309,8.41780686819369,3.51298320592214,0.000865970849494207,0.999962405630021,-2.68247886854963,"MTF1"
"ILMN_1716578",0.283793089434202,4.75724010586196,3.50971491734047,0.000874780962613372,0.999962405630021,-2.68593599718351,"PTPN6"
"ILMN_2129015",0.49381034383973,7.85226813048201,3.4831235709141,0.000949697196465253,0.999962405630021,-2.71401260931772,"AFF1"
"ILMN_1713966",-0.332663849243725,7.17194106643106,-3.45096214824336,0.00104845919185552,0.999962405630021,-2.7478465901148,"MRPL52"
"ILMN_1872768",-0.357281105517511,4.75140107797794,-3.44830821869884,0.00105703044292688,0.999962405630021,-2.75063238292562,"SPATA3-AS1"
"ILMN_1713682",0.245375254015817,9.87365351600434,3.39970442239667,0.00122626414752662,0.999962405630021,-2.80148149427235,"FBXO11"
"ILMN_1697200",0.300084348973572,8.70381791803977,3.36985031038967,0.00134261849933745,0.999962405630021,-2.83255191893422,"MON2"
"ILMN_1660674",0.255223247600156,4.69409658848678,3.33813233557444,0.00147764570652461,0.999962405630021,-2.86542254575567,"SCART1"
"ILMN_1738866",-0.381673196344614,8.13559505226531,-3.32808496064217,0.00152302991327397,0.999962405630021,-2.87580451618834,"DEXI"
"ILMN_1665970",0.456277588524075,4.78518309041268,3.32004540678717,0.00156029004507723,0.999962405630021,-2.88410109158577,NA
"ILMN_1778168",0.588296192573869,5.89774249057877,3.28588620467356,0.00172841699707035,0.999962405630021,-2.91924482880175,"ELMO2"
"ILMN_1694133",0.269313447515433,4.73831242460848,3.26446728976255,0.00184240570315864,0.999962405630021,-2.94119091975379,"ADD2"
"ILMN_2186626",-0.426590275503131,4.90314989547162,-3.22204533819929,0.00208939270180076,0.999962405630021,-2.98444707870208,"ZNF485"
"ILMN_2367275",-0.301969888590305,7.67019487253218,-3.20998731096269,0.00216509075487042,0.999962405630021,-2.99669040185354,"BCL7B"
"ILMN_2145396",-0.28109759595091,7.54916471595733,-3.17859896495145,0.00237441232393552,0.999962405630021,-3.02845139274248,"AKR7A3"
"ILMN_1722648",-0.248952780992624,10.3358569532124,-3.17643126101718,0.00238954855871877,0.999962405630021,-3.0306389200345,"SF3B4"
"ILMN_1796855",0.288765456690426,9.12907586420291,3.16370718499875,0.0024802384500818,0.999962405630021,-3.04346379603623,"TIAL1"
"ILMN_1851747",-0.330722166429997,4.71348047522342,-3.13927731586506,0.00266348502301221,0.999962405630021,-3.0680120109796,NA
"ILMN_1774272",0.352474573561184,7.00797950752693,3.13894397083436,0.00266607104271411,0.999962405630021,-3.06834628139244,"ESRRA"
"ILMN_1858854",0.227692880721748,4.61057868536113,3.13892104881586,0.00266624895332055,0.999962405630021,-3.06836926635781,NA
"ILMN_1674108",-0.441521555984321,5.01261940004977,-3.13787114989273,0.00267440974688294,0.999962405630021,-3.06942195382678,NA
"ILMN_1678165",-0.330767204071349,9.68043336604169,-3.13644350605775,0.00268554430173424,0.999962405630021,-3.07085309222622,"LSM7"
"ILMN_1671351",0.4789315317823,5.34393403901107,3.13376913513086,0.00270651944018164,0.999962405630021,-3.07353308638426,"TAB3"
"ILMN_1700604",-0.257147428295837,9.56072141909278,-3.13205764435723,0.00272002316824987,0.999962405630021,-3.07524754340956,"RBM14"
"ILMN_2048326",-0.260392949932931,14.842297707208,-3.12434354623728,0.0027816751236091,0.999962405630021,-3.08296886938593,"RPS27A"
"ILMN_1721411",0.585431322854927,6.18268723493086,3.12371364843123,0.0027867667362589,0.999962405630021,-3.08359891245809,"PARP10"
"ILMN_1811692",-0.49461570793675,5.17479492307401,-3.12267257215942,0.00279520114769043,0.999962405630021,-3.08464008125781,"FTSJ3"
"ILMN_1751816",-0.459673271544593,7.76660768984592,-3.1202369428461,0.00281502722446327,0.999962405630021,-3.08707520810511,"MCTS1"
"ILMN_2117623",0.559947616459265,8.30535517160287,3.11602002839052,0.00284966479676856,0.999962405630021,-3.09128886691761,"PLXNC1"
"ILMN_1691485",-0.449523361271851,5.19691006296364,-3.11298397305932,0.00287484955631971,0.999962405630021,-3.09432070170628,"GTF2H2"
"ILMN_1810000",0.336887763336783,4.82310898705548,3.09848287197393,0.00299804060954176,0.999962405630021,-3.10877987061277,"RDH16"
"ILMN_1762608",0.611465519678777,5.70676383460753,3.09715095196026,0.00300960001213871,0.999962405630021,-3.11010612630459,"EPG5"
"ILMN_2367753",0.319693151175516,9.38448978248805,3.0950720148678,0.00302772597518318,0.999962405630021,-3.11217561028736,"ATP2B4"
"ILMN_1835452",-0.269854241861149,4.68182640402126,-3.08379203466894,0.00312786815041979,0.999962405630021,-3.1233912551395,NA
"ILMN_1897296",-0.544531074155723,4.90578555558807,-3.06505437353525,0.00330109282635416,0.999962405630021,-3.14197302478921,NA
"ILMN_1734229",0.26722850885964,9.59272759919079,3.04923436541902,0.00345428171971529,0.999962405630021,-3.15761330612504,"SPPL2A"
"ILMN_1768681",0.226226324109392,4.68962655139039,3.04846054788503,0.00346194245638592,0.999962405630021,-3.15837719421158,NA
"ILMN_1759818",0.392792678994462,11.7387048071337,3.04629561422551,0.00348345949342382,0.999962405630021,-3.16051378173399,"SORL1"
"ILMN_2120022",0.364052714006548,5.90692628643898,3.03232095201784,0.00362538390156983,0.999962405630021,-3.17428532643973,"ARL5B"
"ILMN_1721922",-0.403979592796716,4.98260325474781,-3.02008253331331,0.0037540879073291,0.999962405630021,-3.18631704481423,"NAB2"
"ILMN_1733249",0.473497057944172,7.14272375777392,3.01685788048063,0.00378870191899964,0.999962405630021,-3.18948272860144,"GNB4"
"ILMN_2330213",0.251965606300039,4.71040241606348,3.01161285357338,0.00384563917955447,0.999962405630021,-3.19462780819188,"CUX1"
"ILMN_1697550",-0.304241178682348,4.78837151302435,-3.00431524028241,0.00392618575749232,0.999962405630021,-3.20177802695458,"ACYP2"
"ILMN_1783636",-0.259149263661345,9.27313011537418,-3.0021722571363,0.003950135581888,0.999962405630021,-3.20387587939176,"COX6A1"
"ILMN_1805147",-0.232831168946565,4.75492576270441,-2.99671353874368,0.00401175807360152,0.999962405630021,-3.20921583764123,NA
