"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663427",1.6901886146183,4.75519068315967,6.39502482417388,3.01903891858042e-08,0.000935992635927489,-1.46490759288656,NA
"ILMN_1756686",1.61514990341634,4.89672979293494,4.85138155341989,9.5997063972322e-06,0.103396918636959,-2.49327687095769,NA
"ILMN_1881417",-0.763149130470399,4.62909109593039,-4.83983061548359,1.00051851727535e-05,0.103396918636959,-2.50119121864313,NA
"ILMN_1798870",1.47621357723568,4.8634812016021,4.70699504575021,1.60594196837508e-05,0.124472547113831,-2.59224109182075,"RBPJL"
"ILMN_1772890",-1.17505749309897,4.83576701593832,-4.63968300852446,2.03728085584342e-05,0.126323636747427,-2.63838209432473,"C9orf57"
"ILMN_1652445",-1.03393836431213,4.77380034167508,-4.4720351119842,3.66308557792861e-05,0.189277736954201,-2.75319673328335,"RAC1"
"ILMN_1772959",0.938236423908613,7.96727313592341,4.40215102551694,4.66590043666294e-05,0.206652730339801,-2.80097172650012,"PDCD7"
"ILMN_1888116",-0.884800531932099,4.74827191101269,-4.30784942781222,6.45115485960198e-05,0.2500064426403,-2.86531574895676,NA
"ILMN_1764650",-1.52363929131023,5.20830593921723,-4.24976972925755,7.8639676074171e-05,0.270896208591947,-2.90485677603459,"OSTCP1"
"ILMN_1896316",0.786732465414476,4.68193078763647,4.18942693979355,9.64834238757269e-05,0.299127559041916,-2.94585369686865,NA
"ILMN_1732873",-1.1840265919339,4.88998777462274,-4.14419816725788,0.000112369030775511,0.316707005557562,-2.97651822454575,"IPPK"
"ILMN_1669358",-0.83505254029982,4.62178848327885,-3.92416137661251,0.000233295265787636,0.602737760434508,-3.12473730119042,NA
"ILMN_2085446",-0.735240375697813,4.67388844112548,-3.87493211858701,0.000274002819301776,0.617626630752233,-3.15763890553637,"ZNF670"
"ILMN_2315694",-0.806692025831981,8.54106201752468,-3.86948994089774,0.000278901165388229,0.617626630752233,-3.16126944636317,"STRADA"
"ILMN_1825878",0.77651544471774,4.69042045452577,3.82169556602188,0.000325689427298127,0.673156620968256,-3.19309405064607,NA
"ILMN_1809336",-1.23432264674859,4.91328135529657,-3.79820221777434,0.000351365701593485,0.680836927906425,-3.20869689359297,"RTKN"
"ILMN_1888596",-0.868968814325406,4.67872956812669,-3.6774439717968,0.00051705463147651,0.831269834086855,-3.28844006267378,NA
"ILMN_1668593",-0.794509038969289,4.68369923223203,-3.67356663685711,0.00052345302474014,0.831269834086855,-3.29098703261859,"HPX"
"ILMN_1740813",-1.12038152811917,4.84037121252918,-3.6660096868506,0.000536141703654372,0.831269834086855,-3.29594856631945,"KRT37"
"ILMN_2292696",-0.769676830002136,4.7000773653593,-3.66594520763433,0.000536251223486021,0.831269834086855,-3.29599088587317,"COX15"
"ILMN_1905829",1.12347507872664,4.86068191737299,3.64248124205899,0.000577557192428708,0.840149263931179,-3.31137455928419,NA
"ILMN_1858854",-0.635175401796023,4.61057868536113,-3.59705022896692,0.000666326661154299,0.840149263931179,-3.34106515538499,NA
"ILMN_1916228",0.711497234033664,4.71554593343635,3.59184379032352,0.000677293760767107,0.840149263931179,-3.34445948312403,NA
"ILMN_1705908",1.03300609139114,8.43208906087974,3.58334242989327,0.00069557230409838,0.840149263931179,-3.34999820903391,"RPL7L1"
"ILMN_1871561",-0.779177873798642,4.74519328522646,-3.58094472024161,0.00070081198163105,0.840149263931179,-3.35155950332745,NA
"ILMN_1700417",-0.817519469902539,4.68262601423868,-3.5687906064243,0.000727956035303416,0.840149263931179,-3.35946806244014,"SLC22A14"
"ILMN_1690690",0.717200127476294,7.46444105746093,3.56716040957193,0.000731672100317448,0.840149263931179,-3.36052808402341,"SEC23IP"
"ILMN_1867777",-0.76122861000837,4.71687810541673,-3.52651699771477,0.000830378996098036,0.91943714342955,-3.38689918017578,NA
"ILMN_1824709",-0.796920294199143,4.7489004480899,-3.4873660633506,0.000937349200840398,0.966437724688291,-3.41219553139689,NA
