"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1910411",1.26442662825533,4.82506718431236,5.78385070490272,3.0894490665822e-07,0.00957821894112478,-0.280104550551284,NA
"ILMN_1881417",-0.816832884403264,4.62909109593039,-5.18028867992274,2.91518655172064e-06,0.0451897643314975,-0.940137334989813,NA
"ILMN_1652445",-1.12765309250848,4.77380034167508,-4.87737412393096,8.74524637121256e-06,0.0903762910822344,-1.27424325963951,"RAC1"
"ILMN_2085446",-0.88702267290269,4.67388844112548,-4.67486927915696,1.79933418404972e-05,0.139461894270234,-1.49749121600729,"ZNF670"
"ILMN_1871561",-0.954706804611211,4.74519328522646,-4.38764036597212,4.9053460744235e-05,0.304160888690703,-1.81266441657007,NA
"ILMN_2222786",-1.41684971954533,4.9707517741917,-4.26264320158097,7.52701139273985e-05,0.308609469093585,-1.94887122986334,"ZKSCAN8"
"ILMN_1879041",-0.900225678509729,4.77417704034218,-4.19575516019306,9.44420634902996e-05,0.308609469093585,-2.02143653370373,NA
"ILMN_1770556",1.07759594925966,4.84281086048578,4.19410401321195,9.49706212565374e-05,0.308609469093585,-2.02322468153587,"SLC26A10P"
"ILMN_1888596",-0.98562127960112,4.67872956812669,-4.17111290231698,0.000102634853010775,0.308609469093585,-2.04810694929386,NA
"ILMN_1727489",-0.917897179586765,4.80059745049138,-4.1650450649857,0.000104755445987338,0.308609469093585,-2.05466869243467,NA
"ILMN_1732873",-1.18622694090525,4.88998777462274,-4.15189958396301,0.000109495989421328,0.308609469093585,-2.0688765618321,"IPPK"
"ILMN_1659327",0.904905744525696,4.74310643617728,4.10207802287776,0.000129418888097276,0.311232992229863,-2.12262677509433,NA
"ILMN_1768681",0.740593979872757,4.68962655139039,4.09958134544344,0.000130504431796543,0.311232992229863,-2.12531612759688,NA
"ILMN_1909207",-0.643913556264802,4.62544298251587,-4.05696027764921,0.000150451029829454,0.333173805557325,-2.17116183961208,NA
"ILMN_2292696",-0.846687329596689,4.7000773653593,-4.03274366241618,0.000163064054660885,0.337031659110094,-2.1971546440391,"COX15"
"ILMN_1824709",-0.891319063878704,4.7489004480899,-3.90046015594537,0.000252108717197687,0.471476089649335,-2.33836163943671,NA
"ILMN_2093027",0.864335958393546,4.74180007636701,3.88519865604944,0.00026498645707211,0.471476089649335,-2.35456195246276,"MYO1B"
"ILMN_1810832",-1.09318157475383,4.89734677642945,-3.86844444978493,0.000279851770839543,0.471476089649335,-2.37232381917917,"ZNF343"
"ILMN_1699829",1.06706563834042,4.9213642500336,3.85861656158686,0.000288941254179833,0.471476089649335,-2.38273143049673,"CCN2"
"ILMN_1774997",-0.77796211625788,4.75785877076083,-3.82879061355342,0.000318295996961771,0.493406539690289,-2.4142642415408,"BCL2L11"
"ILMN_1687913",0.659272058599728,4.59578609210388,3.79452050290978,0.000355561554333283,0.515439761938467,-2.45039546208223,"ELFN1"
"ILMN_1704210",0.72744085120282,4.62847335643566,3.7857421548012,0.00036576056390176,0.515439761938467,-2.45963287899822,"CNTNAP4"
"ILMN_2327346",0.830586417349089,7.86654586812229,3.75444213283605,0.000404458321543257,0.545192232295896,-2.49250963875164,"SSBP4"
"ILMN_1825449",-0.969831016464234,4.83670669980732,-3.73442738811703,0.000431228227569127,0.552495681579339,-2.51348241125222,NA
"ILMN_1772890",-0.942931991513352,4.83576701593832,-3.72314168873622,0.000447062667781293,0.552495681579339,-2.5252906836201,"C9orf57"
"ILMN_1667213",1.09375533425277,6.70537975622939,3.71193331688121,0.000463338635650189,0.552495681579339,-2.5370052908688,"DFFA"
"ILMN_1848879",-0.957448024511475,4.86652182947525,-3.66015117459881,0.000546180321140538,0.627156610974818,-2.59095721244788,NA
"ILMN_1762210",0.907293588615889,4.69869441705412,3.64080431327901,0.00058062280934663,0.630165634031619,-2.61104158402127,"HTR3B"
"ILMN_1875705",0.773666981494634,4.66169484326765,3.63602106587077,0.000589452742860915,0.630165634031619,-2.61600088970673,NA
"ILMN_1895443",1.08927393006793,4.84833250756606,3.61728048347164,0.000625299080108236,0.630416807936207,-2.63540695777616,NA
"ILMN_1780656",-0.936201480810527,4.74828591744323,-3.61471975125735,0.000630355805761456,0.630416807936207,-2.63805559182423,NA
"ILMN_1818988",-0.865914891300061,4.76368063926643,-3.59092685387664,0.000679242982252822,0.650375731028522,-2.66262991345103,NA
"ILMN_1901532",-1.29025068231705,5.14220395488905,-3.58486315613924,0.000692268461888889,0.650375731028522,-2.66888246655101,NA
"ILMN_1758093",1.12975947982577,5.06875197899871,3.57171346241741,0.000721338313590959,0.657754462831191,-2.68242716446805,"TMEM260"
"ILMN_1703708",-0.75188570226014,4.62442999392374,-3.55185863102934,0.00076744499321089,0.666074070554122,-2.70284025783004,"KRTAP5-10"
"ILMN_2220403",1.56243287688635,6.43317613920478,3.54936489254043,0.00077343052414116,0.666074070554122,-2.70540083472814,"GINM1"
"ILMN_1804861",-0.78193075821668,4.76606418415216,-3.50729063927236,0.000881370925806198,0.738517373318096,-2.74849043601912,NA
"ILMN_2062381",-1.14111488715458,9.29209385269052,-3.49173565148121,0.000924790867222857,0.750746168324155,-2.76436618189243,"LCOR"
"ILMN_1692546",1.24060879620468,5.31459696682327,3.4849385785237,0.000944395721854081,0.750746168324155,-2.77129399354765,"VNN2"
"ILMN_1718446",-0.72735416873405,4.65543967789892,-3.46836158697921,0.000993878159113123,0.759397556137035,-2.78816554698466,"DIPK1B"
"ILMN_1858854",-0.611854299688266,4.61057868536113,-3.46498092112019,0.00100426732256938,0.759397556137035,-2.79160202473087,NA
"ILMN_2246256",0.635654880706343,4.7402574218214,3.44174923434816,0.00107849979162487,0.796112596184428,-2.81517775239558,"RGPD5"
"ILMN_1797104",-0.725769036288228,4.72575614730356,-3.43271049352512,0.00110876483564993,0.799419446503601,-2.824331537967,"C10orf95"
"ILMN_1773837",-0.726083048278217,4.79510317222022,-3.41319853852956,0.00117686685079536,0.829236431254737,-2.84405541858453,NA
"ILMN_2405915",0.934219804137438,7.73633766333335,3.3920300570977,0.00125522708111923,0.864795671020879,-2.86539677957072,"MRPS11"
"ILMN_1695420",0.7381463045771,8.71926661590208,3.36536561040559,0.00136097511128266,0.887970058938038,-2.89219302916286,"CLTA"
"ILMN_1732271",-1.23798164927796,5.05785753377174,-3.35964550871056,0.00138473315903117,0.887970058938038,-2.89792874890498,"BTBD9"
"ILMN_1812139",0.747419394521822,4.91085598031978,3.3587303434914,0.00138857045198824,0.887970058938038,-2.89884599447905,"RASSF2"
"ILMN_2143250",-0.991866265529273,8.62206150281002,-3.35520893479998,0.00140342976124775,0.887970058938038,-2.90237432884514,"FAR1"
