"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2093027",1.18889175155521,4.74180007636701,5.3440801467008,1.59587840873054e-06,0.0494770183058729,-2.65324329064571,"MYO1B"
"ILMN_1652445",-1.19014331768815,4.77380034167508,-5.1476595595093,3.28473962848119e-06,0.0509183913509011,-2.75851487617665,"RAC1"
"ILMN_1881417",-0.755041495744565,4.62909109593039,-4.78841264591706,1.20231569313785e-05,0.0946498414284937,-2.95255603067511,NA
"ILMN_2085446",-0.900120127815336,4.67388844112548,-4.74389670255518,1.40880524673457e-05,0.0946498414284937,-2.97667869711904,"ZNF670"
"ILMN_1871561",-1.02730980968972,4.74519328522646,-4.72130916799045,1.5264626234315e-05,0.0946498414284937,-2.98892151268435,NA
"ILMN_2292696",-0.951014486892241,4.7000773653593,-4.52965045161065,2.99710425986982e-05,0.148489790025913,-3.09281702325758,"COX15"
"ILMN_1732873",-1.28496649752747,4.88998777462274,-4.49749679637131,3.3526708066361e-05,0.148489790025913,-3.11023818977865,"IPPK"
"ILMN_1677887",1.61010973401042,6.16804441816314,4.33558435695625,5.86665093143832e-05,0.227354723534228,-3.19784516029705,"PMS2"
"ILMN_1690690",0.853966497792599,7.46444105746093,4.2473995267482,7.92758089788833e-05,0.273087545085813,-3.24543343113882,"SEC23IP"
"ILMN_1718446",-0.863533553269672,4.65543967789892,-4.11772797073677,0.000122810571086605,0.380749613539802,-3.31517057004108,"DIPK1B"
"ILMN_1727314",-1.35829382294169,4.95609010818041,-3.91606579540885,0.000239564071871592,0.675200447294088,-3.42284629633049,"MUC4"
"ILMN_1818988",-0.930414072575869,4.76368063926643,-3.85840330499601,0.000289141598793392,0.74702141561596,-3.45341478640449,NA
"ILMN_2317580",-0.906452938894985,4.863247482046,-3.74290129655551,0.000419693405196883,0.942940721965721,-3.5142901420649,"SHANK3"
"ILMN_1851553",-0.872696191343405,4.7870856418803,-3.72833631719563,0.000439706386791604,0.942940721965721,-3.52192995471691,NA
"ILMN_1888116",-0.758542613361959,4.74827191101269,-3.69313449191424,0.000491917505520409,0.942940721965721,-3.54035809676384,NA
"ILMN_1803881",-0.882491840431432,4.71516328070386,-3.65743306047652,0.00055089860049567,0.942940721965721,-3.55899334621639,"GDF7"
"ILMN_1874577",-1.18289941454995,4.85770854324843,-3.64380301620539,0.00057515173935849,0.942940721965721,-3.56609293181588,"LINC02372"
"ILMN_1740813",-1.11321782513362,4.84037121252918,-3.64256927491982,0.000577396686136967,0.942940721965721,-3.56673514411184,"KRT37"
"ILMN_2222786",-1.20977798270487,4.9707517741917,-3.63966045393587,0.000582722823226042,0.942940721965721,-3.568249027995,"ZKSCAN8"
"ILMN_1909207",-0.574311145311,4.62544298251587,-3.61843213404842,0.000623037535771131,0.942940721965721,-3.57928540194138,NA
"ILMN_1671678",-1.04946612213588,4.84477504393052,-3.61053455977104,0.000638704485413674,0.942940721965721,-3.58338589520099,NA
"ILMN_2079991",-0.704415325453564,4.7704363556515,-3.57668948718036,0.00071020364126415,0.999981377136725,-3.6009247970852,"ERVW-1"
"ILMN_1653718",-0.693320299995599,9.44500488077268,-3.49073134805322,0.000927663034023415,0.999981377136725,-3.64521136664792,"ZFAND2B"
"ILMN_1728327",-0.839661929051949,4.71289664796919,-3.48241677412034,0.000951769326679466,0.999981377136725,-3.64947459018813,NA
"ILMN_1772959",0.739028686884592,7.96727313592341,3.46747984724618,0.000996577961270107,0.999981377136725,-3.65712392293172,"PDCD7"
"ILMN_1793460",-0.618912956043081,4.67300906183013,-3.46469289445789,0.00100515721199257,0.999981377136725,-3.65854979138431,"SPOPL"
"ILMN_1722753",-0.594773098681915,4.7404852323291,-3.40794917205112,0.00119585455385324,0.999981377136725,-3.68748621545614,"GJA5"
