"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1772890",-1.19818676754477,4.83576701593832,-4.73100832858407,1.47480760143103e-05,0.249580734296845,-2.40382017891411,"C9orf57"
"ILMN_1881417",-0.742090026813509,4.62909109593039,-4.7062754680769,1.61004247522398e-05,0.249580734296845,-2.42229175819119,NA
"ILMN_2292696",-0.954629717102967,4.7000773653593,-4.54686967317078,2.82208739393301e-05,0.291643918247017,-2.541277527439,"COX15"
"ILMN_1774997",-0.860467426638804,4.75785877076083,-4.23484580744165,8.2729151038421e-05,0.44496000858666,-2.77320397457745,"BCL2L11"
"ILMN_1689211",0.90518431911345,4.64154806145267,4.20563319330009,9.1338962783203e-05,0.44496000858666,-2.79480457103209,NA
"ILMN_1867777",-0.900762477864935,4.71687810541673,-4.17293063782698,0.000102007719610399,0.44496000858666,-2.81895532521245,NA
"ILMN_1871561",-0.900668554229812,4.74519328522646,-4.1392914409045,0.000114237396641899,0.44496000858666,-2.84376211449169,NA
"ILMN_1909867",0.915313951199051,4.66624192451684,4.13597213876113,0.000115518312706153,0.44496000858666,-2.84620784234721,NA
"ILMN_1806333",0.79109390650892,4.73219307818419,4.07803058422955,0.000140247657358204,0.44496000858666,-2.8888375773496,"ZNF793"
"ILMN_1822180",-1.05984972732996,5.04370685961104,-4.07111280241924,0.000143521597454008,0.44496000858666,-2.89391899252797,NA
"ILMN_1786984",0.788047061258446,4.78639192012704,3.99756438807864,0.000183220414576418,0.480008574235658,-2.94782606509726,"DCTN3"
"ILMN_1888116",-0.820204229174446,4.74827191101269,-3.99334786974275,0.000185791790821143,0.480008574235658,-2.9509097440061,NA
"ILMN_1723018",0.697127372624901,4.65345842347751,3.91126216997006,0.000243360054254817,0.52735601612537,-3.0107824968874,"ZNF117"
"ILMN_1652445",-0.901126389250184,4.77380034167508,-3.89759099010064,0.00025448286467884,0.52735601612537,-3.02072330958981,"RAC1"
"ILMN_1844915",0.729490699413165,4.69851596782885,3.89679229938941,0.000255147574166389,0.52735601612537,-3.02130378204216,NA
"ILMN_1780656",-1.00125588342647,4.74828591744323,-3.86589798464201,0.000282180174103618,0.546776996108403,-3.04373254400715,NA
"ILMN_1858006",-0.566507168934023,4.69008782435612,-3.79247470911129,0.000357913766183193,0.652729440763384,-3.09683512190267,NA
"ILMN_2075603",-0.846724539394182,4.67533900309681,-3.74358336932035,0.000418777920004172,0.696879851759634,-3.132027569109,"MRGPRF"
"ILMN_1738883",1.37388906760295,6.70004230220765,3.73627287255331,0.000428690551636058,0.696879851759634,-3.13727760562043,"RNF135"
"ILMN_1668593",-0.803479863415116,4.68369923223203,-3.71504498357554,0.000458764108091726,0.696879851759634,-3.15250400084637,"HPX"
"ILMN_1893023",-0.911281322870836,4.8988345531697,-3.70609866109267,0.000472034218848251,0.696879851759634,-3.15891271593062,NA
"ILMN_1699829",1.00983554202974,4.9213642500336,3.65166678313739,0.000561037352244463,0.702015003347005,-3.19779529176146,"CCN2"
"ILMN_1858854",-0.644325545176825,4.61057868536113,-3.64886823899994,0.0005660220039962,0.702015003347005,-3.19978916698891,NA
"ILMN_1869712",-0.624939636103073,4.70040268512743,-3.64508097135444,0.000572835131150209,0.702015003347005,-3.2024866457389,NA
"ILMN_1851553",-0.852434830235284,4.7870856418803,-3.64177564556151,0.000578845214716469,0.702015003347005,-3.20484007787495,NA
"ILMN_1888596",-0.85927263717675,4.67872956812669,-3.63641010773059,0.000588729803148796,0.702015003347005,-3.20865884358489,NA
"ILMN_1735816",-0.803888482044871,4.72568946501746,-3.61472925552159,0.000630336965567258,0.714753697979866,-3.22406965700382,"CYP4A11"
"ILMN_1690031",-0.868162666185807,4.80654346118292,-3.60715571578619,0.000645521515448061,0.714753697979866,-3.22944534017348,NA
"ILMN_1818988",-0.866032660993804,4.76368063926643,-3.59141524177721,0.000678204103496806,0.716963938006481,-3.24060509414667,NA
"ILMN_1709032",-0.831867631890927,7.46718959962853,-3.58184004879515,0.000698851047617354,0.716963938006481,-3.24738520702177,"FYCO1"
