"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1783303",1.2001401436342,4.63685707557419,6.42520996008542,2.688911346902e-08,0.000833643184880026,-1.02120997591623,"HSP90AB4P"
"ILMN_2292696",-1.11065200783579,4.7000773653593,-5.28999866796529,1.94832243487046e-06,0.0242623468422013,-1.87581297746968,"COX15"
"ILMN_1686925",0.940473217755373,4.61820189325146,5.2393116697668,2.34774184842124e-06,0.0242623468422013,-1.91506291098934,"WHAMMP1"
"ILMN_2085446",-0.971485357562807,4.67388844112548,-5.12001236491439,3.63363822705287e-06,0.02816342148833,-2.00765486239079,"ZNF670"
"ILMN_2272120",0.743732644847071,4.62342043414936,4.96821538685831,6.30510494717015e-06,0.0339259850176359,-2.12580361985282,"PKN1"
"ILMN_1881417",-0.78162471427676,4.62909109593039,-4.95700128707938,6.56568429203029e-06,0.0339259850176359,-2.13454294262982,NA
"ILMN_1718446",-0.969625771861013,4.65543967789892,-4.62362481089657,2.15583501580711e-05,0.0927368628215712,-2.39458399876506,"DIPK1B"
"ILMN_1652445",-1.0621228156986,4.77380034167508,-4.59393972502771,2.39297778464203e-05,0.0927368628215712,-2.4177269538768,"RAC1"
"ILMN_1768975",0.954848775756099,4.73061373784669,4.27872974488027,7.12559623349663e-05,0.228245087450528,-2.66267745845705,"GLIPR1L1"
"ILMN_1909207",-0.677592171248681,4.62544298251587,-4.26915149783165,7.36203230172976e-05,0.228245087450528,-2.67008737121967,NA
"ILMN_1901636",-1.1441722138973,4.6741658223478,-4.20021617268459,9.30282327495843e-05,0.262195845448669,-2.72333751138118,NA
"ILMN_1772890",-1.04117542654376,4.83576701593832,-4.1110532580736,0.000125588122833357,0.324467381016881,-2.79198081922723,"C9orf57"
"ILMN_1774997",-0.82454872170733,4.75785877076083,-4.05806958991304,0.000149896415431062,0.357479889816093,-2.83263012786671,"BCL2L11"
"ILMN_1879041",-0.860656372081358,4.77417704034218,-4.01133127005594,0.000175061655150913,0.387674035331696,-2.86839118428706,NA
"ILMN_1668593",-0.858621554243822,4.68369923223203,-3.97000328586372,0.000200669800384019,0.392477725972275,-2.89993133479426,"HPX"
"ILMN_1818692",0.814736841520821,4.72201125471934,3.96717337270836,0.000202549547319821,0.392477725972275,-2.90208811307312,NA
"ILMN_1858006",-0.570510524473121,4.69008782435612,-3.81927511953183,0.000328249171767939,0.598629945430671,-3.01423737468551,NA
"ILMN_1758093",1.19274870428514,5.06875197899871,3.77085271728207,0.000383704301404969,0.660888025358793,-3.05069073877573,"TMEM260"
"ILMN_1807514",1.02337310453485,7.0422763085571,3.75024017289557,0.000409942957268162,0.668919026536043,-3.06616503140657,"ZNF394"
"ILMN_1824709",-0.837847593695821,4.7489004480899,-3.66646612689301,0.000535367037974772,0.821691186821393,-3.12877428879121,NA
"ILMN_1765584",-0.836239204520119,4.72606645934148,-3.64041524335941,0.000581336291263422,0.821691186821393,-3.14814694197264,"TMEM38A"
"ILMN_1888596",-0.859994900645626,4.67872956812669,-3.63946670009143,0.000583079253945446,0.821691186821393,-3.14885142286275,NA
"ILMN_1803881",-0.869021686619081,4.71516328070386,-3.60160683792594,0.000656867561280193,0.885428913146514,-3.17691704030329,"GDF7"
"ILMN_1732873",-1.01731709091386,4.88998777462274,-3.56070011637095,0.000746576964565051,0.956636848107349,-3.20712230794896,"IPPK"
"ILMN_1666316",0.551044431466138,4.65750546792973,3.53895840475093,0.000798891625101808,0.956636848107349,-3.22312424785424,"ADGB"
"ILMN_2222786",-1.17463605053839,4.9707517741917,-3.53393469052326,0.000811466617048686,0.956636848107349,-3.22681646340043,"ZKSCAN8"
"ILMN_2288905",0.77882183820549,4.71628614673028,3.52545560752439,0.000833119211008561,0.956636848107349,-3.23304370886554,"CPEB1"
"ILMN_1669358",-0.746700090347659,4.62178848327885,-3.50896681710985,0.000876809522866002,0.970847344193381,-3.2451370754181,NA
"ILMN_1887319",0.771416817861931,4.66191944299833,3.47330221213647,0.000978878485298471,0.999810315324132,-3.27121901744357,NA
"ILMN_1680082",-0.982707793525676,4.86980836183445,-3.45339566092605,0.00104065782030616,0.999810315324132,-3.28573097848771,NA
"ILMN_1805216",-1.41535419162299,6.03849524043522,-3.41541845910153,0.00116892336503615,0.999810315324132,-3.3133226289112,"GPC6"
"ILMN_1652940",0.781980574801092,4.8189730950964,3.39152346025822,0.00125716159140147,0.999810315324132,-3.33061841502729,"TUBA3FP"
"ILMN_1748844",-0.846928314436383,4.74292388230716,-3.38572410040748,0.00127950937499694,0.999810315324132,-3.33480844866831,"CNKSR3"
