"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1881417",-0.932235853801909,4.62909109593039,-5.91216506176308,1.90272748575162e-07,0.00589902602407573,-2.34967574411429,NA
"ILMN_2292696",-1.0054430176553,4.7000773653593,-4.78889173799426,1.20026308703444e-05,0.174076363227655,-2.94897127764619,"COX15"
"ILMN_1668593",-1.01510194483548,4.68369923223203,-4.69352072116645,1.68444695572352e-05,0.174076363227655,-3.00076835595799,"HPX"
"ILMN_2222786",-1.52143163393035,4.9707517741917,-4.57728164220874,2.53701074766475e-05,0.196637360524626,-3.06391678648213,"ZKSCAN8"
"ILMN_1818988",-1.0393396809112,4.76368063926643,-4.31011501012554,6.40136173096797e-05,0.3969228354904,-3.20881727984313,NA
"ILMN_1772890",-1.06031555163746,4.83576701593832,-4.18662752886442,9.74000319947479e-05,0.420301030312317,-3.27551134175318,"C9orf57"
"ILMN_1738989",0.893398092462877,4.76120167526639,4.15156928304179,0.000109617737024322,0.420301030312317,-3.29439652421109,"SYBU"
"ILMN_1824709",-0.944012300222463,4.7489004480899,-4.13104859186669,0.000117443927023019,0.420301030312317,-3.30543896111906,NA
"ILMN_1660700",0.788178535646505,4.600125503469,4.10800905768375,0.000126874982493951,0.420301030312317,-3.31782596370739,"KLHL33"
"ILMN_1732873",-1.16802602800164,4.88998777462274,-4.0881947732675,0.000135567858049968,0.420301030312317,-3.32846934216649,"IPPK"
"ILMN_1746369",0.800222422902089,4.78767892499357,3.95216347038336,0.000212806834796559,0.599786390836155,-3.40127028360598,NA
"ILMN_1861556",-1.28927106216428,5.02200209280261,-3.90141733001403,0.000251321435123365,0.649309871094142,-3.42829257272459,NA
"ILMN_1888116",-0.78863999072469,4.74827191101269,-3.83967031006929,0.000307270897073412,0.672534582629048,-3.46105920691787,NA
"ILMN_1867777",-0.827219480809063,4.71687810541673,-3.83223058298068,0.000314769627192356,0.672534582629048,-3.46499823791338,NA
"ILMN_1899431",0.672731990154344,4.62979243709844,3.82198134434269,0.000325388470129849,0.672534582629048,-3.47042152482013,NA
"ILMN_1652445",-0.856003682939044,4.77380034167508,-3.70242430131507,0.000477590141964164,0.909402367010897,-3.53338644480147,"RAC1"
"ILMN_1810832",-1.04243128261865,4.89734677642945,-3.68885426049775,0.000498656266786609,0.909402367010897,-3.54049627911743,"ZNF343"
"ILMN_1772959",0.777016920383713,7.96727313592341,3.64571844126609,0.000571682894281977,0.933802120356433,-3.56304306567294,"PDCD7"
"ILMN_1709131",-1.35073634944846,6.19886549168964,-3.64539073574011,0.000572274950384551,0.933802120356433,-3.56321403565331,NA
"ILMN_1761917",0.884082219648031,4.65414262127641,3.62560722556512,0.000609122362794664,0.944231030686148,-3.57352631301778,"LCN8"
"ILMN_1857487",1.01523089255776,4.7920557637815,3.56225059785628,0.000742973614300979,0.999871231496053,-3.60642641337171,NA
"ILMN_2269256",0.633834505806033,4.72999493522796,3.52348153961147,0.000838238605476464,0.999871231496053,-3.62646036169057,"DNAJC12"
"ILMN_2152711",-0.852037090677184,7.21680264929522,-3.5158627454866,0.000858278653578331,0.999871231496053,-3.63038826547495,"ACVR2A"
"ILMN_1803593",0.849208272905547,4.88126664048445,3.50559496108842,0.000886008350858449,0.999871231496053,-3.63567703716822,"WNT3"
"ILMN_2096654",0.686523678114742,8.32115755220847,3.49431959029392,0.000917439962327548,0.999871231496053,-3.64147834657829,"COMMD4"
"ILMN_1815366",-1.24897873407923,7.23508921879647,-3.49267657193648,0.000922107637143037,0.999871231496053,-3.64232313021228,"ENGASE"
"ILMN_1909207",-0.550901168003776,4.62544298251587,-3.47093819311169,0.000986028588632635,0.999871231496053,-3.65348648589094,NA
"ILMN_1818740",0.867305554076663,4.71727755004013,3.46717472624913,0.000997513833348241,0.999871231496053,-3.65541652259654,NA
"ILMN_2285141",-1.0700765583893,6.99672811588992,-3.42384149225978,0.00113924330441633,0.999871231496053,-3.67758221796346,"USP48"
"ILMN_1794612",-0.697575432293847,9.93890295246846,-3.41143163820905,0.0011832258465569,0.999871231496053,-3.68391034043482,"UBA7"
"ILMN_1783996",-1.14238235695909,6.49200089408202,-3.39348289122468,0.00124969485746621,0.999871231496053,-3.69304698161688,"EXO5"
"ILMN_1751692",0.803673790040559,7.31029542279435,3.38808495731124,0.00127036680795195,0.999871231496053,-3.69579102690995,"ZNF17"
"ILMN_1713892",0.813152768052595,9.97672654094108,3.37813319405318,0.0013093296766685,0.999871231496053,-3.7008454568756,"SMIM14"
"ILMN_1660412",1.39788709704527,5.65075418185585,3.35992171709908,0.0013835769878299,0.999871231496053,-3.71007946848435,NA
"ILMN_1699829",0.929046367584416,4.9213642500336,3.35952501105626,0.00138523783230328,0.999871231496053,-3.71028039111658,"CCN2"
