"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1710553",1.35854528606264,4.68609054478392,6.15490840467322,7.56375231557926e-08,0.00234499013039904,5.8407453727617,"TMEM151A"
"ILMN_1881417",-0.891949412871157,4.62909109593039,-5.65667168252625,4.98338042654253e-07,0.0077249871682049,4.50104525834878,NA
"ILMN_1909207",-0.831774160355889,4.62544298251587,-5.24057102961684,2.33690400228289e-06,0.0241503449275922,3.39004536221144,NA
"ILMN_1741701",0.889427340764798,4.69171698527477,4.90702840807562,7.86123121598015e-06,0.0447988068549463,2.51086682973514,NA
"ILMN_1668593",-1.05606081069784,4.68369923223203,-4.88290198146104,8.57338084172289e-06,0.0447988068549463,2.44781211793386,"HPX"
"ILMN_1871561",-1.06179243994318,4.74519328522646,-4.8797843979712,8.66989778826816e-06,0.0447988068549463,2.43967029656485,NA
"ILMN_1740813",-1.35602057481458,4.84037121252918,-4.43704616514367,4.1356819763732e-05,0.173280012131064,1.29967706938165,"KRT37"
"ILMN_1888116",-0.906703140282853,4.74827191101269,-4.41448717886031,4.47130954116863e-05,0.173280012131064,1.24257814572378,NA
"ILMN_1732873",-1.24354175868808,4.88998777462274,-4.3525065335285,5.53564495385596e-05,0.180226171910176,1.0862635555221,"IPPK"
"ILMN_1772959",0.922570423284487,7.96727313592341,4.32864705684138,6.00783485945931e-05,0.180226171910176,1.02631664020674,"PDCD7"
"ILMN_1858854",-0.761145360347616,4.61057868536113,-4.31042840288505,6.39450340616047e-05,0.180226171910176,0.980629181389198,NA
"ILMN_1888596",-0.980702892002072,4.67872956812669,-4.15029846740412,0.000110087377270288,0.243545919861936,0.582459967610135,NA
"ILMN_2124155",-1.40322599565428,8.91945030411846,-4.10611601062204,0.000127681639168665,0.243545919861936,0.473726147963606,"ATP11B"
"ILMN_1727489",-0.897884029302997,4.80059745049138,-4.07423350713589,0.000142035640590224,0.243545919861936,0.395581500108563,NA
"ILMN_1822180",-1.05978995255722,5.04370685961104,-4.07088319454535,0.000143631518775202,0.243545919861936,0.387385595034523,NA
"ILMN_1817882",0.746003280119524,4.60791034315022,4.04819478141012,0.000154903678423208,0.243545919861936,0.331962614287319,NA
"ILMN_1830251",-0.819933955322631,4.68133333219002,-4.04297105407342,0.000157617415784234,0.243545919861936,0.319222010066639,NA
"ILMN_1893023",-0.993879079853746,4.8988345531697,-4.0420162629143,0.00015811836775759,0.243545919861936,0.316894094691657,NA
"ILMN_2272120",0.599613834272553,4.62342043414936,4.00548597435649,0.000178482056037131,0.243545919861936,0.228017324931009,"PKN1"
"ILMN_2062381",-1.30658596341327,9.29209385269052,-3.99806613824069,0.000182916724741206,0.243545919861936,0.210010628882058,"LCOR"
"ILMN_1657316",0.862373709766367,4.69249797343476,3.99287639869203,0.000186081463383793,0.243545919861936,0.197425219699648,"IGSF1"
"ILMN_2317580",-0.963731183545263,4.863247482046,-3.97941309652529,0.000194539531224208,0.243545919861936,0.164811514597424,"SHANK3"
