"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1683450",-0.852760305629996,5.31412744327969,-4.71044746305832,1.58640996685479e-05,0.491834682023992,-1.90838232909755,"CDCA5"
"ILMN_1754045",-0.74056716713779,5.96558584676071,-4.19066535127469,9.60806024760013e-05,0.818793787673412,-2.39083909253844,"FANCL"
"ILMN_1850877",-0.405814279306449,4.67221146063026,-4.19048223976163,9.6140060869567e-05,0.818793787673412,-2.39100754821248,NA
"ILMN_1853575",0.442684082631989,4.69353957560327,4.16254743143691,0.000105640588029986,0.818793787673412,-2.41668891652104,NA
"ILMN_1829228",0.371245914188635,4.67497754909714,4.05515567166301,0.0001513575010681,0.863128465169602,-2.51506706975283,NA
"ILMN_1792837",-0.456500935172765,8.07631700822101,-4.02548222824028,0.000167040957036984,0.863128465169602,-2.5421432655102,"CIAO1"
"ILMN_2222008",-0.425172720036961,4.75087554553658,-3.88995922747536,0.000260903057847909,0.999962816558605,-2.66513713361271,"KIFC1"
"ILMN_1660880",0.744083020363804,6.8200337754985,3.80782860914213,0.000340618299903142,0.999962816558605,-2.73908286541875,"RNH1"
"ILMN_1730005",0.586751478561195,7.29543813566066,3.78423034132129,0.000367545131164767,0.999962816558605,-2.76023858624104,"TRIM27"
"ILMN_1876605",-0.345113886513186,4.68597196803997,-3.78047745208868,0.000372011260621905,0.999962816558605,-2.76359913969501,NA
"ILMN_2413650",-0.601001874376289,5.48438068550708,-3.747821300066,0.000413132448622641,0.999962816558605,-2.792795267848,"STIL"
"ILMN_1760575",-0.562085654866976,6.70335385235065,-3.69551812263709,0.000488202589107057,0.999962816558605,-2.83937902710531,"PTP4A1"
"ILMN_2057399",0.806516302430845,6.41096297581651,3.69000950298913,0.000496828814036983,0.999962816558605,-2.84427212826253,"ZBTB8OS"
"ILMN_1727078",0.740423420175221,6.02761244372908,3.67619877223201,0.000519101269501443,0.999962816558605,-2.85652840114805,"MIEN1"
"ILMN_1704354",-0.533170399143543,5.11166615621965,-3.64125255521422,0.000579801853674212,0.999962816558605,-2.8874678923189,"NCDN"
"ILMN_1811866",-0.649491665778989,5.55501255897081,-3.63705737642102,0.000587528887410443,0.999962816558605,-2.8911748808015,NA
"ILMN_1818192",-0.439052125791005,4.79272519975133,-3.62309481302994,0.000613960768879528,0.999962816558605,-2.90350132554125,NA
"ILMN_1748884",0.549504901330734,6.38679404169303,3.62006763980432,0.000619839235462891,0.999962816558605,-2.90617146893027,"TOB2"
"ILMN_2337386",-0.445269259577841,4.65676720993986,-3.56748987701778,0.000730919618622621,0.999962816558605,-2.95241393550889,"CCR9"
