"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1777608",-0.866686397512954,4.98400374885542,-5.12197519646756,3.60770998584101e-06,0.111849832691029,0.841271139514741,NA
"ILMN_1741564",0.58283243659449,7.56426840202737,4.26744517893417,7.40494340666568e-05,0.513521665799928,-0.632734890811972,"DCTN4"
"ILMN_1738989",-0.429928387402515,4.76120167526639,-4.21184258995479,8.94391399639823e-05,0.513521665799928,-0.726548088668598,"SYBU"
"ILMN_1862648",0.382681960441352,4.78643092218642,4.17099494028868,0.000102675679573588,0.513521665799928,-0.795228847109085,NA
"ILMN_2053902",0.398613236798895,4.60832144112575,4.14799820168976,0.000110942415326918,0.513521665799928,-0.83380297570012,"AQP7P1"
"ILMN_1856435",0.394743949837953,4.70475591273183,4.13488574790753,0.000115940559707145,0.513521665799928,-0.85576691537226,NA
"ILMN_1765876",0.629863320593208,6.43185015932958,4.13487361281322,0.000115945284669209,0.513521665799928,-0.855787231792897,"ARHGAP24"
"ILMN_1718446",0.396330528548607,4.65543967789892,3.98423276620666,0.000191469935299722,0.611794547896358,-1.1064261136751,"DIPK1B"
"ILMN_1704369",-0.63524131955598,6.04444515714107,-3.96574819674341,0.000203502621474664,0.611794547896358,-1.1369543347194,"LIMA1"
"ILMN_1849228",-0.484645229032841,4.82797406507863,-3.93965908160579,0.000221732276671181,0.611794547896358,-1.1799525091914,"LINC01096"
"ILMN_1711171",0.4109225965884,4.69616709484905,3.93741845521721,0.000223369231631971,0.611794547896358,-1.18364040280073,"CREB3L4"
"ILMN_1750901",0.770572433382846,5.03835412342138,3.91196113882577,0.000242804130010115,0.611794547896358,-1.22548537135984,"GNAT1"
"ILMN_1756506",-0.572122818844898,5.72100660680755,-3.89513262873224,0.000256534178068337,0.611794547896358,-1.25308992493344,"TXLNGY"
"ILMN_1811866",-0.686426172153809,5.55501255897081,-3.84388515564108,0.000303099073064486,0.671212897301303,-1.33686671951584,NA
"ILMN_1657248",-0.497141945169782,4.78294740852691,-3.81546446283782,0.000332318309928845,0.678774140448937,-1.38313640799941,"EREG"
"ILMN_1751403",0.818019449790216,5.90083743860376,3.7991430410481,0.000350301140121375,0.678774140448937,-1.40964493450091,"NUDT15"
"ILMN_1691062",0.358992172542919,4.68703078323625,3.73200097404983,0.000434586622357122,0.700649388914908,-1.51819465733044,NA
"ILMN_1754846",0.447869656882438,4.82689501993793,3.70159433986742,0.000478853743834969,0.700649388914908,-1.56708143993979,"OR2L3"
"ILMN_1690371",0.548034946845853,8.09391170200252,3.70075515401076,0.000480134641507385,0.700649388914908,-1.56842818968771,"MRPL11"
"ILMN_2384216",-0.525057944556085,5.19293418990961,-3.69211675088079,0.00049351189038485,0.700649388914908,-1.58228357464361,"XRN1"
"ILMN_1784217",0.531727589159384,4.95411244596594,3.68179369570318,0.000509965702264089,0.700649388914908,-1.59882234420704,"SOX15"
"ILMN_1701613",-0.555786547504466,11.107250376422,-3.67331202622456,0.000523875821978863,0.700649388914908,-1.612395672241,"PLAAT4"
"ILMN_1652685",0.400558999900418,4.76560127556235,3.67233741172816,0.000525497250144621,0.700649388914908,-1.61395447114899,NA
"ILMN_1886537",0.605484503268319,4.97093788093742,3.66235348693983,0.000542385747635964,0.700649388914908,-1.62991215506952,NA
"ILMN_1820657",0.38420766509223,4.86491794960857,3.62429374655905,0.000611647303439447,0.758516053941328,-1.69056504538452,NA
"ILMN_2227133",-0.534388151165163,5.10642555616323,-3.59686531971945,0.00066671324550373,0.781136251455702,-1.73409617766204,"CMTR1"
"ILMN_1792837",-0.406606838708248,8.07631700822101,-3.58550985767764,0.00069086801396436,0.781136251455702,-1.75207341829724,"CIAO1"
"ILMN_1804737",-0.641460668990706,5.06273332569384,-3.55387204377602,0.000762644565045136,0.781136251455702,-1.80201975798024,"RAVER2"
"ILMN_1893595",-0.374131636918334,4.71328646014855,-3.53315309671322,0.000813439901322338,0.781136251455702,-1.83461479005441,NA
"ILMN_1665250",0.336934266770355,4.67590191662361,3.52190839365092,0.00084233969584318,0.781136251455702,-1.85226670262515,NA
"ILMN_1876802",-0.320602838760899,4.72370396526982,-3.51892760963112,0.000850162817654711,0.781136251455702,-1.85694138402491,NA
"ILMN_1770938",-0.333070008514017,4.74627894679246,-3.51414771188982,0.000862852207617562,0.781136251455702,-1.86443357081938,"PAK5"
"ILMN_2336902",0.404728148921175,4.78008729726697,3.50291393075369,0.000893387940195251,0.781136251455702,-1.8820223550535,"TRIM34"
"ILMN_1717770",0.547439445083979,5.00664248691615,3.48172045435568,0.000953814941409472,0.781136251455702,-1.91513014260135,"PATL1"
"ILMN_1683854",-0.428709785571936,6.30418741157631,-3.4806441373354,0.000956985114622001,0.781136251455702,-1.91680889855785,"ZNF484"
"ILMN_1677464",-0.406564054716614,4.66517245427169,-3.47312742756155,0.000979405440183275,0.781136251455702,-1.92852573931739,"LGR6"
"ILMN_1916488",0.330966544610431,4.61003558557489,3.47042236161789,0.000987595328046805,0.781136251455702,-1.93273925728343,NA
"ILMN_1707283",-0.351821900453603,4.88416900868072,-3.46605353239002,0.00100095995053401,0.781136251455702,-1.93954088288622,NA
"ILMN_2409318",-0.60932828609237,5.48268474863908,-3.45674084067491,0.00103002370903134,0.781136251455702,-1.95402516042263,"RCCD1"
"ILMN_1777650",-0.561340078663233,5.06476401202425,-3.44608226492205,0.00106427072119571,0.781136251455702,-1.97057885207035,"TMEM151B"
"ILMN_1694569",0.644777103595365,4.99473641004605,3.44278558159447,0.00107508023923646,0.781136251455702,-1.97569370105051,"TMEM242"
"ILMN_1784901",0.31455835304424,4.70301023739439,3.43922690007623,0.00108686571304105,0.781136251455702,-1.98121228353053,NA
"ILMN_1659851",0.362750692031548,4.68180563022827,3.43169919384781,0.00111220071351952,0.781136251455702,-1.99287631191439,NA
"ILMN_1718833",0.425168095614761,4.83358515672842,3.42362590032455,0.00113999398893615,0.781136251455702,-2.00537136427522,NA
"ILMN_1773063",0.613719385850975,5.72054908728084,3.40446776524298,0.00120860702455762,0.781136251455702,-2.03496256040575,"OSBPL1A"
"ILMN_1752646",0.526571434944271,4.9723745345624,3.40381497460762,0.00121101251309625,0.781136251455702,-2.03596935191589,NA
"ILMN_1730101",-0.369973102763905,7.4688092817314,-3.40300898932299,0.00121398877182573,0.781136251455702,-2.03721227743045,"GSPT2"
"ILMN_1715437",-0.384466132549599,4.74041764570862,-3.39647326024734,0.00123838048530842,0.781136251455702,-2.04728557810215,"KNL1"
"ILMN_1767810",0.300673267030493,4.64399281457292,3.38538901166588,0.00128081206532775,0.781136251455702,-2.06434658634051,NA
"ILMN_1701017",-0.372473624850488,4.71176386122743,-3.38419063248174,0.00128548116611331,0.781136251455702,-2.06618942289032,"SAA1"
"ILMN_1758633",-0.359710330215764,10.825008717923,-3.33858694484036,0.00147562276058781,0.781136251455702,-2.1360647477027,"YJU2B"
"ILMN_1844812",-0.301536192454518,4.65689232655465,-3.3384069374986,0.00147642345414319,0.781136251455702,-2.13633957455969,NA
"ILMN_1799996",-0.391517508678793,4.73482200554225,-3.33748414632224,0.00148053458940715,0.781136251455702,-2.13774832643363,"DHH"
"ILMN_2127416",0.601073181733341,5.16827873904352,3.32747206991523,0.00152584054995945,0.781136251455702,-2.1530197180733,"GSR"
"ILMN_1785109",0.311539001991608,4.75768675950532,3.32310931155246,0.00154598964704502,0.781136251455702,-2.15966660823607,"RSPH10B"
"ILMN_1864685",0.3075165797015,4.68250955092266,3.31716474405852,0.00157384906848076,0.781136251455702,-2.16871599905591,NA
"ILMN_2319766",0.67922949176513,5.65453511254217,3.31025166783642,0.00160684368531245,0.781136251455702,-2.17922887564637,"RUFY2"
"ILMN_1674338",0.328038711217369,4.68214982931131,3.30373252547823,0.00163855559504905,0.781136251455702,-2.18913193662771,"LIPN"
"ILMN_1791211",0.734729488794724,7.84731801518932,3.29776320695184,0.00166811025611168,0.781136251455702,-2.19819058633632,"DOK2"
"ILMN_1703091",0.667930028285819,5.15563834601216,3.29640732023983,0.0016748931423089,0.781136251455702,-2.200246964351,"LINC03124"
"ILMN_1816605",-0.309107776092202,4.62754558280363,-3.28952245963433,0.00170973846082119,0.781136251455702,-2.21068171648184,NA
"ILMN_1808602",-0.491375114406051,4.90891387159007,-3.27874959719824,0.00176563696400326,0.781136251455702,-2.22698549235168,"LINC01547"
"ILMN_2398711",0.692055096354072,5.9822457125316,3.27049163879208,0.0018096482819733,0.781136251455702,-2.23946353294141,"SIRT2"
"ILMN_1811181",-0.601753535250639,6.53928519857971,-3.26756923568052,0.00182546968466398,0.781136251455702,-2.24387527504437,"GLIDR"
"ILMN_1709708",-0.393208080263394,4.57088402367136,-3.26399015934255,0.00184502384673135,0.781136251455702,-2.24927541913342,"LCE2C"
"ILMN_1737698",0.635178590011185,5.6332782498329,3.26082971563288,0.00186245479373839,0.781136251455702,-2.25404123892106,"RNF126P1"
"ILMN_1796749",0.709384010444118,5.19918697976423,3.25662525232001,0.00188588451521139,0.781136251455702,-2.26037748226276,"KIF1C"
"ILMN_1672966",0.37577739483135,4.75032740553011,3.25291195993304,0.00190680782618552,0.781136251455702,-2.2659697918843,"CRCP"
"ILMN_2147078",0.647606218066571,5.24328075326939,3.251909934391,0.00191249130307825,0.781136251455702,-2.26747826725301,"PIWIL4"
"ILMN_1667790",-0.56697599312877,4.70101846004484,-3.25039278482742,0.00192112693862018,0.781136251455702,-2.26976173804112,"LINC00161"
"ILMN_1673395",-0.45641724049038,4.88767884386421,-3.24916914835149,0.00192811863911325,0.781136251455702,-2.27160301403208,"PIGO"
"ILMN_1814011",0.607683900232041,12.2357671722349,3.24503120201412,0.00195194030959491,0.781136251455702,-2.27782679397884,NA
"ILMN_1916260",0.316874616381561,4.72436358712182,3.23895448402748,0.00198742614213561,0.781136251455702,-2.28695870920957,NA
"ILMN_1897300",0.329614054266015,4.70585912198161,3.2386780650999,0.00198905468485223,0.781136251455702,-2.28737387896453,NA
"ILMN_1845021",-0.351739662644938,4.66018365661966,-3.23810731169615,0.00199242129743689,0.781136251455702,-2.28823106496796,NA
"ILMN_1773367",-0.450415608049407,4.87461630687001,-3.22869454229253,0.0020487225531056,0.781136251455702,-2.30235557565133,NA
"ILMN_1718449",0.678476337336976,5.70223240141445,3.22807644319682,0.00205247154110877,0.781136251455702,-2.30328227892807,"NSUN5P2"
"ILMN_1720274",-0.340248246742429,4.70120091540039,-3.21455147832189,0.00213613933006906,0.781136251455702,-2.32353527770804,"PRR30"
"ILMN_1815404",-0.405198704718914,4.78802856007815,-3.20844441198442,0.00217496084298797,0.781136251455702,-2.3326647790247,"SH3GL1P2"
"ILMN_1756953",-0.476811409095667,4.97537496166069,-3.20702464483553,0.00218408061076979,0.781136251455702,-2.33478580912804,"GBP6"
"ILMN_1795927",0.448255707207764,6.46311163205867,3.20557658895843,0.00219341911932706,0.781136251455702,-2.33694855911882,"PSPC1"
"ILMN_1790105",-0.404290482642265,4.65078639047452,-3.20451971973613,0.00220025855181285,0.781136251455702,-2.33852670520173,"SUMO1"
"ILMN_1661509",0.300705501343619,4.65535472688674,3.20192863258285,0.00221711146965124,0.781136251455702,-2.3423945530624,NA
"ILMN_1895976",0.426457255274428,4.83462076280134,3.19634482393845,0.00225384301485786,0.781136251455702,-2.35072381683885,NA
"ILMN_2384056",0.815883439442081,5.40419645260181,3.19461951418955,0.00226530766062429,0.781136251455702,-2.35329577648573,"GPER1"
"ILMN_2283196",-0.535982612362215,6.2640854517517,-3.19431233320255,0.0022673546106415,0.781136251455702,-2.35375361642493,"ZSWIM3"
"ILMN_1651799",0.515411566458115,9.56621298045055,3.18406227481246,0.00233666265537377,0.781136251455702,-2.36901664712473,"SLC38A2"
"ILMN_1672080",0.65074698717184,5.1777184227488,3.18356275621035,0.00234009060597049,0.781136251455702,-2.36975975622387,"NR2F6"
"ILMN_1679678",0.71690417468906,5.52503411810099,3.1823426724016,0.00234848331224364,0.781136251455702,-2.37157453729574,"FSD1L"
"ILMN_1800796",0.50981990585044,6.41363187482601,3.18094136970196,0.00235815746867831,0.781136251455702,-2.37365838191977,NA
"ILMN_1781623",0.433794066734886,7.37253645648316,3.1802113317636,0.00236321224018146,0.781136251455702,-2.37474379850487,"TEX264"
"ILMN_1717904",-0.419881357478568,4.78486081882612,-3.1792835647332,0.00236965076974293,0.781136251455702,-2.37612299408265,"SORBS3"
"ILMN_1664738",-0.489233394074019,6.9467954613309,-3.17871861500108,0.00237357948192315,0.781136251455702,-2.37696272274446,"C11orf54"
"ILMN_1743673",-0.257544950445861,4.71533752285154,-3.17687194703851,0.00238646410035648,0.781136251455702,-2.37970697865609,"FAM86C2P"
"ILMN_1771884",-0.467567973193657,6.82236764719476,-3.17514970851721,0.00239853971370492,0.781136251455702,-2.38226551012949,"ZNF45"
"ILMN_2315289",0.376153581476116,4.73012213212965,3.1722828139832,0.00241876851078113,0.781136251455702,-2.38652277853322,"PEX10"
"ILMN_2103014",0.472145554665593,5.00633468644193,3.16320204888259,0.00248390460088302,0.784701356962415,-2.39999305243245,"CFAP36"
"ILMN_1674024",-0.550133856179923,7.07709087160746,-3.160190023053,0.00250587092028315,0.784701356962415,-2.40445618593926,NA
"ILMN_1874506",-0.41643577096308,4.97252516245106,-3.15978636781216,0.00250882854063893,0.784701356962415,-2.40505412625305,NA
"ILMN_1760593",-0.444940667754386,6.91598148933851,-3.15676782400553,0.00253104975957944,0.784701356962415,-2.40952415503155,"CRY1"
"ILMN_1680380",-0.583563679830779,5.49923288219098,-3.14432021165812,0.00262464910544029,0.790843800164105,-2.42793141624024,NA
"ILMN_1844645",-0.314873667718686,4.77665713250299,-3.14427294320857,0.00262501064706301,0.790843800164105,-2.42800123624342,NA
"ILMN_1813246",0.685307013936138,5.99976070683122,3.14062985901848,0.00265301639216592,0.790843800164105,-2.43338060220488,"THOC3"
"ILMN_1699965",-0.32308665758671,4.82412916693818,-3.13928423546496,0.00266343136715476,0.790843800164105,-2.43536663763492,"METTL21EP"
"ILMN_1836958",0.619467522468237,6.71025843037372,3.13735821254824,0.00267840528391546,0.790843800164105,-2.43820844403795,NA
"ILMN_2403247",0.474762057325334,8.93420299625065,3.13070381213867,0.00273074966115036,0.794033359469025,-2.44801912689343,"CMTM7"
"ILMN_1814967",-0.333921456102985,4.69842367446989,-3.12359700598126,0.00278771054236353,0.794033359469025,-2.45848349404092,NA
"ILMN_1772690",-0.407955891040616,7.00851033037424,-3.12166117946817,0.00280341797164352,0.794033359469025,-2.46133150014333,"OGFOD1"
"ILMN_1652540",-0.504687121606117,6.17726341942506,-3.11797079104112,0.00283359198219372,0.794033359469025,-2.46675799502189,"RELL2"
"ILMN_1723803",0.316400595648287,4.6621246635103,3.11721129498887,0.00283983953697185,0.794033359469025,-2.4678743257473,"SLC2A9"
"ILMN_1878459",-0.27201650610948,4.70265684564314,-3.11684265498342,0.00284287658939657,0.794033359469025,-2.46841610721586,NA
"ILMN_1784690",0.310981643606426,4.73009959806424,3.1117802938706,0.00288489192434601,0.79508036555027,-2.47585236786624,NA
"ILMN_1806017",-0.325346590861086,12.4141581106415,-3.1102250899166,0.00289791572774185,0.79508036555027,-2.47813544211755,"PSME1"
"ILMN_1761113",0.354336657281823,9.25132087075812,3.09654671920801,0.00301485773832193,0.813000086778255,-2.49818687364603,"GNL2"
"ILMN_1706413",-0.488081680406747,6.59656783176633,-3.09497097308131,0.00302860954217171,0.813000086778255,-2.50049347199921,"METTL25B"
"ILMN_1801962",-0.304665185984304,4.74523106911369,-3.09085061516057,0.0030648464990231,0.813000086778255,-2.50652165101014,NA
"ILMN_1874018",0.330783129410139,4.72680711340436,3.08801548572674,0.00309001550224245,0.813000086778255,-2.51066677087478,NA
"ILMN_2362847",0.34478782454135,4.90427755594374,3.08593415399111,0.00310861555245338,0.813000086778255,-2.51370837162527,"PPARA"
"ILMN_1738971",-0.338709819010424,4.78085088620287,-3.08047278985932,0.00315792071791792,0.813000086778255,-2.52168371465343,"USP54"
"ILMN_1744395",0.53774407374543,5.04670137475096,3.0804126568424,0.00315846764631198,0.813000086778255,-2.52177148178401,"ZNF841"
"ILMN_1721605",0.449048554164619,7.37765210607707,3.07453515774797,0.00321235477541705,0.813000086778255,-2.53034510172983,"SMYD2"
"ILMN_1828625",-0.259137115231431,4.69854823823533,-3.07369360117513,0.00322014045432424,0.813000086778255,-2.53157190430404,NA
"ILMN_1741648",0.353651963525908,4.70645620304936,3.07311944445024,0.00322546239633988,0.813000086778255,-2.53240878328528,"HLA-DQB2"
"ILMN_1849693",0.313884052267552,4.74112131988604,3.07024390319548,0.00325224012538875,0.813138714576028,-2.53659872047959,NA
"ILMN_2228809",0.514202869983921,8.89677235301786,3.04617203990902,0.00348469144377,0.844216270609029,-2.57158222515205,"YWHAG"
"ILMN_1811736",0.401057129856241,4.7694651053924,3.03687511269396,0.00357855045882038,0.844216270609029,-2.58504936373216,"ENTHD1"
"ILMN_1665425",-0.377347041919295,4.6475297690037,-3.03275460867595,0.00362089981179928,0.844216270609029,-2.59101025409027,"RPRM"
"ILMN_1707685",-0.319532079162753,4.70555665899896,-3.03126261385799,0.00363634907225491,0.844216270609029,-2.59316743560573,"LINC03006"
"ILMN_1662413",0.605996028942684,5.22221435654136,3.03116297275252,0.00363738302024522,0.844216270609029,-2.59331147767703,"HGSNAT"
"ILMN_1658022",0.286935286120228,4.71647542194298,3.02839642545488,0.00366620046607776,0.844216270609029,-2.59730968534022,NA
"ILMN_2388445",-0.363691405404975,4.79830352469734,-3.02809038603148,0.00366940134216381,0.844216270609029,-2.59775183779407,"DLX1"
"ILMN_1662640",0.655425689216675,5.33697448989713,3.02766933805954,0.00367380935658675,0.844216270609029,-2.59836010562025,"MT1E"
"ILMN_1693421",0.537227312747087,8.13630648108069,3.02400702081413,0.00371235955356833,0.844216270609029,-2.60364872988481,"RPN2"
"ILMN_1917315",0.387616054569227,4.82603770002611,3.02366947017265,0.00371593159404862,0.844216270609029,-2.60413598070887,NA
"ILMN_1749575",-0.330931420711645,4.69185170225117,-3.02343148647493,0.00371845191986363,0.844216270609029,-2.60447948796936,"CYP7A1"
"ILMN_1781027",-0.269905267618376,4.71999809489992,-3.0218844685184,0.00373487425112888,0.844216270609029,-2.6067120662962,"TSNARE1"
"ILMN_1778352",0.24072751871164,4.69773258188714,3.02139161707746,0.00374012029224861,0.844216270609029,-2.60742317979006,"ABCC6"
"ILMN_2098446",0.533283168498384,7.48112443420427,3.01973909213009,0.00375776038912512,0.844216270609029,-2.60980702361132,"PMAIP1"
"ILMN_1762787",-0.468522330096382,6.38112141556152,-3.01407612848184,0.00381880055567419,0.849983725914051,-2.61797013007083,"RNF26"
"ILMN_1815519",-0.451124045432069,5.23304596814402,-3.01228808666074,0.00383826473657282,0.849983725914051,-2.62054564831934,"EPN2"
"ILMN_1701482",0.624999154144463,6.00951786495061,3.00557193210799,0.00391220406090279,0.859742342280565,-2.63021140400091,"POFUT2"
"ILMN_1807467",-0.499382665242611,4.77758976558072,-3.00327508390447,0.0039377935233313,0.859742342280565,-2.63351397584797,"ARHGEF28"
"ILMN_1707901",0.379024360336654,6.83780098100094,2.99347862501996,0.00404869772388463,0.869942706852513,-2.64758276197268,"DHRS7B"
"ILMN_1765430",0.440392699477095,4.7996182732926,2.98799100864349,0.00411208630586385,0.869942706852513,-2.65545132323606,NA
"ILMN_1792550",0.325118052096114,4.78117480654105,2.98516018426375,0.00414514580764987,0.869942706852513,-2.65950692276315,NA
"ILMN_1773060",-0.426122094028283,4.80561595048441,-2.98449092885201,0.00415299771551604,0.869942706852513,-2.66046539215103,"CCDC63"
"ILMN_1815319",0.618364318190134,5.93650852617669,2.98099149294674,0.00419428007918311,0.869942706852513,-2.6654749404205,"CMTM4"
"ILMN_2389114",-0.654987324271966,5.47726225829618,-2.97983555143866,0.00420800025372486,0.869942706852513,-2.66712891401375,"FIGNL1"
"ILMN_1851025",-0.312289365398142,4.6350196065433,-2.97620081294797,0.00425141452047691,0.869942706852513,-2.67232709779603,NA
"ILMN_1782257",-0.336529357563121,8.19512649718492,-2.97399566126307,0.00427795615296081,0.869942706852513,-2.67547887347981,"METTL17"
"ILMN_1755710",0.562934493009034,5.46148402574925,2.97352075879552,0.00428369230748506,0.869942706852513,-2.67615745341027,"EFNA4"
"ILMN_1727134",-0.361182857454044,7.53611106596419,-2.97298010709709,0.00429023132927039,0.869942706852513,-2.67692990017334,"KLHL42"
