"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1748291",-1.12594674652762,8.4695101978707,-6.96535314825987,3.35437866313306e-09,0.000103995801693114,10.1624102745521,"SDE2"
"ILMN_2090059",-0.670732498504981,5.40749834967336,-6.4531950093404,2.41503399463478e-08,0.00037436649467831,8.45825035645036,"ZFY"
"ILMN_1764168",-1.04408257652789,8.75326860347395,-5.83410311863522,2.55596552313997e-07,0.00257125692666764,6.40983017600249,"STXBP3"
"ILMN_1686985",-0.892053553051311,7.42836344364371,-5.76495216489248,3.31742983152294e-07,0.00257125692666764,6.182814095245,"MTM1"
"ILMN_1700025",-0.805154625313145,9.23440353732935,-5.29243633978728,1.93090144675681e-06,0.00796680991721285,4.64715057731867,"PGAM1"
"ILMN_1687887",-0.89367521537877,7.81559321115816,-5.2849107134146,1.98518424109796e-06,0.00796680991721285,4.62295542141681,"PSMC4"
"ILMN_2381758",-0.92260104861099,8.1639340430603,-5.26569106321566,2.13073234623907e-06,0.00796680991721285,4.5612067970822,"G3BP2"
"ILMN_1765644",-0.982829430362023,8.82761338184785,-5.24533678476125,2.29633480428485e-06,0.00796680991721285,4.49588149277049,"COMMD8"
"ILMN_1674024",-0.91278464814138,7.07709087160746,-5.24340195726642,2.31272100296473e-06,0.00796680991721285,4.48967554747332,NA
"ILMN_2360229",-0.594131144003319,7.3356879795752,-5.14489426979179,3.3180982159783e-06,0.0096732113154223,4.17459404673787,"MAPKAP1"
"ILMN_1672191",-0.908841028565468,9.38535254512079,-5.13564632323887,3.432097683116e-06,0.0096732113154223,4.14510542255243,"ATP5PB"
"ILMN_1875342",-0.918825091191146,8.94102343918034,-5.10318987410284,3.8635023516376e-06,0.00998168028398504,4.04174130532408,NA
"ILMN_1778803",-0.851932819025174,8.29994057127953,-5.01919216602388,5.24294883765273e-06,0.0121901499046143,3.77519385711846,"ZFAND6"
"ILMN_2129877",-0.625050538392449,6.58166910649898,-5.00331046194852,5.55347623540197e-06,0.0121901499046143,3.72495781757557,"PARP11"
"ILMN_2357272",-0.697547306382354,7.78218010774321,-4.98668485716618,5.89788886782618e-06,0.0121901499046143,3.67242510939403,"BCLAF1"
"ILMN_1695509",-0.837178119463193,9.09481315513465,-4.93696681728116,7.05777200806079e-06,0.0136757565978693,3.51567968180895,"PTPN12"
"ILMN_2078264",-0.843226954677334,7.56191713450496,-4.80464087401188,1.13466505017361e-05,0.0206929532650192,3.10118296649289,"C3orf38"
"ILMN_1798886",-0.783052472911504,8.10124598143189,-4.77038589293813,1.28209599464115e-05,0.0210906658758145,2.99455101855839,"NUDT21"
"ILMN_1684887",-0.893863080956371,8.31061898895532,-4.76021281959934,1.32938140487149e-05,0.0210906658758145,2.96293838022408,"SAMSN1"
"ILMN_1869897",-0.890720859941823,7.96510302138818,-4.74591699605779,1.39872457701909e-05,0.0210906658758145,2.91855748855017,"NEK7"
"ILMN_1653793",-0.650177219810428,8.22629490957671,-4.73997349731212,1.42858427697998e-05,0.0210906658758145,2.90012102596241,"PDPK1"
"ILMN_1772743",-0.71387861727878,7.06522055858084,-4.69374689680724,1.68309875403488e-05,0.0228721937814383,2.75703169809681,"PIGK"
"ILMN_1863185",-0.726471879168924,7.01954346677714,-4.68080243809322,1.76198132792139e-05,0.0228721937814383,2.71706127931738,NA
"ILMN_1894029",0.43122389797073,4.65916688474927,4.6794259390768,1.77057913993652e-05,0.0228721937814383,2.71281341754172,NA
"ILMN_1756999",-0.638602066180551,10.7781355387382,-4.64918367790328,1.97016277590467e-05,0.0242538028331765,2.6196108152411,"RBL2"
"ILMN_1653134",-0.660791864106097,9.52312427140459,-4.64014123054307,2.0339930770009e-05,0.0242538028331765,2.59178991996508,"CNEP1R1"
"ILMN_2362556",0.40225985142797,4.64186931412664,4.59125854807992,2.41560927257358e-05,0.0277374571398513,2.44177175711977,"TBX20"
"ILMN_1766505",-0.752829330213309,8.15140945064217,-4.56109124648353,2.68508817867705e-05,0.0294895062533759,2.34951511549777,"COMMD10"
"ILMN_1720303",-0.542687203851854,7.49379012014348,-4.55339219850718,2.75842880156082e-05,0.0294895062533759,2.32601057917137,"OSTM1"
"ILMN_1772316",-0.682624044978776,7.81675590313758,-4.52222077141674,3.07584675526471e-05,0.0305412533849117,2.23101724479185,"SUN1"
"ILMN_2368971",-0.621941949703187,7.63410950657607,-4.52166633253938,3.0818030860516e-05,0.0305412533849117,2.22933011318637,"PSMD12"
"ILMN_1735347",-0.726741266969485,8.15500050139677,-4.51517869973091,3.15234044549616e-05,0.0305412533849117,2.20959507209884,"MCEE"
"ILMN_2056975",-0.58737796221259,8.9780026773342,-4.49887356635755,3.33663717480019e-05,0.0313472007061607,2.16004900519763,"HPRT1"
"ILMN_1704084",-0.850341439786251,7.10127053390251,-4.46500759394079,3.75357808158291e-05,0.0319294122434686,2.05738755417955,"CMAHP"
"ILMN_1684042",-0.962959054727469,7.23276122571317,-4.46281735089243,3.78222383918925e-05,0.0319294122434686,2.05075960900471,"BET1"
"ILMN_1707339",-0.597281145954276,7.1197952916772,-4.45668937931946,3.86350583190108e-05,0.0319294122434686,2.03222313881372,"BTG3"
"ILMN_1736021",-0.732050799454035,8.07964909439409,-4.4540101859774,3.89957485239081e-05,0.0319294122434686,2.02412235175905,"PRP4K"
"ILMN_1712748",-0.63214115712167,8.40438596258684,-4.45297865372432,3.91354922185533e-05,0.0319294122434686,2.02100398670306,"GSKIP"
"ILMN_1798454",-0.752597004635706,7.09513420561883,-4.44290973975212,4.05254014951247e-05,0.0322156159629064,1.99058185150792,"MAD2L1BP"
"ILMN_1696591",-0.921717440745493,6.54760163404645,-4.42677583703848,4.28532592124833e-05,0.0332144898841155,1.94189816622017,"RB1"
"ILMN_2110496",-0.594179483005097,6.61576875220594,-4.41491622788004,4.46468575764256e-05,0.0337606469619981,1.90616202044126,"C21orf91"
"ILMN_1660579",-0.8668699055649,8.65364382218617,-4.40117871654701,4.68158310612916e-05,0.0345578859617434,1.8648205858934,"CRLF3"
"ILMN_1761915",-0.798447594925,5.76609962714811,-4.3911470249018,4.84640944621426e-05,0.0349426121072048,1.83466778539212,"BRWD1"
"ILMN_2393994",-0.547121076053566,7.01984609013099,-4.38212769449353,4.99940928131367e-05,0.0352265195337654,1.80758428691733,"CSPP1"
"ILMN_2328280",-0.607751932895703,7.63895093207261,-4.37088878843974,5.19664235271627e-05,0.0358025561913917,1.77387095302837,"ACTL6A"
"ILMN_1652989",-0.678497512454594,8.3352287227177,-4.35607892153877,5.46812395983167e-05,0.0368539667666655,1.72950578777853,"NUP160"
"ILMN_1766851",-0.658393147042042,8.947227020087,-4.34383575963104,5.70291620576225e-05,0.0376186193887759,1.6928814263011,"TMEM126B"
"ILMN_1672405",-0.907948197442519,8.28761512962861,-4.33036390413656,5.97259036604107e-05,0.0385311106011271,1.65263617513652,"TMED7"
"ILMN_2384216",-0.615016714783617,5.19293418990961,-4.32469128077675,6.08981201643463e-05,0.0385311106011271,1.63570724713292,"XRN1"
"ILMN_1662973",-0.68721588919922,6.6764370080244,-4.31816345750026,6.22747167192769e-05,0.0386140608489548,1.61623882070263,"CD82"
"ILMN_1673369",-0.633972313219173,6.59780564035824,-4.30504028771702,6.51341665959662e-05,0.03959518758774,1.57714187505468,"SEPHS1"
"ILMN_2324157",-0.999637279743378,8.07831146604537,-4.29631684628368,6.71050388535984e-05,0.0400087984534252,1.55118340116575,"UBA3"
"ILMN_2206722",-0.523541086611361,4.67385066379677,-4.28643813093885,6.94068303088851e-05,0.0406003766050257,1.52181690161761,"FER1L4"
"ILMN_2167416",-0.643363873468603,7.30492884746532,-4.25202009013087,7.80402894150875e-05,0.0447669576542208,1.41975132711192,"MR1"
"ILMN_1708627",-1.17804879897343,9.56829961264316,-4.24199297875864,8.07455858021561e-05,0.0447669576542208,1.39008976977709,"SRP9"
"ILMN_1661593",-0.823051856435314,8.42034648195868,-4.24157059466702,8.08615175510875e-05,0.0447669576542208,1.38884103410348,"TVP23B"
"ILMN_2381603",-0.728143198281757,7.12844831900683,-4.22028261294272,8.69181205823759e-05,0.0454806583273602,1.32598254877696,"ING3"
"ILMN_1661142",-0.687848601978866,7.75060782609285,-4.21684669449276,8.79360010364187e-05,0.0454806583273602,1.31585134177528,"TMF1"
"ILMN_1666378",0.440238202848449,4.67771918256565,4.21661317766169,8.80055973129579e-05,0.0454806583273602,1.31516293463431,"MAGEC1"
"ILMN_1695717",-0.75335900099668,6.12848009173322,-4.21656969456226,8.8018562708177e-05,0.0454806583273602,1.31503474857878,"RBM41"
"ILMN_2094166",-0.966656511620172,8.99697187824681,-4.20859972376012,9.04264980619432e-05,0.0459588970395808,1.29155045765974,"CHMP5"
"ILMN_1801584",-1.08550894992574,10.9936616315343,-4.19872584247701,9.34982678858817e-05,0.0467536580526772,1.26248598013222,"CXCR4"
"ILMN_2279635",-0.994110575515511,8.33974985329757,-4.18523084735318,9.78604934568228e-05,0.0481582361689187,1.22281624995379,"EIF4G2"
"ILMN_1757646",-0.664467160090111,8.4276212059075,-4.16636062714146,0.000104292111637778,0.0497878136276982,1.16745043496524,"UFM1"
"ILMN_1655561",-0.664536486686638,12.2463553097159,-4.16610012575799,0.000104383701119259,0.0497878136276982,1.16668697625668,NA
"ILMN_1770548",-0.800208017577823,6.65731038717037,-4.15485853467808,0.000108411152684434,0.0509253176769018,1.13376337178963,"CLASP2"
"ILMN_2388466",-0.543960749789721,9.19409970625703,-4.14561121093948,0.000111836482733972,0.0517502458836018,1.10671344183653,"TIA1"
"ILMN_1742124",-0.576432940998652,7.74596437451574,-4.13782235586742,0.000114802611444032,0.0523415494499899,1.08395299339966,"CCSER2"
"ILMN_1656682",-0.415795419308862,10.2387534415786,-4.12425173324478,0.000120153283799037,0.0539871341684281,1.04434816325991,"AZIN1"
"ILMN_1675186",-0.492606580785055,8.94223275726698,-4.11317989631066,0.000124696636104976,0.0550046784828455,1.01208410985134,"ME2"
"ILMN_1812776",-0.569181825928011,7.55920070681934,-4.11015560187853,0.000125966266886496,0.0550046784828455,1.00327869488702,"FBXO28"
"ILMN_2274420",-0.63394396847837,6.48411591396809,-4.09761710966952,0.000131364652805628,0.0565652545962902,0.9668069531178,"SPTLC1"
"ILMN_1664153",-0.626991733001784,7.72000853244316,-4.08480889733089,0.000137109769755201,0.0575428296960516,0.929608878963517,"SLC30A5"
"ILMN_1708787",-0.738707314402192,6.21189702719213,-4.08092858346331,0.00013889768609183,0.0575428296960516,0.918351201447368,"ZNF627"
"ILMN_1678404",-0.754357303415392,6.31423080165342,-4.08027067633955,0.000139203052195074,0.0575428296960516,0.916443002134169,"FBXO11"
"ILMN_1747151",0.334825089476181,4.66794824958701,4.07165969555692,0.00014326010774362,0.0584406989523084,0.891482098659762,"ANKRD23"
"ILMN_1696419",-0.987453579129297,8.06693934144576,-4.05361595460928,0.00015213508319295,0.0605410342806191,0.839265685803085,"STOM"
"ILMN_1673069",0.515491693074116,7.92618305908293,4.04992726610734,0.0001540136513665,0.0605410342806191,0.828605724633197,"DPP9"
"ILMN_2185563",-0.527309455993821,8.93083164215975,-4.04556774614572,0.000156262741762635,0.0605410342806191,0.816013567419377,"ANKRA2"
"ILMN_2410516",-1.23922106782608,9.70444747119201,-4.04506412741968,0.000156524594121748,0.0605410342806191,0.81455935166711,"PPM1A"
"ILMN_2340565",-0.661455242699654,7.26254634766104,-4.03659264283922,0.000160993279247783,0.0605410342806191,0.790111672478893,"ATP2C1"
"ILMN_2365484",-0.642936603994405,6.89476646506572,-4.02959544654988,0.000164776903106178,0.0605410342806191,0.76993861155262,"SNX1"
"ILMN_2383435",-0.731512755620578,7.43560946308633,-4.02858884976961,0.000165328215565168,0.0605410342806191,0.767038065054344,"PSMD10"
"ILMN_1695562",0.671157536655469,5.22996896162367,4.0245218517869,0.00016757388700605,0.0605410342806191,0.755322687997661,"ZNF471"
"ILMN_1712659",-0.779174929243325,7.90785858588886,-4.01543161754916,0.000172700142963902,0.0605410342806191,0.729159652701817,"PPP2CB"
"ILMN_1700834",-0.679046327667893,8.22573187323593,-4.01435618208313,0.000173316528143909,0.0605410342806191,0.726066429699885,"SLK"
"ILMN_2384785",-0.607038711064998,5.05612176638957,-4.01234396610403,0.000174475533374839,0.0605410342806191,0.720279951254574,"CCNE1"
"ILMN_2409395",-1.12254377873978,7.26817295191766,-4.00994379110966,0.000175867775822465,0.0605410342806191,0.713379809711698,"CCNC"
"ILMN_1658911",-0.79669574466375,8.51111497015417,-4.00953000509052,0.000176108876442725,0.0605410342806191,0.712190455189706,"AP3S1"
"ILMN_1788547",-0.79575494282081,7.37362789388712,-4.00932565846695,0.000176228060617429,0.0605410342806191,0.711603120718667,"GCLM"
"ILMN_1674522",-0.653899779052384,9.856651318934,-4.00681282661855,0.000177700032885087,0.0605410342806191,0.704382001442786,"HIGD1A"
"ILMN_1661366",-0.721780623589999,7.98473367729401,-3.99601892678042,0.00018415888023927,0.0620595409136747,0.673390566059886,"PGAM1"
"ILMN_1655884",-0.629609724671846,6.65653835867523,-3.9796108652385,0.000194412646510679,0.0648104868792536,0.626363966262377,"ATP2A2"
"ILMN_2338480",-0.569218251830696,8.36453326045798,-3.94339299232649,0.000219029992354615,0.070531112015119,0.52292440498203,"RHOT1"
"ILMN_1743208",-0.814156287859015,6.26818557069099,-3.94255306435416,0.000219635081571127,0.070531112015119,0.520531523286897,"NEDD1"
"ILMN_2350114",-0.516170269225471,6.6037443634736,-3.94249983346416,0.000219673483620462,0.070531112015119,0.520379882306619,"TRIM13"
"ILMN_2311761",-0.491347563574521,8.04824856547347,-3.94111781771192,0.000220672769263186,0.070531112015119,0.516443262030584,"AP3S1"
"ILMN_1756806",-1.04834269829436,9.45388500184134,-3.93465900193046,0.000225401224183894,0.0713072872793191,0.498055373975862,"MCL1"
"ILMN_1656509",0.488443510502642,4.74949006359052,3.92795024102394,0.00023041588975344,0.0718906163971432,0.478973053123751,NA
"ILMN_1673746",-0.671953286446873,6.80113053647526,-3.92483424252897,0.000232781399582385,0.0718906163971432,0.470115901127373,"TIMM23"
"ILMN_1666746",-0.794981859175188,7.48083020639317,-3.91779441355456,0.000238212053999492,0.0718906163971432,0.450119303894671,NA
"ILMN_1655316",-0.519404208918172,9.51297123611568,-3.91627341796549,0.000239401293013992,0.0718906163971432,0.445801469191824,"PSMC6"
"ILMN_1729775",-0.569643960433812,7.05979177473345,-3.91496777176063,0.000240426709758491,0.0718906163971432,0.442095695445037,"OPA1"
"ILMN_2345319",-0.599232437796909,6.66729893181043,-3.91089831980918,0.000243649926659512,0.0718906163971432,0.430549787472357,"PREPL"
"ILMN_1771757",0.493768448893263,4.85182599817263,3.91042271189384,0.000244029335310052,0.0718906163971432,0.429200809858778,NA
"ILMN_1786532",-0.922915825993457,8.44525916337267,-3.90480465168524,0.000248554290944715,0.0718906163971432,0.413272903467166,"CNIH1"
"ILMN_1741176",-0.591950554906651,8.25190063064185,-3.90478273612392,0.000248572099465218,0.0718906163971432,0.413210794406379,"CHMP2B"
"ILMN_1671905",-0.741786193400175,7.23323658920189,-3.9019938974072,0.000250848346530684,0.0718906163971432,0.405308723297264,"SFR1"
"ILMN_1761147",-0.56971668960096,6.62453764922256,-3.89937827203603,0.000253001430138488,0.0718906163971432,0.397900231843021,"GABPB1"
"ILMN_1760360",-0.505790783204454,7.90433504537147,-3.89688414446259,0.000255071051307478,0.0718906163971432,0.390838385340349,"LTN1"
"ILMN_1784946",-0.556603355019942,7.67061967890882,-3.88808206692557,0.000262505921370824,0.0732952972407071,0.365935938877398,"ORC3"
"ILMN_1707236",-0.630236242999078,6.74644714947926,-3.88543395635426,0.000264783191657556,0.0732952972407071,0.358450031409379,"HCCS"
"ILMN_1700950",-0.727046390802741,8.47576048071148,-3.881216635087,0.000268449186884508,0.0736524791237205,0.346533895846467,NA
"ILMN_1905198",0.377012287865261,4.74527367417445,3.87689981239117,0.000272252196174223,0.0738139944822008,0.33434394832954,NA
"ILMN_1763260",-0.929623407642696,7.70553548135979,-3.8751599020168,0.000273799611826374,0.0738139944822008,0.329432848175279,"HIF1A"
"ILMN_2392717",-0.436090198545651,8.89475551749288,-3.86540113295881,0.000282636644513079,0.0755395162917154,0.301910004516757,"LARP7"
"ILMN_1685551",0.612952312786227,8.16455359732368,3.86260287032446,0.000285220763434638,0.0755786267415733,0.294025047048622,"CHD4"
"ILMN_2332558",-0.543924619984577,8.60100111157779,-3.85452380580201,0.000292809592930313,0.0765328100078839,0.271277474885516,"ARL5A"
"ILMN_1808095",-0.483038803698044,6.78431096908923,-3.85352746046833,0.000293758810145411,0.0765328100078839,0.268473965215362,"RNF41"
"ILMN_1681467",0.582303448329662,6.18832519266047,3.84778674191177,0.000299285842707933,0.0767372085557127,0.252328571785427,"RAB11FIP4"
"ILMN_1675117",-0.951215227599519,9.99336056415981,-3.84757287249147,0.000299493669491379,0.0767372085557127,0.251727335250894,"HSD17B11"
"ILMN_1785988",-0.573943821448188,8.60181523819799,-3.84278251779315,0.0003041851708966,0.076877927957184,0.238265385725184,"CSNK1A1"
"ILMN_2131392",0.444933446236899,7.17886837535848,3.83939846864971,0.00030754184851846,0.076877927957184,0.228761065826667,"WDR70"
"ILMN_1655614",0.634482036394289,5.06653767335405,3.83935661623056,0.00030758358429682,0.076877927957184,0.228643549685472,"DSP"
"ILMN_1783684",-0.820310844297122,8.34518126840197,-3.83698086971172,0.000309961648700061,0.076877927957184,0.221973928547418,"RBBP4"
"ILMN_1736940",-0.656933385815756,7.63665645578415,-3.83413276281254,0.000312835810288758,0.0769749890982728,0.213981234552722,"HPRT1"
"ILMN_1719606",-0.5452839701281,7.65279950709701,-3.82417837857986,0.000323083641882094,0.0785404932791094,0.186072009224782,"MFF"
"ILMN_1683328",-0.609370877468837,6.58971319917441,-3.82305054142251,0.000324264849844402,0.0785404932791094,0.182912428608573,"IP6K2"
"ILMN_1789702",-0.605116050556732,6.90934825262001,-3.81601410108202,0.000331728415272534,0.0797253958038324,0.163211936858813,"GBE1"
"ILMN_1795228",-0.375401272412242,11.7547028910658,-3.81246838285228,0.000335551571251703,0.0798482469378568,0.153292391488381,"ZFAND5"
"ILMN_1806122",0.583265223063847,8.85564796938946,3.81077660976131,0.00033739058635807,0.0798482469378568,0.148561285198361,"CHD8"
"ILMN_1781207",-0.478901075572778,8.51984722137666,-3.80258856854899,0.000346428808693886,0.0813661542116405,0.125679765753433,"FYN"
"ILMN_1697742",-0.697900456197473,7.28181210356799,-3.79178292784965,0.000358712533762004,0.0836177795806271,0.0955257053778311,"C3orf38"
"ILMN_1778104",-0.667273196757586,7.28504951086474,-3.78907007245723,0.000361861473134971,0.0837223227731604,0.0879628440740277,"ACADM"
"ILMN_1700276",-0.398649603524047,8.67561877032941,-3.78005668051116,0.000372515232416108,0.0847297266254802,0.0628573885461226,"JKAMP"
"ILMN_1722811",-0.502375552505383,10.349453326986,-3.77738493860771,0.000375730573121187,0.0847297266254802,0.0554221501978089,"CDKN1B"
"ILMN_2155228",-0.508634739700892,10.1782497627866,-3.77713023352647,0.00037603848664561,0.0847297266254802,0.0547134823174744,"CRLF3"
"ILMN_1729318",-0.481372790782622,10.1885373737047,-3.77621455978694,0.000377147446192829,0.0847297266254802,0.0521660199490022,"TOR1AIP1"
"ILMN_1692831",0.490019574740598,5.01287501010549,3.77326958957935,0.00038073535683788,0.0849204191945669,0.0439753001031002,"H1-1"
"ILMN_1658337",-0.648433897541262,8.89601908150454,-3.76259079447087,0.000394021963139694,0.0872561637372852,0.0143052657252083,"AKIRIN1"
"ILMN_1772946",-0.527581430382965,8.49994078303773,-3.75840448327207,0.000399350900622372,0.0878090494467759,0.00268704707515965,"STRN3"
"ILMN_1867119",0.406001100478509,4.66386967071036,3.75196489095133,0.000407683190649677,0.088627656319213,-0.0151702741160147,NA
"ILMN_2342455",0.610004916157624,12.5871781694253,3.75111805384538,0.000408791241287858,0.088627656319213,-0.0175172961856331,"PPA2"
"ILMN_1670570",-1.01058555980393,7.80920448126862,-3.73658829084509,0.000428258262007554,0.0913964631551663,-0.0577395052842444,"MXI1"
"ILMN_2232478",-0.721884954888646,8.93437180624932,-3.73364749379167,0.000432304957996206,0.0913964631551663,-0.0658695101782572,"APOBEC3G"
"ILMN_1675974",-0.336013771513084,4.69065151018562,-3.73237129226722,0.000434072451021305,0.0913964631551663,-0.0693964992474703,NA
"ILMN_2198515",-0.767693399556303,8.50172384823188,-3.73160397295783,0.000435138489499944,0.0913964631551663,-0.0715167764202134,"ARRDC3"
"ILMN_1720422",-0.471129523504803,8.55751642882239,-3.73076841599832,0.000436302181948992,0.0913964631551663,-0.0738253245534857,"G3BP2"
"ILMN_1682960",0.720054937947285,5.4128977982647,3.72170916237793,0.000449111950539938,0.0914173918859918,-0.0988358902852706,"DTNBP1"
"ILMN_1781135",-0.615667857150928,6.24588877544968,-3.71917262065205,0.00045276264670983,0.0914173918859918,-0.105832429404039,"STAM2"
"ILMN_1798705",-0.843111755390705,6.96447750413014,-3.71785398966575,0.000454671680070797,0.0914173918859918,-0.109468519223475,"CCNC"
"ILMN_2319766",0.762434385951945,5.65453511254217,3.71575399524317,0.000457727838448969,0.0914173918859918,-0.11525766008777,"RUFY2"
"ILMN_2395969",-0.832652788264792,9.77313313509849,-3.71477329876605,0.000459161789014263,0.0914173918859918,-0.117960538756014,"PRDX3"
"ILMN_1808354",-0.738825437261618,6.07962973530728,-3.7131223139621,0.000461585535703244,0.0914173918859918,-0.122509854226799,"SLC4A7"
"ILMN_1658411",0.553651326398911,8.96470523424332,3.71283347615345,0.0004620108238371,0.0914173918859918,-0.123305631274617,"CHD4"
"ILMN_1758084",0.572215508641636,4.89687842483578,3.71128085816506,0.000464303350117903,0.0914173918859918,-0.127582635276743,NA
"ILMN_1657278",-0.623701344626767,4.94557609400367,-3.70839560410246,0.00046859253135952,0.0914173918859918,-0.135527907173017,"DVL1"
"ILMN_1788988",-0.818027397681403,6.88471832220701,-3.70800883078444,0.000469170377568271,0.0914173918859918,-0.136592712590761,"THAP1"
"ILMN_1651433",-0.764511026642404,8.94308320921421,-3.70651049977352,0.000471415354620624,0.0914173918859918,-0.140717081760898,"DCK"
"ILMN_2318643",-0.648037201141119,7.18119122148949,-3.7062637536036,0.00047178604334286,0.0914173918859918,-0.141396193014589,"TGIF1"
"ILMN_1760338",-0.723561756699123,10.6988182473618,-3.7037039226252,0.000475648189908993,0.0915932970916056,-0.148439983344492,"SUMO2"
"ILMN_1690077",-1.05239647060732,8.37209762713032,-3.69383990254579,0.000490815307149001,0.0926777123096618,-0.175555996772882,"PPM1A"
"ILMN_1705663",-0.736706039112978,7.62392330495451,-3.69030368963594,0.000496364470898885,0.0926777123096618,-0.185266735705135,"DMXL2"
"ILMN_1701753",-0.896466248316007,8.97184211116096,-3.68941929244516,0.000497761653395768,0.0926777123096618,-0.187694517847981,"HNRNPK"
"ILMN_1785268",-0.713506358063693,8.98416162003643,-3.68925711527686,0.000498018270836115,0.0926777123096618,-0.188139677884096,"CD58"
"ILMN_2413599",-0.595862175498556,5.76508605444147,-3.68613278169126,0.000502986759019748,0.0926777123096618,-0.19671343197516,"CALML4"
"ILMN_1666713",-0.777298284750998,7.73235996243489,-3.68202712912607,0.000509587905360087,0.0926777123096618,-0.207973661364583,"LYPLA1"
"ILMN_1662049",-0.59477250124524,6.48338323820094,-3.68096993440986,0.000511301047943491,0.0926777123096618,-0.210871953893189,"AGPAT5"
"ILMN_2363621",-0.561210698091192,6.96573979874394,-3.67968411568343,0.000513392089223985,0.0926777123096618,-0.214396361963252,"RBBP8"
"ILMN_2278235",-0.797607222896769,6.56335443470591,-3.67882575732102,0.000514792528523811,0.0926777123096618,-0.216748707411297,"CTBP1"
"ILMN_1791483",-0.739567330417985,6.65766624843351,-3.67832501917709,0.000515611185008706,0.0926777123096618,-0.218120840422159,"PDE4D"
"ILMN_1662129",-0.498688710370836,8.59229361437083,-3.67797421329508,0.000516185458642777,0.0926777123096618,-0.219082060861333,"RCN2"
"ILMN_1911237",0.34975076919454,4.7370176434134,3.67613865668874,0.000519200272485673,0.0926777123096618,-0.224110675675747,NA
"ILMN_1753111",-1.24462187879902,11.2236758827866,-3.67556816962,0.000520140694187052,0.0926777123096618,-0.225673259098178,"NAMPT"
