"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1879041",0.444100389788569,4.77417704034218,4.36363720389084,5.32789379634608e-05,0.999839582035401,-2.23111481922169,NA
"ILMN_1708351",0.543862162243501,4.95834720963696,4.03162934122212,0.00016366834900886,0.999839582035401,-2.53653823407084,NA
"ILMN_2366246",-0.399387925187775,8.70976758932199,-3.9465716143002,0.000216754594133508,0.999839582035401,-2.61389813117449,"SEC23B"
"ILMN_1900675",0.417461401490168,4.75921353592144,3.91707096453586,0.000238776995027953,0.999839582035401,-2.6406248636321,NA
"ILMN_1916543",0.381629355042273,4.74938377942554,3.88729730702107,0.000263178812719788,0.999839582035401,-2.66754117528731,NA
"ILMN_1711171",0.387199746551142,4.69616709484905,3.71010852307296,0.000466041577036357,0.999839582035401,-2.82640665895107,"CREB3L4"
"ILMN_1749716",0.417244410776419,4.83100078868679,3.68004564232016,0.000512803337724585,0.999839582035401,-2.8531161424501,NA
"ILMN_2227133",-0.545174354972223,5.10642555616323,-3.66946521236387,0.000530303563459308,0.999839582035401,-2.86249816790996,"CMTR1"
"ILMN_1669692",-0.682240069821266,6.08833643882218,-3.62452851500696,0.000611195268863026,0.999839582035401,-2.90223642849119,"IKZF3"
"ILMN_1661588",0.366546024054676,4.77989650036451,3.57693334041852,0.000709662211965415,0.999839582035401,-2.94412732016085,"GSTTP2"
"ILMN_1810051",0.425479573673556,4.82705760540278,3.56382699266207,0.000739327030480051,0.999839582035401,-2.95562583241325,"EPB41L4B"
"ILMN_1669118",0.413334745678389,4.88817815907231,3.5332298907397,0.000813245817859535,0.999839582035401,-2.98240536663879,"FUNDC2"
"ILMN_1785109",0.329161897111539,4.75768675950532,3.5110883655238,0.000871068313008602,0.999839582035401,-3.00172727213842,"RSPH10B"
"ILMN_1902604",0.608977627239212,5.08960106078945,3.50168708654732,0.000896784309488627,0.999839582035401,-3.00991658449794,NA
"ILMN_1654772",0.405823950481098,4.81708290777091,3.49332813004024,0.000920253921848975,0.999839582035401,-3.01719047000017,NA
"ILMN_1703013",-0.473241307865296,4.96013989698815,-3.47741737372686,0.000966549292974437,0.999839582035401,-3.03101622419919,"NOC4L"
"ILMN_1789109",0.523061593087852,4.95637979436752,3.43625731208936,0.00109679396891246,0.999839582035401,-3.0666607903385,NA
"ILMN_1721088",-0.408434638987349,4.6830053682135,-3.4212344283482,0.00114835253924182,0.999839582035401,-3.07962594418605,"MS4A15"
"ILMN_2075603",0.364440315147003,4.67533900309681,3.39688244217974,0.00123683987129654,0.999839582035401,-3.10059049054825,"MRGPRF"
"ILMN_1816990",0.375316437967057,4.82559355924992,3.38249183777876,0.00129212759877692,0.999839582035401,-3.11294870309091,NA
"ILMN_1849433",0.277301115845611,4.62403081885161,3.37963295080737,0.00130338632984849,0.999839582035401,-3.11540108953554,NA
"ILMN_1874016",0.431321226559177,4.86632531477244,3.36363720665024,0.00136811294665393,0.999839582035401,-3.12910552510806,NA
"ILMN_1702255",0.305471673675861,4.65171959523062,3.36351198950167,0.0013686314328708,0.999839582035401,-3.12921269185039,"KCNT1"
"ILMN_1773060",-0.479807066489818,4.80561595048441,-3.36049188156601,0.00138119324357652,0.999839582035401,-3.1317969049347,"CCDC63"
"ILMN_1696320",0.54552213116466,4.95714736749312,3.35818960642564,0.0013908424909676,0.999839582035401,-3.13376619598549,NA
"ILMN_1832508",0.744259417611738,5.08153492317037,3.34822365116953,0.00143335179226893,0.999839582035401,-3.14228378929826,NA
"ILMN_1705763",-0.450799368142175,4.94373016901715,-3.31214466284899,0.00159774446918473,0.999839582035401,-3.17302360186653,"SCT"
"ILMN_1662316",-0.538562999525411,6.6445832572574,-3.28172432119357,0.00175003176029644,0.999839582035401,-3.19882318145196,"VPS33A"
"ILMN_1717794",-0.353174713362526,4.76454718586287,-3.27315738324781,0.00179532920925915,0.999839582035401,-3.20606879865192,NA
"ILMN_1795499",0.529276938391386,5.02481283963099,3.26391198055694,0.00184545316906566,0.999839582035401,-3.21387824144416,"MAML3"
"ILMN_1769752",0.505001852200908,4.91021735643603,3.26290110270442,0.00185101293700034,0.999839582035401,-3.21473148137289,"FER1L5"
"ILMN_1708987",-0.440468733437229,5.01831786451686,-3.26258191109356,0.00185277174852272,0.999839582035401,-3.21500087176762,"HSD11B1L"
"ILMN_1665060",-0.535889697347816,5.28998106659013,-3.2612141327911,0.00186032633898336,0.999839582035401,-3.21615510407326,"CCDC121"
"ILMN_1866314",0.38676202822067,4.86120667540157,3.25467303650277,0.00189685755933542,0.999839582035401,-3.22167179186851,NA
"ILMN_1800796",0.521399449369698,6.41363187482601,3.25319011597488,0.00190523295223821,0.999839582035401,-3.22292173920011,NA
"ILMN_2179533",-0.392630000015425,4.74704895459061,-3.2497820400391,0.00192461366470284,0.999839582035401,-3.22579336431476,"C4A"
"ILMN_1666468",-0.392705815706417,4.69433604020522,-3.22579637294023,0.0020663568774358,0.999839582035401,-3.24596275824723,"ROBO1"
"ILMN_1811450",-0.381249175856157,4.82410450310571,-3.22090012977155,0.00209647365309375,0.999839582035401,-3.25007112851975,"FAM151B"
"ILMN_1791728",0.376045349756424,7.7411289254519,3.21227066331333,0.00215056117533292,0.999839582035401,-3.25730462364092,"SLC25A25"
"ILMN_1906333",0.308321296858309,4.62516670698066,3.18586335064263,0.00232434188464136,0.999839582035401,-3.279381075882,NA
"ILMN_1663179",0.429075004909697,4.84268232562254,3.18241751526167,0.00234796767063444,0.999839582035401,-3.28225516504554,"PROCA1"
"ILMN_1879153",0.284743741336777,4.7527269517407,3.1711720233028,0.00242664921505968,0.999839582035401,-3.29162402289387,NA
"ILMN_1666050",0.281611494025107,8.58551676989826,3.154362981735,0.0025488852007405,0.999839582035401,-3.30559710901251,"TMUB1"
"ILMN_1705177",0.255996198242012,4.68268673414752,3.1509754839759,0.00257420857955501,0.999839582035401,-3.3084085675793,NA
"ILMN_1714181",0.41282592499661,4.8612152508718,3.14833910696003,0.0025940800302774,0.999839582035401,-3.31059557899345,"MEGF8"
"ILMN_1814443",0.279959508129397,4.71390904727766,3.147072668021,0.00260367677178401,0.999839582035401,-3.31164582733431,"WNT1"
"ILMN_1762787",-0.489015724647225,6.38112141556152,-3.14591328402264,0.00261249146416828,0.999839582035401,-3.31260710871855,"RNF26"
"ILMN_1694699",0.322903766768061,4.65110868912123,3.14482857835947,0.00262076371775797,0.999839582035401,-3.31350630990609,"H2AC15"
"ILMN_1663002",0.326877590854365,9.18320466287456,3.12884063014134,0.00274557659632447,0.999839582035401,-3.32674177670536,"STOML2"
"ILMN_2120022",-0.43321389220794,5.90692628643898,-3.12495595412704,0.00277673324356265,0.999839582035401,-3.32995248100787,"ARL5B"
"ILMN_1677452",0.572451466339196,7.17973357021011,3.1154352084366,0.00285449988403067,0.999839582035401,-3.33781279176097,"REXO4"
"ILMN_1793920",0.383040317039239,4.75138309692233,3.07624615273334,0.00319657969662066,0.999839582035401,-3.3700365134492,NA
"ILMN_1737164",-0.45680266052111,6.57851148489141,-3.07571103321025,0.00320150560629528,0.999839582035401,-3.37047505085664,"TM9SF1"
"ILMN_1857345",0.388505611168287,4.77627627483518,3.07368499099734,0.00322022020265256,0.999839582035401,-3.37213505614904,NA
"ILMN_1661514",0.242608062026042,4.6605977222383,3.07079745877932,0.00324706918824854,0.999839582035401,-3.37449991672616,"MYMK"
"ILMN_1779887",0.258497254002375,4.69522667241492,3.05729870277825,0.00337538195748283,0.999839582035401,-3.38553972426406,NA
"ILMN_1741719",0.477109652050286,5.2445820752659,3.05480759477293,0.00339957292959175,0.999839582035401,-3.38757423881776,"TEX13A"
"ILMN_1904228",0.367168165040028,4.81876795941314,3.04697929551712,0.00347665100891762,0.999839582035401,-3.39396196461236,NA
"ILMN_1859877",0.34628383172339,4.89057806000018,3.04130803837512,0.00353350649216374,0.999839582035401,-3.39858414035538,NA
"ILMN_1761915",-0.552939749160215,5.76609962714811,-3.04095065212501,0.00353711827059181,0.999839582035401,-3.3988752626943,"BRWD1"
"ILMN_1772206",0.23066654652699,4.61129152126844,3.0354800529742,0.00359283645694676,0.999839582035401,-3.40332926177333,"CYP3A4"
"ILMN_1692588",-0.36837661649969,4.79257048117941,-3.03262982437516,0.0036221895739409,0.999839582035401,-3.40564813230425,"HEATR5A"
"ILMN_1694569",0.567301273274126,4.99473641004605,3.02910359744106,0.00365881409130275,0.999839582035401,-3.40851536051249,"TMEM242"
"ILMN_1676350",0.32314226569445,4.79190589211639,3.02789405609843,0.00367145613549237,0.999839582035401,-3.4094984442515,"HTR4"
