"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2368145",0.821054368345423,7.23743339452975,5.8937385869706,2.04016004974216e-07,0.00632510820221561,6.21114578554184,"POLR2M"
"ILMN_1749575",-0.605641857601571,4.69185170225117,-5.53322092493384,7.90734768741118e-07,0.0122575750176404,5.09580803725194,"CYP7A1"
"ILMN_1654866",0.948134964315164,5.22464731707194,5.22397112755288,2.48379982026758e-06,0.0256684152759186,4.15012171641111,"RANBP2"
"ILMN_1674694",0.464502559900317,4.65099875805516,5.07831139576133,4.22986820248084e-06,0.0307201857293706,3.70941578525053,"MIR924HG"
"ILMN_1682616",-0.668428810504078,4.77599951341054,-5.03480112792787,4.95438920900729e-06,0.0307201857293706,3.57845397220771,"IQUB"
"ILMN_1670245",0.66706632166347,4.96899941497759,4.90772901104911,7.84144251820065e-06,0.0405180403986291,3.19794191459613,"KLF3"
"ILMN_1689001",0.69367476317432,8.08691454103506,4.84287174352911,9.89683221620131e-06,0.0438330698855556,3.00492973858563,"CDK4"
"ILMN_1751403",1.00001359888458,5.90083743860376,4.64438187396418,2.00381096499552e-05,0.0776551891846952,2.41979313585838,"NUDT15"
"ILMN_1880516",0.388163423938143,4.65222194974044,4.53806415553095,2.91030422685861e-05,0.100253513272553,2.11013554944765,NA
"ILMN_1663381",0.593919333654408,5.03852409710506,4.4470948605355,3.99419500165258e-05,0.114959855421951,1.84745483259023,"TRAF3IP2"
"ILMN_1750901",0.862256904542079,5.03835412342138,4.37741522551578,5.08120680655629e-05,0.114959855421951,1.64774980633117,"GNAT1"
"ILMN_1817084",-0.455021682822358,4.73948117901129,-4.36610056508918,5.28295042866079e-05,0.114959855421951,1.61544867670927,NA
"ILMN_1858006",0.307388303443057,4.69008782435612,4.33823787986991,5.81350451494572e-05,0.114959855421951,1.53606105062334,NA
"ILMN_2278152",-0.745319037961684,5.41905188659103,-4.31107323352972,6.38041428698963e-05,0.114959855421951,1.45887717347872,"TPM1"
"ILMN_1833381",-0.49612238418847,4.70804593069062,-4.29888576142477,6.65187129848962e-05,0.114959855421951,1.42431832850701,NA
"ILMN_1652215",0.724167367821736,6.14488023050597,4.29178636592706,6.8151315677683e-05,0.114959855421951,1.40420737806896,"UQCR10"
"ILMN_1778352",0.341416600115852,4.69773258188714,4.28514886474941,6.9712830582233e-05,0.114959855421951,1.38541833578873,"ABCC6"
"ILMN_1773060",-0.609846894087237,4.80561595048441,-4.27127001603237,7.30909063544575e-05,0.114959855421951,1.34617320328951,"CCDC63"
"ILMN_1870089",-0.42340481974499,4.6745936405503,-4.24477828152222,7.99851288263581e-05,0.114959855421951,1.27142295208147,NA
"ILMN_1743673",-0.343907151962082,4.71533752285154,-4.24216814021332,8.06975565261157e-05,0.114959855421951,1.26406953779787,"FAM86C2P"
"ILMN_1770787",1.15859834833365,5.7749416436239,4.23245719111774,8.34025373027486e-05,0.114959855421951,1.2367296001527,"DDAH2"
"ILMN_1859334",0.401377803966659,4.73971379979604,4.21934922744043,8.7193498061462e-05,0.114959855421951,1.19987154409677,NA
"ILMN_1758633",-0.454354656057639,10.825008717923,-4.21701128830964,8.78869783025045e-05,0.114959855421951,1.19330308227047,"YJU2B"
"ILMN_1653709",0.83172812043486,7.13364921388499,4.21332071862694,8.89925662073617e-05,0.114959855421951,1.18293782318881,"TIMM9"
"ILMN_1674089",-0.407426413046223,4.62066509099823,-4.1692787055379,0.000103271448267582,0.128068988425593,1.05956955002502,"PRAMEF8"
"ILMN_1696839",0.763330109179066,12.7159989847888,4.11873607507095,0.000122396265213687,0.139795132148803,0.918749868266831,"RPS27"
"ILMN_1775943",0.68328277514976,5.19730440043207,4.11101770238064,0.000125603080025273,0.139795132148803,0.897317898163124,"BRMS1L"
"ILMN_1665537",-0.380981888143743,4.62059719571944,-4.10947347660474,0.000126254352809937,0.139795132148803,0.89303230863356,"INTS6L"
"ILMN_1806059",-0.37321658011676,4.67432861254111,-4.08703123164747,0.000136095830097929,0.141185179947133,0.830838187584058,"SPRR2B"
"ILMN_1752404",-0.569370720492781,4.92052893591842,-4.07871675599781,0.000139926878132879,0.141185179947133,0.807838538474242,"CBFA2T2"
"ILMN_1869712",0.330804381434374,4.70040268512743,4.06770176538866,0.000145162974803199,0.141185179947133,0.777404100050886,NA
"ILMN_1687046",-0.506925615357918,4.61965486312736,-4.05780958885708,0.000150026228771085,0.141185179947133,0.750106585961253,"OR10A2"
"ILMN_2317186",-0.487507150209626,4.80639878666865,-4.05091989196895,0.00015350593786076,0.141185179947133,0.731113861631117,"ANK1"
"ILMN_1812112",-0.546118667609047,4.87289804153256,-4.03361564907053,0.000162592680200849,0.141185179947133,0.683482295465208,"ADAM21"
"ILMN_1741564",0.550221652052571,7.56426840202737,4.02867203156471,0.000165282589560095,0.141185179947133,0.669893210384319,"DCTN4"
"ILMN_1860168",0.608057942741598,4.89889811616059,4.02647099383534,0.000166493982175693,0.141185179947133,0.663845650739521,NA
"ILMN_1784176",0.511003859093012,4.90952068780511,4.02286880258829,0.000168495037836465,0.141185179947133,0.653951863263453,"ABCA5"
"ILMN_1695814",0.387292899081631,4.77568075254873,4.00982818329365,0.000175935104938053,0.143539896273538,0.618171695175652,NA
"ILMN_1850115",0.496171060548603,4.81299400325321,3.97538487404109,0.000197141400598574,0.156717303660451,0.523950990298431,NA
"ILMN_1835135",-0.404687545674802,4.811307916098,-3.92605757364983,0.000231849933999401,0.170329790081753,0.389741768778677,NA
"ILMN_1697301",-0.409487610999127,4.80638847994689,-3.92439219638451,0.000233118866329457,0.170329790081753,0.385225787494423,"ST8SIA3"
"ILMN_1700994",0.69293486793308,6.5156737745142,3.92295147452677,0.000234222013375362,0.170329790081753,0.38131980722566,"KREMEN1"
"ILMN_1663415",0.428007665884578,4.6236435536333,3.9144842402282,0.000240807532848744,0.170329790081753,0.358379196020012,"RPL7"
"ILMN_1691062",0.376020238711783,4.68703078323625,3.90902087695814,0.000245150936814957,0.170329790081753,0.343590859650694,NA
"ILMN_1864808",-0.535317201426052,4.78658509154696,-3.90622256618067,0.000247404702930073,0.170329790081753,0.336020532547697,NA
"ILMN_1884638",-0.440890730581206,4.68706325497038,-3.89971534077569,0.000252722973381951,0.170329790081753,0.31842741558051,NA
"ILMN_1733831",-0.576348202025046,4.70713775392661,-3.89020979775242,0.000260689815106374,0.171960985909424,0.2927557309413,"PGBD5"
"ILMN_2252621",-0.485696778310438,4.70594096483534,-3.83758326108044,0.000309357004069883,0.193867268280363,0.151230196926287,"ACOT7"
"ILMN_1799100",0.522742652223491,4.89227333307006,3.83406176803501,0.000312907780444355,0.193867268280363,0.141796923496434,"PTX4"
"ILMN_1815083",0.764018841070663,5.82739132129746,3.81657281748965,0.000331129807703479,0.193867268280363,0.0950173840686874,"NELFA"
"ILMN_1751911",-0.458288543661654,4.66832478608701,-3.81169095705843,0.000336395461811017,0.193867268280363,0.0819800565707842,"MESP2"
"ILMN_1757186",1.01570381222766,8.63373292175883,3.80897152371356,0.000339363441413337,0.193867268280363,0.0747215657175913,"GIMAP1"
"ILMN_1780773",-0.399078912362573,8.70809840526988,-3.80352714809013,0.000345381104066109,0.193867268280363,0.0601983559178709,"LINC00938"
"ILMN_1693421",0.669392415539375,8.13630648108069,3.76795318525394,0.000387295446183301,0.193867268280363,-0.0344171823571147,"RPN2"
"ILMN_1717904",-0.49727256829455,4.78486081882612,-3.76527910899742,0.000390635897927537,0.193867268280363,-0.0415096052257979,"SORBS3"
"ILMN_1723171",-0.386750445883498,4.71458621249621,-3.76499089564336,0.00039099757778729,0.193867268280363,-0.0422738642107303,"FAM186A"
"ILMN_1822990",-0.824950946476953,4.96729803362311,-3.76354936545393,0.00039281138119745,0.193867268280363,-0.0460959025351393,NA
"ILMN_1723686",-0.677682363662006,4.8571647472376,-3.75734928581389,0.00040070496643478,0.193867268280363,-0.0625254082703925,"GUCY2F"
"ILMN_1685286",0.867700594721518,6.47201239280999,3.75497815480243,0.000403763752910635,0.193867268280363,-0.0688046677483598,"PPP1R12C"
"ILMN_2223130",0.736358000344525,7.56717948602706,3.75179690609215,0.000407902762700829,0.193867268280363,-0.0772258362701619,"SMARCA5"
"ILMN_1654068",0.580922099601773,5.33832717375219,3.75062952092269,0.000409431777840338,0.193867268280363,-0.0803150587400658,"NUDT1"
"ILMN_1741346",-0.821872732541995,5.06740860774628,-3.74484122716197,0.000417094624441606,0.193867268280363,-0.0956245811279359,"EPHB3"
"ILMN_1840742",-0.55702322611754,5.12427560431203,-3.74433128091078,0.000417776264098843,0.193867268280363,-0.0969727129981681,NA
"ILMN_1804656",0.492607160446249,7.70190125166137,3.73732800611992,0.00042724609845188,0.193867268280363,-0.115476738701243,"COX14"
"ILMN_1799591",0.444201860010381,4.74952966340247,3.73357799000929,0.0004324010405074,0.193867268280363,-0.125377068583,NA
"ILMN_1688205",-0.517200722777853,4.85094443902491,-3.72710825085377,0.000441434957770836,0.193867268280363,-0.142444608248154,"KLK10"
"ILMN_1708351",0.50248604840791,4.95834720963696,3.72490979692217,0.000444545664220439,0.193867268280363,-0.14824048114775,NA
"ILMN_1674593",0.325294394080073,4.66643631314711,3.71859114080183,0.000453603530081027,0.193867268280363,-0.164887928008883,"SIGLEC11"
"ILMN_1758846",0.432741025984899,4.92397892896293,3.71773722812112,0.000454841091127072,0.193867268280363,-0.16713647158362,"ANKRD40"
"ILMN_1800020",-0.500831571992755,4.7497697109001,-3.71665268392131,0.000456417562105382,0.193867268280363,-0.169991901252828,"GART"
"ILMN_1728327",0.424924632856966,4.71289664796919,3.71532604873872,0.000458353043540717,0.193867268280363,-0.173484080423145,NA
"ILMN_1685279",-0.615262590444734,4.90475622832709,-3.70936477906052,0.000467147556674695,0.193867268280363,-0.189167616141036,"ERCC6L2"
"ILMN_1807074",0.520988208216092,10.4945436095408,3.7066302754449,0.00047123551517603,0.193867268280363,-0.196357087701239,"MIF"
"ILMN_1689241",-0.475723676904422,4.80560463855277,-3.70095890447254,0.000479823344461116,0.193867268280363,-0.211258538294149,"RAD17"
"ILMN_1811736",0.488376408175808,4.7694651053924,3.69807204312166,0.000484252059874711,0.193867268280363,-0.218838774269924,"ENTHD1"
"ILMN_2154053",0.562096075427039,7.97008383637997,3.69731804458332,0.000485415188929432,0.193867268280363,-0.220818050390986,"KDSR"
"ILMN_1743714",-0.497384364116736,4.67305363739305,-3.69533389355562,0.000488488752687703,0.193867268280363,-0.226025433963216,"CARD10"
"ILMN_1775780",-0.483599439763106,4.89582787467021,-3.69288979239758,0.000492300399301204,0.193867268280363,-0.232437775259903,"UTS2"
"ILMN_2156953",0.682038334505224,7.76378969015971,3.68279842079986,0.000508341521708178,0.193867268280363,-0.258887990969835,"ZFAND6"
"ILMN_1734427",-0.355392369626162,4.72731995906882,-3.68202079643823,0.000509598150873412,0.193867268280363,-0.260924493727331,NA
"ILMN_1754045",-0.650473020613124,5.96558584676071,-3.68084742395179,0.000511499927014624,0.193867268280363,-0.263996949050012,"FANCL"
"ILMN_1872883",-0.514454937070556,4.699111520624,-3.67673926267526,0.000518211957752897,0.193867268280363,-0.274749703205965,NA
"ILMN_1780618",-0.575182211752927,5.65394643692068,-3.66859171879952,0.000531773573151635,0.193867268280363,-0.296054924942471,"TMEM192"
"ILMN_1786908",-0.510577959417918,4.71579754987142,-3.65839016459436,0.000549232771724244,0.193867268280363,-0.322693112601688,"KRTAP26-1"
"ILMN_1810418",-0.715362866489476,6.28845568861376,-3.65832183087277,0.00054935154605449,0.193867268280363,-0.322871401566194,"LBR"
"ILMN_1782417",0.410467450815916,10.2791871556327,3.64476417667615,0.000573408567249442,0.193867268280363,-0.358206707468501,"TMA7"
"ILMN_1774997",0.351154943580969,4.75785877076083,3.64343222577782,0.000575825561249875,0.193867268280363,-0.361674096564854,"BCL2L11"
"ILMN_1662640",0.787156060373193,5.33697448989713,3.63618379241127,0.000589150252077358,0.193867268280363,-0.380530696963704,"MT1E"
"ILMN_1823906",-0.402561259562123,4.75428561012959,-3.6303969052163,0.000599999049365002,0.193867268280363,-0.395569544811313,NA
"ILMN_1695856",0.585289664300753,4.93314199789021,3.62970517647924,0.000601308537157906,0.193867268280363,-0.397366268235386,"BOD1L1"
"ILMN_1862521",0.554568192514266,7.07934404756081,3.62949519565899,0.000601706584134125,0.193867268280363,-0.397911641448271,"DENND1B"
"ILMN_1802252",0.628272378064408,9.44579151413093,3.6233882198639,0.000613393839582661,0.193867268280363,-0.413764998906451,"GAPDH"
"ILMN_1655904",-0.761912592550597,4.75968492186482,-3.62327793915254,0.000613606868574978,0.193867268280363,-0.414051138946217,"ROR1"
"ILMN_2161357",-0.481402364707339,9.38311352505389,-3.62300669433435,0.000614131132046011,0.193867268280363,-0.414754903281875,"PNISR"
"ILMN_1687943",-0.362265491644743,4.71623489614494,-3.62031678877883,0.000619353391637315,0.193867268280363,-0.421732402259151,NA
"ILMN_1738971",-0.398009940564396,4.78085088620287,-3.61979111082225,0.000620378896557715,0.193867268280363,-0.423095636607101,"USP54"
"ILMN_1750792",-0.61500366948436,5.20550339700227,-3.61832120739661,0.000623255026879418,0.193867268280363,-0.426906908996858,"VAC14"
"ILMN_2367681",0.861082449751129,6.00825518768855,3.61714917866776,0.000625557425797575,0.193867268280363,-0.429945185420149,"SPAG1"
"ILMN_1775357",-0.818057907893865,5.44874507345786,-3.61439309836039,0.000631003652760873,0.193867268280363,-0.43708757805295,NA
"ILMN_1833117",-0.582282014421648,4.90420246995865,-3.6063987663131,0.000647058197646431,0.193867268280363,-0.457786976723481,NA
"ILMN_1901206",-0.347505585784433,4.67857306760648,-3.6045078081105,0.000650912292707755,0.193867268280363,-0.462679247778476,NA
"ILMN_1775520",0.38556051521423,4.69092528679043,3.60151647933473,0.000657053886337491,0.193867268280363,-0.470415327481995,"CFAP263"
"ILMN_1826205",-0.296333819638946,4.69901415789089,-3.59565612252436,0.000669246556713853,0.193867268280363,-0.485560307584491,NA
"ILMN_1779832",-0.319179546244776,4.78012844031234,-3.59485256584231,0.000670935110967855,0.193867268280363,-0.487635821688166,"KTN1-AS1"
"ILMN_1782829",-0.416931265785005,7.47550709602479,-3.59095474231315,0.000679183618283745,0.193867268280363,-0.497699688482394,"BICRA"
"ILMN_1657347",0.388940596236945,4.8014951865207,3.58974090271058,0.000681772008957607,0.193867268280363,-0.500832417185207,"PODXL2"
