"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1805522",0.488150693268819,4.74502490706289,4.64799942336407,1.97840969778553e-05,0.591966355530564,-1.96294378487594,"KLHL31"
"ILMN_1715437",-0.5048580397671,4.74041764570862,-4.4600465089565,3.81876821940176e-05,0.591966355530564,-2.13821446446329,"KNL1"
"ILMN_2131392",0.476694770361606,7.17886837535848,4.11347177160783,0.000124574760492223,0.99998938432456,-2.45874980106031,"WDR70"
"ILMN_1916155",-0.370694374065245,4.70624894155419,-4.04058671665339,0.000158871284568333,0.99998938432456,-2.52549749130489,NA
"ILMN_1657278",-0.640933113824469,4.94557609400367,-3.81085204049495,0.00033730838495773,0.99998938432456,-2.73380469826785,"DVL1"
"ILMN_1705763",-0.505112819655862,4.94373016901715,-3.71120025446026,0.00046442266271989,0.99998938432456,-2.82300048785785,"SCT"
"ILMN_2344798",0.690285162171297,5.65585566619785,3.67751885285713,0.000516931801512097,0.99998938432456,-2.85296634353481,"APAF1"
"ILMN_1730101",-0.39426445104487,7.4688092817314,-3.6264405737959,0.000607525554342777,0.99998938432456,-2.89822362338681,"GSPT2"
"ILMN_1665060",-0.591695493343765,5.28998106659013,-3.60082627964587,0.000658478785364929,0.99998938432456,-2.92083119495217,"CCDC121"
"ILMN_1669775",-0.317692287460274,4.67854364556687,-3.53642469618178,0.000805210451578191,0.99998938432456,-2.97740248880304,NA
"ILMN_1684045",-0.460935668313354,6.65092863048038,-3.51534084862444,0.000859667971863943,0.99998938432456,-2.99583581299733,"CDCA4"
"ILMN_2198812",-0.677585540464726,5.2557994151495,-3.50387359421945,0.000890739757080061,0.99998938432456,-3.00584292221428,"FDX1"
"ILMN_1745779",0.753851475108849,5.18250107511342,3.50190546061419,0.000896178870654263,0.99998938432456,-3.00755912193716,"DYNLT2B"
"ILMN_1718331",-0.491886329559235,4.83883462118055,-3.4725594660759,0.000981119638064688,0.99998938432456,-3.03310190378846,"MMP16"
"ILMN_1904996",-0.391979019981512,4.72762585516511,-3.46480576874771,0.00100480838552173,0.99998938432456,-3.03983593315467,"LINC02995"
"ILMN_1907025",-0.353024103544454,4.73418166772084,-3.45671069458783,0.0010301190792208,0.99998938432456,-3.04685976045145,NA
"ILMN_1762528",-0.357494664298272,4.70500640331624,-3.45428283530606,0.00103782744032523,0.99998938432456,-3.04896499517624,NA
"ILMN_2354334",0.573906434600221,5.32774395303347,3.44803252972961,0.00105792462346214,0.99998938432456,-3.05438187806688,"ATXN2L"
"ILMN_1881619",-0.400336363797649,4.73728847606507,-3.41734815473367,0.00116205970075241,0.99998938432456,-3.08091445063851,NA
"ILMN_1743301",-0.622893796711186,4.93928506761496,-3.38996731496652,0.00126312162187604,0.99998938432456,-3.10450433544355,"MSR1"
"ILMN_2384561",0.45319377820993,4.96640939598109,3.38449314761921,0.00128430099440094,0.99998938432456,-3.10921067220231,"TJP2"
"ILMN_2289424",0.352371670119314,4.71045291163064,3.37066676535365,0.00133930192715372,0.99998938432456,-3.12108280439346,"ANKRD20A1"
"ILMN_1893854",-0.294744808931947,4.75441877656172,-3.35539841952006,0.0014026263775237,0.99998938432456,-3.13416805210418,NA
"ILMN_1657191",-0.474812178392575,4.79640287824724,-3.33993413175665,0.00146964333476934,0.99998938432456,-3.14739411827111,"KRTAP10-5"
"ILMN_1666050",0.297267050428302,8.58551676989826,3.32972268339653,0.00151554351211,0.99998938432456,-3.15611249689885,"TMUB1"
"ILMN_2079322",-0.410245135657516,4.76173048906283,-3.28668526628784,0.00172429598798657,0.99998938432456,-3.19272265638523,NA
"ILMN_1682616",-0.435126585146905,4.77599951341054,-3.27750059132988,0.0017722282041357,0.99998938432456,-3.20050706797644,"IQUB"
"ILMN_1781207",-0.411823391763407,8.51984722137666,-3.26997578760423,0.00181243158607467,0.99998938432456,-3.20687705078736,"FYN"
"ILMN_1699937",-0.378954935590668,4.84504593071028,-3.26244208191407,0.00185354273211431,0.99998938432456,-3.21324765588506,NA
"ILMN_2271336",0.321294276087606,4.68492742180087,3.22715530248448,0.00205807056526745,0.99998938432456,-3.24299339228006,"MARCHF2"
"ILMN_1773060",-0.460481221758489,4.80561595048441,-3.22513675893483,0.00207039029855598,0.99998938432456,-3.24469026708777,"CCDC63"
"ILMN_1740739",-0.29135529561859,4.65142428278631,-3.2113019290538,0.00215671425402625,0.99998938432456,-3.25630656234305,NA
"ILMN_1780236",0.443623474147035,8.0622593098916,3.20902351111867,0.00217125133470061,0.99998938432456,-3.2582172860507,"PMM1"
"ILMN_1738971",-0.351731855995256,4.78085088620287,-3.19890464021876,0.00223693352918773,0.99998938432456,-3.26669514651606,"USP54"
"ILMN_1821522",-0.349954207406053,4.77596182650729,-3.19708198220281,0.00224896126088754,0.99998938432456,-3.26822082303252,NA
"ILMN_1769309",-0.392432348216282,4.92053758268257,-3.19625219935466,0.00225445711539229,0.99998938432456,-3.26891526064714,NA
"ILMN_1671864",0.38623224299401,4.91733382910126,3.1887981369792,0.00230439631065213,0.99998938432456,-3.27514951701789,NA
"ILMN_1818988",0.364482343148581,4.76368063926643,3.18651953826321,0.00231986823488273,0.99998938432456,-3.27705380580514,NA
"ILMN_1663002",0.33186514196066,9.18320466287456,3.1765809861122,0.00238850018019979,0.99998938432456,-3.28535184981874,"STOML2"
"ILMN_2408080",0.614196878789434,5.55297029453622,3.15794992553357,0.00252232572783787,0.99998938432456,-3.30087276279889,"SNAP25"
"ILMN_1699965",-0.324508793310251,4.82412916693818,-3.15310247324349,0.00255828075776017,0.99998938432456,-3.30490351112281,"METTL21EP"
"ILMN_1915345",-0.435594605199517,4.93780905301005,-3.14330424454767,0.00263243021444906,0.99998938432456,-3.31304139049468,NA
"ILMN_1756953",0.463480184953363,4.97537496166069,3.11735907988757,0.00283862285992714,0.99998938432456,-3.3345278488207,"GBP6"
"ILMN_1840742",-0.463215492964369,5.12427560431203,-3.11375213597109,0.0028684578489633,0.99998938432456,-3.33750772130858,NA
"ILMN_1851025",-0.325989120671457,4.6350196065433,-3.10676312886176,0.00292710529188948,0.99998938432456,-3.34327662722245,NA
"ILMN_1761915",-0.560617565597532,5.76609962714811,-3.08317561594325,0.00313342892739148,0.99998938432456,-3.36269675873138,"BRWD1"
"ILMN_1855401",-0.317437525543069,4.72630783080028,-3.08115215621738,0.00315174781959406,0.99998938432456,-3.36435912787697,NA
"ILMN_1702055",-0.553771276748068,5.18173656600494,-3.08051327920871,0.00315755250464832,0.99998938432456,-3.36488387740221,"ROPN1B"
"ILMN_2398711",0.651428675167424,5.9822457125316,3.07850060873542,0.0031759045690212,0.99998938432456,-3.3665366367925,"SIRT2"
"ILMN_1654866",0.558356974738001,5.22464731707194,3.07639821827045,0.00319518118852813,0.99998938432456,-3.36826246789972,"RANBP2"
"ILMN_1754271",-0.398288562192515,4.76676544987602,-3.07170715261951,0.00323858813861521,0.99998938432456,-3.37211108590816,NA
"ILMN_1765212",0.596191034576598,6.75396760947402,3.05959009228217,0.00335327249605039,0.99998938432456,-3.38203778267945,"LARP1B"
"ILMN_1828625",-0.257458460306288,4.69854823823533,-3.05378263281623,0.00340957320071087,0.99998938432456,-3.38678809237826,NA
"ILMN_1806314",-0.279427608813243,4.67622570264681,-3.02354873425951,0.0037172100280188,0.99998938432456,-3.41144062372543,NA
"ILMN_1765584",0.329042686309787,4.72606645934148,3.01982226613753,0.00375687068641203,0.99998938432456,-3.41447004814671,"TMEM38A"
"ILMN_1754045",-0.531096886364411,5.96558584676071,-3.00533080403645,0.00391488320067453,0.99998938432456,-3.42623163686924,"FANCL"
"ILMN_1789541",-0.520448559615398,4.87339540183533,-2.99399618676905,0.0040427664530767,0.99998938432456,-3.43540961924273,"CRMP1"
"ILMN_1839284",0.342764589773576,4.65725047190902,2.98531615596508,0.00414331788670564,0.99998938432456,-3.44242528298517,NA
"ILMN_1758812",-0.38158174961926,4.85805609040613,-2.98173532686595,0.00418547334346509,0.99998938432456,-3.44531624390445,"LDHAL6A"
"ILMN_1700584",0.640487440234849,6.60524587733125,2.98009652300471,0.00420489906830752,0.99998938432456,-3.4466386861116,"IER2"
"ILMN_1899666",-0.336337652869956,4.71428226253226,-2.97687292117232,0.00424335540988097,0.99998938432456,-3.44923882215472,NA
"ILMN_1800670",-0.304034750863665,4.65680083183404,-2.97661150540115,0.00424648830172752,0.99998938432456,-3.44944961043578,NA
"ILMN_1711109",0.400560094405674,5.01938998016693,2.97546394211791,0.00426026654940777,0.99998938432456,-3.45037480836447,"TOM1L2"
"ILMN_1816296",-0.322975883560091,4.76661039995497,-2.97520965194837,0.00426332531470652,0.99998938432456,-3.45057979765313,NA
"ILMN_1662843",0.32178080438427,10.5109298400439,2.96767109181355,0.00435493736363655,0.99998938432456,-3.45665241184455,"CD53"
"ILMN_1850583",-0.387979541498925,4.87916585310561,-2.96555574512205,0.00438097105446219,0.99998938432456,-3.45835487741814,NA
"ILMN_1862336",0.34453491517356,4.77416297733783,2.95942880235304,0.00445719453705339,0.99998938432456,-3.46328214123075,NA
"ILMN_1694950",0.689489040443222,5.76215009186431,2.95731178569213,0.00448381703135288,0.99998938432456,-3.46498332183009,"MRPL28"
"ILMN_1657095",0.611156396982124,6.28246885657783,2.95729520350424,0.00448402614244224,0.99998938432456,-3.46499664418087,"STARD3"
"ILMN_1696056",-0.246368078230973,4.7254185480875,-2.94919807611839,0.00458722545786768,0.99998938432456,-3.47149701094214,"SLC8A3"
"ILMN_2325008",-0.426762850416096,7.11917219216387,-2.94661354981432,0.00462062752343308,0.99998938432456,-3.473569771874,"DHX40"
"ILMN_2304577",0.520881233900837,4.84853715321505,2.9455368623564,0.00463460904013198,0.99998938432456,-3.47443296325835,"KCNK7"
"ILMN_1695533",-0.414156370618179,4.69237070985444,-2.9385930498783,0.00472572731492556,0.99998938432456,-3.47999564391916,"OR10AG1"
"ILMN_1721088",-0.35002629502121,4.6830053682135,-2.93197955570761,0.00481405517341058,0.99998938432456,-3.48528685195734,"MS4A15"
"ILMN_1722850",-0.330561081218202,4.69192939377033,-2.92558015956025,0.0049009802779754,0.99998938432456,-3.49040037520504,"VGLL2"
"ILMN_1770356",0.354044063791302,7.36730721563389,2.9204531180829,0.00497167105204332,0.99998938432456,-3.49449265257665,"POLRMT"
"ILMN_2296284",-0.479641362965435,4.85927669745281,-2.90705109120297,0.00516094816872317,0.99998938432456,-3.50517058459248,"MRI1"
"ILMN_1887553",0.274982740801254,4.75028637074761,2.90226754825965,0.00523010868146851,0.99998938432456,-3.50897505516879,NA
"ILMN_1687821",-0.348711784763473,4.79878928632147,-2.89794367716916,0.00529336138216467,0.99998938432456,-3.51241085868049,"BMERB1"
"ILMN_1693286",-0.299966853690387,4.7899957195328,-2.89348856420041,0.00535927481580238,0.99998938432456,-3.51594788259128,NA
"ILMN_1657932",-1.11580169217151,5.65663080337221,-2.89211058437703,0.00537981548712295,0.99998938432456,-3.51704126329724,"MUC6"
"ILMN_1738529",0.441895577846941,6.73150705829767,2.88846760953378,0.00543447075400815,0.99998938432456,-3.51993040186298,"BCS1L"
"ILMN_1708132",0.333911612455229,4.86041731266938,2.88814155342585,0.00543938753788005,0.99998938432456,-3.52018888561972,"NUP50"
"ILMN_1828888",-0.350346297080384,4.89026557903241,-2.88251690474347,0.00552485589548822,0.99998938432456,-3.52464523152812,NA
"ILMN_1819347",-0.341496784822495,4.79185350066938,-2.88177697215493,0.00553619149522327,0.99998938432456,-3.5252310995313,NA
"ILMN_1796465",0.274544073309843,4.772695695107,2.88099741541824,0.00554815741700499,0.99998938432456,-3.525848247597,NA
"ILMN_1753472",0.478356609533765,7.66262356187015,2.87796852058073,0.00559487747950836,0.99998938432456,-3.52824520472874,"SUMF1"
"ILMN_1658110",-0.493370767583525,5.40459163166047,-2.87727122218578,0.00560568460087814,0.99998938432456,-3.52879681524221,"FAM210A"
"ILMN_1813694",0.28595206318636,4.64292523761095,2.87686220111508,0.00561203282598804,0.99998938432456,-3.5291203428457,NA
"ILMN_2041046",0.39881538547863,6.99654888497267,2.87163912541002,0.00569368484028356,0.99998938432456,-3.53324935495745,"CKS1B"
"ILMN_1751901",0.397913828936703,4.75781382422926,2.862270406569,0.00584290534660718,0.99998938432456,-3.54064473667969,"TMEM163"
"ILMN_1749984",-0.881124014167739,5.60168099293748,-2.8571993222163,0.00592517586802194,0.99998938432456,-3.54464183679442,NA
"ILMN_1821031",0.349615197421229,4.78678856984991,2.85623002837506,0.00594102257310887,0.99998938432456,-3.54540537789901,NA
"ILMN_1893667",-0.49473175197452,4.93432808882546,-2.84759076241925,0.00608400410809332,0.99998938432456,-3.55220409796129,NA
"ILMN_1891089",-0.266908617708032,4.76489544154015,-2.84494484935502,0.00612842647558871,0.99998938432456,-3.55428390496207,NA
"ILMN_1823952",-0.41611457156496,4.88867264420807,-2.84244464898134,0.00617067764649381,0.99998938432456,-3.55624813415385,NA
"ILMN_2367070",0.513894409247509,6.69951144292916,2.84040087594102,0.00620541530939116,0.99998938432456,-3.55785302843323,"ACOT9"
"ILMN_1799889",-0.278585790997705,4.76867907278211,-2.83664783362376,0.00626967592628826,0.99998938432456,-3.56079837870122,"ATP6V0D2"
"ILMN_2388190",-0.336468968290515,4.79083784910602,-2.8365223946637,0.00627183430188543,0.99998938432456,-3.5608967824178,"SCEL"
"ILMN_1804661",0.360591240567948,4.74266565407187,2.83624895791112,0.00627654159171713,0.99998938432456,-3.56111127781959,"KALRN"
"ILMN_2362477",-0.527349400511117,4.80221310639482,-2.82823421878843,0.0064159752889264,0.99998938432456,-3.56739296879349,"TRIM31"
"ILMN_1866460",0.414718217502528,5.06762026029366,2.82673470002275,0.00644237805809738,0.99998938432456,-3.56856707835921,NA
"ILMN_1802115",-0.417506019156117,4.95842344300971,-2.82342145753554,0.0065010719004564,0.99998938432456,-3.57116001252918,NA
"ILMN_1677452",0.516938608650183,7.17973357021011,2.81331927104322,0.00668309073581676,0.99998938432456,-3.5790548350678,"REXO4"
"ILMN_1773837",-0.283781274726829,4.79510317222022,-2.81233938982603,0.00670099380421796,0.99998938432456,-3.57981971524191,NA
"ILMN_1787954",0.346068462882436,4.8553536111085,2.81196166812309,0.0067079068283533,0.99998938432456,-3.58011451669472,"ALG1"
"ILMN_1796337",-0.329271414758249,4.74490700243258,-2.81111680366356,0.00672339326448184,0.99998938432456,-3.58077382507279,"CXCL17"
"ILMN_1787988",-0.535641057853034,4.95290014357198,-2.81024032062821,0.00673949410864479,0.99998938432456,-3.58145768317853,"UBE2D1"
"ILMN_1796923",0.520232257753968,5.67741706915641,2.80765835825497,0.00678713116891262,0.99998938432456,-3.58347146936161,"REXO5"
"ILMN_1824847",0.299917095086467,4.69891701058486,2.79912087571185,0.0069468661530159,0.99998938432456,-3.59012236863129,NA
"ILMN_1707236",-0.453771603597175,6.74644714947926,-2.79752174939322,0.00697716805566033,0.99998938432456,-3.59136678028169,"HCCS"
"ILMN_1768773",0.336699129315611,8.6803449569639,2.79466311787213,0.00703163998704696,0.99998938432456,-3.59359025625818,"EGLN2"
"ILMN_1841468",0.396390859779567,4.91734507120385,2.79167969052534,0.00708890751615716,0.99998938432456,-3.59590934766922,NA
"ILMN_1874186",-0.269077937280267,4.70170690268657,-2.79124177559718,0.00709734945141721,0.99998938432456,-3.59624962472614,NA
"ILMN_1701120",0.310958946295061,4.67500883636365,2.78937317933044,0.00713347559687744,0.99998938432456,-3.59770123735056,"BCL2"
"ILMN_1687359",0.351103556555621,7.50180859585421,2.78740458895343,0.00717171808271352,0.99998938432456,-3.599229898784,"MRPS23"
"ILMN_1892151",0.318583803192948,4.74401014869161,2.78139332549645,0.00728966629059798,0.99998938432456,-3.60389378432632,NA
"ILMN_2162454",0.414670778528371,4.608163276182,2.78125647726015,0.00729237208760783,0.99998938432456,-3.60399988854282,NA
"ILMN_1655880",-0.35491543582422,4.8601491979374,-2.77974485139562,0.00732232189408812,0.99998938432456,-3.60517170664701,"CHST11"
"ILMN_2179533",-0.335487558570149,4.74704895459061,-2.77681644921427,0.00738066459633103,0.99998938432456,-3.60744072228353,"C4A"
"ILMN_1675281",-0.248874414457603,4.73445779199544,-2.77263995349839,0.00746461347870985,0.99998938432456,-3.61067430083425,"PRECSIT"
"ILMN_1821030",-0.299465023261033,4.71755756252104,-2.77085011449751,0.00750085799733605,0.99998938432456,-3.61205915174996,NA
"ILMN_1831643",-0.286348253073288,4.63741888742807,-2.76837511407924,0.0075512438903595,0.99998938432456,-3.61397324058682,NA
"ILMN_1882500",0.278861101291093,4.91950180826542,2.7668844228089,0.00758174131214666,0.99998938432456,-3.61512559528667,"LINC01686"
"ILMN_1778352",0.220303397956194,4.69773258188714,2.76504673566572,0.00761949366915927,0.99998938432456,-3.61654567176474,"ABCC6"
"ILMN_1808591",0.451634228591216,7.03822874109835,2.75707435456921,0.00778528356089539,0.99998938432456,-3.62269971110894,"UBE2S"
"ILMN_1725554",-0.302652646168383,4.71035395896533,-2.75552780365789,0.00781782642512645,0.99998938432456,-3.62389227302089,"DNAJC5G"
"ILMN_1790253",-0.357626871110989,4.86637899755994,-2.75094410207568,0.00791501346154342,0.99998938432456,-3.62742441922839,"TRIM73"
"ILMN_1797298",0.367792143353364,7.47864335322204,2.74716093824221,0.00799606178706219,0.99998938432456,-3.63033697760377,"ARMC7"
