"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1704682",0.740049027675278,4.79226897825915,5.88472722629284,2.11090804083615e-07,0.00448704362136034,6.49237869040324,"APOL4"
"ILMN_2193706",-0.68314587636192,4.99223288746172,-5.80113235486268,2.89458673119398e-07,0.00448704362136034,6.22109578170006,"HRK"
"ILMN_1685544",0.449190967524471,4.74192094857058,5.67336573739192,4.68088845317416e-07,0.00459946539017337,5.80776314541455,"MPPED1"
"ILMN_1692100",-0.999158878555952,5.89409402881386,-5.61005577819663,5.93421977250378e-07,0.00459946539017337,5.60360067649411,"ZNF35"
"ILMN_2357334",0.627576734120375,4.71210433544136,5.37896628498355,1.40270397943707e-06,0.00869760629489751,4.86264236137091,"CPN2"
"ILMN_2337386",0.570818107424356,4.65676720993986,5.28089029582844,2.01479700116376e-06,0.0104107919045133,4.55047606336233,"CCR9"
"ILMN_1811277",0.615998669941833,4.83807171854243,5.05437211306615,4.61454540237087e-06,0.0184346371010074,3.8356732987153,"TRIM13"
"ILMN_1746317",0.950032103255199,5.22369602593793,5.0186379167963,5.25349291329261e-06,0.0184346371010074,3.72377893620956,"NUP58"
"ILMN_1701770",0.625538544748493,4.63334774550299,5.01353918340482,5.35147353188617e-06,0.0184346371010074,3.70783395377045,"SLC9B1"
"ILMN_1823347",-0.516284368263463,4.84347226633565,-4.95325299692847,6.65511629000549e-06,0.0192910969615493,3.519705525609,NA
"ILMN_1652753",-0.715941511336159,6.57502949505676,-4.94547333831958,6.84456557678424e-06,0.0192910969615493,3.49548327237894,"PAAF1"
"ILMN_1664216",-0.747416858060312,6.20871999592534,-4.91291340499166,7.69651827050282e-06,0.0198845963283666,3.39424615548851,"NKIRAS1"
"ILMN_1835609",0.462743210959518,4.79086000780335,4.84336784765547,9.87926581362496e-06,0.0235605290784473,3.17878507290555,"DNAH12"
"ILMN_1810780",0.453386322112832,4.69138993314939,4.81299831104226,1.10129380809329e-05,0.0241713302930584,3.08503732642208,NA
"ILMN_2367694",0.598140397921578,4.6842835333916,4.79617758412019,1.16946732379407e-05,0.0241713302930584,3.03320501615929,"HJV"
"ILMN_1744268",-0.718411076208254,7.15223702471232,-4.739107287582,1.43298778153329e-05,0.0245671408693419,2.8578436558228,"PLEC"
"ILMN_1702056",0.521037970052559,4.68981200497345,4.73473257046244,1.45543092298644e-05,0.0245671408693419,2.84443366096158,"ENTREP3"
"ILMN_1884150",-0.537170719804389,4.87560193976258,-4.72418046628247,1.51098929980209e-05,0.0245671408693419,2.81210710824091,NA
"ILMN_2356031",-0.612335753381663,6.83958442937454,-4.71457661571706,1.5633541828633e-05,0.0245671408693419,2.78270931004394,"RNF121"
"ILMN_1689000",0.492136208657526,4.62777638254246,4.71072971128745,1.58482346026784e-05,0.0245671408693419,2.77094015587294,"DUSP15"
"ILMN_1737312",-0.651722645810585,5.47288676700297,-4.6658134624786,1.8578422800346e-05,0.0261459380881385,2.63379784187831,"SLC25A17"
"ILMN_1868274",0.370649579273086,4.70001909115803,4.65522039501176,1.92864326544941e-05,0.0261459380881385,2.60152855476149,NA
"ILMN_1790529",0.409840734678468,4.64809012901975,4.65360455497941,1.93967221245423e-05,0.0261459380881385,2.59660880531281,"LUM"
"ILMN_1873389",0.588430449124205,4.69475797518131,4.60712372640335,2.2846692911344e-05,0.0279052367650214,2.45537849863314,NA
"ILMN_1814606",-0.54339560941417,4.95199830475961,-4.60263644294865,2.32098470510007e-05,0.0279052367650214,2.44177403660935,"GALNT2"
"ILMN_1773964",-0.503156451804933,7.52530831646952,-4.6002882158465,2.3402127403495e-05,0.0279052367650214,2.43465685337617,"H1-10"
"ILMN_1686319",-0.713869851192637,5.85488061326291,-4.55121591150925,2.77951169903586e-05,0.0319160004463736,2.2862631765683,"USP37"
"ILMN_1821522",-0.428443577758815,4.77596182650729,-4.5196578543523,3.10347441271028e-05,0.0343632204347346,2.19117923679341,NA
"ILMN_1785405",0.672862218296312,5.23724701633833,4.45916307427277,3.83049186453492e-05,0.0401244045851293,2.00969055797136,"SLC17A9"
"ILMN_2051381",-0.849352269827525,6.39717455243222,-4.43963568864984,4.09876147185986e-05,0.0401244045851293,1.95133106309473,"ALDH16A1"
"ILMN_1764778",0.419611668715094,4.72701964867538,4.43631580018174,4.14615364137129e-05,0.0401244045851293,1.94142030622146,NA
"ILMN_1707236",-0.622416456650245,6.74644714947926,-4.43084534853931,4.22541124918716e-05,0.0401244045851293,1.92509658773742,"HCCS"
"ILMN_1809590",0.77488283670659,5.39843112226324,4.42775097547778,4.27089427251965e-05,0.0401244045851293,1.91586693243866,"GINS2"
"ILMN_2359096",0.65541520134583,5.47714745146847,4.41488668828089,4.46514149243536e-05,0.0407155240264628,1.8775266107399,"SS18"
"ILMN_1890005",0.600449225361093,4.88071612847183,4.38700424018638,4.91611189379006e-05,0.0435281756313118,1.79459557323854,NA
"ILMN_1891857",-0.569410455232378,6.82140941563568,-4.37895167059212,5.05439577694812e-05,0.0435281756313118,1.77068816732748,"RAB2A"
"ILMN_1813766",-0.814564745035872,5.75835106117329,-4.36600614773852,5.28466623717666e-05,0.04407963683852,1.73229516824951,"RCL1"
"ILMN_2296422",0.550243145489185,4.7671683531665,4.35957677413047,5.40278747174067e-05,0.04407963683852,1.71324631205652,"SMC2"
"ILMN_1791270",0.535473036816005,4.62244934620145,4.32243209489337,6.13711630328155e-05,0.0479908446231684,1.6034436384222,"CDH10"
"ILMN_1831943",-0.539819692666832,5.40845740759926,-4.31608510484765,6.27193096598107e-05,0.0479908446231684,1.58472429323341,NA
"ILMN_2161556",-0.720816858680932,5.71077713839557,-4.31262825144396,6.34656204093121e-05,0.0479908446231684,1.5745342133168,"SPRING1"
"ILMN_2168766",-0.787835578555268,5.660572337894,-4.28129186254562,7.06361054892758e-05,0.0511735609237908,1.48233319125478,"BAGE2"
"ILMN_2207720",-0.678349320711586,4.93827353863919,-4.27988502709606,7.09758126543562e-05,0.0511735609237908,1.47820117973287,"ITM2B"
"ILMN_1747696",-0.547805448245492,4.81323990884251,-4.25593884382797,7.70070820317596e-05,0.0542602400961509,1.40796638323529,"TPM3"
"ILMN_2373763",-0.768066160947476,6.05725417973701,-4.24456323441821,8.00435938178253e-05,0.054642611874929,1.37466634427289,"CASP7"
"ILMN_1749612",-0.689117796057187,6.54932869551338,-4.24079527572911,8.10747394202733e-05,0.054642611874929,1.36364561195984,"IMMP1L"
"ILMN_1712357",-0.799328198945372,6.09484683436328,-4.19245966114277,9.54998507453291e-05,0.0629953589927114,1.22268543718623,"HNRNPK"
"ILMN_1701562",0.566179734013259,4.66456034098145,4.18280263520532,9.86660553333676e-05,0.0632289409558465,1.1946160294386,"PKHD1"
"ILMN_2212909",0.407940321869243,4.70112848303599,4.17419572234377,0.000101573446325016,0.0632289409558465,1.16962537474595,"MELK"
"ILMN_2059211",-0.682515587980199,6.44240923604572,-4.17099174867351,0.000102676784407429,0.0632289409558465,1.16032885144941,"TMEM94"
"ILMN_1685629",0.464070102559321,4.64570081632911,4.16715944552584,0.00010401174043635,0.0632289409558465,1.14921376091339,"KIR2DL5B"
"ILMN_1750051",-0.601420581693935,5.91985197956381,-4.1518115312894,0.00010952843248846,0.0653021152392253,1.10474922774512,"AMER1"
"ILMN_1752088",0.429946615636506,4.93288800199088,4.14587106619898,0.000111738814642381,0.06536299000675,1.08756067506239,"ZC4H2"
"ILMN_2218758",0.453216939410738,4.67078415247464,4.13359993302275,0.000116442246098351,0.0659739916810906,1.0520929279611,"NECAB1"
"ILMN_1694382",0.353011633561777,4.64520914862089,4.12512463362457,0.000119801975658158,0.0659739916810906,1.0276267820752,NA
"ILMN_1833458",0.437981382033967,4.85256462999165,4.12122691312308,0.000121378379347492,0.0659739916810906,1.01638336253483,NA
"ILMN_1710644",0.477867518004123,4.67847206689169,4.12010552003353,0.000121835621683976,0.0659739916810906,1.01314955410996,"MARVELD3"
"ILMN_1696434",0.520016974098876,4.64201605742738,4.11624314998395,0.000123423266055003,0.0659739916810906,1.00201482461635,"LAMA1"
"ILMN_1751439",-0.304738429856966,4.63183972797041,-4.10576771419472,0.000127830592691864,0.0671717265292519,0.971841658152074,"EMX2"
"ILMN_1874613",0.419251647108353,4.75620177322621,4.09559952744127,0.00013225394101104,0.0683378155527548,0.942590258497863,NA
"ILMN_1758392",0.37930258920337,4.65698825616474,4.07566546803085,0.000141358781795324,0.0712247245064992,0.885350671401889,"ANKS1B"
"ILMN_1829296",-0.305411642126166,4.70891294804682,-4.06952157993091,0.000144285044195475,0.0712247245064992,0.867737261301808,NA
"ILMN_1654570",0.62021902742047,4.87065463367215,4.0685916747773,0.000144733014350529,0.0712247245064992,0.865072565089156,"TEKT1"
"ILMN_1788608",0.398168368375967,4.72308863908173,4.05659082872648,0.000150636179855312,0.0729714606883473,0.830711212428837,NA
"ILMN_1680659",-0.391065843510412,4.98472275452929,-4.05053758963258,0.000153701288251511,0.0733107852255632,0.813398919823649,"JHY"
"ILMN_1722890",0.527661744954141,4.72780690754872,4.04014089881621,0.000159106796023293,0.0747392120774265,0.783695167220007,"PCDH7"
"ILMN_2316878",-0.66996148339715,6.25812407989813,-4.02202038349935,0.000168969709103432,0.0775504727389038,0.732017841485662,"PTPRO"
"ILMN_1876794",0.352699468310939,4.77676693414937,4.020019534058,0.00017009425366079,0.0775504727389038,0.726319018882434,NA
"ILMN_1768020",-0.788413539811619,5.5069219535304,-4.01166954431741,0.000174865659993394,0.0777878644245061,0.702552389180826,"HAUS8"
"ILMN_1662144",-0.479953395077129,5.14744135756533,-4.00832700648842,0.000176811639557937,0.0777878644245061,0.693045674030226,"CHKB"
"ILMN_1869614",0.274361990558678,4.65668201212644,4.00606214769726,0.000178142062837143,0.0777878644245061,0.686606387220766,NA
"ILMN_1725981",0.502996590501904,4.96573422724402,3.99116031789179,0.000187139507584089,0.0805817521337432,0.644285764509835,"HNRNPA3"
"ILMN_1737728",0.612757331860002,4.75721508733635,3.98228831875701,0.000192702672819337,0.0816151902432686,0.619128718622076,"CDCA3"
"ILMN_2138745",0.421414907690109,4.64418906741133,3.97900049557719,0.000194804505305999,0.0816151902432686,0.609813355584953,"ARMH4"
"ILMN_1732688",0.529724546063321,6.11277323526384,3.9641938624995,0.000204546995058291,0.0845542731705626,0.567911931659907,"DUT"
"ILMN_1811616",-0.598882612844927,6.66055187567147,-3.9518600378476,0.000213019264430842,0.0868609213707257,0.533071224172576,"EEPD1"
"ILMN_2125017",-0.530840450842989,5.3759202501791,-3.94801280383217,0.000215730443684349,0.0868609213707257,0.522215274992971,"TIGIT"
"ILMN_1905509",-0.380969998338113,4.6874159006526,-3.9424964856555,0.000219675899026563,0.0873155371476993,0.506659367646039,NA
"ILMN_1700202",-0.675223494452005,5.75715608734869,-3.93270401432567,0.000226851586739969,0.0890263258696108,0.479073286523432,"TMEM135"
"ILMN_1733356",-0.367634098746185,7.91746370915811,-3.9039569354538,0.000249244037968379,0.0920225478516336,0.398302800821287,"MOB4"
"ILMN_1734440",-0.484418746459508,6.61319345654377,-3.9022596824085,0.0002506305515949,0.0920225478516336,0.393543993352624,"VIPAS39"
"ILMN_1741712",0.355015199269801,4.69614143570546,3.90220989031903,0.000250671339386405,0.0920225478516336,0.393404401681418,"MS4A4A"
"ILMN_2414848",-0.630297376136796,6.62201345664291,-3.90197458256903,0.000250864180981375,0.0920225478516336,0.392744731528023,"TBRG4"
"ILMN_1691092",0.328129775337701,4.6477756339592,3.9003938778838,0.000252163319081835,0.0920225478516336,0.388313883514994,NA
"ILMN_1808591",0.552776280661469,7.03822874109835,3.8965512916448,0.000255348480385753,0.0920225478516336,0.377546831318601,"UBE2S"
"ILMN_1719254",0.683927518188045,5.40598409952045,3.88743341901829,0.000263061984892954,0.0920225478516336,0.352021214886474,"TRIM9"
"ILMN_1887069",0.328837946785504,4.74455791872547,3.88743239333377,0.000263062865073303,0.0920225478516336,0.352018345288839,NA
"ILMN_2166275",0.408468000008578,4.68789429306313,3.88505678398613,0.000265109086504092,0.0920225478516336,0.345373111407165,"NOTUM"
"ILMN_2197519",-0.383174979874634,7.58649144022193,-3.88030148484722,0.000269251119801036,0.0920225478516336,0.33207785086418,"ZNF627"
"ILMN_1658415",0.32171743880313,4.69308915400318,3.87924371069403,0.0002701809017414,0.0920225478516336,0.329121640183288,NA
"ILMN_1704856",0.522603927169655,4.78789276068996,3.87893067241533,0.000270456653362149,0.0920225478516336,0.328246861508632,NA
"ILMN_1665733",0.343138980970413,4.68313039453406,3.87302689271706,0.000275708174127728,0.0920225478516336,0.311756068303362,NA
"ILMN_1691163",0.270014988989796,4.67942502997083,3.87265645851895,0.000276040929916522,0.0920225478516336,0.310721805015788,NA
"ILMN_1880743",-0.369250610252108,4.80391905538143,-3.86582432875951,0.000282247798894398,0.092116832642562,0.291655966707087,NA
"ILMN_1916061",0.343899854450849,4.72624113953091,3.86580428589531,0.000282266203304306,0.092116832642562,0.29160006182685,NA
"ILMN_1793241",-0.764003031513995,5.80080004092359,-3.84429548439368,0.000302695851196238,0.0954214725244537,0.231697802787719,"SRD5A1"
"ILMN_1759344",-0.497632164421574,5.11150851156803,-3.8431775313612,0.000303795653677982,0.0954214725244537,0.228589307305823,NA
"ILMN_1769309",-0.408588762337132,4.92053758268257,-3.84266059506477,0.000304305494002774,0.0954214725244537,0.227152121619224,NA
"ILMN_1748206",0.467586834807521,4.7040536405373,3.84225752403029,0.000304703602229491,0.0954214725244537,0.226031577829039,"CCM2L"
"ILMN_1696568",-0.677725653910879,6.10176081065033,-3.8330101509111,0.000313975709304449,0.0973418891556583,0.200341530680963,"ATP2C1"
"ILMN_1711089",-0.629338494717748,5.84179424219996,-3.82826545278157,0.000318837674377699,0.0978705387993249,0.187173593329303,"DNAJC21"
"ILMN_2043728",-0.513730024397261,6.68343992094076,-3.80701142893634,0.000341518248339101,0.103052164161177,0.128298436026616,"ZNF341"
"ILMN_1815849",0.457586922422728,4.65520089514773,3.80263127234944,0.000346381073741239,0.103052164161177,0.11618775698689,"OR8B2"
"ILMN_1788019",0.49480303662153,4.93515150200638,3.80132551578494,0.000347843525665731,0.103052164161177,0.112578980333513,"LAMA2"
"ILMN_1912333",-0.585847314446882,5.77626037141518,-3.79849387415775,0.000351035354712572,0.103052164161177,0.104755426087463,NA
"ILMN_2391419",-0.670489022748554,7.54399101281351,-3.79618767118344,0.000353655651642408,0.103052164161177,0.0983860156975513,"SYNE2"
"ILMN_1713146",-0.542695376083367,5.07292750276864,-3.79443308588153,0.000355661760644001,0.103052164161177,0.0935415452939763,NA
"ILMN_1710312",0.481482217863497,4.83868829578839,3.78660273073139,0.000364748441689756,0.103061773407871,0.0719369568417161,"TMEM31"
"ILMN_1767813",0.409075074344843,4.66599041169041,3.78611146000601,0.000365325895056015,0.103061773407871,0.0705823350545565,"MAML1"
"ILMN_1792551",0.462191074317007,4.69312218668802,3.77944126344719,0.000373253516577621,0.103061773407871,0.0521998146920328,"MROH7"
"ILMN_1761829",0.689746698182071,5.45124611734074,3.7784318399179,0.000374467508848903,0.103061773407871,0.0494195127527712,"HK1"
