"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1763433",1.45280932491879,5.61234298333325,6.6679031944392,1.05737754122089e-08,0.000327818759104712,9.50664270976114,"TRIM9"
"ILMN_1664047",1.11463430405221,5.01135062695231,6.43669317779018,2.57297828278723e-08,0.000398850228506263,8.70439690295992,"CACNA1E"
"ILMN_2114720",1.48092248007285,7.45845210398091,6.12818042100262,8.37509984814969e-08,0.000711402088763342,7.63816419794298,"SLPI"
"ILMN_1660624",1.10913938423419,6.43719555599792,6.10413633010624,9.17849354918353e-08,0.000711402088763342,7.55534844532537,"LIMK2"
"ILMN_1867638",0.538123944351918,4.65430653155955,5.95116052872888,1.64141393822211e-07,0.001017775126534,7.02964498421806,NA
"ILMN_1709233",0.967304723779166,7.67683708582579,5.79985385204955,2.90857606432699e-07,0.00137633921171251,6.51200224974701,"F5"
"ILMN_1766896",1.09927912875111,5.12977465135803,5.78229953733467,3.10756200431816e-07,0.00137633921171251,6.45211493434092,"ZDHHC19"
"ILMN_1761566",1.14534836708933,8.73867196381383,5.71317651966447,4.03087089770774e-07,0.00156211363052041,6.21666868600053,"CYSTM1"
"ILMN_2178855",-1.02388784484953,6.1231896960861,-5.58569900820853,6.50023936220177e-07,0.00222097707062208,5.78411610790148,"GPAM"
"ILMN_1726222",0.591989477090734,12.3776094104047,5.55968493757631,7.16374889727473e-07,0.00222097707062208,5.69612950996875,"FLOT2"
"ILMN_1780887",-0.804832409387677,6.34209498446718,-5.5257307903087,8.13131465521293e-07,0.0022917740750506,5.58144030938496,"USP21"
"ILMN_1658289",-0.61944636171897,8.57628978108234,-5.49252234068568,9.20215571391222e-07,0.00237745361332017,5.4694419502626,"WDR54"
"ILMN_1760189",1.33383370344352,5.85005142872724,5.40589702976729,1.26952508686638e-06,0.00294065439333376,5.17812708696821,"NAIP"
"ILMN_2186061",0.898747992997021,9.32074682446172,5.3876311472449,1.35841648844985e-06,0.00294065439333376,5.11686057428975,"PFKFB3"
"ILMN_1814606",-0.633194245688574,4.95199830475961,-5.36324339060002,1.48673157219837e-06,0.00294065439333376,5.03515052586807,"GALNT2"
"ILMN_1862563",0.609747041749257,5.03156218136401,5.35768479511505,1.51761024072961e-06,0.00294065439333376,5.01654132050149,NA
"ILMN_2388112",1.08800646646889,7.13228120913426,5.30189333788002,1.86475708025509e-06,0.0032288863439592,4.83006854391677,"CR1"
"ILMN_2206645",-0.879539926113874,7.04707474255645,-5.29462520231712,1.91538941369386e-06,0.0032288863439592,4.80581800467845,"ECD"
"ILMN_1654389",1.13411437656398,5.50851101391777,5.28578475631576,1.97880335887574e-06,0.0032288863439592,4.77633461705741,"FCGR1A"
"ILMN_1784764",0.682097371815537,4.92506900983744,5.2543657739671,2.22136667599406e-06,0.0033669186116287,4.67166967357622,NA
"ILMN_1701837",0.922968320473845,8.69128538391764,5.24481929644147,2.30070621884802e-06,0.0033669186116287,4.63990512855116,"KLHL2"
"ILMN_1677239",-0.523471418309572,8.33518071804894,-5.23454706392444,2.38919489906885e-06,0.0033669186116287,4.60574540177877,"CCDC14"
"ILMN_2270443",1.11167512653631,6.0919843044723,5.19481736648224,2.76410073260379e-06,0.00365055523194685,4.47382127060736,"LIMK2"
"ILMN_2333670",0.712438289351643,4.79947517636892,5.17705623014518,2.94989056434725e-06,0.00365055523194685,4.41494642725353,"RNASE1"
"ILMN_2075051",0.759535736739243,9.76141984928152,5.16721636199346,3.05805378082644e-06,0.00365055523194685,4.38235661341317,"PGS1"
"ILMN_1742601",1.21115568621264,6.96284496236044,5.16267861730014,3.10923971469862e-06,0.00365055523194685,4.36733418331678,"CR1"
"ILMN_1737157",0.535915296741783,8.78207391360935,5.15473678384696,3.20085979312412e-06,0.00365055523194685,4.34105251736738,"GRAMD1A"
"ILMN_1659444",0.690168930686125,5.28947916394082,5.138790706705,3.39291121529245e-06,0.00365055523194685,4.28832200381505,"KIF1B"
"ILMN_1661695",0.783107141367646,8.18149965356888,5.13703755193068,3.41470508423245e-06,0.00365055523194685,4.28252789375561,"IRAK3"
"ILMN_1776857",0.632917509231543,4.90897808500975,5.11865605765314,3.65166146684846e-06,0.00371774371115934,4.22181654581635,"AQP1"
"ILMN_1694966",0.722392382864101,6.96218746581316,5.11376537520111,3.71738396432408e-06,0.00371774371115934,4.20567534758787,"ASGR2"
"ILMN_1788024",-0.50661196095794,9.49158331430487,-5.10270086884993,3.87039364486509e-06,0.00374980669286726,4.16917683621834,"PCID2"
"ILMN_1808602",0.65992491696354,4.90891387159007,5.08462568594835,4.13377184983332e-06,0.00388361602001159,4.10960861302788,"LINC01547"
"ILMN_1717887",-0.586251646361192,4.99254599160493,-5.07031629816928,4.35469898864632e-06,0.00396388148111567,4.06250101228298,"GOLGA7B"
"ILMN_2172318",-0.788957702918496,5.08143747154597,-5.06282671693934,4.47491700284e-06,0.00396388148111567,4.03786256469333,"TAFA2"
"ILMN_1660021",0.483321806588767,10.7092214573949,5.02825800755721,5.0734006516985e-06,0.00434027524221322,3.92430281590631,"PLIN3"
"ILMN_2335123",0.569868226915164,4.71532477013116,5.02253321642654,5.17982724129566e-06,0.00434027524221322,3.90552241194435,"USP17L6P"
"ILMN_1900998",-0.73898314020359,6.70542729002159,-5.00442005360319,5.5312064031672e-06,0.00451273663466823,3.84615037365756,NA
"ILMN_2342638",0.690862903284993,8.25556797141944,4.99050866503811,5.81686508877214e-06,0.00462410944480007,3.80060196617563,"ASGR2"
"ILMN_1762713",1.27350614556232,9.04118576015411,4.97071110451038,6.24850802051197e-06,0.00479518763522354,3.73585827408098,"MCEMP1"
"ILMN_1670959",0.491960011395171,4.70945004919259,4.96662607185899,6.34140867155324e-06,0.00479518763522354,3.72251041409821,"CEACAM5"
"ILMN_1716730",-0.628438359677063,6.95426422346045,-4.94382729813294,6.88532267052136e-06,0.00508251568462319,3.64808747327718,"BOD1"
"ILMN_1773964",-0.537827276402402,7.52530831646952,-4.91727865740254,7.5765315496986e-06,0.00527083648798898,3.56157968917372,"H1-10"
"ILMN_1769309",-0.522175726679125,4.92053758268257,-4.91091354821345,7.75210832041536e-06,0.00527083648798898,3.54086445742987,NA
"ILMN_1765880",0.793418181944537,8.40965994945231,4.91053964340992,7.76254535383222e-06,0.00527083648798898,3.53964789100519,"USB1"
"ILMN_2108357",-0.66286196591283,6.0629292668386,-4.9084729084423,7.82048441916888e-06,0.00527083648798898,3.53292401097941,"RPL39L"
"ILMN_1743755",-0.650581287430077,6.27550620923881,-4.87903016677873,8.69340746573916e-06,0.00573450450341088,3.43724907431427,"C6orf226"
"ILMN_1724822",0.934234199808659,7.62806232777502,4.83145368907412,1.03096924064289e-05,0.00660849809895204,3.28310424034241,"LINC00999"
"ILMN_1813766",-0.899705473088177,5.75835106117329,-4.82235408614939,1.06507566157827e-05,0.00660849809895204,3.25368745358348,"RCL1"
"ILMN_1898138",0.455945602349654,4.68854387298698,4.82216823339245,1.06578364980035e-05,0.00660849809895204,3.25308685845018,NA
"ILMN_1790105",0.526063821165263,4.65078639047452,4.81478871781407,1.0942707118104e-05,0.00663163157194356,3.22924666300838,"SUMO1"
"ILMN_1694382",0.411639014986508,4.64520914862089,4.81021609330232,1.112295073835e-05,0.00663163157194356,3.21448143395023,NA
"ILMN_1910608",0.490585964300681,4.74159519549889,4.79807018649221,1.16159508266516e-05,0.00679489289582417,3.1752880275575,NA
"ILMN_1767193",1.14604055323404,5.678368346368,4.77752658290508,1.24989253875299e-05,0.00688683718833352,3.10908396443159,"CR1"
"ILMN_2176063",1.28027735360866,7.6457473269533,4.77712600184647,1.25167795188232e-05,0.00688683718833352,3.10779415036549,"FCGR1A"
"ILMN_1784287",-0.772127169327382,9.60830895690136,-4.77463183532894,1.26285087819269e-05,0.00688683718833352,3.09976424265043,"TGFBR3"
"ILMN_1686367",-0.404681176364489,11.9577598847169,-4.77389574735564,1.26616688622072e-05,0.00688683718833352,3.09739473992327,"HSPA8"
"ILMN_2365091",1.04431832614413,6.90149658264503,4.75062826717999,1.37549004965787e-05,0.007352468622335,3.02256983806429,"FCAR"
"ILMN_1682912",1.16199349732247,5.92250012039137,4.73222855504957,1.46843131921485e-05,0.00771623325247764,2.96350176566162,"LINC00999"
"ILMN_1770161",0.684343443257333,7.73348661859057,4.71940941954341,1.53678535486394e-05,0.0077351508908479,2.92240309655025,"BST1"
"ILMN_1781060",0.82959902224125,5.00713979610315,4.71871834393572,1.54055738246658e-05,0.0077351508908479,2.92018875344256,"SYN2"
"ILMN_1684271",-0.692267684394233,6.07240612049473,-4.71756358786254,1.54688048005861e-05,0.0077351508908479,2.91648897783974,"ACBD6"
"ILMN_1662878",-0.936255974529414,5.85964609296853,-4.70442226152834,1.62065013622293e-05,0.00782602618244855,2.87441065631188,NA
"ILMN_1678690",0.927460409477613,5.49953125892042,4.7012388752006,1.63903136593093e-05,0.00782602618244855,2.86422465677451,"UPB1"
"ILMN_1700994",0.718741882776897,6.5156737745142,4.69853906569301,1.65477994258505e-05,0.00782602618244855,2.85558817060904,"KREMEN1"
"ILMN_2382431",-0.918823806024895,5.69972363389983,-4.69662662999007,1.66602499126408e-05,0.00782602618244855,2.84947165424087,"ANKRD36B"
"ILMN_1780773",-0.425521333397951,8.70809840526988,-4.68293842099994,1.74872038234589e-05,0.00809187731550295,2.80572250372775,"LINC00938"
"ILMN_1665943",-0.52588697914428,9.72702211036611,-4.67458829598315,1.80112220229524e-05,0.00818396475919281,2.77906018364182,"MAP4K1"
"ILMN_1707286",0.600696694252646,11.5434012376404,4.67141815049589,1.82141589002453e-05,0.00818396475919281,2.7689428890643,"PLBD1"
"ILMN_1820302",0.445055459626583,4.66268280710072,4.63790775118269,2.05006753730939e-05,0.00907974912274331,2.66217068427941,NA
"ILMN_1771003",0.660387598489527,7.85331597892208,4.62177724361724,2.16989982218179e-05,0.00914924311360265,2.61088941637517,"HAUS4"
"ILMN_1775243",-0.593662908011766,12.0598010525404,-4.61853209232391,2.19482104680591e-05,0.00914924311360265,2.60058167630308,"RPL35"
"ILMN_1665540",1.10276539305458,7.48593149674947,4.61076004380124,2.25564804868848e-05,0.00914924311360265,2.57590734410811,"LINC00999"
"ILMN_2391051",1.23407621623095,7.73809828565491,4.60579705232764,2.29534787520519e-05,0.00914924311360265,2.56016027124005,"FCGR1BP"
"ILMN_2392274",0.539172013758398,8.40822484804513,4.59761005837114,2.36233213538596e-05,0.00914924311360265,2.5341994920233,"CD82"
"ILMN_1846303",0.451541616959698,4.69770602777252,4.59524361939559,2.38204667776835e-05,0.00914924311360265,2.52669922516034,NA
