"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2343047",2.13284916640602,5.09508686477021,10.7258580896228,2.17467801439701e-15,6.74215424803506e-11,24.4211741967098,"ABCB9"
"ILMN_2193233",3.15143072507989,7.01704167934586,10.5032854337053,4.88623418771777e-15,7.5743959260907e-11,23.6591157278767,"MZB1"
"ILMN_1695509",-1.44170274344905,9.09481315513465,-9.8171953349799,6.13492974930306e-14,6.34004090058809e-10,21.2703601674711,"PTPN12"
"ILMN_1804339",2.17675147523888,5.24789649120406,9.72713907811532,8.58310556592138e-14,6.65255054650651e-10,20.9525892457426,"CAMK1G"
"ILMN_1764168",-1.49209856077206,8.75326860347395,-9.62733607148282,1.24644304912982e-13,7.72869477043433e-10,20.5993441066194,"STXBP3"
"ILMN_1804601",5.29943456580674,6.32971142148962,9.57286285843622,1.52857462474687e-13,7.89839984850453e-10,20.40606922047,NA
"ILMN_2343048",2.84470791818643,5.81012736445609,9.51261171297404,1.91621399290205e-13,8.4869117745632e-10,20.1919129387653,"ABCB9"
"ILMN_2083066",2.95973457882588,6.4309006328095,9.43582370031848,2.55715817286932e-13,9.62970884678605e-10,19.9184076211645,"IGLL3P"
"ILMN_1788108",2.52250857320547,8.98067122649984,9.41214248518588,2.79545139570604e-13,9.62970884678605e-10,19.8339321514765,"TXNDC5"
"ILMN_1772316",-1.18426463776533,7.81675590313758,-9.05916788747385,1.06111212468454e-12,3.28976592015949e-09,18.5680037767032,"SUN1"
"ILMN_1674228",4.23451089274131,7.27399006675602,8.99018762306756,1.37881417090329e-12,3.68933170780084e-09,18.3191907071841,NA
"ILMN_1758613",1.62179827047809,6.14569888312067,8.96609379874018,1.51103253690694e-12,3.68933170780084e-09,18.2321803208348,"RAPGEFL1"
"ILMN_1754531",-0.766517365687043,6.98836789378937,-8.93701569940669,1.68769886555371e-12,3.68933170780084e-09,18.1270999206837,"AP4E1"
"ILMN_2393765",2.87811074447512,11.4072756409353,8.91709265615341,1.82059504757316e-12,3.68933170780084e-09,18.0550595204089,"IGLL1"
"ILMN_1748291",-1.24673757868067,8.4695101978707,-8.90573377475878,1.90102269715802e-12,3.68933170780084e-09,18.0139707155207,"SDE2"
"ILMN_1778803",-1.30903694059066,8.29994057127953,-8.90532441775569,1.90398694722489e-12,3.68933170780084e-09,18.0124897229289,"ZFAND6"
"ILMN_2340565",-1.24730460475453,7.26254634766104,-8.78934183254036,2.96211500629318e-12,5.40202656118279e-09,17.5922937974444,"ATP2C1"
